,Coin,Timestamp,Datetime,Last/Open,High/Low,Vol-USDT-24h,Open-24h,High-24h,Low-24h,Close-Last,Vol-Ccy-24h,Vol-Num-24h
0,BTC-USDT,1679371348206,2023-03-21 12:02:28.206,2.3388000000,4.9019000000,393851165.1024778485,27158.7000000000,28490.0000000000,27158.7000000000,27793.9000000000,393851165.1024778485,14106.0197934800
1,ETH-USDT,1679371347709,2023-03-21 12:02:27.709,0.4234000000,4.6399000000,222127974.9656410217,1738.4900000000,1803.2900000000,1723.3300000000,1745.8500000000,222127974.9656410217,126151.1333340000
2,CFX-USDT,1679371347509,2023-03-21 12:02:27.509,-3.3785000000,21.2586000000,118823850.5947293043,0.4200100000,0.4636200000,0.3823400000,0.4058200000,118823850.5947293043,277699621.5517989993
3,LTC-USDT,1679371347309,2023-03-21 12:02:27.309,-2.2693000000,7.6586000000,44493363.9380389974,80.6400000000,83.6400000000,77.6900000000,78.8100000000,44493363.9380389974,554189.1209930000
4,BCH-USDT,1679371348509,2023-03-21 12:02:28.509,-0.6730000000,6.2819000000,38361965.1295400113,132.2400000000,137.5500000000,129.4200000000,131.3500000000,38361965.1295400113,288664.9713320000
5,SOL-USDT,1679371348308,2023-03-21 12:02:28.308,4.7744000000,11.7268000000,38224857.7288025469,21.4060000000,23.9140000000,21.4040000000,22.4280000000,38224857.7288025469,1676834.1345710000
6,FIL-USDT,1679371348506,2023-03-21 12:02:28.506,-2.0791000000,10.8676000000,36809696.7186493576,5.9640000000,6.2740000000,5.6590000000,5.8400000000,36809696.7186493576,6173219.2006620001
7,XRP-USDT,1679371348506,2023-03-21 12:02:28.506,1.1969000000,3.8066000000,33953234.7752406895,0.3776400000,0.3847800000,0.3706700000,0.3821600000,33953234.7752406895,89612033.2223889977
8,CORE-USDT,1679371348501,2023-03-21 12:02:28.501,14.3802000000,17.3180000000,28180515.3795025013,2.0439200000,2.3950000000,2.0414600000,2.3378400000,28180515.3795025013,12727205.6500000004
9,MASK-USDT,1679371348508,2023-03-21 12:02:28.508,-0.1442000000,15.2985000000,27847172.8476709016,5.5470000000,6.1800000000,5.3600000000,5.5390000000,27847172.8476709016,4854986.7157070003
10,BLUR-USDT,1679371348011,2023-03-21 12:02:28.011,2.3140000000,7.0963000000,27431485.0227202289,0.5445000000,0.5750000000,0.5369000000,0.5571000000,27431485.0227202289,49334495.3232000023
11,BTC-USDC,1679371348509,2023-03-21 12:02:28.509,2.3099000000,4.7774000000,27047705.6881328821,27261.5000000000,28563.9000000000,27261.5000000000,27891.2000000000,27142260.4420848414,968.8707884000
12,EOS-USDT,1679371347408,2023-03-21 12:02:27.408,4.3281000000,9.6892000000,23557721.0679376684,1.1229000000,1.2317000000,1.1229000000,1.1715000000,23557721.0679376684,19849612.7102780007
13,ETH-USDC,1679371348210,2023-03-21 12:02:28.210,0.4363000000,4.5338000000,22389244.5506466292,1744.2000000000,1809.0200000000,1730.5600000000,1751.8100000000,22467514.0177159011,12697.2239770000
14,FTM-USDT,1679371348509,2023-03-21 12:02:28.509,-1.7562000000,14.2285000000,20836851.0243933760,0.4726000000,0.5130000000,0.4491000000,0.4643000000,20836851.0243933760,43480700.8321719989
15,OKB-USDT,1679371348408,2023-03-21 12:02:28.408,-1.3799000000,11.2580000000,20172537.0192530118,46.3800000000,48.8200000000,43.8800000000,45.7400000000,20172537.0192530118,435793.1780370000
16,MATIC-USDT,1679371348604,2023-03-21 12:02:28.604,-0.5714000000,6.6174000000,18961854.9636286870,1.1200000000,1.1697000000,1.0971000000,1.1136000000,18961854.9636286870,16766054.7380449995
17,OP-USDT,1679371348506,2023-03-21 12:02:28.506,-1.5471000000,9.6090000000,18230992.8250679113,2.5532000000,2.6943000000,2.4581000000,2.5137000000,18230992.8250679113,7087519.6958999997
18,DOGE-USDT,1679371348305,2023-03-21 12:02:28.305,-0.8116000000,6.8485000000,17808466.4925995097,0.0727000000,0.0752000000,0.0703800000,0.0721100000,17808466.4925995097,244262071.2167499959
19,APT-USDT,1679371348510,2023-03-21 12:02:28.510,-1.5112000000,8.3303000000,17253758.7432321906,12.3809000000,12.9550000000,11.9588000000,12.1938000000,17253758.7432321906,1382843.0015000000
20,STX-USDT,1679371348508,2023-03-21 12:02:28.508,11.0382000000,20.6355000000,17142439.5886247642,1.0826000000,1.3060000000,1.0826000000,1.2021000000,17142439.5886247642,14342064.3074970003
21,USDC-USDT,1679371339909,2023-03-21 12:02:19.909,-0.0301000000,0.1506000000,16835716.3816123344,0.9969000000,0.9973000000,0.9958000000,0.9966000000,16835716.3816123344,16894571.5406569988
22,MAGIC-USDT,1679371348509,2023-03-21 12:02:28.509,8.9683000000,15.3254000000,14906839.4196601696,1.7060000000,1.9490000000,1.6900000000,1.8590000000,14906839.4196601696,8217592.0173159996
23,ETC-USDT,1679371348409,2023-03-21 12:02:28.409,-2.4284000000,9.2249000000,14252759.2578165121,20.2600000000,21.1230000000,19.3390000000,19.7680000000,14252759.2578165121,709830.3460140000
24,IMX-USDT,1679371348206,2023-03-21 12:02:28.206,-8.6294000000,26.7106000000,13868634.6053809058,1.3790000000,1.5370000000,1.2130000000,1.2600000000,13868634.6053809058,10219155.4105149992
25,OMG-USDT,1679371348545,2023-03-21 12:02:28.545,-10.9683000000,22.1933000000,13819400.1990874372,2.1790000000,2.3510000000,1.9240000000,1.9400000000,13819400.1990874372,6483320.3356219996
26,ADA-USDT,1679371348459,2023-03-21 12:02:28.459,1.4315000000,4.6566000000,13628770.6033130437,0.3346100000,0.3458900000,0.3305000000,0.3394000000,13628770.6033130437,40140978.0225000009
27,LINK-USDT,1679371348107,2023-03-21 12:02:28.107,2.6879000000,7.5289000000,13341784.0303225331,6.9200000000,7.4410000000,6.9200000000,7.1060000000,13341784.0303225331,1849193.4775390001
28,LDO-USDT,1679371348504,2023-03-21 12:02:28.504,-3.3638000000,9.4648000000,12263844.4640566297,2.3842000000,2.4808000000,2.2663000000,2.3040000000,12263844.4640566297,5187418.9419000000
29,GALA-USDT,1679371348408,2023-03-21 12:02:28.408,-3.1349000000,14.7263000000,11735322.8770024795,0.0440200000,0.0479900000,0.0418300000,0.0426400000,11735322.8770024795,263028451.8652409911
30,DYDX-USDT,1679371348405,2023-03-21 12:02:28.405,-3.3410000000,11.6090000000,11150200.0054266341,2.6040000000,2.7400000000,2.4550000000,2.5170000000,11150200.0054266341,4287424.2429999998
31,SHIB-USDT,1679371348507,2023-03-21 12:02:28.507,0.1899000000,5.8027000000,10873825.8814663906,0.0000105300,0.0000109400,0.0000103400,0.0000105500,10873825.8814663906,1027269544010.0000000000
32,APE-USDT,1679371348308,2023-03-21 12:02:28.308,0.3373000000,6.0599000000,9344295.7937395275,4.0615000000,4.2600000000,4.0166000000,4.0752000000,9344295.7937395275,2268301.6598780002
33,ETH-BTC,1679371348407,2023-03-21 12:02:28.407,-1.8897000000,2.9563000000,9311943.1525044274,0.0640300000,0.0640800000,0.0622400000,0.0628200000,333.5129258557,5279.9266420000
34,SNX-USDT,1679371348508,2023-03-21 12:02:28.508,3.7769000000,14.7976000000,8978259.8965586666,2.8330000000,3.2040000000,2.7910000000,2.9400000000,8978259.8965586666,2963049.4553390001
35,SAND-USDT,1679371348506,2023-03-21 12:02:28.506,-0.6214000000,8.1468000000,8742084.6212712470,0.6598000000,0.6956000000,0.6432000000,0.6557000000,8742084.6212712470,13029777.8093369994
36,DOT-USDT,1679371347505,2023-03-21 12:02:27.505,-1.4423000000,6.9091000000,8681227.3550304268,6.2400000000,6.4680000000,6.0500000000,6.1500000000,8681227.3550304268,1387666.4618980000
37,REN-USDT,1679371348407,2023-03-21 12:02:28.407,3.8760000000,24.8923000000,7089564.7250140496,0.1161000000,0.1450000000,0.1161000000,0.1206000000,7089564.7250140496,54337818.3982260004
