Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-02-26,1519574400000,5.9,5.9,0.88,1.2383,585208.491685,690312.337096,690312.337096,1,ABT-USDT
2018-02-27,1519660800000,1.2385,1.28,1.1,1.1704,198122.988058,244010.762476,244010.762476,1,ABT-USDT
2018-02-28,1519747200000,1.1609,1.27,1.1603,1.1779,117980.687979,141964.53909,141964.53909,1,ABT-USDT
2018-03-01,1519833600000,1.1851,1.2799,1.1666,1.2777,97782.147333,119024.756376,119024.756376,1,ABT-USDT
2018-03-02,1519920000000,1.2703,1.5,1.2299,1.256,73088.471423,95102.764595,95102.764595,1,ABT-USDT
2018-03-03,1520006400000,1.256,1.3665,1.2202,1.2301,48854.930078,61070.846044,61070.846044,1,ABT-USDT
2018-03-04,1520092800000,1.26,1.2669,1.1284,1.15,52743.802962,62233.798773,62233.798773,1,ABT-USDT
2018-03-05,1520179200000,1.1794,1.2502,1.1512,1.1999,39890.308367,47569.564984,47569.564984,1,ABT-USDT
2018-03-06,1520265600000,1.1919,1.2236,1.0182,1.0516,109535.901121,123295.190802,123295.190802,1,ABT-USDT
2018-03-07,1520352000000,1.0516,1.108,0.9008,0.9566,111568.917775,114832.883914,114832.883914,1,ABT-USDT
2018-03-08,1520438400000,0.9539,1.0,0.8155,0.8878,124039.556817,109488.278559,109488.278559,1,ABT-USDT
2018-03-09,1520524800000,0.8999,0.9284,0.7199,0.8869,83529.827057,65685.623342,65685.623342,1,ABT-USDT
2018-03-10,1520611200000,0.8796,0.909,0.7902,0.8528,27068.466419,23249.747305,23249.747305,1,ABT-USDT
2018-03-11,1520697600000,0.8546,0.889,0.7606,0.8449,29701.237214,24996.425227,24996.425227,1,ABT-USDT
2018-03-12,1520784000000,0.8499,0.8888,0.8277,0.8299,17367.461257,14946.740092,14946.740092,1,ABT-USDT
2018-03-13,1520870400000,0.8299,0.8763,0.78,0.8396,40486.296094,32988.363334,32988.363334,1,ABT-USDT
2018-03-14,1520956800000,0.8299,0.8399,0.755,0.766,40866.255106,32535.004116,32535.004116,1,ABT-USDT
2018-03-15,1521043200000,0.765,0.79,0.6666,0.7012,55771.521489,39787.642866,39787.642866,1,ABT-USDT
2018-03-16,1521129600000,0.681,0.7598,0.68,0.7597,16429.33986,11698.473798,11698.473798,1,ABT-USDT
2018-03-17,1521216000000,0.7255,0.7514,0.6711,0.68,63836.774978,44476.22296,44476.22296,1,ABT-USDT
2018-03-18,1521302400000,0.6711,0.6979,0.541,0.6199,77765.166032,47485.352605,47485.352605,1,ABT-USDT
2018-03-19,1521388800000,0.5412,0.751,0.5412,0.6568,138268.63293,91321.969471,91321.969471,1,ABT-USDT
2018-03-20,1521475200000,0.6546,0.7439,0.6162,0.7028,63629.639969,41368.213781,41368.213781,1,ABT-USDT
2018-03-21,1521561600000,0.7017,0.8275,0.7016,0.8,88833.299944,65876.054758,65876.054758,1,ABT-USDT
2018-03-22,1521648000000,0.7921,0.8259,0.6521,0.7308,117243.155925,88223.991133,88223.991133,1,ABT-USDT
2018-03-23,1521734400000,0.7309,0.7799,0.652,0.6999,46665.83396,32225.220938,32225.220938,1,ABT-USDT
2018-03-24,1521820800000,0.6901,0.7649,0.6901,0.74,22080.10698,16213.689906,16213.689906,1,ABT-USDT
2018-03-25,1521907200000,0.741,0.7707,0.6923,0.7227,22862.765979,16527.900459,16527.900459,1,ABT-USDT
2018-03-26,1521993600000,0.7311,0.7718,0.65,0.65,67490.992955,46568.83279,46568.83279,1,ABT-USDT
2018-03-27,1522080000000,0.6401,0.6973,0.6119,0.6412,80221.802951,49959.522908,49959.522908,1,ABT-USDT
2018-03-28,1522166400000,0.6441,0.68,0.6099,0.64,51542.282937,32857.156325,32857.156325,1,ABT-USDT
2018-03-29,1522252800000,0.6401,0.6676,0.5601,0.581,57351.939942,35169.735213,35169.735213,1,ABT-USDT
2018-03-30,1522339200000,0.6263,0.6339,0.55,0.5799,55176.012953,31517.2607,31517.2607,1,ABT-USDT
2018-03-31,1522425600000,0.5585,0.6327,0.5585,0.5829,20293.954969,12015.004141,12015.004141,1,ABT-USDT
2018-04-01,1522512000000,0.6267,0.6267,0.5028,0.5635,172604.573835,98858.641978,98858.641978,1,ABT-USDT
2018-04-02,1522598400000,0.5031,0.593,0.503,0.533,199138.626857,109745.547058,109745.547058,1,ABT-USDT
2018-04-03,1522684800000,0.533,0.5798,0.531,0.5526,559180.150728,302714.346824,302714.346824,1,ABT-USDT
2018-04-04,1522771200000,0.5753,0.5959,0.4799,0.5,333678.322856,169290.330184,169290.330184,1,ABT-USDT
2018-04-05,1522857600000,0.4989,0.536,0.4799,0.4892,408887.51469,205309.266865,205309.266865,1,ABT-USDT
2018-04-06,1522944000000,0.5,0.5452,0.4938,0.513,175484.855854,90858.654531,90858.654531,1,ABT-USDT
2018-04-07,1523030400000,0.513,0.5669,0.502,0.5584,228958.64347,119861.389634,119861.389634,1,ABT-USDT
2018-04-08,1523116800000,0.5581,0.5961,0.543,0.5678,323227.043361,182099.341085,182099.341085,1,ABT-USDT
2018-04-09,1523203200000,0.5679,0.6135,0.54,0.562,287057.359441,164908.217411,164908.217411,1,ABT-USDT
2018-04-10,1523289600000,0.5622,0.5889,0.5557,0.5768,301918.529309,172137.975584,172137.975584,1,ABT-USDT
2018-04-11,1523376000000,0.5767,0.682,0.5698,0.67,261562.111557,162692.173514,162692.173514,1,ABT-USDT
2018-04-12,1523462400000,0.67,0.8739,0.666,0.8739,295541.894856,228397.00598,228397.00598,1,ABT-USDT
2018-04-13,1523548800000,0.8669,1.0866,0.8201,0.9454,312380.759762,298925.768745,298925.768745,1,ABT-USDT
2018-04-14,1523635200000,0.9506,0.9899,0.8212,0.8548,311757.740501,283257.764462,283257.764462,1,ABT-USDT
2018-04-15,1523721600000,0.8548,0.9625,0.8374,0.9419,261120.93749,236637.839543,236637.839543,1,ABT-USDT
2018-04-16,1523808000000,0.9524,0.9963,0.8499,0.8989,163147.353914,150280.305845,150280.305845,1,ABT-USDT
2018-04-17,1523894400000,0.899,0.9799,0.8804,0.9597,83248.815897,78923.737385,78923.737385,1,ABT-USDT
2018-04-18,1523980800000,0.9597,0.9778,0.9,0.9381,61492.597937,57845.535313,57845.535313,1,ABT-USDT
2018-04-19,1524067200000,0.9392,1.0,0.9354,0.9838,122947.884873,120225.719464,120225.719464,1,ABT-USDT
2018-04-20,1524153600000,0.9838,1.1109,0.9523,1.0193,230918.692753,231872.603208,231872.603208,1,ABT-USDT
2018-04-21,1524240000000,1.0174,1.1999,0.9991,1.1289,562719.663038,609989.080718,609989.080718,1,ABT-USDT
2018-04-22,1524326400000,1.1307,1.4899,1.0589,1.2507,624546.40874,775282.540325,775282.540325,1,ABT-USDT
2018-04-23,1524412800000,1.2531,1.278,1.1599,1.1816,472266.899362,569395.699695,569395.699695,1,ABT-USDT
2018-04-24,1524499200000,1.1828,1.28,1.1599,1.2375,535021.52338,658426.841324,658426.841324,1,ABT-USDT
2018-04-25,1524585600000,1.2365,1.2569,0.9578,0.9998,603665.22736,656258.984193,656258.984193,1,ABT-USDT
2018-04-26,1524672000000,0.9979,1.1286,0.981,1.0629,319531.824394,341793.146747,341793.146747,1,ABT-USDT
2018-04-27,1524758400000,1.063,1.1999,1.063,1.1532,366521.567354,413976.435783,413976.435783,1,ABT-USDT
2018-04-28,1524844800000,1.152,1.2356,1.09,1.2027,415164.607413,486689.108115,486689.108115,1,ABT-USDT
2018-04-29,1524931200000,1.2027,1.3431,1.1817,1.2655,517810.830369,648412.276086,648412.276086,1,ABT-USDT
2018-04-30,1525017600000,1.2653,1.4443,1.238,1.2929,450850.088405,596712.711942,596712.711942,1,ABT-USDT
2018-05-01,1525104000000,1.2978,1.4463,1.1599,1.217,314424.567384,396945.699644,396945.699644,1,ABT-USDT
2018-05-02,1525190400000,1.2203,1.3999,1.21,1.3207,382900.242386,495746.455469,495746.455469,1,ABT-USDT
2018-05-03,1525276800000,1.3272,1.56,1.2809,1.46,439163.835344,607127.897352,607127.897352,1,ABT-USDT
2018-05-04,1525363200000,1.4621,1.58,1.4299,1.471,484494.149311,721231.351181,721231.351181,1,ABT-USDT
2018-05-05,1525449600000,1.4756,1.8181,1.4658,1.7077,630051.739244,1000511.720418,1000511.720418,1,ABT-USDT
2018-05-06,1525536000000,1.706,1.7981,1.3402,1.4395,804538.43029,1227785.000317,1227785.000317,1,ABT-USDT
2018-05-07,1525622400000,1.4395,1.528,1.33,1.3963,577351.779333,812395.863694,812395.863694,1,ABT-USDT
2018-05-08,1525708800000,1.3926,1.4999,1.3041,1.3753,500052.29631,704108.95061,704108.95061,1,ABT-USDT
2018-05-09,1525795200000,1.3777,1.3978,1.2881,1.356,476302.182267,639030.38181,639030.38181,1,ABT-USDT
2018-05-10,1525881600000,1.3559,1.4388,1.3541,1.3667,509205.145278,711024.34747,711024.34747,1,ABT-USDT
2018-05-11,1525968000000,1.3666,1.3676,1.0386,1.1318,837699.046298,1009811.687507,1009811.687507,1,ABT-USDT
2018-05-12,1526054400000,1.1298,1.177,0.965,1.0284,565452.224261,609524.824917,609524.824917,1,ABT-USDT
2018-05-13,1526140800000,1.0281,1.1999,1.0209,1.1642,450022.883281,493787.665379,493787.665379,1,ABT-USDT
2018-05-14,1526227200000,1.165,1.1999,1.0387,1.1347,583720.711276,652597.822158,652597.822158,1,ABT-USDT
2018-05-15,1526313600000,1.1356,1.1999,1.077,1.0945,498493.365301,566594.06604,566594.06604,1,ABT-USDT
2018-05-16,1526400000000,1.0944,1.102,0.9703,0.9899,571046.086287,591879.582106,591879.582106,1,ABT-USDT
2018-05-17,1526486400000,0.9905,1.1899,0.9899,1.1142,462741.199228,491239.57422,491239.57422,1,ABT-USDT
2018-05-18,1526572800000,1.1157,1.1157,1.0003,1.0187,416783.190263,434174.118092,434174.118092,1,ABT-USDT
2018-05-19,1526659200000,1.0175,1.3,1.01,1.2137,824633.768292,944237.566255,944237.566255,1,ABT-USDT
2018-05-20,1526745600000,1.2205,1.2985,1.1778,1.2159,683394.598294,842486.339278,842486.339278,1,ABT-USDT
2018-05-21,1526832000000,1.2168,1.2755,1.1299,1.1435,618858.213313,751496.415422,751496.415422,1,ABT-USDT
2018-05-22,1526918400000,1.1435,1.1564,1.0479,1.0717,482396.191268,529471.562949,529471.562949,1,ABT-USDT
2018-05-23,1527004800000,1.073,1.0753,0.9011,0.9092,516451.269304,506105.804844,506105.804844,1,ABT-USDT
2018-05-24,1527091200000,0.9099,1.0045,0.8555,0.9678,476703.870308,437622.829968,437622.829968,1,ABT-USDT
2018-05-25,1527177600000,0.9684,0.9849,0.893,0.9387,511323.313272,472620.219967,472620.219967,1,ABT-USDT
2018-05-26,1527264000000,0.9367,0.9752,0.9022,0.9372,439600.431307,411598.03105,411598.03105,1,ABT-USDT
2018-05-27,1527350400000,0.9389,0.9574,0.897,0.9069,454295.249309,418716.917553,418716.917553,1,ABT-USDT
2018-05-28,1527436800000,0.9043,0.9346,0.8296,0.8577,419500.070296,369377.366938,369377.366938,1,ABT-USDT
2018-05-29,1527523200000,0.8591,0.9547,0.8285,0.9082,525048.423249,459418.741609,459418.741609,1,ABT-USDT
2018-05-30,1527609600000,0.9082,0.9685,0.888,0.9061,491094.642259,459058.711311,459058.711311,1,ABT-USDT
2018-05-31,1527696000000,0.9092,0.9655,0.8891,0.9216,479034.318305,443230.144306,443230.144306,1,ABT-USDT
2018-06-01,1527782400000,0.923,0.9449,0.9154,0.9216,423828.204315,394246.903601,394246.903601,1,ABT-USDT
