Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-03-04,1614787200000,2.641e-05,5e-05,2.641e-05,3.874e-05,99929.19224959,3.88843269,3.88843269,1,ALPHA-BTC
2021-03-05,1614873600000,3.874e-05,3.874e-05,3.364e-05,3.774e-05,66154.56835482,2.39283892,2.39283892,1,ALPHA-BTC
2021-03-06,1614960000000,3.754e-05,3.864e-05,3.459e-05,3.522e-05,36930.54480408,1.3771554,1.3771554,1,ALPHA-BTC
2021-03-07,1615046400000,3.482e-05,3.59e-05,3.26e-05,3.288e-05,20474.77296884,0.71462315,0.71462315,1,ALPHA-BTC
2021-03-08,1615132800000,3.256e-05,3.328e-05,3.075e-05,3.121e-05,18762.05515948,0.60831043,0.60831043,1,ALPHA-BTC
2021-03-09,1615219200000,3.11e-05,3.229e-05,3.032e-05,3.184e-05,45311.1085508,1.4148571,1.4148571,1,ALPHA-BTC
2021-03-10,1615305600000,3.218e-05,3.373e-05,2.966e-05,2.969e-05,39741.35456595,1.26178127,1.26178127,1,ALPHA-BTC
2021-03-11,1615392000000,2.979e-05,3.167e-05,2.845e-05,3.167e-05,33219.55439346,0.96936929,0.96936929,1,ALPHA-BTC
2021-03-12,1615478400000,2.886e-05,2.944e-05,2.74e-05,2.741e-05,1771.02602537,0.0498069,0.0498069,1,ALPHA-BTC
2021-03-13,1615564800000,2.741e-05,2.741e-05,5.7e-07,2.537e-05,21572.2147764,0.18852919,0.18852919,1,ALPHA-BTC
2021-03-14,1615651200000,2.537e-05,3.114e-05,2.303e-05,2.478e-05,8875.60630759,0.22459407,0.22459407,1,ALPHA-BTC
2021-03-15,1615737600000,2.518e-05,2.911e-05,2.507e-05,2.911e-05,40574.35255007,1.09240912,1.09240912,1,ALPHA-BTC
2021-03-16,1615824000000,2.937e-05,3.055e-05,2.856e-05,2.939e-05,22554.66111278,0.66097475,0.66097475,1,ALPHA-BTC
2021-03-17,1615910400000,2.969e-05,3.411e-05,2.848e-05,3.389e-05,31415.33568012,0.96364477,0.96364477,1,ALPHA-BTC
2021-03-18,1615996800000,3.381e-05,3.381e-05,2.978e-05,3.089e-05,13496.8992185,0.42129408,0.42129408,1,ALPHA-BTC
