Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-03-04,1614787200000,1.3650000000,2.4880000000,1.3650000000,1.9180000000,886540.4045800000,1713104.1941440001,1713104.1941440001,1,ALPHA-USDT
2021-03-05,1614873600000,1.9180000000,1.9300000000,1.5480000000,1.8000000000,537165.5825320000,925499.3458410000,925499.3458410000,1,ALPHA-USDT
2021-03-06,1614960000000,1.8000000000,1.9000000000,1.6210000000,1.6580000000,249172.0489470000,443223.0207840000,443223.0207840000,1,ALPHA-USDT
2021-03-07,1615046400000,1.6580000000,1.7470000000,1.6380000000,1.6550000000,189502.1482360000,320246.1570120000,320246.1570120000,1,ALPHA-USDT
2021-03-08,1615132800000,1.6550000000,1.7280000000,1.5140000000,1.5860000000,215742.5732000000,351191.6307710000,351191.6307710000,1,ALPHA-USDT
2021-03-09,1615219200000,1.5860000000,1.7530000000,1.5630000000,1.7270000000,335407.2985970000,562263.0551470000,562263.0551470000,1,ALPHA-USDT
2021-03-10,1615305600000,1.7420000000,1.8600000000,1.6520000000,1.6830000000,500357.8520500000,865347.7838269999,865347.7838269999,1,ALPHA-USDT
2021-03-11,1615392000000,1.6810000000,1.7100000000,1.5390000000,1.6400000000,1434028.2043260001,2399223.4314259999,2399223.4314259999,1,ALPHA-USDT
2021-03-12,1615478400000,1.6400000000,1.6900000000,1.5000000000,1.5710000000,178374.2004260000,285349.5701490000,285349.5701490000,1,ALPHA-USDT
2021-03-13,1615564800000,1.5730000000,1.5990000000,1.3710000000,1.5100000000,298275.7528270000,441176.9395150000,441176.9395150000,1,ALPHA-USDT
2021-03-14,1615651200000,1.5100000000,1.6100000000,1.4500000000,1.4800000000,280687.9624640000,424737.2519980000,424737.2519980000,1,ALPHA-USDT
2021-03-15,1615737600000,1.4770000000,1.6740000000,1.4700000000,1.6150000000,541397.6875830000,852181.3845580000,852181.3845580000,1,ALPHA-USDT
2021-03-16,1615824000000,1.6230000000,1.7500000000,1.5170000000,1.6410000000,293682.3565410000,480194.2337570000,480194.2337570000,1,ALPHA-USDT
2021-03-17,1615910400000,1.6480000000,1.8900000000,1.5630000000,1.8580000000,602676.8845740000,1058674.7463199999,1058674.7463199999,1,ALPHA-USDT
2021-03-18,1615996800000,1.8580000000,1.9010000000,1.7450000000,1.8140000000,249374.5015030000,452612.9426560000,452612.9426560000,1,ALPHA-USDT
2021-03-19,1616083200000,1.8170000000,1.8500000000,1.6510000000,1.7670000000,195785.7251090000,341798.5060090000,341798.5060090000,1,ALPHA-USDT
2021-03-20,1616169600000,1.7650000000,1.9720000000,1.7360000000,1.9230000000,286980.8662380000,531039.0234200000,531039.0234200000,1,ALPHA-USDT
2021-03-21,1616256000000,1.9240000000,1.9730000000,1.7210000000,1.7630000000,320891.3081800000,590507.8597360000,590507.8597360000,1,ALPHA-USDT
2021-03-22,1616342400000,1.7640000000,1.8820000000,1.6600000000,1.8480000000,366027.6418910000,654139.1804270000,654139.1804270000,1,ALPHA-USDT
2021-03-23,1616428800000,1.8500000000,2.1040000000,1.6730000000,2.0270000000,625568.9484450000,1163109.0762080001,1163109.0762080001,1,ALPHA-USDT
2021-03-24,1616515200000,2.0210000000,2.2940000000,1.9240000000,2.1040000000,807725.9134289999,1713534.5417539999,1713534.5417539999,1,ALPHA-USDT
2021-03-25,1616601600000,2.1100000000,2.1250000000,1.6660000000,1.6930000000,604083.0237650000,1092759.9089430000,1092759.9089430000,1,ALPHA-USDT
2021-03-26,1616688000000,1.6930000000,1.9680000000,1.6200000000,1.9000000000,321844.7453550000,566647.9132560000,566647.9132560000,1,ALPHA-USDT
2021-03-27,1616774400000,1.9100000000,1.9520000000,1.7970000000,1.8630000000,161597.3322770000,303525.7924400000,303525.7924400000,1,ALPHA-USDT
2021-03-28,1616860800000,1.8530000000,1.9740000000,1.7900000000,1.8400000000,163015.8447030000,305491.7558740000,305491.7558740000,1,ALPHA-USDT
2021-03-29,1616947200000,1.8440000000,1.8830000000,1.7400000000,1.8270000000,145222.3450390000,262527.1956960000,262527.1956960000,1,ALPHA-USDT
2021-03-30,1617033600000,1.8350000000,1.9250000000,1.8120000000,1.8250000000,117601.3184250000,219826.6134480000,219826.6134480000,1,ALPHA-USDT
2021-03-31,1617120000000,1.8280000000,1.8920000000,1.6900000000,1.8260000000,201007.3299610000,357846.3652990000,357846.3652990000,1,ALPHA-USDT
2021-04-01,1617206400000,1.8270000000,1.8330000000,1.7060000000,1.7570000000,107729.0741320000,189596.6985130000,189596.6985130000,1,ALPHA-USDT
2021-04-02,1617292800000,1.7580000000,1.8630000000,1.7200000000,1.8290000000,125777.4895390000,226730.3204030000,226730.3204030000,1,ALPHA-USDT
2021-04-03,1617379200000,1.8320000000,2.0430000000,1.7800000000,1.9080000000,181049.8100990000,346738.9131400000,346738.9131400000,1,ALPHA-USDT
2021-04-04,1617465600000,1.9030000000,1.9610000000,1.7630000000,1.8590000000,173200.7199670000,320790.9067100000,320790.9067100000,1,ALPHA-USDT
2021-04-05,1617552000000,1.8610000000,2.0910000000,1.8190000000,2.0850000000,112499.1343860000,218285.2783170000,218285.2783170000,1,ALPHA-USDT
2021-04-06,1617638400000,2.0890000000,2.1440000000,1.8860000000,1.9630000000,191886.0563800000,384150.9037590000,384150.9037590000,1,ALPHA-USDT
2021-04-07,1617724800000,1.9670000000,2.0100000000,1.6950000000,1.7560000000,164927.4818550000,306111.3206260000,306111.3206260000,1,ALPHA-USDT
2021-04-08,1617811200000,1.7540000000,1.8230000000,1.6800000000,1.7833000000,383554.6690790000,675263.2561000000,675263.2561000000,1,ALPHA-USDT
2021-04-09,1617897600000,1.7878000000,1.7930000000,1.6985000000,1.7230000000,277056.7495730000,483567.0983330000,483567.0983330000,1,ALPHA-USDT
2021-04-10,1617984000000,1.7247000000,1.7363000000,1.6327000000,1.6759000000,633753.6221520000,1070369.1980830000,1070369.1980830000,1,ALPHA-USDT
2021-04-11,1618070400000,1.6774000000,1.6876000000,1.5108000000,1.5821000000,465455.8557150000,740632.8391450000,740632.8391450000,1,ALPHA-USDT
2021-04-12,1618156800000,1.5815000000,1.5976000000,1.5071000000,1.5334000000,389796.1438130000,604912.8448840000,604912.8448840000,1,ALPHA-USDT
2021-04-13,1618243200000,1.5320000000,1.7200000000,1.5100000000,1.5466000000,573945.6404140000,909490.8572020000,909490.8572020000,1,ALPHA-USDT
2021-04-14,1618329600000,1.5490000000,1.5740000000,1.3739000000,1.4655000000,734417.2557690000,1099210.0836060001,1099210.0836060001,1,ALPHA-USDT
2021-04-15,1618416000000,1.4612000000,1.7456000000,1.4531000000,1.6952000000,785148.3098720000,1275654.3700929999,1275654.3700929999,1,ALPHA-USDT
2021-04-16,1618502400000,1.6973000000,1.7276000000,1.4978000000,1.5875000000,408283.4933250000,656308.9236000000,656308.9236000000,1,ALPHA-USDT
2021-04-17,1618588800000,1.5885000000,1.7602000000,1.5576000000,1.6541000000,399475.4142930000,667160.4323750000,667160.4323750000,1,ALPHA-USDT
2021-04-18,1618675200000,1.6560000000,1.7470000000,1.1013000000,1.4345000000,1575910.9987939999,2301829.0713640000,2301829.0713640000,1,ALPHA-USDT
2021-04-19,1618761600000,1.4371000000,1.5729000000,1.3164000000,1.3187000000,739960.7113490000,1079560.4658700000,1079560.4658700000,1,ALPHA-USDT
2021-04-20,1618848000000,1.3171000000,1.3900000000,1.1100000000,1.2873000000,889929.8194750000,1092984.1162080001,1092984.1162080001,1,ALPHA-USDT
2021-04-21,1618934400000,1.2933000000,1.5552000000,1.2649000000,1.5382000000,452608.7007500000,633544.0435470000,633544.0435470000,1,ALPHA-USDT
2021-04-22,1619020800000,1.5450000000,1.5940000000,1.4344000000,1.5739000000,330443.6247400000,501102.6541200000,501102.6541200000,1,ALPHA-USDT
2021-04-23,1619107200000,1.5739000000,1.6466000000,1.1832000000,1.3410000000,712264.2104890000,965400.7685200000,965400.7685200000,1,ALPHA-USDT
2021-04-24,1619193600000,1.3410000000,1.3770000000,1.2246000000,1.2802000000,262739.6413970000,345125.9524010000,345125.9524010000,1,ALPHA-USDT
2021-04-25,1619280000000,1.2749000000,1.2897000000,1.1769000000,1.2836000000,239656.4516750000,294481.1749690000,294481.1749690000,1,ALPHA-USDT
2021-04-26,1619366400000,1.2851000000,1.4016000000,1.1333000000,1.3505000000,285578.0871920000,359960.5428400000,359960.5428400000,1,ALPHA-USDT
2021-04-27,1619452800000,1.3519000000,1.4882000000,1.2750000000,1.4357000000,168708.2893770000,234636.6805760000,234636.6805760000,1,ALPHA-USDT
2021-04-28,1619539200000,1.4350000000,1.5163000000,1.3391000000,1.4149000000,193803.1741370000,272950.1349560000,272950.1349560000,1,ALPHA-USDT
2021-04-29,1619625600000,1.4151000000,1.6373000000,1.3977000000,1.6163000000,376264.1408270000,577633.9169130001,577633.9169130001,1,ALPHA-USDT
2021-04-30,1619712000000,1.6260000000,1.9325000000,1.5120000000,1.8999000000,859017.7406359999,1538912.2258979999,1538912.2258979999,1,ALPHA-USDT
2021-05-01,1619798400000,1.9027000000,2.2016000000,1.8390000000,2.0857000000,641220.2822420000,1299586.9147240000,1299586.9147240000,1,ALPHA-USDT
2021-05-02,1619884800000,2.0889000000,2.1397000000,1.9338000000,1.9974000000,292180.5150610000,586472.5849680000,586472.5849680000,1,ALPHA-USDT
2021-05-03,1619971200000,2.0002000000,2.2489000000,1.9400000000,2.1657000000,419560.2791730000,889004.3740550000,889004.3740550000,1,ALPHA-USDT
2021-05-04,1620057600000,2.1795000000,2.2521000000,1.8261000000,1.8620000000,488633.2321690000,1007006.2249360000,1007006.2249360000,1,ALPHA-USDT
2021-05-05,1620144000000,1.8645000000,2.0616000000,1.8290000000,1.9744000000,384657.7671500000,749481.5917640000,749481.5917640000,1,ALPHA-USDT
2021-05-06,1620230400000,1.9679000000,2.0460000000,1.9007000000,2.0073000000,166831.7293080000,329827.0118680000,329827.0118680000,1,ALPHA-USDT
2021-05-07,1620316800000,2.0169000000,2.0686000000,1.8500000000,2.0233000000,211361.6524740000,416547.5764410000,416547.5764410000,1,ALPHA-USDT
2021-05-08,1620403200000,2.0287000000,2.0502000000,1.8014000000,1.8521000000,341329.3426470000,648339.1219990000,648339.1219990000,1,ALPHA-USDT
2021-05-09,1620489600000,1.8545000000,1.9087000000,1.8014000000,1.8737000000,140901.5478920000,262255.6017230000,262255.6017230000,1,ALPHA-USDT
2021-05-10,1620576000000,1.8718000000,1.9226000000,1.7787000000,1.8335000000,185472.2782240000,344867.4420440000,344867.4420440000,1,ALPHA-USDT
2021-05-11,1620662400000,1.8300000000,1.8300000000,1.5046000000,1.7846000000,473974.5844310000,797019.7252620000,797019.7252620000,1,ALPHA-USDT
2021-05-12,1620748800000,1.7928000000,2.3835000000,1.7798000000,2.1844000000,760219.3395360000,1660206.0964770000,1660206.0964770000,1,ALPHA-USDT
