Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-12-09,1607443200000,1.385,2.223,1.385,2.095,2491482.002777,4673858.615605,4673858.615605,1,API3-USDT
2020-12-10,1607529600000,2.095,2.235,1.9,1.981,4188791.311422,8646190.278816,8646190.278816,1,API3-USDT
2020-12-11,1607616000000,1.979,2.005,1.724,1.889,3787476.287673,7005789.810846,7005789.810846,1,API3-USDT
2020-12-12,1607702400000,1.888,2.163,1.778,1.975,3688073.348961,7196746.684505,7196746.684505,1,API3-USDT
2020-12-13,1607788800000,1.975,2.197,1.911,2.134,3101182.298888,6310592.590167,6310592.590167,1,API3-USDT
2020-12-14,1607875200000,2.134,2.4,2.03,2.137,2217842.72319,4827934.349907,4827934.349907,1,API3-USDT
2020-12-15,1607961600000,2.137,2.2,1.871,1.993,2014697.490088,4131674.915897,4131674.915897,1,API3-USDT
2020-12-16,1608048000000,1.99,2.042,1.841,1.869,2355572.121742,4639304.339258,4639304.339258,1,API3-USDT
2020-12-17,1608134400000,1.867,2.124,1.836,2.056,3302606.03616,6566209.223522,6566209.223522,1,API3-USDT
2020-12-18,1608220800000,2.056,2.177,1.85,2.114,2644086.527596,5319593.500793,5319593.500793,1,API3-USDT
2020-12-19,1608307200000,2.115,3.153,2.05,2.852,3762691.019932,9542342.06413,9542342.06413,1,API3-USDT
2020-12-20,1608393600000,2.853,3.448,2.47,3.027,4063946.499779,11579013.962174,11579013.962174,1,API3-USDT
2020-12-21,1608480000000,3.025,3.295,2.234,2.548,5433960.9549,14736377.342954,14736377.342954,1,API3-USDT
2020-12-22,1608566400000,2.549,3.1,2.417,2.664,4648747.953551,12462834.325306,12462834.325306,1,API3-USDT
2020-12-23,1608652800000,2.66,2.751,2.049,2.355,3081712.48219,7535837.73709,7535837.73709,1,API3-USDT
2020-12-24,1608739200000,2.356,2.387,1.93,2.326,3100243.0998,6578466.60072,6578466.60072,1,API3-USDT
2020-12-25,1608825600000,2.328,2.424,2.045,2.073,2753978.686912,6142442.057527,6142442.057527,1,API3-USDT
2020-12-26,1608912000000,2.075,2.246,2.058,2.207,2049302.851212,4391829.463589,4391829.463589,1,API3-USDT
2020-12-27,1608998400000,2.206,2.42,2.1,2.22,2241355.549944,4916884.727676,4916884.727676,1,API3-USDT
2020-12-28,1609084800000,2.221,2.27,2.061,2.107,1963931.871932,4244346.055765,4244346.055765,1,API3-USDT
2020-12-29,1609171200000,2.112,2.213,1.79,1.879,2570161.842208,5211776.187684,5211776.187684,1,API3-USDT
2020-12-30,1609257600000,1.876,2.0,1.761,1.833,2733675.476526,5132343.489285,5132343.489285,1,API3-USDT
2020-12-31,1609344000000,1.836,1.94,1.555,1.772,3186213.808247,5610786.738104,5610786.738104,1,API3-USDT
2021-01-01,1609430400000,1.774,1.99,1.574,1.851,3562001.492066,6274465.199071,6274465.199071,1,API3-USDT
2021-01-02,1609516800000,1.851,1.889,1.7,1.762,2947912.400213,5297094.337149,5297094.337149,1,API3-USDT
2021-01-03,1609603200000,1.763,2.05,1.716,1.833,3036217.750765,5562670.115047,5562670.115047,1,API3-USDT
2021-01-04,1609689600000,1.833,2.3,1.81,2.206,4005392.569728,7944044.800295,7944044.800295,1,API3-USDT
2021-01-05,1609776000000,2.207,2.523,2.041,2.452,4135489.35951,9511447.076106,9511447.076106,1,API3-USDT
2021-01-06,1609862400000,2.454,2.914,2.333,2.519,2780015.980866,7237184.259017,7237184.259017,1,API3-USDT
2021-01-07,1609948800000,2.516,2.66,2.207,2.441,2800527.381577,6726499.692692,6726499.692692,1,API3-USDT
2021-01-08,1610035200000,2.442,2.65,2.231,2.374,2328251.795724,5563112.068815,5563112.068815,1,API3-USDT
2021-01-09,1610121600000,2.37,2.392,2.1,2.135,2384871.943423,5351791.167788,5351791.167788,1,API3-USDT
2021-01-10,1610208000000,2.136,2.544,2.112,2.277,2642266.146306,6191326.026449,6191326.026449,1,API3-USDT
