Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-11,1515600000000,1.6,1.9799,1.5334,1.7839,1877.362088,3146.176958,3146.176958,1,AST-USDT
2018-01-12,1515686400000,1.8,1.8109,1.27,1.5907,9388.93656,15387.978105,15387.978105,1,AST-USDT
2018-01-13,1515772800000,1.5716,1.9799,1.3808,1.7485,8310.261044,14327.227855,14327.227855,1,AST-USDT
2018-01-14,1515859200000,1.7996,1.7997,1.3,1.3,11337.502034,17100.988173,17100.988173,1,AST-USDT
2018-01-15,1515945600000,1.3583,1.8,1.1999,1.2314,17459.606205,22970.051672,22970.051672,1,AST-USDT
2018-01-16,1516032000000,1.2001,1.2806,0.7332,1.0246,36397.275863,33696.639908,33696.639908,1,AST-USDT
2018-01-17,1516118400000,1.0334,1.07,0.7199,0.7504,8720.069269,7890.707068,7890.707068,1,AST-USDT
2018-01-18,1516204800000,0.7648,1.1753,0.7648,1.0628,5892.711594,5633.595461,5633.595461,1,AST-USDT
2018-01-19,1516291200000,1.0482,1.2771,0.458,1.0176,4966.256554,4153.106434,4153.106434,1,AST-USDT
2018-01-20,1516377600000,1.049,1.5,1.0,1.3151,2668.287066,3193.873914,3193.873914,1,AST-USDT
2018-01-21,1516464000000,1.3151,1.3348,1.0,1.0654,3824.950227,4235.24652,4235.24652,1,AST-USDT
2018-01-22,1516550400000,1.0416,1.1497,0.9149,0.9249,3598.659243,3668.351431,3668.351431,1,AST-USDT
2018-01-23,1516636800000,0.931,1.1498,0.8748,0.91,2045.483358,1871.517383,1871.517383,1,AST-USDT
2018-01-24,1516723200000,0.91,1.1,0.75,0.9624,4597.728601,4311.798169,4311.798169,1,AST-USDT
2018-01-25,1516809600000,0.9585,0.991,0.9201,0.9713,9438.229731,8961.512728,8961.512728,1,AST-USDT
2018-01-26,1516896000000,0.971,1.1,0.8506,0.9899,12005.574577,11499.625392,11499.625392,1,AST-USDT
2018-01-27,1516982400000,0.9899,1.5,0.9113,1.2606,33383.814268,44414.557986,44414.557986,1,AST-USDT
2018-01-28,1517068800000,1.3101,1.3899,1.15,1.1937,3172.49541,3953.937123,3953.937123,1,AST-USDT
2018-01-29,1517155200000,1.2205,1.3056,0.8001,1.1628,3484.97649,3638.746163,3638.746163,1,AST-USDT
2018-01-30,1517241600000,1.1628,1.3899,0.8707,1.061,5730.808646,6742.753655,6742.753655,1,AST-USDT
2018-01-31,1517328000000,1.0801,1.35,0.7,1.0558,5710.974067,5087.88071,5087.88071,1,AST-USDT
2018-02-01,1517414400000,1.0536,1.2,0.8831,0.8831,4546.666434,4717.766488,4717.766488,1,AST-USDT
2018-02-02,1517500800000,0.9314,0.9407,0.6571,0.7319,10733.780994,8461.067019,8461.067019,1,AST-USDT
2018-02-03,1517587200000,0.8216,0.9664,0.7221,0.8488,5223.999062,4301.1745,4301.1745,1,AST-USDT
2018-02-04,1517673600000,0.8522,0.9499,0.6774,0.7802,7845.162536,6446.188321,6446.188321,1,AST-USDT
2018-02-05,1517760000000,0.7707,0.8528,0.5423,0.5521,1361.124198,894.430981,894.430981,1,AST-USDT
2018-02-06,1517846400000,0.5521,0.668,0.38,0.5409,8280.898057,3862.087982,3862.087982,1,AST-USDT
2018-02-07,1517932800000,0.5472,0.6614,0.4964,0.6472,4188.06224,2508.725105,2508.725105,1,AST-USDT
2018-02-08,1518019200000,0.6633,0.7002,0.5803,0.6459,2268.616074,1441.951974,1441.951974,1,AST-USDT
2018-02-09,1518105600000,0.6387,0.7,0.6031,0.6487,1184.972144,752.455269,752.455269,1,AST-USDT
2018-02-10,1518192000000,0.6584,0.7745,0.6126,0.6195,6899.169381,4807.599881,4807.599881,1,AST-USDT
2018-02-11,1518278400000,0.6242,0.6242,0.5001,0.5472,3785.837424,2084.400014,2084.400014,1,AST-USDT
2018-02-12,1518364800000,0.5454,0.6199,0.512,0.5766,6605.31792,3689.766441,3689.766441,1,AST-USDT
2018-02-13,1518451200000,0.5777,0.6846,0.5,0.5681,4424.878262,2555.658385,2555.658385,1,AST-USDT
2018-02-14,1518537600000,0.5641,0.66,0.5001,0.5847,2496.033545,1467.083609,1467.083609,1,AST-USDT
2018-02-15,1518624000000,0.5819,0.66,0.5,0.5958,4728.451374,2803.7514,2803.7514,1,AST-USDT
2018-02-16,1518710400000,0.5971,0.6361,0.5725,0.5909,3299.382792,1990.654032,1990.654032,1,AST-USDT
2018-02-17,1518796800000,0.5924,0.6383,0.5859,0.6383,1612.12523,980.923409,980.923409,1,AST-USDT
2018-02-18,1518883200000,0.6462,0.7199,0.5909,0.6572,5398.115859,3422.718344,3422.718344,1,AST-USDT
2018-02-19,1518969600000,0.6454,0.652,0.5907,0.652,1472.254033,951.503445,951.503445,1,AST-USDT
2018-02-20,1519056000000,0.6384,0.6667,0.6018,0.6018,3101.038887,1980.238102,1980.238102,1,AST-USDT
2018-02-21,1519142400000,0.6065,0.6065,0.5292,0.5292,8169.188474,4439.490224,4439.490224,1,AST-USDT
2018-02-22,1519228800000,0.5292,0.5669,0.419,0.4611,3266.16359,1683.938557,1683.938557,1,AST-USDT
2018-02-23,1519315200000,0.4716,0.5082,0.4319,0.5082,1674.10746,758.113322,758.113322,1,AST-USDT
