Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-11,1515600000000,11.7300000000,14.5999000000,11.6811000000,13.4292000000,26809.0134520000,343084.0473570000,343084.0473570000,1,BCD-USDT
2018-01-12,1515686400000,13.4291000000,13.6595000000,11.2800000000,12.0099000000,34002.3057480000,428370.3995360000,428370.3995360000,1,BCD-USDT
2018-01-13,1515772800000,12.0079000000,46.9900000000,0.8000000000,30.0000000000,401034.0277650000,10552601.5424440000,10552601.5424440000,1,BCD-USDT
2018-01-14,1515859200000,29.9999000000,37.3586000000,19.5000000000,20.7899000000,419992.6652140000,12248914.6918870006,12248914.6918870006,1,BCD-USDT
2018-01-15,1515945600000,20.5000000000,23.0000000000,19.1999000000,20.1795000000,297351.7887040000,6224080.7312979996,6224080.7312979996,1,BCD-USDT
2018-01-16,1516032000000,20.1798000000,21.0000000000,12.0000000000,14.0855000000,115000.9915270000,1755617.1032819999,1755617.1032819999,1,BCD-USDT
2018-01-17,1516118400000,14.0999000000,16.3298000000,10.4809000000,11.3999000000,133504.3922320000,1733136.0964840001,1733136.0964840001,1,BCD-USDT
2018-01-18,1516204800000,11.4499000000,16.0000000000,11.3764000000,14.6999000000,103073.3668780000,1476968.0197109999,1476968.0197109999,1,BCD-USDT
2018-01-19,1516291200000,14.6600000000,14.6999000000,12.5099000000,13.8710000000,58806.0646670000,819594.0377670000,819594.0377670000,1,BCD-USDT
2018-01-20,1516377600000,13.8500000000,16.8000000000,13.0000000000,15.3706000000,78670.5213880000,1190947.2882190000,1190947.2882190000,1,BCD-USDT
2018-01-21,1516464000000,15.3500000000,16.3000000000,13.4496000000,13.7199000000,48574.8846880000,710432.0315610000,710432.0315610000,1,BCD-USDT
2018-01-22,1516550400000,13.6998000000,15.1400000000,12.0000000000,12.4000000000,47830.7967030000,650319.8650520000,650319.8650520000,1,BCD-USDT
2018-01-23,1516636800000,12.4495000000,13.0000000000,11.0899000000,12.3900000000,42062.0705770000,504257.6287000000,504257.6287000000,1,BCD-USDT
2018-01-24,1516723200000,12.4399000000,13.1201000000,11.6738000000,12.4102000000,39500.7521690000,491636.4347230000,491636.4347230000,1,BCD-USDT
2018-01-25,1516809600000,12.4001000000,13.6309000000,12.0099000000,12.1400000000,56843.9665060000,715664.8009690000,715664.8009690000,1,BCD-USDT
2018-01-26,1516896000000,12.1400000000,12.9179000000,11.2500000000,12.3580000000,46529.2137260000,558366.7632910000,558366.7632910000,1,BCD-USDT
