Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2023-02-15,1676390400000,0.1,8.3641,0.1,0.8937,271558845.4801,229280003.2396,229280003.2396,1,BLUR-USDT
2023-02-16,1676476800000,0.8922,1.208,0.8388,1.0654,194506531.342,202322693.2813,202322693.2813,1,BLUR-USDT
2023-02-17,1676563200000,1.065,1.092,0.83,0.9458,108018105.8848,101511753.2496,101511753.2496,1,BLUR-USDT
2023-02-18,1676649600000,0.9455,1.2713,0.9059,1.2093,125177116.2337,137642498.997,137642498.997,1,BLUR-USDT
2023-02-19,1676736000000,1.2095,1.4,1.1326,1.2354,91388518.1161,118111026.547,118111026.547,1,BLUR-USDT
2023-02-20,1676822400000,1.2361,1.3555,1.15,1.2058,84444870.1275,105818918.3755,105818918.3755,1,BLUR-USDT
2023-02-21,1676908800000,1.2058,1.303,1.01,1.0727,81025380.9704,94351904.7971,94351904.7971,1,BLUR-USDT
2023-02-22,1676995200000,1.0728,1.118,0.891,0.9468,109856804.5574,108584687.1533,108584687.1533,1,BLUR-USDT
2023-02-23,1677081600000,0.9463,1.0833,0.9399,0.9742,48120934.1609,48630435.203,48630435.203,1,BLUR-USDT
2023-02-24,1677168000000,0.9742,0.9925,0.8519,0.8714,55495664.5477,51460723.4947,51460723.4947,1,BLUR-USDT
2023-02-25,1677254400000,0.8719,0.9128,0.75,0.8189,93976922.0262,77885871.1456,77885871.1456,1,BLUR-USDT
2023-02-26,1677340800000,0.818,0.8893,0.767,0.8385,52491571.5721,44232303.6226,44232303.6226,1,BLUR-USDT
2023-02-27,1677427200000,0.8386,0.89,0.828,0.8622,46912502.3235,40323911.2788,40323911.2788,1,BLUR-USDT
2023-02-28,1677513600000,0.8625,0.8708,0.7806,0.8068,38074297.9442,31250213.5211,31250213.5211,1,BLUR-USDT
2023-03-01,1677600000000,0.8068,0.9119,0.7513,0.898,49836070.7338,40434654.7142,40434654.7142,1,BLUR-USDT
2023-03-02,1677686400000,0.8977,0.9084,0.77,0.8038,59998102.3992,49703120.6065,49703120.6065,1,BLUR-USDT
2023-03-03,1677772800000,0.8037,0.8196,0.666,0.726,55940227.2974,41300785.48306246,41300785.48306246,1,BLUR-USDT
2023-03-04,1677859200000,0.7264,0.7423,0.689,0.6967,26583175.4941,19046292.25434241,19046292.25434241,1,BLUR-USDT
2023-03-05,1677945600000,0.6967,0.7299,0.6713,0.7141,32028045.4027,22566585.17820675,22566585.17820675,1,BLUR-USDT
2023-03-06,1678032000000,0.7144,0.7219,0.6783,0.7035,24939032.1767,17436239.73061772,17436239.73061772,1,BLUR-USDT
2023-03-07,1678118400000,0.704,0.7054,0.613,0.6479,38402544.1523,25552116.81773647,25552116.81773647,1,BLUR-USDT
2023-03-08,1678204800000,0.6481,0.6787,0.586,0.622,44387881.7767,28289075.47122117,28289075.47122117,1,BLUR-USDT
2023-03-09,1678291200000,0.622,0.6324,0.55,0.5824,59365797.0455,34431718.03318248,34431718.03318248,1,BLUR-USDT
2023-03-10,1678377600000,0.5824,0.6034,0.4436,0.5127,138251719.6036,70670622.57061112,70670622.57061112,1,BLUR-USDT
2023-03-11,1678464000000,0.5128,0.5531,0.4414,0.4615,109183244.3711,54047228.85634337,54047228.85634337,1,BLUR-USDT
2023-03-12,1678550400000,0.4613,0.4887,0.44,0.4511,51204647.5147,24040357.40179773,24040357.40179773,1,BLUR-USDT
2023-03-13,1678636800000,0.4509,0.6297,0.4484,0.5851,122493163.8019,65196010.10037877,65196010.10037877,1,BLUR-USDT
2023-03-14,1678723200000,0.5854,0.747,0.5854,0.726,156677270.1602,104077357.5582637,104077357.5582637,1,BLUR-USDT
2023-03-15,1678809600000,0.7265,0.7435,0.56,0.5784,103234758.0023,67184210.3653154,67184210.3653154,1,BLUR-USDT
2023-03-16,1678896000000,0.5782,0.622,0.5088,0.5826,118865407.4218,68173647.10695827,68173647.10695827,1,BLUR-USDT
2023-03-17,1678982400000,0.5829,0.6494,0.5696,0.602,77940793.6948,47441403.72187152,47441403.72187152,1,BLUR-USDT
2023-03-18,1679068800000,0.6023,0.6749,0.5929,0.6052,69028343.9931,43692080.42207636,43692080.42207636,1,BLUR-USDT
2023-03-19,1679155200000,0.6051,0.611,0.5588,0.5846,49543240.0875,29116910.06964584,29116910.06964584,1,BLUR-USDT
