Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-11,1515600000000,0.0006600000,0.0006616000,0.0005828000,0.0006504000,486.8836000000,0.3143000000,0.3143000000,1,BNT-BTC
2018-01-12,1515686400000,0.0006627000,0.0007015000,0.0005685000,0.0006451000,4844.6401000000,3.0527000000,3.0527000000,1,BNT-BTC
2018-01-13,1515772800000,0.0006562000,0.0007540000,0.0006223000,0.0006954000,2524.4549000000,1.7248000000,1.7248000000,1,BNT-BTC
2018-01-14,1515859200000,0.0007007000,0.0007507000,0.0006223000,0.0006782000,3304.2407000000,2.3000000000,2.3000000000,1,BNT-BTC
2018-01-15,1515945600000,0.0006818000,0.0007159000,0.0004900000,0.0006250000,5215.7776000000,3.2436000000,3.2436000000,1,BNT-BTC
2018-01-16,1516032000000,0.0006298000,0.0006855000,0.0004900000,0.0005971000,1859.5949000000,1.0816000000,1.0816000000,1,BNT-BTC
2018-01-17,1516118400000,0.0006175000,0.0006175000,0.0004441000,0.0005280000,3747.6914000000,2.1353000000,2.1353000000,1,BNT-BTC
2018-01-18,1516204800000,0.0005400000,0.0006000000,0.0004441000,0.0005800000,3310.9239000000,1.9058000000,1.9058000000,1,BNT-BTC
2018-01-19,1516291200000,0.0005999000,0.0006056000,0.0005760000,0.0006056000,658.2333000000,0.3924000000,0.3924000000,1,BNT-BTC
2018-01-20,1516377600000,0.0006056000,0.0006301000,0.0005853000,0.0005853000,506.4018000000,0.3008000000,0.3008000000,1,BNT-BTC
2018-01-21,1516464000000,0.0005853000,0.0008307000,0.0005708000,0.0006214000,2800.4726000000,1.8177000000,1.8177000000,1,BNT-BTC
2018-01-22,1516550400000,0.0006190000,0.0006801000,0.0005837000,0.0006062000,3054.0063000000,1.8711000000,1.8711000000,1,BNT-BTC
2018-01-23,1516636800000,0.0006011000,0.0006284000,0.0005710000,0.0006098000,375.5717000000,0.2275000000,0.2275000000,1,BNT-BTC
2018-01-24,1516723200000,0.0006046000,0.0006362000,0.0005710000,0.0006201000,880.0755000000,0.5335000000,0.5335000000,1,BNT-BTC
2018-01-25,1516809600000,0.0006201000,0.0006733000,0.0006124000,0.0006467000,4254.1480000000,2.6871000000,2.6871000000,1,BNT-BTC
2018-01-26,1516896000000,0.0006467000,0.0006922000,0.0006206000,0.0006330000,845.6024000000,0.5396000000,0.5396000000,1,BNT-BTC
