Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-11-25,1637769600000,0.1,0.139,0.1,0.12612,13239868.862804,1734477.038191,1734477.038191,1,BORING-USDT
2021-11-26,1637856000000,0.12647,0.135,0.101,0.10943,10161275.146714,1181267.378045,1181267.378045,1,BORING-USDT
2021-11-27,1637942400000,0.1094,0.11077,0.08301,0.09275,9741131.48024,897935.47216,897935.47216,1,BORING-USDT
2021-11-28,1638028800000,0.09275,0.097,0.08,0.08538,7955267.147684,690949.184696,690949.184696,1,BORING-USDT
2021-11-29,1638115200000,0.08538,0.098,0.078,0.08487,10022996.039814,856595.071006,856595.071006,1,BORING-USDT
2021-11-30,1638201600000,0.08487,0.08668,0.081,0.08312,9559818.629066,795582.880336,795582.880336,1,BORING-USDT
2021-12-01,1638288000000,0.08313,0.096,0.08175,0.0891,14834589.378157,1277801.336291,1277801.336291,1,BORING-USDT
2021-12-02,1638374400000,0.08913,0.09435,0.07227,0.07398,10478348.396265,819622.107105,819622.107105,1,BORING-USDT
2021-12-03,1638460800000,0.07339,0.0818,0.06397,0.07649,13705212.740074,990956.090273,990956.090273,1,BORING-USDT
2021-12-04,1638547200000,0.07705,0.07705,0.04399,0.06292,9042772.427416,545362.363152,545362.363152,1,BORING-USDT
2021-12-05,1638633600000,0.06251,0.06251,0.05041,0.05164,5323455.018878,308454.323508,308454.323508,1,BORING-USDT
2021-12-06,1638720000000,0.05161,0.06,0.04624,0.05442,9720079.648745,503643.855855,503643.855855,1,BORING-USDT
2021-12-07,1638806400000,0.05442,0.05755,0.05188,0.05592,8950490.848144,492297.899558,492297.899558,1,BORING-USDT
2021-12-08,1638892800000,0.05596,0.06888,0.05501,0.05811,15077075.98045,914858.287926,914858.287926,1,BORING-USDT
2021-12-09,1638979200000,0.05822,0.05928,0.052,0.05633,6094177.74234,333795.203804,333795.203804,1,BORING-USDT
2021-12-10,1639065600000,0.05632,0.058,0.04785,0.04808,5603849.56975,288181.704613,288181.704613,1,BORING-USDT
2021-12-11,1639152000000,0.04808,0.06086,0.04365,0.05197,18468881.277466,998980.561134,998980.561134,1,BORING-USDT
2021-12-12,1639238400000,0.05198,0.0588,0.04799,0.04954,10862110.232369,577643.494259,577643.494259,1,BORING-USDT
2021-12-13,1639324800000,0.04953,0.05069,0.0444,0.04832,6205294.088757,292789.283207,292789.283207,1,BORING-USDT
2021-12-14,1639411200000,0.04834,0.04894,0.04403,0.046,5281886.927508,242955.969971,242955.969971,1,BORING-USDT
2021-12-15,1639497600000,0.04574,0.04677,0.042,0.0422,5746729.320994,252951.082728,252951.082728,1,BORING-USDT
2021-12-16,1639584000000,0.0422,0.0468,0.04155,0.04485,4911200.84027,218389.910925,218389.910925,1,BORING-USDT
2021-12-17,1639670400000,0.04489,0.04532,0.04158,0.04173,2898115.727044,124059.867497,124059.867497,1,BORING-USDT
