Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-07-19,1658160000000,21000.0000000000,30393.8000000000,21000.0000000000,22356.9000000000,3.0931167000,67067.0601319600,67067.0601319600,1,BTC-EURT
2022-07-20,1658246400000,22767.7000000000,23999.8000000000,22521.2000000000,23754.2000000000,0.8989380900,20662.1017487800,20662.1017487800,1,BTC-EURT
2022-07-21,1658332800000,23722.5000000000,23736.8000000000,22105.7000000000,22178.7000000000,0.5777100100,13232.2989528700,13232.2989528700,1,BTC-EURT
2022-07-22,1658419200000,22602.7000000000,23277.8000000000,22464.9000000000,22810.9000000000,0.4937672000,11350.9023395400,11350.9023395400,1,BTC-EURT
2022-07-23,1658505600000,22586.2000000000,22586.2000000000,21687.9000000000,21687.9000000000,0.0667834200,1485.2380317400,1485.2380317400,1,BTC-EURT
2022-07-24,1658592000000,21849.7000000000,22338.2000000000,21606.9000000000,22076.3000000000,0.0031251300,68.7005124600,68.7005124600,1,BTC-EURT
2022-07-25,1658678400000,22261.1000000000,22328.4000000000,21316.3000000000,21364.9000000000,0.0111705900,241.5613693200,241.5613693200,1,BTC-EURT
2022-07-26,1658764800000,21509.7000000000,21674.2000000000,20565.7000000000,20619.6000000000,0.4917721400,10399.3972004800,10399.3972004800,1,BTC-EURT
2022-07-27,1658851200000,20719.1000000000,21209.4000000000,20605.9000000000,21201.1000000000,0.0064283900,135.0068340300,135.0068340300,1,BTC-EURT
2022-07-28,1658937600000,21363.4000000000,23151.6000000000,21350.2000000000,22852.1000000000,0.0053577700,120.3227347300,120.3227347300,1,BTC-EURT
2022-07-29,1659024000000,23869.5000000000,23932.7000000000,23170.7000000000,23445.7000000000,0.4994795400,11733.5820294400,11733.5820294400,1,BTC-EURT
2022-07-30,1659110400000,23272.2000000000,24131.5000000000,23219.1000000000,24131.5000000000,0.0490844100,1145.4268790400,1145.4268790400,1,BTC-EURT
2022-07-31,1659196800000,24069.2000000000,24069.2000000000,23040.3000000000,23204.5000000000,0.0245218700,571.0978153600,571.0978153600,1,BTC-EURT
2022-08-01,1659283200000,23291.0000000000,23404.5000000000,22448.7000000000,22717.7000000000,0.1041955400,2382.5320584400,2382.5320584400,1,BTC-EURT
2022-08-02,1659369600000,22756.1000000000,22832.8000000000,22187.6000000000,22562.1000000000,0.0146115100,328.6309874400,328.6309874400,1,BTC-EURT
2022-08-03,1659456000000,22605.7000000000,23078.8000000000,22400.6000000000,23055.3000000000,0.0086498800,196.4476061300,196.4476061300,1,BTC-EURT
2022-08-04,1659542400000,23057.5000000000,23199.3000000000,22349.5000000000,22462.5000000000,0.0603884300,1357.5910153200,1357.5910153200,1,BTC-EURT
2022-08-05,1659628800000,22480.3000000000,23114.6000000000,21933.5000000000,22678.0000000000,0.0260303500,589.1534329900,589.1534329900,1,BTC-EURT
2022-08-06,1659715200000,22647.5000000000,22926.0000000000,22433.6000000000,22802.5000000000,0.0142808100,325.3986876100,325.3986876100,1,BTC-EURT
2022-08-07,1659801600000,22816.8000000000,22816.8000000000,22498.7000000000,22679.1000000000,0.0083911800,190.1215451900,190.1215451900,1,BTC-EURT
2022-08-08,1659888000000,22645.0000000000,23777.9000000000,22634.4000000000,23560.0000000000,0.0590674800,1386.5606665800,1386.5606665800,1,BTC-EURT
2022-08-09,1659974400000,23440.2000000000,23549.7000000000,22427.5000000000,22611.8000000000,0.2580067800,6037.1925630600,6037.1925630600,1,BTC-EURT
2022-08-10,1660060800000,22599.8000000000,23369.6000000000,22302.7000000000,23253.1000000000,0.4171077000,9468.4760782200,9468.4760782200,1,BTC-EURT
