Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-04-13,1618243200000,5.0,7.97,5.0,7.287,302976.335661,2225071.106616,2225071.106616,1,CEL-USDT
2021-04-14,1618329600000,7.282,7.425,6.7,7.093,242430.806856,1744341.958385,1744341.958385,1,CEL-USDT
2021-04-15,1618416000000,7.095,7.19,6.7,6.844,259070.364093,1805564.10922,1805564.10922,1,CEL-USDT
2021-04-16,1618502400000,6.845,7.099,6.518,6.875,307577.71234,2093748.524679,2093748.524679,1,CEL-USDT
2021-04-17,1618588800000,6.875,6.984,6.485,6.639,283792.995712,1896096.626361,1896096.626361,1,CEL-USDT
2021-04-18,1618675200000,6.638,6.692,5.752,6.26,343459.574353,2182117.021331,2182117.021331,1,CEL-USDT
2021-04-19,1618761600000,6.26,6.468,6.034,6.04,169127.234416,1061099.983393,1061099.983393,1,CEL-USDT
2021-04-20,1618848000000,6.041,6.298,5.805,5.97,260180.644642,1588269.069729,1588269.069729,1,CEL-USDT
2021-04-21,1618934400000,5.968,6.203,5.935,6.164,188147.78088,1150114.989332,1150114.989332,1,CEL-USDT
2021-04-22,1619020800000,6.164,6.359,6.101,6.279,203452.418995,1268629.194971,1268629.194971,1,CEL-USDT
2021-04-23,1619107200000,6.278,6.351,5.433,5.89,382966.31911,2224708.483444,2224708.483444,1,CEL-USDT
2021-04-24,1619193600000,5.892,6.844,5.786,6.255,280018.576399,1792488.818266,1792488.818266,1,CEL-USDT
2021-04-25,1619280000000,6.255,6.432,6.001,6.088,204087.545586,1254357.497597,1254357.497597,1,CEL-USDT
2021-04-26,1619366400000,6.087,6.305,5.501,6.217,233190.669145,1394705.769819,1394705.769819,1,CEL-USDT
2021-04-27,1619452800000,6.217,6.327,6.002,6.212,233174.10813,1438866.315826,1438866.315826,1,CEL-USDT
2021-04-28,1619539200000,6.212,6.31,5.971,5.976,155404.610545,959178.293221,959178.293221,1,CEL-USDT
2021-04-29,1619625600000,5.977,6.067,5.787,5.796,177712.20808,1054618.1545,1054618.1545,1,CEL-USDT
2021-04-30,1619712000000,5.797,5.822,5.643,5.711,166315.411429,953905.72299,953905.72299,1,CEL-USDT
2021-05-01,1619798400000,5.71,6.299,5.706,6.259,178586.658648,1086284.906742,1086284.906742,1,CEL-USDT
2021-05-02,1619884800000,6.26,6.367,5.984,6.221,174036.157175,1079925.077048,1079925.077048,1,CEL-USDT
2021-05-03,1619971200000,6.222,6.595,6.073,6.295,194963.186092,1237666.770873,1237666.770873,1,CEL-USDT
2021-05-04,1620057600000,6.295,6.458,6.014,6.016,211229.681042,1326100.201024,1326100.201024,1,CEL-USDT
2021-05-05,1620144000000,6.016,6.213,5.678,6.059,275698.345633,1642312.196472,1642312.196472,1,CEL-USDT
2021-05-06,1620230400000,6.058,6.6,5.961,6.448,284287.02111,1796056.849507,1796056.849507,1,CEL-USDT
2021-05-07,1620316800000,6.45,6.509,6.169,6.469,214485.717528,1365369.758086,1365369.758086,1,CEL-USDT
2021-05-08,1620403200000,6.47,6.839,6.467,6.751,173127.706304,1159330.786459,1159330.786459,1,CEL-USDT
2021-05-09,1620489600000,6.753,7.239,6.751,7.085,191139.773661,1348810.932446,1348810.932446,1,CEL-USDT
2021-05-10,1620576000000,7.086,7.493,7.083,7.285,208393.626151,1517636.602136,1517636.602136,1,CEL-USDT
2021-05-11,1620662400000,7.282,7.415,6.82,7.061,270793.189672,1911868.033395,1911868.033395,1,CEL-USDT
2021-05-12,1620748800000,7.061,7.358,6.93,6.968,169588.838213,1212463.0351,1212463.0351,1,CEL-USDT
2021-05-13,1620835200000,6.966,7.32,6.7,6.934,387271.599796,2744696.911025,2744696.911025,1,CEL-USDT
2021-05-14,1620921600000,6.934,7.399,6.723,7.391,215098.660971,1507040.085817,1507040.085817,1,CEL-USDT
2021-05-15,1621008000000,7.393,7.462,6.964,7.263,244968.113044,1767627.004975,1767627.004975,1,CEL-USDT
2021-05-16,1621094400000,7.262,7.263,6.861,6.862,189905.871651,1332359.52882,1332359.52882,1,CEL-USDT
2021-05-17,1621180800000,6.862,7.121,6.317,6.621,459811.93673,3087818.787186,3087818.787186,1,CEL-USDT
2021-05-18,1621267200000,6.621,7.239,6.401,6.733,374274.474314,2580650.296692,2580650.296692,1,CEL-USDT
2021-05-19,1621353600000,6.732,7.107,5.454,6.809,875005.898208,5667396.273247,5667396.273247,1,CEL-USDT
2021-05-20,1621440000000,6.798,6.954,5.5,6.69,738572.554627,4663301.96033,4663301.96033,1,CEL-USDT
2021-05-21,1621526400000,6.691,7.2,6.298,6.303,530204.264219,3536214.994165,3536214.994165,1,CEL-USDT
2021-05-22,1621612800000,6.304,6.87,5.751,6.708,923400.000553,5841871.207212,5841871.207212,1,CEL-USDT
2021-05-23,1621699200000,6.709,6.744,5.8,5.854,484388.430572,3086698.614646,3086698.614646,1,CEL-USDT
2021-05-24,1621785600000,5.853,6.804,5.733,6.697,652094.380448,4136087.175347,4136087.175347,1,CEL-USDT
2021-05-25,1621872000000,6.697,7.0,6.473,6.834,561449.916736,3777626.736897,3777626.736897,1,CEL-USDT
2021-05-26,1621958400000,6.832,7.192,6.5,6.857,457513.703036,3138969.451137,3138969.451137,1,CEL-USDT
2021-05-27,1622044800000,6.855,7.036,6.592,6.829,375420.428425,2558877.59478,2558877.59478,1,CEL-USDT
2021-05-28,1622131200000,6.829,6.946,6.501,6.798,340472.335345,2296691.01349,2296691.01349,1,CEL-USDT
2021-05-29,1622217600000,6.8,7.125,6.644,6.964,402573.967808,2793048.157789,2793048.157789,1,CEL-USDT
2021-05-30,1622304000000,6.965,7.444,6.745,7.137,419099.563942,2925265.675978,2925265.675978,1,CEL-USDT
2021-05-31,1622390400000,7.136,7.555,6.905,7.285,425574.674577,3032017.51098,3032017.51098,1,CEL-USDT
2021-06-01,1622476800000,7.283,7.362,7.035,7.065,505298.263389,3626203.93102,3626203.93102,1,CEL-USDT
2021-06-02,1622563200000,7.064,7.374,7.013,7.367,230431.711078,1648834.669282,1648834.669282,1,CEL-USDT
2021-06-03,1622649600000,7.368,7.919,7.307,7.782,225821.696508,1732964.2332,1732964.2332,1,CEL-USDT
2021-06-04,1622736000000,7.781,7.995,7.426,7.867,250097.070687,1943332.686577,1943332.686577,1,CEL-USDT
2021-06-05,1622822400000,7.866,7.951,7.47,7.637,287546.660784,2220515.890375,2220515.890375,1,CEL-USDT
2021-06-06,1622908800000,7.628,7.847,7.495,7.706,211406.721561,1624116.857553,1624116.857553,1,CEL-USDT
2021-06-07,1622995200000,7.708,7.766,7.438,7.556,196513.617625,1505223.22326,1505223.22326,1,CEL-USDT
2021-06-08,1623081600000,7.56,7.666,6.803,6.903,335381.735909,2475896.778469,2475896.778469,1,CEL-USDT
2021-06-09,1623168000000,6.902,7.115,6.812,7.003,262254.68435,1831377.934157,1831377.934157,1,CEL-USDT
2021-06-10,1623254400000,7.002,7.475,6.948,7.111,253287.960096,1826156.082932,1826156.082932,1,CEL-USDT
2021-06-11,1623340800000,7.111,7.318,6.994,7.033,225899.796512,1607524.257552,1607524.257552,1,CEL-USDT
2021-06-12,1623427200000,7.031,7.24,6.706,6.895,235645.949601,1644692.310205,1644692.310205,1,CEL-USDT
2021-06-13,1623513600000,6.893,7.082,6.74,6.781,263874.484135,1821153.652917,1821153.652917,1,CEL-USDT
2021-06-14,1623600000000,6.783,7.138,6.716,6.955,392390.572566,2724106.535248,2724106.535248,1,CEL-USDT
2021-06-15,1623686400000,6.955,6.985,6.803,6.865,162768.236546,1122825.057032,1122825.057032,1,CEL-USDT
2021-06-16,1623772800000,6.866,6.972,6.634,6.651,153251.339362,1040636.070494,1040636.070494,1,CEL-USDT
2021-06-17,1623859200000,6.651,6.884,6.602,6.677,167492.906856,1123199.296254,1123199.296254,1,CEL-USDT
2021-06-18,1623945600000,6.677,6.876,6.538,6.729,276765.558113,1855645.685238,1855645.685238,1,CEL-USDT
2021-06-19,1624032000000,6.728,6.77,6.106,6.436,398366.203132,2561309.226634,2561309.226634,1,CEL-USDT
2021-06-20,1624118400000,6.436,6.44,5.965,6.213,245731.138268,1514612.806826,1514612.806826,1,CEL-USDT
2021-06-21,1624204800000,6.214,6.393,5.538,5.647,422168.518906,2515050.662044,2515050.662044,1,CEL-USDT
2021-06-22,1624291200000,5.648,5.854,5.0,5.261,819340.343661,4424286.001559,4424286.001559,1,CEL-USDT
2021-06-23,1624377600000,5.256,5.839,5.154,5.748,440628.541785,2431412.171154,2431412.171154,1,CEL-USDT
2021-06-24,1624464000000,5.751,5.835,5.535,5.733,257867.119987,1464287.575023,1464287.575023,1,CEL-USDT
2021-06-25,1624550400000,5.733,6.215,5.345,5.455,397456.659009,2261597.655869,2261597.655869,1,CEL-USDT
2021-06-26,1624636800000,5.456,5.734,4.985,5.166,503010.735719,2710887.60548,2710887.60548,1,CEL-USDT
2021-06-27,1624723200000,5.167,5.303,4.75,5.047,559291.523673,2792684.299353,2792684.299353,1,CEL-USDT
2021-06-28,1624809600000,5.048,5.793,5.006,5.75,396333.713257,2134509.325295,2134509.325295,1,CEL-USDT
2021-06-29,1624896000000,5.747,6.296,5.715,6.239,275319.064004,1673090.267562,1673090.267562,1,CEL-USDT
2021-06-30,1624982400000,6.24,6.346,5.98,6.041,214569.622925,1318237.854105,1318237.854105,1,CEL-USDT
2021-07-01,1625068800000,6.038,6.369,5.802,5.891,273992.491743,1653739.277286,1653739.277286,1,CEL-USDT
2021-07-02,1625155200000,5.89,6.37,5.791,6.246,336655.884394,2019456.399,2019456.399,1,CEL-USDT
2021-07-03,1625241600000,6.247,6.833,5.906,6.765,312981.020014,1973960.952363,1973960.952363,1,CEL-USDT
2021-07-04,1625328000000,6.765,7.07,6.68,6.938,175205.681507,1201797.046025,1201797.046025,1,CEL-USDT
2021-07-05,1625414400000,6.936,7.081,6.593,6.758,208204.791581,1426734.614939,1426734.614939,1,CEL-USDT
2021-07-06,1625500800000,6.758,6.996,6.659,6.855,154978.085328,1061429.996865,1061429.996865,1,CEL-USDT
2021-07-07,1625587200000,6.855,6.996,6.801,6.848,134922.910804,931572.635314,931572.635314,1,CEL-USDT
2021-07-08,1625673600000,6.848,6.897,6.41,6.498,227234.144474,1507046.179255,1507046.179255,1,CEL-USDT
2021-07-09,1625760000000,6.5,6.608,6.2,6.539,259915.202296,1663456.199662,1663456.199662,1,CEL-USDT
2021-07-10,1625846400000,6.538,6.539,6.145,6.236,214436.316749,1364794.53889,1364794.53889,1,CEL-USDT
2021-07-11,1625932800000,6.237,6.29,6.02,6.163,185080.155611,1138645.228326,1138645.228326,1,CEL-USDT
2021-07-12,1626019200000,6.163,6.247,6.01,6.018,146110.16872,898887.933336,898887.933336,1,CEL-USDT
2021-07-13,1626105600000,6.019,6.162,5.801,5.999,236159.696837,1402830.80658,1402830.80658,1,CEL-USDT
2021-07-14,1626192000000,5.999,6.036,5.071,5.574,444034.067343,2496144.63331,2496144.63331,1,CEL-USDT
2021-07-15,1626278400000,5.577,5.733,5.336,5.649,362301.619679,2025929.256975,2025929.256975,1,CEL-USDT
2021-07-16,1626364800000,5.649,5.666,4.807,5.266,276679.696415,1459190.126785,1459190.126785,1,CEL-USDT
2021-07-17,1626451200000,5.274,5.493,4.78,5.312,306563.938945,1606286.528379,1606286.528379,1,CEL-USDT
2021-07-18,1626537600000,5.311,5.644,5.286,5.291,279661.691115,1523068.832441,1523068.832441,1,CEL-USDT
2021-07-19,1626624000000,5.288,5.403,4.991,5.021,294685.411358,1533696.476787,1533696.476787,1,CEL-USDT
2021-07-20,1626710400000,5.024,5.139,4.453,4.629,623689.479872,3005417.665347,3005417.665347,1,CEL-USDT
2021-07-21,1626796800000,4.63,5.309,4.61,5.262,425045.875384,2086476.254446,2086476.254446,1,CEL-USDT
2021-07-22,1626883200000,5.266,5.374,4.979,5.283,330389.125642,1727651.353962,1727651.353962,1,CEL-USDT
2021-07-23,1626969600000,5.282,5.408,4.646,4.908,435868.188743,2213888.190265,2213888.190265,1,CEL-USDT
2021-07-24,1627056000000,4.908,6.037,4.832,5.969,384046.988116,2206870.694706,2206870.694706,1,CEL-USDT
2021-07-25,1627142400000,5.97,6.0,5.789,5.806,175679.384939,1036194.918033,1036194.918033,1,CEL-USDT
2021-07-26,1627228800000,5.805,6.377,5.786,6.276,241513.111486,1486932.939903,1486932.939903,1,CEL-USDT
2021-07-27,1627315200000,6.275,6.482,5.512,5.849,402974.226684,2419226.715786,2419226.715786,1,CEL-USDT
2021-07-28,1627401600000,5.85,6.156,5.763,5.852,255049.013345,1515689.210017,1515689.210017,1,CEL-USDT
2021-07-29,1627488000000,5.852,6.109,5.743,5.994,310602.566107,1845222.334943,1845222.334943,1,CEL-USDT
2021-07-30,1627574400000,5.993,6.092,5.671,5.746,283960.555136,1676380.900937,1676380.900937,1,CEL-USDT
2021-07-31,1627660800000,5.747,6.3,5.653,6.133,297697.06199,1811043.278035,1811043.278035,1,CEL-USDT
2021-08-01,1627747200000,6.131,6.277,6.086,6.118,159497.361854,986271.815882,986271.815882,1,CEL-USDT
2021-08-02,1627833600000,6.118,6.269,5.93,6.002,168614.893802,1029767.286044,1029767.286044,1,CEL-USDT
2021-08-03,1627920000000,6.002,6.036,5.581,5.749,183189.377282,1071519.025192,1071519.025192,1,CEL-USDT
2021-08-04,1628006400000,5.747,5.921,5.684,5.914,137793.610907,793405.235708,793405.235708,1,CEL-USDT
2021-08-05,1628092800000,5.916,6.12,5.566,6.02,232673.902529,1368631.471715,1368631.471715,1,CEL-USDT
2021-08-06,1628179200000,6.019,6.205,5.868,6.116,189630.598638,1145738.112813,1145738.112813,1,CEL-USDT
2021-08-07,1628265600000,6.116,6.589,5.955,6.472,230235.609998,1449999.95779,1449999.95779,1,CEL-USDT
2021-08-08,1628352000000,6.473,6.676,6.161,6.409,280624.326273,1822955.757307,1822955.757307,1,CEL-USDT
2021-08-09,1628438400000,6.41,6.586,6.163,6.488,262768.693293,1670647.042037,1670647.042037,1,CEL-USDT
2021-08-10,1628524800000,6.486,6.538,6.327,6.391,205791.687804,1327496.213775,1327496.213775,1,CEL-USDT
2021-08-11,1628611200000,6.391,6.579,6.328,6.517,173984.56368,1122444.127054,1122444.127054,1,CEL-USDT
2021-08-12,1628697600000,6.514,6.6,6.236,6.246,162737.696304,1048167.709645,1048167.709645,1,CEL-USDT
2021-08-13,1628784000000,6.248,6.423,5.822,6.116,215813.100182,1337482.41112,1337482.41112,1,CEL-USDT
