Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-07-15,1626278400000,0.5501,1.0,0.5501,0.7124,2598555.418008,1860668.342748,1860668.342748,1,CFG-USDT
2021-07-16,1626364800000,0.7124,0.7127,0.621,0.6309,920038.095079,605539.169898,605539.169898,1,CFG-USDT
2021-07-17,1626451200000,0.631,0.93,0.5982,0.8529,2002158.448208,1546218.972354,1546218.972354,1,CFG-USDT
2021-07-18,1626537600000,0.8527,0.9,0.76,0.7641,796507.953093,660015.831483,660015.831483,1,CFG-USDT
2021-07-19,1626624000000,0.7648,0.85,0.6922,0.739,786041.260277,602306.428924,602306.428924,1,CFG-USDT
2021-07-20,1626710400000,0.739,0.8,0.68,0.7052,698749.263737,499261.530022,499261.530022,1,CFG-USDT
2021-07-21,1626796800000,0.7053,0.7442,0.6809,0.7057,666019.431214,470969.926043,470969.926043,1,CFG-USDT
2021-07-22,1626883200000,0.7057,0.73,0.6823,0.6987,567356.947037,397220.045433,397220.045433,1,CFG-USDT
2021-07-23,1626969600000,0.6989,0.7458,0.6879,0.734,332529.967513,236211.214419,236211.214419,1,CFG-USDT
2021-07-24,1627056000000,0.7285,0.7389,0.68,0.6911,600917.842004,425266.655388,425266.655388,1,CFG-USDT
2021-07-25,1627142400000,0.691,0.701,0.68,0.6814,319232.539794,220234.510433,220234.510433,1,CFG-USDT
2021-07-26,1627228800000,0.6814,0.6871,0.64,0.6794,617142.922834,409474.528473,409474.528473,1,CFG-USDT
2021-07-27,1627315200000,0.6794,0.73,0.6672,0.6824,579147.057405,402145.696293,402145.696293,1,CFG-USDT
2021-07-28,1627401600000,0.6824,0.7212,0.6619,0.7066,429917.272134,299348.240401,299348.240401,1,CFG-USDT
2021-07-29,1627488000000,0.7066,0.7977,0.7051,0.7966,404797.421357,294360.792163,294360.792163,1,CFG-USDT
2021-07-30,1627574400000,0.7965,0.95,0.7965,0.8441,553621.613704,477889.844769,477889.844769,1,CFG-USDT
2021-07-31,1627660800000,0.8467,0.8892,0.8402,0.8489,573136.513402,488435.28298,488435.28298,1,CFG-USDT
2021-08-01,1627747200000,0.8489,1.1251,0.8413,1.0166,774591.121175,725859.629849,725859.629849,1,CFG-USDT
2021-08-02,1627833600000,1.0168,1.1118,0.94,0.9458,521547.393311,521080.748458,521080.748458,1,CFG-USDT
2021-08-03,1627920000000,0.9458,0.9872,0.8558,0.8986,430380.634243,392460.925037,392460.925037,1,CFG-USDT
2021-08-04,1628006400000,0.8985,0.9793,0.8712,0.9792,424845.597316,388148.81871,388148.81871,1,CFG-USDT
2021-08-05,1628092800000,0.979,1.0148,0.9503,0.9788,251289.043783,247648.627637,247648.627637,1,CFG-USDT
2021-08-06,1628179200000,0.9787,1.0487,0.9593,0.9623,315167.822675,315211.564209,315211.564209,1,CFG-USDT
2021-08-07,1628265600000,0.9628,1.0115,0.962,0.9782,303249.205745,297415.267525,297415.267525,1,CFG-USDT
2021-08-08,1628352000000,0.9781,0.9788,0.9185,0.9486,325646.482387,307917.78389,307917.78389,1,CFG-USDT
2021-08-09,1628438400000,0.9486,1.0379,0.89,0.9807,701672.819454,667347.478102,667347.478102,1,CFG-USDT
2021-08-10,1628524800000,0.9807,1.045,0.97,0.9721,401303.966704,400010.539768,400010.539768,1,CFG-USDT
2021-08-11,1628611200000,0.972,1.0128,0.9354,0.9963,335603.678076,328744.842439,328744.842439,1,CFG-USDT
2021-08-12,1628697600000,0.9964,1.0127,0.895,0.9167,492369.312424,462386.818198,462386.818198,1,CFG-USDT
2021-08-13,1628784000000,0.9166,1.0905,0.9156,1.0002,572436.188635,565860.713162,565860.713162,1,CFG-USDT
2021-08-14,1628870400000,1.0002,1.391,0.9857,1.2241,1374148.345596,1637072.978546,1637072.978546,1,CFG-USDT
2021-08-15,1628956800000,1.2244,1.621,1.2239,1.4248,2145510.715788,3104925.537946,3104925.537946,1,CFG-USDT
2021-08-16,1629043200000,1.4244,1.664,1.4133,1.5297,914040.493776,1442620.071818,1442620.071818,1,CFG-USDT
2021-08-17,1629129600000,1.5302,1.6237,1.4498,1.4837,541838.671022,829785.19209,829785.19209,1,CFG-USDT
2021-08-18,1629216000000,1.4838,1.4839,1.1047,1.1685,1117331.798197,1445260.200601,1445260.200601,1,CFG-USDT
2021-08-19,1629302400000,1.1693,1.3298,1.1508,1.1959,1072677.798195,1312494.079505,1312494.079505,1,CFG-USDT
2021-08-20,1629388800000,1.1956,1.3946,1.1532,1.3104,1005496.556341,1279471.415972,1279471.415972,1,CFG-USDT
2021-08-21,1629475200000,1.3104,1.3475,1.2747,1.2911,402518.543534,527059.897002,527059.897002,1,CFG-USDT
2021-08-22,1629561600000,1.291,1.2992,1.2301,1.2385,310229.472378,392561.328919,392561.328919,1,CFG-USDT
2021-08-23,1629648000000,1.2386,1.2607,1.199,1.2042,559058.406671,683032.313372,683032.313372,1,CFG-USDT
2021-08-24,1629734400000,1.2047,1.2784,1.1706,1.2206,436698.697592,531642.107025,531642.107025,1,CFG-USDT
2021-08-25,1629820800000,1.2221,1.32,1.1747,1.258,728911.775836,917011.665318,917011.665318,1,CFG-USDT
2021-08-26,1629907200000,1.2579,1.3271,1.1501,1.1565,579044.501071,703905.690853,703905.690853,1,CFG-USDT
2021-08-27,1629993600000,1.1565,1.1937,1.1,1.1889,574175.742377,652830.064145,652830.064145,1,CFG-USDT
2021-08-28,1630080000000,1.1884,1.2488,1.1269,1.1764,771763.926905,917819.612517,917819.612517,1,CFG-USDT
2021-08-29,1630166400000,1.1763,1.1935,1.1,1.1513,720074.946621,826956.034416,826956.034416,1,CFG-USDT
2021-08-30,1630252800000,1.151,1.1573,1.1,1.1459,431759.565646,485394.877219,485394.877219,1,CFG-USDT
2021-08-31,1630339200000,1.1459,1.3412,1.1459,1.264,899038.066195,1116768.308557,1116768.308557,1,CFG-USDT
2021-09-01,1630425600000,1.2644,1.3548,1.2548,1.327,629450.300094,822921.579942,822921.579942,1,CFG-USDT
