Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2023-02-08,1675785600000,0.03,9.49,0.03,4.50885,278388.04,1256401.14,1256401.14,1,CORE-USDC
2023-02-09,1675872000000,4.50876,5.29353,4.03234,4.48285,691788.76,3195326.58,3195326.58,1,CORE-USDC
2023-02-10,1675958400000,4.48387,4.64999,3.05474,3.15681,603190.4,2452752.37,2452752.37,1,CORE-USDC
2023-02-11,1676044800000,3.15649,3.33333,2.47318,3.0257,728858.17,2123595.03,2123595.03,1,CORE-USDC
2023-02-12,1676131200000,3.0267,3.21398,2.81949,3.04921,367925.48,1117240.89,1117240.89,1,CORE-USDC
2023-02-13,1676217600000,3.06525,3.06525,2.71201,2.79641,340863.44,990969.74,990969.74,1,CORE-USDC
2023-02-14,1676304000000,2.79692,3.28,2.5199,3.06424,452135.3,1273317.32,1273317.32,1,CORE-USDC
2023-02-15,1676390400000,3.06409,3.2,2.8584,3.0991,412296.29,1244424.99,1244424.99,1,CORE-USDC
2023-02-16,1676476800000,3.09917,3.57534,3.06023,3.39978,428871.39,1424237.25,1424237.25,1,CORE-USDC
2023-02-17,1676563200000,3.40366,3.74,2.78,3.16232,497148.19,1579879.77,1579879.77,1,CORE-USDC
2023-02-18,1676649600000,3.16184,3.2412,2.9,3.19723,379823.73,1187404.32,1187404.32,1,CORE-USDC
2023-02-19,1676736000000,3.19703,3.20454,3.027,3.09014,281470.58,871515.84,871515.84,1,CORE-USDC
2023-02-20,1676822400000,3.08975,3.0955,2.8632,3.07415,277793.86,829024.13,829024.13,1,CORE-USDC
2023-02-21,1676908800000,3.07391,3.48665,2.91,3.07242,370165.17,1165462.4,1165462.4,1,CORE-USDC
2023-02-22,1676995200000,3.07181,3.12636,2.9241,2.97514,253849.03,763928.78,763928.78,1,CORE-USDC
2023-02-23,1677081600000,2.97435,3.09999,2.92415,3.01139,204193.37,614734.33,614734.33,1,CORE-USDC
2023-02-24,1677168000000,3.01184,3.0676,2.95163,2.96463,179264.31,538687.85,538687.85,1,CORE-USDC
2023-02-25,1677254400000,2.96485,2.96559,2.605,2.7914,260065.32,724916.13,724916.13,1,CORE-USDC
2023-02-26,1677340800000,2.79156,2.95839,2.7478,2.82879,236842.7,680827.35,680827.35,1,CORE-USDC
2023-02-27,1677427200000,2.82961,2.91856,2.8288,2.87008,178425.98,511559.4,511559.4,1,CORE-USDC
2023-02-28,1677513600000,2.87002,3.17,2.8296,3.13501,331616.32,994864.34,994864.34,1,CORE-USDC
2023-03-01,1677600000000,3.13414,3.29611,3.00658,3.10525,329250.91,1027877.51,1027877.51,1,CORE-USDC
2023-03-02,1677686400000,3.10515,3.185,2.89,2.95699,271344.63,816753.02,816753.02,1,CORE-USDC
2023-03-03,1677772800000,2.95602,2.97153,2.51789,2.83799,308585.04,862664.1765821,862664.1765821,1,CORE-USDC
2023-03-04,1677859200000,2.8387,3.04585,2.8223,2.92456,241907.66,712178.4851143,712178.4851143,1,CORE-USDC
2023-03-05,1677945600000,2.92452,2.99174,2.80707,2.89133,240648.11,700197.8271616,700197.8271616,1,CORE-USDC
2023-03-06,1678032000000,2.89155,2.9151,2.83885,2.90435,198459.56,571709.1777546,571709.1777546,1,CORE-USDC
2023-03-07,1678118400000,2.90456,2.90641,2.73667,2.82431,207261.11,589106.3559932,589106.3559932,1,CORE-USDC
