Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2023-02-08,1675785600000,0.030000,6.900000,0.030000,4.501820,34130701.380000,128793374.630000,128793374.630000,1,CORE-USDT
2023-02-09,1675872000000,4.501820,5.240000,4.023500,4.487470,18048119.880000,83549163.040000,83549163.040000,1,CORE-USDT
2023-02-10,1675958400000,4.495950,4.676100,3.050000,3.157960,13675014.530000,53724097.560000,53724097.560000,1,CORE-USDT
2023-02-11,1676044800000,3.157900,3.350000,2.456000,3.043700,16665843.540000,48524793.750000,48524793.750000,1,CORE-USDT
2023-02-12,1676131200000,3.042230,3.150000,2.822000,3.045930,4959842.230000,15051504.690000,15051504.690000,1,CORE-USDT
2023-02-13,1676217600000,3.048220,3.055000,2.703000,2.796070,4616845.090000,13354916.400000,13354916.400000,1,CORE-USDT
2023-02-14,1676304000000,2.799240,3.280000,2.512300,3.065930,7197926.730000,20546502.250000,20546502.250000,1,CORE-USDT
2023-02-15,1676390400000,3.065930,3.200000,2.860000,3.097030,5058833.490000,15307492.300000,15307492.300000,1,CORE-USDT
2023-02-16,1676476800000,3.099840,3.580000,3.051760,3.410000,5916113.290000,19729042.740000,19729042.740000,1,CORE-USDT
2023-02-17,1676563200000,3.410320,3.750000,2.770540,3.161940,7690833.960000,24601202.270000,24601202.270000,1,CORE-USDT
2023-02-18,1676649600000,3.160250,3.250110,2.888780,3.201000,4809463.340000,15004774.200000,15004774.200000,1,CORE-USDT
2023-02-19,1676736000000,3.203690,3.212040,3.030000,3.091090,2821653.330000,8732095.470000,8732095.470000,1,CORE-USDT
2023-02-20,1676822400000,3.091100,3.097710,2.857870,3.069050,3131471.950000,9329431.490000,9329431.490000,1,CORE-USDT
2023-02-21,1676908800000,3.075350,3.479000,2.900000,3.072200,5903652.940000,18736853.410000,18736853.410000,1,CORE-USDT
2023-02-22,1676995200000,3.071400,3.132260,2.911000,2.979080,2311850.760000,6954235.440000,6954235.440000,1,CORE-USDT
2023-02-23,1677081600000,2.976570,3.072000,2.916000,3.007920,1867419.770000,5620629.650000,5620629.650000,1,CORE-USDT
2023-02-24,1677168000000,3.008130,3.070990,2.944440,2.968420,1503387.900000,4516305.940000,4516305.940000,1,CORE-USDT
2023-02-25,1677254400000,2.967440,2.971050,2.600000,2.794220,2758366.640000,7677113.040000,7677113.040000,1,CORE-USDT
2023-02-26,1677340800000,2.792080,2.959230,2.735480,2.828020,2051744.950000,5895166.920000,5895166.920000,1,CORE-USDT
2023-02-27,1677427200000,2.830610,2.928930,2.825000,2.873520,1433216.680000,4108694.830000,4108694.830000,1,CORE-USDT
2023-02-28,1677513600000,2.873110,3.172000,2.825000,3.134540,3972929.240000,11995864.330000,11995864.330000,1,CORE-USDT
2023-03-01,1677600000000,3.134200,3.295000,3.008030,3.105290,3832440.810000,11989487.340000,11989487.340000,1,CORE-USDT
2023-03-02,1677686400000,3.104000,3.188130,2.886500,2.954430,2747788.020000,8270530.640000,8270530.640000,1,CORE-USDT
2023-03-03,1677772800000,2.953380,2.977900,2.510000,2.841320,3204557.750000,8898862.477606,8898862.477606,1,CORE-USDT
2023-03-04,1677859200000,2.841990,3.048030,2.823200,2.920970,2730821.420000,8059377.282806,8059377.282806,1,CORE-USDT
2023-03-05,1677945600000,2.920640,3.008150,2.803190,2.893780,2562268.150000,7455504.756415,7455504.756415,1,CORE-USDT
2023-03-06,1678032000000,2.893270,2.912500,2.826840,2.902190,1669172.830000,4805066.643440,4805066.643440,1,CORE-USDT
2023-03-07,1678118400000,2.903480,2.906270,2.731000,2.823110,2011106.920000,5699265.400101,5699265.400101,1,CORE-USDT
2023-03-08,1678204800000,2.825640,2.845960,2.700000,2.781630,2074436.440000,5780222.840685,5780222.840685,1,CORE-USDT
2023-03-09,1678291200000,2.782280,2.790630,2.650000,2.689720,3890363.830000,10541262.062443,10541262.062443,1,CORE-USDT
2023-03-10,1678377600000,2.690990,2.706280,2.000000,2.201930,11546713.800000,26471541.887533,26471541.887533,1,CORE-USDT
2023-03-11,1678464000000,2.201810,2.337010,1.852000,1.917680,9949433.760000,21004888.804517,21004888.804517,1,CORE-USDT
2023-03-12,1678550400000,1.919770,2.030000,1.767680,1.920100,5936878.630000,11367564.880509,11367564.880509,1,CORE-USDT
2023-03-13,1678636800000,1.920100,2.530000,1.909120,2.222130,8734045.950000,18994461.006504,18994461.006504,1,CORE-USDT
2023-03-14,1678723200000,2.222320,2.499020,2.181000,2.395450,8295742.960000,19137076.382078,19137076.382078,1,CORE-USDT
2023-03-15,1678809600000,2.394520,2.458880,1.949770,1.995120,10067236.100000,21953453.143838,21953453.143838,1,CORE-USDT
2023-03-16,1678896000000,2.000300,2.166100,1.963080,2.073280,6466013.970000,13356341.395499,13356341.395499,1,CORE-USDT
2023-03-17,1678982400000,2.074280,2.142530,1.960000,2.017820,4985519.620000,10379972.783018,10379972.783018,1,CORE-USDT
2023-03-18,1679068800000,2.018170,2.127980,2.000000,2.016000,5837404.100000,12074226.032872,12074226.032872,1,CORE-USDT
2023-03-19,1679155200000,2.015060,2.033010,1.900000,1.980650,4564641.220000,9030937.233221,9030937.233221,1,CORE-USDT
