Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-08-14,1597334400000,0.02757,0.128915,0.021107,0.03,5131.1313,188.6809,188.6809,1,CRV-ETH
2020-08-15,1597420800000,0.03,0.035,0.013001,0.017319,843097.0409,15106.3252,15106.3252,1,CRV-ETH
2020-08-16,1597507200000,0.017333,0.017719,0.014134,0.014599,756045.211,11818.5366,11818.5366,1,CRV-ETH
2020-08-17,1597593600000,0.014586,0.014786,0.009086,0.010289,923474.0392,10843.8884,10843.8884,1,CRV-ETH
2020-08-18,1597680000000,0.010287,0.013195,0.00756,0.008149,1262193.4293,11723.9294,11723.9294,1,CRV-ETH
2020-08-19,1597766400000,0.008148,0.013492,0.008005,0.010864,1887397.4704,19326.8166,19326.8166,1,CRV-ETH
2020-08-20,1597852800000,0.010874,0.013222,0.009326,0.009866,1279940.5163,13933.8236,13933.8236,1,CRV-ETH
2020-08-21,1597939200000,0.009867,0.010207,0.008352,0.008785,835964.3457,7750.6222,7750.6222,1,CRV-ETH
2020-08-22,1598025600000,0.008797,0.009002,0.007067,0.007614,727153.2863,5769.7751,5769.7751,1,CRV-ETH
2020-08-23,1598112000000,0.007612,0.00793,0.006708,0.006906,529208.0864,3905.8781,3905.8781,1,CRV-ETH
2020-08-24,1598198400000,0.006908,0.007755,0.006639,0.007204,1450728.7801,10470.5246,10470.5246,1,CRV-ETH
2020-08-25,1598284800000,0.007208,0.009682,0.006889,0.007657,2040029.4517,15600.1262,15600.1262,1,CRV-ETH
2020-08-26,1598371200000,0.007676,0.009883,0.007179,0.009742,1682758.5943,13422.2267,13422.2267,1,CRV-ETH
2020-08-27,1598457600000,0.009746,0.011484,0.009161,0.009439,1088851.1824,10968.4484,10968.4484,1,CRV-ETH
2020-08-28,1598544000000,0.009438,0.010133,0.008515,0.009226,543535.0657,4955.7481,4955.7481,1,CRV-ETH
2020-08-29,1598630400000,0.009224,0.00929,0.008223,0.008444,331631.5469,2880.9155,2880.9155,1,CRV-ETH
2020-08-30,1598716800000,0.008442,0.009277,0.007722,0.008129,627610.1317,5264.0725,5264.0725,1,CRV-ETH
2020-08-31,1598803200000,0.008127,0.008799,0.00791,0.007979,691716.4086,5770.2841,5770.2841,1,CRV-ETH
2020-09-01,1598889600000,0.00798,0.011531,0.00794,0.010657,1083449.3635,10852.6666,10852.6666,1,CRV-ETH
2020-09-02,1598976000000,0.010672,0.012006,0.008783,0.009861,952903.3159,9883.2058,9883.2058,1,CRV-ETH
2020-09-03,1599062400000,0.009865,0.010273,0.008001,0.009225,407298.7578,3921.1393,3921.1393,1,CRV-ETH
2020-09-04,1599148800000,0.008805,0.008813,0.007497,0.007524,4413.7932,36.1015,36.1015,1,CRV-ETH
2020-09-05,1599235200000,0.007401,0.008682,0.006143,0.00637,1323.3068,9.2605,9.2605,1,CRV-ETH
2020-09-06,1599321600000,0.00637,0.007,0.0049,0.005918,4192.8043,25.6468,25.6468,1,CRV-ETH
2020-09-07,1599408000000,0.005943,0.006184,0.0055,0.005956,586.7265,3.4621,3.4621,1,CRV-ETH
2020-09-08,1599494400000,0.005567,0.006164,0.005558,0.0056,1556.4707,8.7402,8.7402,1,CRV-ETH
2020-09-09,1599580800000,0.005952,0.006129,0.005632,0.005632,413.019,2.445,2.445,1,CRV-ETH
2020-09-10,1599667200000,0.005742,0.00578,0.00545,0.005537,877.7569,5.0006,5.0006,1,CRV-ETH
2020-09-11,1599753600000,0.005467,0.005904,0.0049,0.00501,2833.3082,15.1803,15.1803,1,CRV-ETH
2020-09-12,1599840000000,0.00501,0.005704,0.004951,0.005704,3657.2327,18.6888,18.6888,1,CRV-ETH
2020-09-13,1599926400000,0.005336,0.00601,0.005001,0.005001,2322.8134,12.0065,12.0065,1,CRV-ETH
2020-09-14,1600012800000,0.005006,0.0052,0.005,0.005176,66.9847,0.3373,0.3373,1,CRV-ETH
2020-09-15,1600099200000,0.004637,0.0051,0.004498,0.004498,656.7146,3.0398,3.0398,1,CRV-ETH
2020-09-16,1600185600000,0.004075,0.004075,0.00361,0.00376,17135.1522,63.3977,63.3977,1,CRV-ETH
