Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-08-14,1597334400000,50.060000,63.000000,9.200000,12.700000,505046.250600,9910710.337900,9910710.337900,1,CRV-USDT
2020-08-15,1597420800000,12.720000,13.870000,5.700000,7.450000,2944639.100500,24161306.361200,24161306.361200,1,CRV-USDT
2020-08-16,1597507200000,7.450000,7.690000,5.930000,6.230000,2392126.223900,15888823.927100,15888823.927100,1,CRV-USDT
2020-08-17,1597593600000,6.230000,6.230000,3.910000,4.320000,2218082.393900,11458885.278800,11458885.278800,1,CRV-USDT
2020-08-18,1597680000000,4.320000,5.000000,3.160000,3.390000,2914894.600300,11563054.901500,11563054.901500,1,CRV-USDT
2020-08-19,1597766400000,3.390000,4.880000,3.270000,4.450000,4585335.939100,18662534.545900,18662534.545900,1,CRV-USDT
2020-08-20,1597852800000,4.450000,5.040000,3.820000,4.090000,3173463.554500,13825586.980200,13825586.980200,1,CRV-USDT
2020-08-21,1597939200000,4.090000,4.260000,3.450000,3.560000,2798171.999600,10654310.248400,10654310.248400,1,CRV-USDT
2020-08-22,1598025600000,3.570000,3.570000,2.700000,2.920000,2240325.770900,6917155.473000,6917155.473000,1,CRV-USDT
2020-08-23,1598112000000,2.910000,3.090000,2.610000,2.720000,1661946.486700,4795792.346000,4795792.346000,1,CRV-USDT
2020-08-24,1598198400000,2.720000,3.060000,2.590000,2.900000,2229024.784100,6331645.093200,6331645.093200,1,CRV-USDT
2020-08-25,1598284800000,2.900000,3.400000,2.760000,2.970000,3631474.928000,10876746.187900,10876746.187900,1,CRV-USDT
2020-08-26,1598371200000,2.970000,3.840000,2.670000,3.840000,9850862.676000,30241528.037600,30241528.037600,1,CRV-USDT
2020-08-27,1598457600000,3.830000,4.430000,3.510000,3.640000,7967638.454400,30800850.983500,30800850.983500,1,CRV-USDT
2020-08-28,1598544000000,3.640000,3.980000,3.160000,3.650000,3816238.668300,13294008.741300,13294008.741300,1,CRV-USDT
2020-08-29,1598630400000,3.650000,3.660000,3.230000,3.370000,2292564.169200,7855746.696900,7855746.696900,1,CRV-USDT
2020-08-30,1598716800000,3.370000,3.760000,3.060000,3.390000,3104452.823100,10589050.382400,10589050.382400,1,CRV-USDT
2020-08-31,1598803200000,3.400000,3.800000,3.320000,3.440000,2524473.156500,8991658.905100,8991658.905100,1,CRV-USDT
2020-09-01,1598889600000,3.440000,5.300000,3.420000,5.150000,7423449.264500,34479101.829900,34479101.829900,1,CRV-USDT
2020-09-02,1598976000000,5.140000,5.800000,3.810000,4.270000,8443387.065900,40948633.484500,40948633.484500,1,CRV-USDT
2020-09-03,1599062400000,4.270000,4.690000,3.150000,3.450000,5192454.378700,19886893.800300,19886893.800300,1,CRV-USDT
2020-09-04,1599148800000,3.450000,3.600000,2.680000,2.960000,4850326.734800,15114295.284300,15114295.284300,1,CRV-USDT
2020-09-05,1599235200000,2.970000,3.180000,2.050000,2.300000,4257742.902300,11014720.425000,11014720.425000,1,CRV-USDT
2020-09-06,1599321600000,2.300000,2.370000,1.520000,2.070000,7165540.333400,14052801.943200,14052801.943200,1,CRV-USDT
2020-09-07,1599408000000,2.060000,2.320000,1.700000,1.970000,4081708.278200,8283690.999400,8283690.999400,1,CRV-USDT
