Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-10-25,1666627200000,2.4e-06,2.494e-06,2.4e-06,2.43e-06,1682669.4,4.11,4.11,1,CSPR-BTC
2022-10-26,1666713600000,2.429e-06,2.517e-06,2.3e-06,2.322e-06,4796381.85,10.6,10.6,1,CSPR-BTC
2022-10-27,1666800000000,2.322e-06,2.351e-06,2.173e-06,2.176e-06,5645428.75,10.4,10.4,1,CSPR-BTC
2022-10-28,1666886400000,2.176e-06,2.243e-06,2.048e-06,2.059e-06,7940890.8,14.16,14.16,1,CSPR-BTC
2022-10-29,1666972800000,2.058e-06,2.119e-06,1.981e-06,2.012e-06,8069993.83,13.6,13.6,1,CSPR-BTC
2022-10-30,1667059200000,2.012e-06,2.031e-06,1.875e-06,1.955e-06,7956806.44,12.4,12.4,1,CSPR-BTC
2022-10-31,1667145600000,1.956e-06,2.105e-06,1.899e-06,1.959e-06,7861022.09,12.63,12.63,1,CSPR-BTC
2022-11-01,1667232000000,1.961e-06,2.048e-06,1.953e-06,1.958e-06,5582714.89,8.28,8.28,1,CSPR-BTC
2022-11-02,1667318400000,1.957e-06,1.96e-06,1.86e-06,1.865e-06,5118799.05,7.05,7.05,1,CSPR-BTC
2022-11-03,1667404800000,1.865e-06,1.997e-06,1.857e-06,1.957e-06,5706057.62,8.67,8.67,1,CSPR-BTC
2022-11-04,1667491200000,1.96e-06,1.975e-06,1.894e-06,1.894e-06,5333065.45,7.61,7.61,1,CSPR-BTC
2022-11-05,1667577600000,1.896e-06,1.98e-06,1.881e-06,1.887e-06,5634201.48,7.87,7.87,1,CSPR-BTC
2022-11-06,1667664000000,1.888e-06,1.945e-06,1.846e-06,1.871e-06,4983129.6,6.51,6.51,1,CSPR-BTC
2022-11-07,1667750400000,1.874e-06,2.015e-06,1.835e-06,1.939e-06,5474450.27,7.72,7.72,1,CSPR-BTC
2022-11-08,1667836800000,1.94e-06,1.954e-06,1.839e-06,1.916e-06,5750853.07,8.07,8.07,1,CSPR-BTC
2022-11-09,1667923200000,1.912e-06,2.21e-06,1.86e-06,1.971e-06,8741745.7,14.52,14.52,1,CSPR-BTC
2022-11-10,1668009600000,1.973e-06,2.113e-06,1.864e-06,1.972e-06,6296359.6,10.32,10.32,1,CSPR-BTC
2022-11-11,1668096000000,1.97e-06,2.092e-06,1.94e-06,2.035e-06,5261530.53,8.59,8.59,1,CSPR-BTC
