Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-04-10,1586448000000,0.0000800000,0.0000830000,0.0000608600,0.0000696800,1213110.2837000000,85.0465000000,85.0465000000,1,CTC-BTC
2020-04-11,1586534400000,0.0000697600,0.0000800900,0.0000692900,0.0000706600,24995059.9545999989,1852.6152000000,1852.6152000000,1,CTC-BTC
2020-04-12,1586620800000,0.0000705600,0.0000730000,0.0000670000,0.0000685100,27224805.4327000007,1918.1437000000,1918.1437000000,1,CTC-BTC
2020-04-13,1586707200000,0.0000685100,0.0000699200,0.0000572500,0.0000576300,31548906.0953000002,2023.1604000000,2023.1604000000,1,CTC-BTC
2020-04-14,1586793600000,0.0000576300,0.0000579100,0.0000395700,0.0000484400,30375370.9479000010,1549.7817000000,1549.7817000000,1,CTC-BTC
2020-04-15,1586880000000,0.0000484400,0.0000549100,0.0000483200,0.0000536100,31157059.7212000005,1624.5161000000,1624.5161000000,1,CTC-BTC
2020-04-16,1586966400000,0.0000536000,0.0000578800,0.0000533100,0.0000568000,24091816.8317000009,1342.3697000000,1342.3697000000,1,CTC-BTC
2020-04-17,1587052800000,0.0000568000,0.0000612000,0.0000563600,0.0000587200,23823808.5111999996,1382.7104000000,1382.7104000000,1,CTC-BTC
2020-04-18,1587139200000,0.0000587300,0.0000594000,0.0000561600,0.0000577300,23433731.0119000003,1361.5926000000,1361.5926000000,1,CTC-BTC
2020-04-19,1587225600000,0.0000577300,0.0000583100,0.0000565900,0.0000570500,23661392.7331999987,1360.0525000000,1360.0525000000,1,CTC-BTC
2020-04-20,1587312000000,0.0000571600,0.0000603300,0.0000550000,0.0000565400,24135108.7408999987,1397.9333000000,1397.9333000000,1,CTC-BTC
2020-04-21,1587398400000,0.0000565600,0.0000576000,0.0000560000,0.0000564300,25289912.3198999986,1441.7340000000,1441.7340000000,1,CTC-BTC
2020-04-22,1587484800000,0.0000564200,0.0000568700,0.0000534200,0.0000536900,32741345.8975000009,1827.5720000000,1827.5720000000,1,CTC-BTC
2020-04-23,1587571200000,0.0000536900,0.0000541000,0.0000512100,0.0000516700,31675565.0430999994,1681.1145000000,1681.1145000000,1,CTC-BTC
2020-04-24,1587657600000,0.0000517400,0.0000522500,0.0000489700,0.0000499100,31413968.5800999999,1604.0339000000,1604.0339000000,1,CTC-BTC
2020-04-25,1587744000000,0.0000499100,0.0000504100,0.0000482700,0.0000486300,32535625.1719000004,1605.8847000000,1605.8847000000,1,CTC-BTC
2020-04-26,1587830400000,0.0000486900,0.0000492700,0.0000450000,0.0000455100,30908276.1198999994,1485.6551000000,1485.6551000000,1,CTC-BTC
2020-04-27,1587916800000,0.0000455100,0.0000455100,0.0000385400,0.0000396100,31113275.7005999982,1305.3087000000,1305.3087000000,1,CTC-BTC
2020-04-28,1588003200000,0.0000396100,0.0000409900,0.0000393100,0.0000397200,28908391.0702000000,1151.5963000000,1151.5963000000,1,CTC-BTC
2020-04-29,1588089600000,0.0000397200,0.0000464300,0.0000396100,0.0000434600,31558737.7107000016,1305.9141000000,1305.9141000000,1,CTC-BTC
2020-04-30,1588176000000,0.0000432900,0.0000434700,0.0000393000,0.0000411500,31157626.9893000014,1278.2716000000,1278.2716000000,1,CTC-BTC
2020-05-01,1588262400000,0.0000411500,0.0000418900,0.0000378200,0.0000386800,31887085.7078999989,1267.4224000000,1267.4224000000,1,CTC-BTC
2020-05-02,1588348800000,0.0000386800,0.0000414000,0.0000386200,0.0000405700,32310348.9369999990,1267.1065000000,1267.1065000000,1,CTC-BTC
2020-05-03,1588435200000,0.0000405700,0.0000405700,0.0000388900,0.0000392500,30033775.1493000016,1184.5697000000,1184.5697000000,1,CTC-BTC
2020-05-04,1588521600000,0.0000392500,0.0000392500,0.0000373300,0.0000375200,32109498.5093999989,1234.8270000000,1234.8270000000,1,CTC-BTC
2020-05-05,1588608000000,0.0000375200,0.0000377600,0.0000369300,0.0000374500,31164947.4068999998,1164.3629000000,1164.3629000000,1,CTC-BTC
2020-05-06,1588694400000,0.0000374500,0.0000376800,0.0000360000,0.0000363400,32028188.1570999995,1193.3866000000,1193.3866000000,1,CTC-BTC
2020-05-07,1588780800000,0.0000363400,0.0000363400,0.0000341200,0.0000345800,31261906.6026000008,1100.5228000000,1100.5228000000,1,CTC-BTC
2020-05-08,1588867200000,0.0000345800,0.0000345800,0.0000301900,0.0000308800,31755654.6847999990,1009.6363000000,1009.6363000000,1,CTC-BTC
2020-05-09,1588953600000,0.0000308800,0.0000329600,0.0000308400,0.0000319100,17850916.7256999984,560.4636000000,560.4636000000,1,CTC-BTC
2020-05-10,1589040000000,0.0000319100,0.0000345100,0.0000310300,0.0000339600,4198298.7070000004,134.1341000000,134.1341000000,1,CTC-BTC
2020-05-11,1589126400000,0.0000338500,0.0000350600,0.0000336500,0.0000350600,3550050.9682000000,122.1625000000,122.1625000000,1,CTC-BTC
2020-05-12,1589212800000,0.0000350800,0.0000372700,0.0000350800,0.0000371600,3341722.8135000002,122.1797000000,122.1797000000,1,CTC-BTC
2020-05-13,1589299200000,0.0000371500,0.0000395000,0.0000370600,0.0000392100,3463907.8206000002,132.2860000000,132.2860000000,1,CTC-BTC
2020-05-14,1589385600000,0.0000392100,0.0000399000,0.0000310400,0.0000322400,3580676.1101000002,132.1610000000,132.1610000000,1,CTC-BTC
2020-05-15,1589472000000,0.0000322300,0.0000345900,0.0000315100,0.0000326400,3478243.7015000000,114.7236000000,114.7236000000,1,CTC-BTC
2020-05-16,1589558400000,0.0000327100,0.0000330700,0.0000322800,0.0000330300,3427241.4434000002,112.1539000000,112.1539000000,1,CTC-BTC
2020-05-17,1589644800000,0.0000330500,0.0000339600,0.0000330000,0.0000331200,3168358.3305000002,105.6199000000,105.6199000000,1,CTC-BTC
2020-05-18,1589731200000,0.0000331200,0.0000340000,0.0000320000,0.0000324000,3475905.2711000000,115.3151000000,115.3151000000,1,CTC-BTC
2020-05-19,1589817600000,0.0000323000,0.0000329000,0.0000315100,0.0000316200,3139544.7094999999,101.2985000000,101.2985000000,1,CTC-BTC
2020-05-20,1589904000000,0.0000316200,0.0000324500,0.0000287400,0.0000287800,3509100.3665000000,110.4174000000,110.4174000000,1,CTC-BTC
2020-05-21,1589990400000,0.0000288000,0.0000295800,0.0000262800,0.0000284900,3645678.9147000001,100.5235000000,100.5235000000,1,CTC-BTC
2020-05-22,1590076800000,0.0000284800,0.0000293500,0.0000272300,0.0000274000,3470951.4427000000,97.3647000000,97.3647000000,1,CTC-BTC
2020-05-23,1590163200000,0.0000274100,0.0000282900,0.0000273900,0.0000281100,3353137.4802000001,93.5949000000,93.5949000000,1,CTC-BTC
2020-05-24,1590249600000,0.0000281100,0.0000281100,0.0000272000,0.0000277200,3458188.4695000001,95.4614000000,95.4614000000,1,CTC-BTC
2020-05-25,1590336000000,0.0000277200,0.0000282500,0.0000263000,0.0000268800,3342349.0591000002,91.6475000000,91.6475000000,1,CTC-BTC
2020-05-26,1590422400000,0.0000268500,0.0000272300,0.0000250900,0.0000261800,3559342.5318999998,93.9633000000,93.9633000000,1,CTC-BTC
2020-05-27,1590508800000,0.0000261500,0.0000266700,0.0000252200,0.0000258600,3535276.6507999999,90.9441000000,90.9441000000,1,CTC-BTC
2020-05-28,1590595200000,0.0000258600,0.0000259500,0.0000248200,0.0000249600,3063219.2888000002,78.6197000000,78.6197000000,1,CTC-BTC
2020-05-29,1590681600000,0.0000248900,0.0000251600,0.0000234000,0.0000238300,3488133.1323000002,84.9923000000,84.9923000000,1,CTC-BTC
2020-05-30,1590768000000,0.0000238300,0.0000239400,0.0000196000,0.0000200000,3478075.0718000000,80.0951000000,80.0951000000,1,CTC-BTC
2020-05-31,1590854400000,0.0000200000,0.0000224400,0.0000200000,0.0000218200,3387594.7053999999,71.1186000000,71.1186000000,1,CTC-BTC
2020-06-01,1590940800000,0.0000218200,0.0000220000,0.0000206100,0.0000213000,3469830.3001999999,73.5685000000,73.5685000000,1,CTC-BTC
2020-06-02,1591027200000,0.0000213000,0.0000214100,0.0000207000,0.0000212100,3328253.1266000001,70.0632000000,70.0632000000,1,CTC-BTC
2020-06-03,1591113600000,0.0000212300,0.0000221000,0.0000207700,0.0000212300,3302357.7866000002,71.2252000000,71.2252000000,1,CTC-BTC
2020-06-04,1591200000000,0.0000212300,0.0000221800,0.0000210900,0.0000216200,3613896.9081000001,77.1344000000,77.1344000000,1,CTC-BTC
2020-06-05,1591286400000,0.0000216200,0.0000217000,0.0000184900,0.0000189200,3648818.6899000001,76.2278000000,76.2278000000,1,CTC-BTC
2020-06-06,1591372800000,0.0000189200,0.0000193600,0.0000186200,0.0000189900,3557081.9750000001,67.5244000000,67.5244000000,1,CTC-BTC
2020-06-07,1591459200000,0.0000189900,0.0000195600,0.0000186100,0.0000192900,3535878.9629000002,67.8942000000,67.8942000000,1,CTC-BTC
2020-06-08,1591545600000,0.0000192900,0.0000193600,0.0000186000,0.0000190900,3479759.1227000002,66.0451000000,66.0451000000,1,CTC-BTC
2020-06-09,1591632000000,0.0000190900,0.0000194700,0.0000187600,0.0000189800,3480227.7348000002,66.2160000000,66.2160000000,1,CTC-BTC
2020-06-10,1591718400000,0.0000189300,0.0000189800,0.0000184200,0.0000186800,3425154.3322000001,63.9583000000,63.9583000000,1,CTC-BTC
2020-06-11,1591804800000,0.0000186800,0.0000190100,0.0000184000,0.0000189900,3394949.2154000001,63.0684000000,63.0684000000,1,CTC-BTC
2020-06-12,1591891200000,0.0000189900,0.0000195400,0.0000175700,0.0000179100,3537420.6952000000,64.5540000000,64.5540000000,1,CTC-BTC
2020-06-13,1591977600000,0.0000179100,0.0000180900,0.0000170000,0.0000170500,3461546.7752999999,61.4146000000,61.4146000000,1,CTC-BTC
2020-06-14,1592064000000,0.0000170500,0.0000240200,0.0000170000,0.0000233800,3687942.0014999998,65.3482000000,65.3482000000,1,CTC-BTC
2020-06-15,1592150400000,0.0000233900,0.0000233900,0.0000198700,0.0000205400,3575045.4257999999,75.3508000000,75.3508000000,1,CTC-BTC
2020-06-16,1592236800000,0.0000205400,0.0000236200,0.0000201700,0.0000221600,3304775.4147000001,74.3190000000,74.3190000000,1,CTC-BTC
2020-06-17,1592323200000,0.0000222000,0.0000222000,0.0000215100,0.0000217800,3404952.0795000000,74.2334000000,74.2334000000,1,CTC-BTC
2020-06-18,1592409600000,0.0000217800,0.0000242400,0.0000212000,0.0000235600,1449559.4354999999,31.5398000000,31.5398000000,1,CTC-BTC
2020-06-19,1592496000000,0.0000227400,0.0000234100,0.0000220200,0.0000221500,1392891.7527999999,32.0470000000,32.0470000000,1,CTC-BTC
2020-06-20,1592582400000,0.0000221500,0.0000222500,0.0000216600,0.0000216600,3432309.1938000000,75.7087000000,75.7087000000,1,CTC-BTC
2020-06-21,1592668800000,0.0000216600,0.0000217000,0.0000210300,0.0000211000,3411042.6263000001,72.5572000000,72.5572000000,1,CTC-BTC
2020-06-22,1592755200000,0.0000211000,0.0000212000,0.0000204100,0.0000206300,3450264.4279000000,72.0682000000,72.0682000000,1,CTC-BTC
2020-06-23,1592841600000,0.0000206300,0.0000211100,0.0000203100,0.0000210000,3352718.7152000000,68.7654000000,68.7654000000,1,CTC-BTC
2020-06-24,1592928000000,0.0000211400,0.0000211400,0.0000203600,0.0000209200,1447458.9913000001,30.1241000000,30.1241000000,1,CTC-BTC
2020-06-25,1593014400000,0.0000209500,0.0000215800,0.0000207800,0.0000215100,3157164.5553000001,66.8515000000,66.8515000000,1,CTC-BTC
2020-06-26,1593100800000,0.0000215100,0.0000226900,0.0000214700,0.0000226900,2842181.3807000001,61.7502000000,61.7502000000,1,CTC-BTC
2020-06-27,1593187200000,0.0000226900,0.0000227700,0.0000218400,0.0000220500,2285790.8555999999,50.2423000000,50.2423000000,1,CTC-BTC
2020-06-28,1593273600000,0.0000220500,0.0000272000,0.0000220500,0.0000272000,2741434.4284000001,65.2204000000,65.2204000000,1,CTC-BTC
2020-06-29,1593360000000,0.0000272000,0.0000326300,0.0000252100,0.0000324800,2848803.7700999998,77.6684000000,77.6684000000,1,CTC-BTC
2020-06-30,1593446400000,0.0000325000,0.0000370500,0.0000295700,0.0000312200,3302624.0460000001,107.9399000000,107.9399000000,1,CTC-BTC
2020-07-01,1593532800000,0.0000313700,0.0000324100,0.0000307000,0.0000308600,3311437.8687999998,104.1397000000,104.1397000000,1,CTC-BTC
2020-07-02,1593619200000,0.0000308600,0.0000312300,0.0000300400,0.0000302900,3547401.0901000001,108.2059000000,108.2059000000,1,CTC-BTC
2020-07-03,1593705600000,0.0000302900,0.0000356500,0.0000298100,0.0000350000,3655326.7648000000,115.1147000000,115.1147000000,1,CTC-BTC
2020-07-04,1593792000000,0.0000350000,0.0000350400,0.0000313100,0.0000319500,3346405.9117000001,110.3177000000,110.3177000000,1,CTC-BTC
2020-07-05,1593878400000,0.0000322000,0.0000333800,0.0000310500,0.0000314100,3381209.5433000000,107.8840000000,107.8840000000,1,CTC-BTC
2020-07-06,1593964800000,0.0000314100,0.0000317000,0.0000307400,0.0000307400,2616317.4629000002,82.0427000000,82.0427000000,1,CTC-BTC
2020-07-07,1594051200000,0.0000307300,0.0000307300,0.0000296000,0.0000299800,980740.5544000000,29.3680000000,29.3680000000,1,CTC-BTC
2020-07-08,1594137600000,0.0000299800,0.0000300400,0.0000281400,0.0000282600,3091184.7163999998,91.4776000000,91.4776000000,1,CTC-BTC
2020-07-09,1594224000000,0.0000283000,0.0000283900,0.0000269000,0.0000273100,3335250.2107000002,92.8283000000,92.8283000000,1,CTC-BTC
2020-07-10,1594310400000,0.0000273100,0.0000278500,0.0000268100,0.0000278000,3146237.0581999999,86.7831000000,86.7831000000,1,CTC-BTC
2020-07-11,1594396800000,0.0000278000,0.0000300900,0.0000276900,0.0000297800,3653623.1275999998,107.2649000000,107.2649000000,1,CTC-BTC
