Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-11-26,1637856000000,20.0000000000,28.0000000000,20.0000000000,23.6400000000,23600.5546480000,586759.2183640000,586759.2183640000,1,CVX-USDT
2021-11-27,1637942400000,23.6400000000,27.5700000000,20.8000000000,25.4200000000,22452.5555580000,552796.3625430000,552796.3625430000,1,CVX-USDT
2021-11-28,1638028800000,25.4200000000,27.6800000000,21.1200000000,22.9900000000,23769.0772180000,573120.2178340000,573120.2178340000,1,CVX-USDT
2021-11-29,1638115200000,22.9800000000,44.0000000000,17.5000000000,26.2900000000,61242.8527430000,1746029.1402110001,1746029.1402110001,1,CVX-USDT
2021-11-30,1638201600000,25.8700000000,27.6500000000,25.1000000000,27.2400000000,21566.1180540000,568834.4737090000,568834.4737090000,1,CVX-USDT
2021-12-01,1638288000000,27.2300000000,28.5300000000,24.9600000000,28.0000000000,12761.2412110000,343692.2027170000,343692.2027170000,1,CVX-USDT
2021-12-02,1638374400000,28.0100000000,28.0600000000,24.0000000000,25.3500000000,11343.2054110000,293269.9255630000,293269.9255630000,1,CVX-USDT
2021-12-03,1638460800000,25.3500000000,27.0000000000,24.8000000000,25.6500000000,10401.6353070000,268358.5533940000,268358.5533940000,1,CVX-USDT
2021-12-04,1638547200000,25.6500000000,25.6500000000,18.8000000000,20.7600000000,16619.0826980000,348056.6588710000,348056.6588710000,1,CVX-USDT
2021-12-05,1638633600000,20.7600000000,28.0000000000,20.0000000000,22.4100000000,13516.3334820000,316195.3287700000,316195.3287700000,1,CVX-USDT
2021-12-06,1638720000000,22.4100000000,26.6000000000,20.0000000000,23.3500000000,15952.7117980000,371010.3882040000,371010.3882040000,1,CVX-USDT
2021-12-07,1638806400000,23.3800000000,28.6200000000,22.9400000000,27.1700000000,15239.0626910000,405646.2093610000,405646.2093610000,1,CVX-USDT
2021-12-08,1638892800000,27.1800000000,30.7100000000,25.3800000000,27.6700000000,12979.9536280000,363799.9733010000,363799.9733010000,1,CVX-USDT
2021-12-09,1638979200000,27.6800000000,29.9600000000,26.8000000000,28.0300000000,8291.9508230000,233388.4393770000,233388.4393770000,1,CVX-USDT
2021-12-10,1639065600000,28.0400000000,28.0500000000,23.9900000000,25.8600000000,8360.3914330000,217981.1177240000,217981.1177240000,1,CVX-USDT
2021-12-11,1639152000000,25.8700000000,26.8000000000,24.0500000000,26.0100000000,6871.6475120000,175766.3618040000,175766.3618040000,1,CVX-USDT
2021-12-12,1639238400000,26.0100000000,34.3500000000,25.5800000000,28.9500000000,11832.9797650000,332859.9547490000,332859.9547490000,1,CVX-USDT
2021-12-13,1639324800000,28.9600000000,39.8300000000,25.9800000000,26.2200000000,17375.1548430000,527299.0066660000,527299.0066660000,1,CVX-USDT
2021-12-14,1639411200000,26.2200000000,27.8000000000,24.8400000000,25.2000000000,7391.4816740000,192791.8567640000,192791.8567640000,1,CVX-USDT
2021-12-15,1639497600000,25.2000000000,26.7300000000,24.1800000000,25.0200000000,6051.3926710000,154428.1904790000,154428.1904790000,1,CVX-USDT
2021-12-16,1639584000000,25.0200000000,31.0000000000,24.9500000000,30.1000000000,6602.9777700000,187603.7291750000,187603.7291750000,1,CVX-USDT
2021-12-17,1639670400000,30.1000000000,39.0000000000,29.5800000000,31.2600000000,19026.6928650000,625829.3243170000,625829.3243170000,1,CVX-USDT
2021-12-18,1639756800000,31.2800000000,34.4500000000,30.9100000000,34.1100000000,8400.8299810000,277220.1603710000,277220.1603710000,1,CVX-USDT
2021-12-19,1639843200000,34.1000000000,34.3700000000,31.9900000000,31.9900000000,6411.2207330000,212665.0564130000,212665.0564130000,1,CVX-USDT
2021-12-20,1639929600000,31.9900000000,32.8600000000,29.4200000000,29.8700000000,6093.7762300000,188412.8311850000,188412.8311850000,1,CVX-USDT
2021-12-21,1640016000000,29.8700000000,32.6900000000,29.8200000000,32.6100000000,5990.4129880000,187708.0863020000,187708.0863020000,1,CVX-USDT
2021-12-22,1640102400000,32.6100000000,37.6600000000,32.6100000000,36.0000000000,14705.9683700000,520175.9399210000,520175.9399210000,1,CVX-USDT
2021-12-23,1640188800000,36.0000000000,46.0000000000,35.6000000000,41.5700000000,131063.3945180000,5368307.1237270003,5368307.1237270003,1,CVX-USDT
2021-12-24,1640275200000,41.5700000000,49.5000000000,38.2300000000,41.4900000000,92823.0305600000,3941210.7818100001,3941210.7818100001,1,CVX-USDT
2021-12-25,1640361600000,41.4900000000,42.3600000000,39.0900000000,39.2000000000,10617.0488790000,429591.3508790000,429591.3508790000,1,CVX-USDT
2021-12-26,1640448000000,39.2000000000,43.2600000000,38.2400000000,41.0900000000,13766.8832060000,566151.0611019999,566151.0611019999,1,CVX-USDT
2021-12-27,1640534400000,41.0800000000,46.8100000000,40.4200000000,43.1300000000,25722.4093260000,1108022.7935560001,1108022.7935560001,1,CVX-USDT
2021-12-28,1640620800000,43.1200000000,60.0000000000,42.5000000000,46.6600000000,55844.4409180000,2716787.3839860000,2716787.3839860000,1,CVX-USDT
2021-12-29,1640707200000,46.6600000000,50.6500000000,41.9000000000,48.2500000000,19290.8405760000,900037.2913580000,900037.2913580000,1,CVX-USDT
2021-12-30,1640793600000,48.2500000000,49.5800000000,40.8900000000,44.0700000000,13966.4447810000,620904.3973110000,620904.3973110000,1,CVX-USDT
2021-12-31,1640880000000,44.0600000000,50.2400000000,41.6100000000,48.0500000000,17147.8104900000,780950.7031430000,780950.7031430000,1,CVX-USDT
2022-01-01,1640966400000,48.4300000000,58.0000000000,46.6800000000,54.8000000000,31796.7260430000,1662400.1390350000,1662400.1390350000,1,CVX-USDT
2022-01-02,1641052800000,54.8100000000,62.8000000000,47.5000000000,50.0300000000,38721.4846610000,2018247.6874670000,2018247.6874670000,1,CVX-USDT
2022-01-03,1641139200000,50.0500000000,50.3500000000,45.7700000000,47.3700000000,17732.8450060000,843925.2288360000,843925.2288360000,1,CVX-USDT
2022-01-04,1641225600000,47.3600000000,53.4300000000,45.6600000000,52.2400000000,22941.9326970000,1132990.1068539999,1132990.1068539999,1,CVX-USDT
2022-01-05,1641312000000,52.2400000000,54.9900000000,46.7000000000,48.3600000000,21770.7968410000,1099354.4747250001,1099354.4747250001,1,CVX-USDT
2022-01-06,1641398400000,48.3600000000,48.3600000000,37.9000000000,40.8600000000,20471.9847160000,865645.1150850001,865645.1150850001,1,CVX-USDT
2022-01-07,1641484800000,40.8700000000,43.4500000000,36.4900000000,37.4000000000,18265.8693440000,709791.0861300000,709791.0861300000,1,CVX-USDT
2022-01-08,1641571200000,37.3900000000,41.4900000000,37.0000000000,40.1200000000,9350.3550780000,364503.7172120000,364503.7172120000,1,CVX-USDT
2022-01-09,1641657600000,40.0000000000,42.0300000000,35.8300000000,37.7700000000,11351.5468620000,432626.8269970000,432626.8269970000,1,CVX-USDT
2022-01-10,1641744000000,37.7800000000,40.3000000000,33.0500000000,34.4800000000,11169.6644670000,423693.5994300000,423693.5994300000,1,CVX-USDT
2022-01-11,1641830400000,34.4700000000,36.7100000000,34.3600000000,36.4000000000,8716.6691190000,310246.8252350000,310246.8252350000,1,CVX-USDT
2022-01-12,1641916800000,36.4100000000,41.8000000000,36.4000000000,41.6800000000,10152.3310860000,395451.5136060000,395451.5136060000,1,CVX-USDT
2022-01-13,1642003200000,41.6900000000,46.6300000000,40.4000000000,42.8700000000,18274.5698920000,791948.5854340000,791948.5854340000,1,CVX-USDT
