Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-06-15,1528992000000,120.5000000000,9999.0000000000,88.8800000000,91.1200000000,1465.1445212800,211058.9271807000,211058.9271807000,1,DCR-USDT
2018-06-16,1529078400000,90.0000000000,119.0000000000,80.0000000000,83.1400000000,905.6908854000,80927.2837881700,80927.2837881700,1,DCR-USDT
2018-06-17,1529164800000,81.1000000000,92.9900000000,81.0000000000,85.0100000000,394.0714946200,33453.6640104100,33453.6640104100,1,DCR-USDT
2018-06-18,1529251200000,85.0700000000,92.0000000000,83.1000000000,84.5000000000,135.2492258600,11693.5232995200,11693.5232995200,1,DCR-USDT
2018-06-19,1529337600000,84.4100000000,94.5000000000,83.0000000000,89.2900000000,555.2993796800,48816.2654481300,48816.2654481300,1,DCR-USDT
2018-06-20,1529424000000,89.3600000000,93.7900000000,86.0000000000,92.9800000000,33.3601549300,2990.2931363700,2990.2931363700,1,DCR-USDT
2018-06-21,1529510400000,88.8700000000,92.9800000000,88.6800000000,88.6800000000,36.1890129300,3251.8228121500,3251.8228121500,1,DCR-USDT
2018-06-22,1529596800000,88.0700000000,88.6800000000,78.0000000000,78.0000000000,81.7823248600,6827.6073925800,6827.6073925800,1,DCR-USDT
2018-06-23,1529683200000,78.2800000000,78.2800000000,72.6500000000,72.6600000000,245.7538787800,18172.2738399700,18172.2738399700,1,DCR-USDT
2018-06-24,1529769600000,72.6500000000,81.9900000000,65.2000000000,67.0000000000,117.9985558600,8370.1968907900,8370.1968907900,1,DCR-USDT
2018-06-25,1529856000000,70.4000000000,75.0000000000,68.2000000000,75.0000000000,90.6809188500,6570.7206895000,6570.7206895000,1,DCR-USDT
2018-06-26,1529942400000,74.7000000000,79.9900000000,71.0000000000,75.5100000000,32.8684489300,2487.0985040600,2487.0985040600,1,DCR-USDT
