Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-05-29,1590681600000,0.0178,0.0178,0.0131,0.0159,156421098.7879,2345646.5675,2345646.5675,1,DNA-USDT
2020-05-30,1590768000000,0.0159,0.0165,0.0122,0.0128,86786448.8671,1172562.7643,1172562.7643,1,DNA-USDT
2020-05-31,1590854400000,0.0127,0.0145,0.0121,0.0127,14071163.5893,180295.0402,180295.0402,1,DNA-USDT
2020-06-01,1590940800000,0.0126,0.013,0.011,0.011389,114034845.9918,1339122.5999,1339122.5999,1,DNA-USDT
2020-06-02,1591027200000,0.011391,0.012097,0.010168,0.010705,195177678.2872,2170045.3415,2170045.3415,1,DNA-USDT
2020-06-03,1591113600000,0.010709,0.0115,0.010208,0.010371,180803993.8991,1909871.1849,1909871.1849,1,DNA-USDT
2020-06-04,1591200000000,0.010372,0.010999,0.009317,0.009468,182416930.5137,1853787.4659,1853787.4659,1,DNA-USDT
2020-06-05,1591286400000,0.009461,0.00989,0.008506,0.009012,179298558.6572,1677147.2213,1677147.2213,1,DNA-USDT
2020-06-06,1591372800000,0.009013,0.0104,0.008513,0.009799,45297539.616,407192.2098,407192.2098,1,DNA-USDT
2020-06-07,1591459200000,0.00974,0.010518,0.009266,0.010255,16941329.977,171762.8448,171762.8448,1,DNA-USDT
2020-06-08,1591545600000,0.010256,0.01038,0.009101,0.009539,12538630.945,120440.7382,120440.7382,1,DNA-USDT
2020-06-09,1591632000000,0.009466,0.009798,0.008233,0.008586,17282394.18,159189.9493,159189.9493,1,DNA-USDT
2020-06-10,1591718400000,0.008589,0.00936,0.008248,0.0087,21200340.3398,185470.663,185470.663,1,DNA-USDT
2020-06-11,1591804800000,0.008696,0.008699,0.007538,0.007684,24584504.7994,207489.6568,207489.6568,1,DNA-USDT
2020-06-12,1591891200000,0.007664,0.007691,0.006611,0.006697,4476975.7301,31650.0336,31650.0336,1,DNA-USDT
2020-06-13,1591977600000,0.006697,0.0072,0.006494,0.0067,1788042.5061,12071.7854,12071.7854,1,DNA-USDT
2020-06-14,1592064000000,0.006703,0.007198,0.0067,0.006709,11412214.5086,78278.7683,78278.7683,1,DNA-USDT
2020-06-15,1592150400000,0.00674,0.00836,0.00674,0.007014,11874773.9199,89483.9559,89483.9559,1,DNA-USDT
