Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-05-23,1653235200000,9.5000000000,10.6290000000,9.5000000000,10.5760000000,1098.0627570000,11422.5434200000,11422.5434200000,1,DOT-USDC
2022-05-24,1653321600000,10.5680000000,10.7220000000,9.5650000000,10.0200000000,9370.5645480000,95359.9100030000,95359.9100030000,1,DOT-USDC
2022-05-25,1653408000000,9.9950000000,10.3220000000,9.8190000000,9.9320000000,10739.7594900000,107143.3857370000,107143.3857370000,1,DOT-USDC
2022-05-26,1653494400000,9.9120000000,10.0420000000,8.8180000000,9.3760000000,31744.1090730000,296991.9740530000,296991.9740530000,1,DOT-USDC
2022-05-27,1653580800000,9.3610000000,9.9860000000,8.5800000000,9.5350000000,52648.1855350000,491712.6066970000,491712.6066970000,1,DOT-USDC
2022-05-28,1653667200000,9.5450000000,9.5770000000,8.9640000000,9.4210000000,22688.8762650000,209690.4388050000,209690.4388050000,1,DOT-USDC
2022-05-29,1653753600000,9.4170000000,10.0120000000,9.3330000000,9.8040000000,14676.6623650000,141350.8578850000,141350.8578850000,1,DOT-USDC
2022-05-30,1653840000000,9.8070000000,10.6530000000,9.7610000000,10.2880000000,22392.7993520000,227346.0419350000,227346.0419350000,1,DOT-USDC
2022-05-31,1653926400000,10.3010000000,10.7730000000,9.9560000000,10.4070000000,24974.3687270000,256362.5377530000,256362.5377530000,1,DOT-USDC
2022-06-01,1654012800000,10.4110000000,10.7090000000,10.0190000000,10.0190000000,55084.8631320000,568825.9626420001,568825.9626420001,1,DOT-USDC
2022-06-02,1654099200000,10.0070000000,10.0070000000,9.2540000000,9.5970000000,48196.4403800000,461462.7319520000,461462.7319520000,1,DOT-USDC
2022-06-03,1654185600000,9.5960000000,10.0440000000,9.2130000000,9.2570000000,30733.8886980000,296582.6780550000,296582.6780550000,1,DOT-USDC
2022-06-04,1654272000000,9.2540000000,9.4910000000,9.1430000000,9.4270000000,5560.4007950000,51578.0476430000,51578.0476430000,1,DOT-USDC
2022-06-05,1654358400000,9.4230000000,9.5400000000,9.2530000000,9.4260000000,3568.7690040000,33324.4150580000,33324.4150580000,1,DOT-USDC
2022-06-06,1654444800000,9.4350000000,9.9190000000,9.3130000000,9.7080000000,7568.5625710000,72905.9345850000,72905.9345850000,1,DOT-USDC
2022-06-07,1654531200000,9.7010000000,9.7010000000,8.8390000000,9.1020000000,18696.1985280000,169674.0854910000,169674.0854910000,1,DOT-USDC
2022-06-08,1654617600000,9.0960000000,9.4850000000,8.9690000000,9.1400000000,29645.4223500000,270958.9619610000,270958.9619610000,1,DOT-USDC
2022-06-09,1654704000000,9.1290000000,9.3700000000,8.9000000000,9.2540000000,35327.1319750000,322617.5570720000,322617.5570720000,1,DOT-USDC
2022-06-10,1654790400000,9.2560000000,9.4500000000,8.6400000000,8.8460000000,51758.3345950000,469762.0316710000,469762.0316710000,1,DOT-USDC
2022-06-11,1654876800000,8.8450000000,8.8450000000,7.9230000000,8.0370000000,53913.2444390000,459399.5761450000,459399.5761450000,1,DOT-USDC
2022-06-12,1654963200000,8.0420000000,8.2980000000,7.4660000000,7.9840000000,73483.0440020000,572447.1621260000,572447.1621260000,1,DOT-USDC
2022-06-13,1655049600000,7.9830000000,8.0090000000,6.3420000000,6.9370000000,188460.6889440000,1308087.1625850000,1308087.1625850000,1,DOT-USDC
2022-06-14,1655136000000,6.9390000000,7.5320000000,6.6700000000,7.4660000000,168418.1045590000,1202103.3267910001,1202103.3267910001,1,DOT-USDC
2022-06-15,1655222400000,7.4490000000,7.6900000000,6.8340000000,7.2920000000,125786.1057530000,908640.4189160001,908640.4189160001,1,DOT-USDC
2022-06-16,1655308800000,7.2950000000,8.7870000000,6.8710000000,7.4170000000,175492.9329040000,1342620.2824100000,1342620.2824100000,1,DOT-USDC
2022-06-17,1655395200000,7.4160000000,7.5370000000,6.9750000000,7.3000000000,84204.9787360000,612504.2907010000,612504.2907010000,1,DOT-USDC
2022-06-18,1655481600000,7.2940000000,7.4050000000,6.6190000000,6.8180000000,80682.6573620000,560722.7243600000,560722.7243600000,1,DOT-USDC
2022-06-19,1655568000000,6.8160000000,7.3580000000,6.4580000000,7.3490000000,122328.3621620000,850529.6227750001,850529.6227750001,1,DOT-USDC
2022-06-20,1655654400000,7.3450000000,8.0060000000,7.1390000000,7.8350000000,86959.1327750000,657917.7716300000,657917.7716300000,1,DOT-USDC
2022-06-21,1655740800000,7.8350000000,8.2660000000,7.6210000000,8.0740000000,66076.2114080000,528917.2645820000,528917.2645820000,1,DOT-USDC
2022-06-22,1655827200000,8.0690000000,8.1500000000,7.3520000000,7.5090000000,62055.5213240000,475690.3000360000,475690.3000360000,1,DOT-USDC
2022-06-23,1655913600000,7.5100000000,7.7550000000,7.3560000000,7.5520000000,50117.6177270000,379233.6931870000,379233.6931870000,1,DOT-USDC
2022-06-24,1656000000000,7.5540000000,8.1920000000,7.3710000000,8.0770000000,73275.2520030000,577097.7685960000,577097.7685960000,1,DOT-USDC
2022-06-25,1656086400000,8.0800000000,8.5280000000,7.7890000000,7.8050000000,43394.9026600000,353960.0733900000,353960.0733900000,1,DOT-USDC
2022-06-26,1656172800000,7.7960000000,8.4870000000,7.7900000000,8.1200000000,45753.2423470000,373538.8221570000,373538.8221570000,1,DOT-USDC
2022-06-27,1656259200000,8.1210000000,8.2630000000,7.8070000000,7.9460000000,48938.8099750000,391720.4061550000,391720.4061550000,1,DOT-USDC
2022-06-28,1656345600000,7.9420000000,7.9890000000,7.4850000000,7.5750000000,118970.5566960000,924875.6727999999,924875.6727999999,1,DOT-USDC
2022-06-29,1656432000000,7.5650000000,7.6420000000,7.0030000000,7.1790000000,422807.5405640000,3067810.2783969999,3067810.2783969999,1,DOT-USDC
2022-06-30,1656518400000,7.1800000000,7.2110000000,6.6390000000,6.8260000000,651245.9413720000,4493512.1792860003,4493512.1792860003,1,DOT-USDC
2022-07-01,1656604800000,6.8210000000,7.2470000000,6.5440000000,6.7060000000,743750.6628760000,5076063.3514919998,5076063.3514919998,1,DOT-USDC
2022-07-02,1656691200000,6.6990000000,6.9260000000,6.6190000000,6.7440000000,405814.0922220000,2741092.0826849998,2741092.0826849998,1,DOT-USDC
2022-07-03,1656777600000,6.7440000000,6.8990000000,6.6050000000,6.6730000000,236376.1681540000,1595805.2453970001,1595805.2453970001,1,DOT-USDC
2022-07-04,1656864000000,6.6720000000,7.1430000000,6.6570000000,6.9900000000,365636.7885930000,2516486.9370550001,2516486.9370550001,1,DOT-USDC
2022-07-05,1656950400000,6.9920000000,7.2130000000,6.5930000000,6.7180000000,595656.9297800000,4128965.1496660002,4128965.1496660002,1,DOT-USDC
2022-07-06,1657036800000,6.7180000000,6.9760000000,6.6670000000,6.8920000000,564388.1113410000,3868868.2973730001,3868868.2973730001,1,DOT-USDC
