Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2019-06-03,1559491200000,262.61,268.54,252.71,259.63,1420.387093,370580.943136,370580.943136,1,ETH-USDK
2019-06-04,1559577600000,259.89,263.0,240.0,248.56,4504.397422,1120622.446164,1120622.446164,1,ETH-USDK
2019-06-05,1559664000000,249.05,250.03,235.13,239.62,4326.183505,1047740.25252,1047740.25252,1,ETH-USDK
2019-06-06,1559750400000,239.15,248.31,239.0,242.84,2509.569679,613640.650148,613640.650148,1,ETH-USDK
2019-06-07,1559836800000,242.84,250.49,235.9,248.71,4909.179494,1208660.336508,1208660.336508,1,ETH-USDK
2019-06-08,1559923200000,248.71,253.0,244.09,245.87,3754.47987,931354.065754,931354.065754,1,ETH-USDK
2019-06-09,1560009600000,246.06,246.06,234.72,235.59,8356.218065,2015775.251236,2015775.251236,1,ETH-USDK
2019-06-10,1560096000000,235.46,246.31,226.56,242.43,10928.236583,2573164.81825,2573164.81825,1,ETH-USDK
2019-06-11,1560182400000,242.59,248.0,238.0,239.46,8357.098942,2031238.284596,2031238.284596,1,ETH-USDK
2019-06-12,1560268800000,239.53,255.0,237.21,253.63,11476.037497,2827119.230963,2827119.230963,1,ETH-USDK
2019-06-13,1560355200000,253.5,263.29,252.4,259.69,15931.613162,4110362.213974,4110362.213974,1,ETH-USDK
2019-06-14,1560441600000,259.75,261.37,252.09,256.06,15411.164307,3945717.413706,3945717.413706,1,ETH-USDK
2019-06-15,1560528000000,256.08,267.0,254.03,264.72,19951.860524,5236952.950477,5236952.950477,1,ETH-USDK
2019-06-16,1560614400000,264.86,277.57,264.37,271.92,27918.716763,7561238.740884,7561238.740884,1,ETH-USDK
2019-06-17,1560700800000,271.92,274.0,263.44,268.87,29503.797855,7955156.038179,7955156.038179,1,ETH-USDK
2019-06-18,1560787200000,268.67,283.0,264.07,267.06,21541.713988,5826806.960702,5826806.960702,1,ETH-USDK
