Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-12-03,1606924800000,24.0,31.5,24.0,30.61,103412.431,3160214.5696,3160214.5696,1,FIL-USDT
2020-12-04,1607011200000,30.61,30.72,29.74,29.77,230923.1032,6991481.158,6991481.158,1,FIL-USDT
2020-12-05,1607097600000,29.74,30.38,28.94,29.96,212874.1607,6267692.6796,6267692.6796,1,FIL-USDT
2020-12-06,1607184000000,29.96,30.17,29.44,29.5,108220.5983,3220723.3149,3220723.3149,1,FIL-USDT
2020-12-07,1607270400000,29.5,29.95,29.01,29.83,169193.7614,4982701.3813,4982701.3813,1,FIL-USDT
2020-12-08,1607356800000,29.82,33.57,29.75,30.85,488835.1432,15013774.8923,15013774.8923,1,FIL-USDT
2020-12-09,1607443200000,30.86,31.44,29.75,30.74,396948.4627,12028358.6567,12028358.6567,1,FIL-USDT
2020-12-10,1607529600000,30.73,31.9,30.21,30.73,399652.9114,12289891.3173,12289891.3173,1,FIL-USDT
2020-12-11,1607616000000,30.73,32.53,29.95,30.58,553733.6077,17053739.0572,17053739.0572,1,FIL-USDT
2020-12-12,1607702400000,30.57,30.99,29.8,30.24,245485.1114,7412234.2442,7412234.2442,1,FIL-USDT
2020-12-13,1607788800000,30.24,30.88,30.01,30.17,180596.1975,5458137.9945,5458137.9945,1,FIL-USDT
2020-12-14,1607875200000,30.17,30.51,29.84,29.85,184502.4503,5554649.698,5554649.698,1,FIL-USDT
2020-12-15,1607961600000,29.86,30.8,29.11,29.59,378791.6963,11170587.317,11170587.317,1,FIL-USDT
2020-12-16,1608048000000,29.55,30.2,29.03,29.3,365332.5155,10676119.7548,10676119.7548,1,FIL-USDT
2020-12-17,1608134400000,29.31,29.5,27.96,28.9,550741.3664,15899200.9954,15899200.9954,1,FIL-USDT
2020-12-18,1608220800000,28.9,29.31,28.36,28.48,341693.6493,9813196.796,9813196.796,1,FIL-USDT
2020-12-19,1608307200000,28.49,28.9,28.13,28.36,338532.5622,9659881.1079,9659881.1079,1,FIL-USDT
2020-12-20,1608393600000,28.37,28.48,28.06,28.12,224020.5684,6335750.9827,6335750.9827,1,FIL-USDT
2020-12-21,1608480000000,28.12,28.4,23.99,26.41,514247.8084,13747585.7615,13747585.7615,1,FIL-USDT
2020-12-22,1608566400000,26.42,26.43,24.41,25.2,670973.6774,16770128.7878,16770128.7878,1,FIL-USDT
2020-12-23,1608652800000,25.19,25.56,23.25,23.54,512899.7191,12631450.3946,12631450.3946,1,FIL-USDT
2020-12-24,1608739200000,23.58,24.45,21.7,22.94,663891.8336,15211769.8127,15211769.8127,1,FIL-USDT
2020-12-25,1608825600000,22.94,24.42,22.12,23.96,548805.0061,12936598.8713,12936598.8713,1,FIL-USDT
2020-12-26,1608912000000,24.03,24.59,23.48,23.62,309918.7502,7397715.705,7397715.705,1,FIL-USDT
