Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-02-23,1614009600000,16.8000000000,29.4400000000,16.8000000000,21.8800000000,705356.7656920000,14789669.1362410001,14789669.1362410001,1,FLOW-USDT
2021-02-24,1614096000000,21.8900000000,23.1300000000,20.0000000000,20.6600000000,583233.5820910000,12674441.6602389999,12674441.6602389999,1,FLOW-USDT
2021-02-25,1614182400000,20.6500000000,21.1000000000,19.3900000000,20.8900000000,382875.2121780000,7838991.5807590000,7838991.5807590000,1,FLOW-USDT
2021-02-26,1614268800000,20.9300000000,21.9000000000,18.3400000000,19.9600000000,518635.2566860000,10158656.8846700005,10158656.8846700005,1,FLOW-USDT
2021-02-27,1614355200000,19.9800000000,21.0000000000,19.3000000000,20.2000000000,323953.9391560000,6583903.9684340004,6583903.9684340004,1,FLOW-USDT
2021-02-28,1614441600000,20.1800000000,22.0700000000,19.2500000000,19.9200000000,599081.3718300000,12495083.5373870004,12495083.5373870004,1,FLOW-USDT
2021-03-01,1614528000000,19.9200000000,24.9600000000,19.6600000000,24.6900000000,505902.0710840000,11133564.3434599992,11133564.3434599992,1,FLOW-USDT
2021-03-02,1614614400000,24.6800000000,30.3700000000,24.6400000000,27.8200000000,1104324.8233250000,31069850.9362649992,31069850.9362649992,1,FLOW-USDT
2021-03-03,1614700800000,27.8200000000,34.3200000000,27.3000000000,31.7600000000,931646.2229410000,28276336.7763140015,28276336.7763140015,1,FLOW-USDT
2021-03-04,1614787200000,31.7600000000,41.2500000000,31.7600000000,37.5300000000,1030621.6779760000,37474556.3336739987,37474556.3336739987,1,FLOW-USDT
2021-03-05,1614873600000,37.5700000000,41.1900000000,34.8900000000,36.2600000000,882947.0292820000,33114303.7040299997,33114303.7040299997,1,FLOW-USDT
2021-03-06,1614960000000,36.2700000000,38.1600000000,30.5300000000,34.4500000000,682230.6351170000,23126063.9519320019,23126063.9519320019,1,FLOW-USDT
2021-03-07,1615046400000,34.4800000000,36.9200000000,32.9600000000,35.9400000000,473627.7252980000,16406245.7041759994,16406245.7041759994,1,FLOW-USDT
2021-03-08,1615132800000,35.9600000000,35.9600000000,32.9100000000,33.7900000000,472757.4259990000,16099643.7344419993,16099643.7344419993,1,FLOW-USDT
2021-03-09,1615219200000,33.7900000000,38.5600000000,31.6200000000,35.2700000000,898159.7437180000,31543329.0953529999,31543329.0953529999,1,FLOW-USDT
2021-03-10,1615305600000,35.2700000000,36.6600000000,32.8700000000,33.7800000000,592000.7384670000,20441339.9711589999,20441339.9711589999,1,FLOW-USDT
2021-03-11,1615392000000,33.8000000000,35.3100000000,31.2000000000,32.1400000000,518390.3519270000,17074619.4227969982,17074619.4227969982,1,FLOW-USDT
