Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2023-01-10,1673280000000,0.05,0.08,0.0213,0.03928,62807583.78,2411369.74,2411369.74,1,FLR-USDC
2023-01-11,1673366400000,0.03925,0.05192,0.0339,0.05142,66694852.69,2869915.66,2869915.66,1,FLR-USDC
2023-01-12,1673452800000,0.05138,0.05184,0.04201,0.04406,34572820.12,1586493.12,1586493.12,1,FLR-USDC
2023-01-13,1673539200000,0.04405,0.04462,0.0408,0.0435,30454756.55,1316403.38,1316403.38,1,FLR-USDC
2023-01-14,1673625600000,0.0435,0.0481,0.0418,0.04357,25213860.73,1102809.91,1102809.91,1,FLR-USDC
2023-01-15,1673712000000,0.04365,0.04403,0.04236,0.04301,13475712.94,582404.55,582404.55,1,FLR-USDC
2023-01-16,1673798400000,0.04301,0.04472,0.04259,0.04302,14076384.03,613117.63,613117.63,1,FLR-USDC
2023-01-17,1673884800000,0.04305,0.04394,0.04238,0.04267,10507527.53,451601.36,451601.36,1,FLR-USDC
2023-01-18,1673971200000,0.04267,0.04272,0.04039,0.04128,13790221.9,574110.78,574110.78,1,FLR-USDC
2023-01-19,1674057600000,0.04118,0.04118,0.03892,0.03982,11939000.47,477424.19,477424.19,1,FLR-USDC
2023-01-20,1674144000000,0.03986,0.04117,0.0391,0.03954,11890981.08,475802.28,475802.28,1,FLR-USDC
2023-01-21,1674230400000,0.03954,0.04076,0.03936,0.04032,12918569.32,518992.22,518992.22,1,FLR-USDC
2023-01-22,1674316800000,0.04031,0.04089,0.03971,0.0402,10530221.62,423193.95,423193.95,1,FLR-USDC
2023-01-23,1674403200000,0.04022,0.04046,0.03957,0.03971,8941980.64,358482.95,358482.95,1,FLR-USDC
2023-01-24,1674489600000,0.03972,0.03976,0.03785,0.03798,9992124.5,389458.45,389458.45,1,FLR-USDC
2023-01-25,1674576000000,0.03799,0.03808,0.03475,0.03505,13957220.18,500135.39,500135.39,1,FLR-USDC
2023-01-26,1674662400000,0.03505,0.03958,0.0349,0.03776,14375867.04,524461.99,524461.99,1,FLR-USDC
2023-01-27,1674748800000,0.03775,0.03803,0.03541,0.03684,11058119.72,403999.64,403999.64,1,FLR-USDC
2023-01-28,1674835200000,0.03684,0.04227,0.03681,0.04191,11906403.92,460922.99,460922.99,1,FLR-USDC
2023-01-29,1674921600000,0.04188,0.04777,0.03973,0.04401,14194074.98,627710.89,627710.89,1,FLR-USDC
2023-01-30,1675008000000,0.04399,0.04997,0.04371,0.04603,15733400.42,726728.54,726728.54,1,FLR-USDC
2023-01-31,1675094400000,0.04602,0.04742,0.04271,0.04368,11979449.02,526741.51,526741.51,1,FLR-USDC
2023-02-01,1675180800000,0.04369,0.0452,0.04209,0.04237,8270545.92,359250.48,359250.48,1,FLR-USDC
2023-02-02,1675267200000,0.04239,0.04373,0.04132,0.04288,9854613.94,423071.85,423071.85,1,FLR-USDC
2023-02-03,1675353600000,0.04286,0.043,0.0406,0.04096,9528269.22,395564.43,395564.43,1,FLR-USDC
2023-02-04,1675440000000,0.04095,0.0413,0.04019,0.04085,7008406.45,284459.52,284459.52,1,FLR-USDC
2023-02-05,1675526400000,0.04084,0.04159,0.03964,0.03981,7258715.22,295555.54,295555.54,1,FLR-USDC
2023-02-06,1675612800000,0.03978,0.04018,0.03887,0.03938,7648441.88,302813.0,302813.0,1,FLR-USDC
2023-02-07,1675699200000,0.03938,0.04031,0.03881,0.03915,6707677.32,265082.13,265082.13,1,FLR-USDC
2023-02-08,1675785600000,0.03915,0.04129,0.0391,0.04072,6285590.18,252924.35,252924.35,1,FLR-USDC
2023-02-09,1675872000000,0.04072,0.04087,0.03929,0.03996,4417354.94,177389.48,177389.48,1,FLR-USDC
2023-02-10,1675958400000,0.03997,0.04051,0.03742,0.03934,4565130.29,175550.56,175550.56,1,FLR-USDC
2023-02-11,1676044800000,0.03933,0.04135,0.03894,0.03981,4377502.09,175122.48,175122.48,1,FLR-USDC
2023-02-12,1676131200000,0.03981,0.04098,0.03974,0.04033,3920757.88,158126.08,158126.08,1,FLR-USDC
2023-02-13,1676217600000,0.04033,0.04114,0.03809,0.0394,4855204.12,192759.25,192759.25,1,FLR-USDC
2023-02-14,1676304000000,0.03941,0.04134,0.03863,0.04033,5008796.65,200578.45,200578.45,1,FLR-USDC
2023-02-15,1676390400000,0.04029,0.04305,0.04029,0.04256,4918166.32,205244.16,205244.16,1,FLR-USDC
2023-02-16,1676476800000,0.04257,0.0433,0.04157,0.04176,8490756.02,359505.02,359505.02,1,FLR-USDC
2023-02-17,1676563200000,0.04179,0.04183,0.0396,0.03997,8218392.89,332988.14,332988.14,1,FLR-USDC
2023-02-18,1676649600000,0.03996,0.0405,0.03968,0.04009,7232778.29,289859.41,289859.41,1,FLR-USDC
2023-02-19,1676736000000,0.04007,0.04056,0.03997,0.04041,7140352.51,286710.09,286710.09,1,FLR-USDC
2023-02-20,1676822400000,0.04041,0.04102,0.03998,0.04083,5729860.6,230978.36,230978.36,1,FLR-USDC
2023-02-21,1676908800000,0.04086,0.04221,0.03978,0.04037,8864676.27,362001.07,362001.07,1,FLR-USDC
2023-02-22,1676995200000,0.04038,0.04875,0.03997,0.04143,14527557.59,622059.78,622059.78,1,FLR-USDC
2023-02-23,1677081600000,0.04148,0.04357,0.04133,0.04173,7266775.73,305579.68,305579.68,1,FLR-USDC
2023-02-24,1677168000000,0.04174,0.04207,0.03964,0.03965,6244715.7,255436.62,255436.62,1,FLR-USDC
2023-02-25,1677254400000,0.03965,0.04215,0.03846,0.0397,11648380.86,463850.79,463850.79,1,FLR-USDC
2023-02-26,1677340800000,0.03971,0.04,0.03815,0.03884,8093832.95,315280.45,315280.45,1,FLR-USDC
2023-02-27,1677427200000,0.03879,0.04031,0.03834,0.03896,6453544.95,251996.35,251996.35,1,FLR-USDC
2023-02-28,1677513600000,0.03896,0.03993,0.03839,0.03879,5784620.48,225079.76,225079.76,1,FLR-USDC
2023-03-01,1677600000000,0.0388,0.03968,0.03772,0.03875,7339424.66,283230.76,283230.76,1,FLR-USDC
2023-03-02,1677686400000,0.03876,0.04017,0.03733,0.03745,8749115.29,334234.54,334234.54,1,FLR-USDC
