Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-06-23,1655913600000,2.0,2.88,2.0,2.361,13576.9547,34157.3816,34157.3816,1,GALFT-USDC
2022-06-24,1656000000000,2.351,2.541,2.187,2.452,20839.7182,48976.416,48976.416,1,GALFT-USDC
2022-06-25,1656086400000,2.533,2.596,2.299,2.355,23921.299,56572.6881,56572.6881,1,GALFT-USDC
2022-06-26,1656172800000,2.355,2.366,2.299,2.337,16488.7257,38646.5848,38646.5848,1,GALFT-USDC
2022-06-27,1656259200000,2.337,2.354,2.112,2.277,9690.66,22070.9658,22070.9658,1,GALFT-USDC
2022-06-28,1656345600000,2.275,2.381,2.23,2.274,9296.8941,21416.708,21416.708,1,GALFT-USDC
2022-06-29,1656432000000,2.295,2.309,2.159,2.215,29466.5637,65266.0911,65266.0911,1,GALFT-USDC
2022-06-30,1656518400000,2.212,2.26,2.113,2.226,39549.7711,86747.9054,86747.9054,1,GALFT-USDC
2022-07-01,1656604800000,2.224,2.258,2.136,2.19,33520.4999,73385.1236,73385.1236,1,GALFT-USDC
2022-07-02,1656691200000,2.191,2.291,2.139,2.207,39091.3309,85791.7368,85791.7368,1,GALFT-USDC
2022-07-03,1656777600000,2.196,2.248,2.156,2.187,37793.619,83361.6686,83361.6686,1,GALFT-USDC
2022-07-04,1656864000000,2.183,2.285,2.178,2.219,43151.8655,96152.0553,96152.0553,1,GALFT-USDC
2022-07-05,1656950400000,2.214,2.259,2.177,2.186,87305.519,192836.1109,192836.1109,1,GALFT-USDC
2022-07-06,1657036800000,2.19,2.272,2.167,2.222,39784.2243,87935.2236,87935.2236,1,GALFT-USDC
2022-07-07,1657123200000,2.225,24.208,2.186,2.23,38113.2844,85852.1594,85852.1594,1,GALFT-USDC
2022-07-08,1657209600000,2.223,2.274,2.192,2.208,41485.6253,92553.4767,92553.4767,1,GALFT-USDC
2022-07-09,1657296000000,2.209,2.295,2.175,2.254,43193.2684,96500.7327,96500.7327,1,GALFT-USDC
2022-07-10,1657382400000,2.248,2.355,2.201,2.257,45881.5847,104163.6079,104163.6079,1,GALFT-USDC
2022-07-11,1657468800000,2.262,2.308,2.185,2.215,43443.7326,96491.7404,96491.7404,1,GALFT-USDC
2022-07-12,1657555200000,2.207,2.261,2.124,2.129,42119.045,91058.8335,91058.8335,1,GALFT-USDC
2022-07-13,1657641600000,2.131,2.179,2.066,2.108,40387.1535,85662.3405,85662.3405,1,GALFT-USDC
2022-07-14,1657728000000,2.105,2.155,2.079,2.132,37294.5661,79060.1996,79060.1996,1,GALFT-USDC
2022-07-15,1657814400000,2.131,2.319,2.098,2.173,43342.1912,93741.0313,93741.0313,1,GALFT-USDC
2022-07-16,1657900800000,2.172,2.267,2.168,2.257,42502.518,94630.108,94630.108,1,GALFT-USDC
2022-07-17,1657987200000,2.262,2.307,2.237,2.239,42637.2748,96605.9816,96605.9816,1,GALFT-USDC
2022-07-18,1658073600000,2.241,2.317,2.237,2.262,38880.8181,88070.56,88070.56,1,GALFT-USDC
2022-07-19,1658160000000,2.269,2.308,2.138,2.259,47209.3114,106579.9995,106579.9995,1,GALFT-USDC
2022-07-20,1658246400000,2.253,2.343,2.235,2.297,39293.7312,89585.7277,89585.7277,1,GALFT-USDC
2022-07-21,1658332800000,2.291,2.307,2.186,2.196,38488.4144,85752.7247,85752.7247,1,GALFT-USDC
2022-07-22,1658419200000,2.202,2.257,2.178,2.182,37256.8958,82617.6928,82617.6928,1,GALFT-USDC
2022-07-23,1658505600000,2.185,2.222,2.162,2.193,34838.8975,76446.1744,76446.1744,1,GALFT-USDC
2022-07-24,1658592000000,2.195,2.207,2.143,2.191,35678.3679,77651.284,77651.284,1,GALFT-USDC
2022-07-25,1658678400000,2.183,2.223,2.059,2.175,35586.6251,77352.3323,77352.3323,1,GALFT-USDC
2022-07-26,1658764800000,2.173,2.183,2.111,2.121,35636.8586,76231.7262,76231.7262,1,GALFT-USDC
2022-07-27,1658851200000,2.127,2.203,2.09,2.188,44945.2361,96371.7204,96371.7204,1,GALFT-USDC
2022-07-28,1658937600000,2.184,2.279,2.149,2.258,37698.919,83858.7404,83858.7404,1,GALFT-USDC
2022-07-29,1659024000000,2.267,2.326,2.213,2.322,40256.6585,91668.2612,91668.2612,1,GALFT-USDC
2022-07-30,1659110400000,2.319,2.44,2.244,2.424,42627.7052,99701.8053,99701.8053,1,GALFT-USDC
2022-07-31,1659196800000,2.436,2.436,2.229,2.313,43117.3154,99873.7149,99873.7149,1,GALFT-USDC
2022-08-01,1659283200000,2.328,2.439,2.224,2.349,63572.9546,146853.1928,146853.1928,1,GALFT-USDC
2022-08-02,1659369600000,2.352,2.421,2.296,2.385,41245.4988,97128.7893,97128.7893,1,GALFT-USDC
2022-08-03,1659456000000,2.387,2.627,2.313,2.461,48425.5417,116328.9925,116328.9925,1,GALFT-USDC
2022-08-04,1659542400000,2.456,2.511,2.376,2.429,40927.1808,99589.9207,99589.9207,1,GALFT-USDC
2022-08-05,1659628800000,2.428,2.641,2.345,2.522,43403.5411,107216.6423,107216.6423,1,GALFT-USDC
2022-08-06,1659715200000,2.525,2.787,2.489,2.715,42436.935,111178.1056,111178.1056,1,GALFT-USDC
2022-08-07,1659801600000,2.713,2.86,2.678,2.734,40581.026,111547.3674,111547.3674,1,GALFT-USDC
