Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2023-02-08,1675785600000,0.1,0.18,0.0973,0.1309,250718.0742,37260.9848,37260.9848,1,GFT-USDC
2023-02-09,1675872000000,0.1375,0.1831,0.1,0.1372,7137240.0392,1095087.9244,1095087.9244,1,GFT-USDC
2023-02-10,1675958400000,0.1364,0.1544,0.0991,0.1058,8687131.1078,1097985.2718,1097985.2718,1,GFT-USDC
2023-02-11,1676044800000,0.1055,0.1446,0.1005,0.1351,8233291.4285,989229.8944,989229.8944,1,GFT-USDC
2023-02-12,1676131200000,0.1348,0.1462,0.1204,0.1278,4427971.1171,583360.7585,583360.7585,1,GFT-USDC
2023-02-13,1676217600000,0.1279,0.1353,0.107,0.112,5355665.5888,635139.6664,635139.6664,1,GFT-USDC
2023-02-14,1676304000000,0.1119,0.1223,0.1073,0.1124,5015999.6145,570260.4697,570260.4697,1,GFT-USDC
2023-02-15,1676390400000,0.1131,0.1195,0.1094,0.1115,5309538.5501,603276.9295,603276.9295,1,GFT-USDC
2023-02-16,1676476800000,0.1115,0.1338,0.1101,0.1162,6490388.2343,772403.6716,772403.6716,1,GFT-USDC
2023-02-17,1676563200000,0.1163,0.1163,0.0805,0.0876,8080427.1998,770711.7924,770711.7924,1,GFT-USDC
2023-02-18,1676649600000,0.0877,0.0923,0.0847,0.0868,6627437.5194,582751.9864,582751.9864,1,GFT-USDC
2023-02-19,1676736000000,0.0868,0.0872,0.0779,0.0793,8306818.8736,681835.7073,681835.7073,1,GFT-USDC
2023-02-20,1676822400000,0.0793,0.0937,0.0755,0.0788,10626360.7891,877809.0984,877809.0984,1,GFT-USDC
2023-02-21,1676908800000,0.0785,0.088,0.0772,0.0842,7517614.6261,604285.1634,604285.1634,1,GFT-USDC
2023-02-22,1676995200000,0.0842,0.0923,0.0756,0.0766,7583558.9436,630110.6844,630110.6844,1,GFT-USDC
2023-02-23,1677081600000,0.0768,0.0843,0.0758,0.0793,5193823.2952,415285.7803,415285.7803,1,GFT-USDC
2023-02-24,1677168000000,0.0793,0.084,0.0771,0.0781,5330291.4525,426461.6652,426461.6652,1,GFT-USDC
2023-02-25,1677254400000,0.0781,0.0885,0.0758,0.0813,12143187.632,997130.8985,997130.8985,1,GFT-USDC
2023-02-26,1677340800000,0.0814,0.0869,0.0801,0.0822,6079343.9059,504511.9895,504511.9895,1,GFT-USDC
2023-02-27,1677427200000,0.0823,0.0838,0.0784,0.0796,5296768.6081,429417.6166,429417.6166,1,GFT-USDC
2023-02-28,1677513600000,0.0798,0.08,0.0647,0.0692,6893769.4427,511864.6771,511864.6771,1,GFT-USDC
2023-03-01,1677600000000,0.069,0.0714,0.0662,0.0698,6596807.7689,453415.6405,453415.6405,1,GFT-USDC
2023-03-02,1677686400000,0.0698,0.075,0.0663,0.0672,5553438.8505,391510.117,391510.117,1,GFT-USDC
2023-03-03,1677772800000,0.0672,0.0681,0.053,0.0593,6509127.903,399442.92556942,399442.92556942,1,GFT-USDC
2023-03-04,1677859200000,0.0593,0.0641,0.0575,0.0578,4981851.7738,298132.89108231,298132.89108231,1,GFT-USDC
2023-03-05,1677945600000,0.0578,0.0597,0.0533,0.0588,6043120.6668,344630.44359499,344630.44359499,1,GFT-USDC
2023-03-06,1678032000000,0.0588,0.0592,0.0551,0.0574,3516384.5494,199870.15861321,199870.15861321,1,GFT-USDC
2023-03-07,1678118400000,0.0575,0.0625,0.0562,0.058,4952549.7776,292003.12466025,292003.12466025,1,GFT-USDC
2023-03-08,1678204800000,0.0581,0.0617,0.055,0.0579,5245417.966,305969.59408159,305969.59408159,1,GFT-USDC
2023-03-09,1678291200000,0.0579,0.0585,0.052,0.0537,6587622.2293,356286.55618543,356286.55618543,1,GFT-USDC
2023-03-10,1678377600000,0.0538,0.0542,0.0408,0.0458,8314098.7417,392005.86592671,392005.86592671,1,GFT-USDC
2023-03-11,1678464000000,0.0458,0.0515,0.0441,0.0445,6902795.017,324113.62518497,324113.62518497,1,GFT-USDC
2023-03-12,1678550400000,0.0445,0.0447,0.0419,0.0428,4938074.6736,214520.87145699,214520.87145699,1,GFT-USDC
2023-03-13,1678636800000,0.0429,0.0499,0.0429,0.0481,8408274.9036,389951.54188926,389951.54188926,1,GFT-USDC
2023-03-14,1678723200000,0.0481,0.0645,0.048,0.0607,13787815.9958,751547.44072076,751547.44072076,1,GFT-USDC
2023-03-15,1678809600000,0.0608,0.0624,0.0504,0.0507,12753020.3393,716075.45295688,716075.45295688,1,GFT-USDC
2023-03-16,1678896000000,0.051,0.0533,0.0476,0.0518,7195564.2108,365248.93539197,365248.93539197,1,GFT-USDC
2023-03-17,1678982400000,0.0519,0.0546,0.0499,0.0513,5686422.9987,295939.41158361,295939.41158361,1,GFT-USDC
2023-03-18,1679068800000,0.0512,0.057,0.0509,0.053,6173880.4948,330156.85920197,330156.85920197,1,GFT-USDC
2023-03-19,1679155200000,0.053,0.0542,0.0485,0.0494,5432432.981,274017.95486972,274017.95486972,1,GFT-USDC
