Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-02-19,1613664000000,0.45,1.703,0.4146,0.4688,18283464.868547,10778661.822313,10778661.822313,1,GLM-USDT
2021-02-20,1613750400000,0.4691,0.5518,0.3601,0.437,20581074.375794,9328341.197189,9328341.197189,1,GLM-USDT
2021-02-21,1613836800000,0.438,0.4513,0.3923,0.4254,8705417.203245,3678223.114077,3678223.114077,1,GLM-USDT
2021-02-22,1613923200000,0.4256,0.438,0.3,0.3561,6395250.921024,2510928.850667,2510928.850667,1,GLM-USDT
2021-02-23,1614009600000,0.3558,0.45,0.2604,0.319,8093590.107781,2774498.072181,2774498.072181,1,GLM-USDT
2021-02-24,1614096000000,0.3185,0.4058,0.2834,0.3705,7852234.979944,2671271.554952,2671271.554952,1,GLM-USDT
2021-02-25,1614182400000,0.3714,0.44,0.3466,0.3896,10910284.080076,4238958.32583,4238958.32583,1,GLM-USDT
2021-02-26,1614268800000,0.3897,0.3927,0.3208,0.3534,3894844.912954,1386685.325716,1386685.325716,1,GLM-USDT
2021-02-27,1614355200000,0.3535,0.3665,0.3308,0.3496,5163126.032131,1799132.391424,1799132.391424,1,GLM-USDT
2021-02-28,1614441600000,0.35,0.3614,0.2954,0.2977,3229480.149392,1060508.029764,1060508.029764,1,GLM-USDT
2021-03-01,1614528000000,0.2974,0.347,0.295,0.3463,3198567.036835,1038251.912593,1038251.912593,1,GLM-USDT
2021-03-02,1614614400000,0.3465,0.3599,0.333,0.3447,2573904.46052,888969.642771,888969.642771,1,GLM-USDT
2021-03-03,1614700800000,0.3442,0.3689,0.3262,0.3611,2984328.963613,1059892.143392,1059892.143392,1,GLM-USDT
2021-03-04,1614787200000,0.3607,0.3859,0.3465,0.3656,3484877.870586,1274003.19777,1274003.19777,1,GLM-USDT
2021-03-05,1614873600000,0.3653,0.3698,0.3382,0.3628,2618319.956185,930505.762948,930505.762948,1,GLM-USDT
2021-03-06,1614960000000,0.3627,0.4379,0.3408,0.3938,9164208.972305,3686279.893255,3686279.893255,1,GLM-USDT
2021-03-07,1615046400000,0.3939,0.425,0.3883,0.4131,3434032.183555,1392496.31731,1392496.31731,1,GLM-USDT
2021-03-08,1615132800000,0.4133,0.4304,0.3962,0.4141,2269808.80053,936660.635454,936660.635454,1,GLM-USDT
2021-03-09,1615219200000,0.4129,0.4522,0.4078,0.4466,3740451.660983,1589250.513264,1589250.513264,1,GLM-USDT
2021-03-10,1615305600000,0.4465,0.5,0.4136,0.4667,8098570.097444,3731984.836856,3731984.836856,1,GLM-USDT
2021-03-11,1615392000000,0.4681,0.4719,0.4302,0.4516,3613213.345203,1646698.151456,1646698.151456,1,GLM-USDT
2021-03-12,1615478400000,0.4516,0.4851,0.4353,0.4746,4454962.660376,2068483.490428,2068483.490428,1,GLM-USDT
2021-03-13,1615564800000,0.4747,0.488,0.4448,0.4718,4188615.101055,1967938.632484,1967938.632484,1,GLM-USDT
2021-03-14,1615651200000,0.4716,0.5,0.4511,0.4688,2780752.764143,1326001.417845,1326001.417845,1,GLM-USDT
2021-03-15,1615737600000,0.4687,0.495,0.4067,0.4348,2986078.93745,1359896.812552,1359896.812552,1,GLM-USDT
2021-03-16,1615824000000,0.4348,0.4525,0.4121,0.421,2472352.326912,1062140.957435,1062140.957435,1,GLM-USDT
2021-03-17,1615910400000,0.4211,0.4296,0.3877,0.4064,2993204.08661,1230224.541707,1230224.541707,1,GLM-USDT
2021-03-18,1615996800000,0.4049,0.4545,0.4036,0.4507,3889681.415698,1682088.061995,1682088.061995,1,GLM-USDT
2021-03-19,1616083200000,0.4505,0.4608,0.4282,0.4554,2714467.610726,1215926.013132,1215926.013132,1,GLM-USDT
2021-03-20,1616169600000,0.4552,0.5279,0.4467,0.492,8103625.169507,3906289.165035,3906289.165035,1,GLM-USDT
2021-03-21,1616256000000,0.4919,0.5023,0.4282,0.4485,3510205.130091,1617174.160727,1617174.160727,1,GLM-USDT
2021-03-22,1616342400000,0.4481,0.533,0.4443,0.4989,6375582.59367,3150592.893358,3150592.893358,1,GLM-USDT
2021-03-23,1616428800000,0.4987,0.5224,0.4364,0.5025,6164910.22715,2969391.386154,2969391.386154,1,GLM-USDT
2021-03-24,1616515200000,0.5024,0.55,0.486,0.511,7410861.3088,3861479.929557,3861479.929557,1,GLM-USDT
2021-03-25,1616601600000,0.5148,0.5161,0.4251,0.4279,4312450.657056,2000477.209191,2000477.209191,1,GLM-USDT
2021-03-26,1616688000000,0.4278,0.4761,0.4233,0.464,2031834.057366,919141.815101,919141.815101,1,GLM-USDT
2021-03-27,1616774400000,0.4643,0.53,0.461,0.509,3276106.935518,1621835.574989,1621835.574989,1,GLM-USDT
2021-03-28,1616860800000,0.5093,0.6444,0.5093,0.5985,8463544.460059,4877035.248685,4877035.248685,1,GLM-USDT
2021-03-29,1616947200000,0.5977,0.6528,0.5686,0.6196,5796813.500891,3491720.285159,3491720.285159,1,GLM-USDT
2021-03-30,1617033600000,0.6197,0.7,0.595,0.6612,4785601.033037,3042665.904287,3042665.904287,1,GLM-USDT
2021-03-31,1617120000000,0.6611,0.6766,0.5856,0.6142,3479340.908217,2202939.909131,2202939.909131,1,GLM-USDT
2021-04-01,1617206400000,0.6143,0.6423,0.5815,0.605,2940285.36495,1801724.691185,1801724.691185,1,GLM-USDT
2021-04-02,1617292800000,0.6051,0.6074,0.5754,0.5951,2207789.778765,1307607.252456,1307607.252456,1,GLM-USDT
2021-04-03,1617379200000,0.595,0.6385,0.5748,0.6258,2882163.574282,1739743.563768,1739743.563768,1,GLM-USDT
2021-04-04,1617465600000,0.6268,0.634,0.5547,0.5822,2950162.35533,1726379.317336,1726379.317336,1,GLM-USDT
2021-04-05,1617552000000,0.5822,0.6181,0.5512,0.5694,3821915.043008,2202816.727864,2202816.727864,1,GLM-USDT
2021-04-06,1617638400000,0.5697,0.5733,0.5119,0.5231,7210679.93153,3897528.609274,3897528.609274,1,GLM-USDT
2021-04-07,1617724800000,0.5231,0.5458,0.436,0.4631,7127559.277747,3502810.528747,3502810.528747,1,GLM-USDT
2021-04-08,1617811200000,0.4632,0.5257,0.4608,0.5231,2631837.458988,1298774.109674,1298774.109674,1,GLM-USDT
2021-04-09,1617897600000,0.5232,0.5986,0.517,0.57,5103336.159159,2821117.176904,2821117.176904,1,GLM-USDT
2021-04-10,1617984000000,0.5698,0.6601,0.56,0.5926,7566192.98787,4568100.458114,4568100.458114,1,GLM-USDT
2021-04-11,1618070400000,0.5929,0.6323,0.53,0.5611,3655073.318384,2096309.783191,2096309.783191,1,GLM-USDT
2021-04-12,1618156800000,0.5612,0.6048,0.55,0.5604,3382061.535929,1952637.244166,1952637.244166,1,GLM-USDT
2021-04-13,1618243200000,0.5608,0.6008,0.5414,0.5673,3074043.184235,1745892.916428,1745892.916428,1,GLM-USDT
2021-04-14,1618329600000,0.5675,0.582,0.52,0.5253,3662689.100665,2013527.178906,2013527.178906,1,GLM-USDT
2021-04-15,1618416000000,0.5253,0.5729,0.521,0.5677,1741668.100314,962731.515908,962731.515908,1,GLM-USDT
2021-04-16,1618502400000,0.5674,0.5931,0.5109,0.5297,4006506.96654,2173529.412957,2173529.412957,1,GLM-USDT
2021-04-17,1618588800000,0.53,0.5665,0.5245,0.5255,2547974.339274,1371099.111534,1371099.111534,1,GLM-USDT
2021-04-18,1618675200000,0.5255,0.5401,0.43,0.4592,3310473.490974,1585213.462134,1585213.462134,1,GLM-USDT
2021-04-19,1618761600000,0.4586,0.5443,0.437,0.4427,3051966.337989,1461486.279551,1461486.279551,1,GLM-USDT
2021-04-20,1618848000000,0.4382,0.5062,0.3901,0.4399,12344704.416377,5227776.833158,5227776.833158,1,GLM-USDT
2021-04-21,1618934400000,0.4401,0.4835,0.4319,0.4673,2087685.71073,951658.40387,951658.40387,1,GLM-USDT
2021-04-22,1619020800000,0.4686,0.4759,0.4242,0.44,2709500.847714,1210630.976291,1210630.976291,1,GLM-USDT
2021-04-23,1619107200000,0.4431,0.4496,0.296,0.3286,6451025.804486,2220707.200406,2220707.200406,1,GLM-USDT
2021-04-24,1619193600000,0.3284,0.3906,0.3284,0.3453,3080733.238887,1079317.644325,1079317.644325,1,GLM-USDT
2021-04-25,1619280000000,0.3457,0.3715,0.3331,0.3704,15048890.737445,5266977.776205,5266977.776205,1,GLM-USDT
2021-04-26,1619366400000,0.3703,0.4444,0.3251,0.396,3771741.616292,1459269.630266,1459269.630266,1,GLM-USDT
2021-04-27,1619452800000,0.3959,0.4601,0.3927,0.4405,3048504.795793,1304694.487886,1304694.487886,1,GLM-USDT
2021-04-28,1619539200000,0.4402,0.5037,0.4296,0.4306,3477463.857242,1608128.391097,1608128.391097,1,GLM-USDT
2021-04-29,1619625600000,0.4305,0.465,0.4304,0.4397,1620587.810898,719688.595445,719688.595445,1,GLM-USDT
2021-04-30,1619712000000,0.4392,0.4533,0.4278,0.4459,1486252.476272,654704.424681,654704.424681,1,GLM-USDT
2021-05-01,1619798400000,0.4452,0.4675,0.436,0.4547,1412948.709911,644645.921271,644645.921271,1,GLM-USDT
2021-05-02,1619884800000,0.4545,0.4734,0.4225,0.4529,1426297.513913,651626.115301,651626.115301,1,GLM-USDT
2021-05-03,1619971200000,0.4534,0.5139,0.4509,0.4954,6574802.613333,3191276.894943,3191276.894943,1,GLM-USDT
2021-05-04,1620057600000,0.4948,0.4986,0.4336,0.4395,5246079.905984,2482894.103065,2482894.103065,1,GLM-USDT
2021-05-05,1620144000000,0.4351,0.4777,0.4315,0.4719,2613139.361796,1191699.507992,1191699.507992,1,GLM-USDT
2021-05-06,1620230400000,0.4724,0.5034,0.4652,0.5031,2426369.02016,1180763.818577,1180763.818577,1,GLM-USDT
2021-05-07,1620316800000,0.5035,0.5517,0.4657,0.5455,6164337.916794,3105663.225107,3105663.225107,1,GLM-USDT
2021-05-08,1620403200000,0.5457,0.566,0.4807,0.5023,3078078.142428,1612919.681824,1612919.681824,1,GLM-USDT
2021-05-09,1620489600000,0.5021,0.5381,0.4667,0.4812,1836917.741723,904634.912366,904634.912366,1,GLM-USDT
2021-05-10,1620576000000,0.4809,0.5103,0.47,0.4813,1751309.773081,860645.660158,860645.660158,1,GLM-USDT
2021-05-11,1620662400000,0.484,0.5068,0.4027,0.4468,6765002.262829,2938056.188175,2938056.188175,1,GLM-USDT
2021-05-12,1620748800000,0.4474,0.4792,0.4198,0.4344,3750793.472464,1672629.447183,1672629.447183,1,GLM-USDT
2021-05-13,1620835200000,0.4339,0.4369,0.37,0.4012,3299660.598646,1347526.498416,1347526.498416,1,GLM-USDT
2021-05-14,1620921600000,0.4002,0.4373,0.3781,0.4239,1664860.629066,674528.817408,674528.817408,1,GLM-USDT
2021-05-15,1621008000000,0.4237,0.4542,0.3888,0.4071,1721140.477848,711988.576851,711988.576851,1,GLM-USDT
2021-05-16,1621094400000,0.4069,0.4328,0.3838,0.3951,1506705.228809,604456.655136,604456.655136,1,GLM-USDT
