Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-06-28,1656345600000,0.5,0.7131,0.5,0.6716,79092.8929,54767.6657,54767.6657,1,GLMR-USDC
2022-06-29,1656432000000,0.6731,0.6791,0.6207,0.6385,187986.254,121907.6918,121907.6918,1,GLMR-USDC
2022-06-30,1656518400000,0.638,0.6502,0.5804,0.6013,177687.0005,108736.7062,108736.7062,1,GLMR-USDC
2022-07-01,1656604800000,0.6013,0.7435,0.5888,0.6347,575233.0847,368075.3876,368075.3876,1,GLMR-USDC
2022-07-02,1656691200000,0.6356,0.707,0.6237,0.669,998202.4849,656338.345,656338.345,1,GLMR-USDC
2022-07-03,1656777600000,0.6692,0.7004,0.6513,0.6538,685126.189,460501.3245,460501.3245,1,GLMR-USDC
2022-07-04,1656864000000,0.6556,0.701,0.6521,0.6943,519455.4653,348024.2167,348024.2167,1,GLMR-USDC
2022-07-05,1656950400000,0.6956,0.7113,0.6543,0.666,621964.462,426004.8685,426004.8685,1,GLMR-USDC
2022-07-06,1657036800000,0.6658,0.6967,0.6513,0.6624,777513.0764,519648.7975,519648.7975,1,GLMR-USDC
2022-07-07,1657123200000,0.6622,0.6939,0.6527,0.6829,841281.7041,565969.565,565969.565,1,GLMR-USDC
2022-07-08,1657209600000,0.6834,0.71,0.6635,0.6808,859140.1127,588907.6854,588907.6854,1,GLMR-USDC
2022-07-09,1657296000000,0.6799,0.6975,0.6706,0.6881,868063.3629,595019.2436,595019.2436,1,GLMR-USDC
2022-07-10,1657382400000,0.6874,0.7009,0.6435,0.6485,815681.748,549635.7733,549635.7733,1,GLMR-USDC
2022-07-11,1657468800000,0.6493,0.6605,0.6177,0.6229,851476.8235,545280.8576,545280.8576,1,GLMR-USDC
2022-07-12,1657555200000,0.6229,0.6308,0.5857,0.5998,766293.4466,462695.1858,462695.1858,1,GLMR-USDC
2022-07-13,1657641600000,0.6,0.6076,0.5549,0.58,813202.4406,474216.8024,474216.8024,1,GLMR-USDC
2022-07-14,1657728000000,0.578,0.6067,0.5483,0.5969,888281.2639,521784.7728,521784.7728,1,GLMR-USDC
2022-07-15,1657814400000,0.5959,0.631,0.5895,0.6107,1115082.1713,681443.344,681443.344,1,GLMR-USDC
2022-07-16,1657900800000,0.6109,0.6205,0.5894,0.6116,871229.5218,525238.7777,525238.7777,1,GLMR-USDC
2022-07-17,1657987200000,0.6109,0.6432,0.6105,0.6128,952997.6043,591570.0213,591570.0213,1,GLMR-USDC
2022-07-18,1658073600000,0.6129,0.693,0.6065,0.692,959079.6271,620938.1037,620938.1037,1,GLMR-USDC
2022-07-19,1658160000000,0.6904,0.7227,0.6443,0.7219,1168366.036,796309.4727,796309.4727,1,GLMR-USDC
2022-07-20,1658246400000,0.721,0.8055,0.7109,0.7638,1468418.202,1119488.4537,1119488.4537,1,GLMR-USDC
2022-07-21,1658332800000,0.7632,0.7647,0.6746,0.6982,1006183.1197,710466.0491,710466.0491,1,GLMR-USDC
2022-07-22,1658419200000,0.6969,0.7819,0.6957,0.7341,1075584.9767,798981.1299,798981.1299,1,GLMR-USDC
2022-07-23,1658505600000,0.7336,0.7458,0.6895,0.6992,935753.1585,671713.2179,671713.2179,1,GLMR-USDC
2022-07-24,1658592000000,0.698,0.7319,0.678,0.7299,864015.7771,610349.6778,610349.6778,1,GLMR-USDC
2022-07-25,1658678400000,0.7295,0.7414,0.623,0.6824,924569.069,649178.6237,649178.6237,1,GLMR-USDC
2022-07-26,1658764800000,0.6813,0.6989,0.63,0.6322,870595.1264,574438.0905,574438.0905,1,GLMR-USDC
2022-07-27,1658851200000,0.6307,0.6649,0.6255,0.6542,897200.8489,580035.3511,580035.3511,1,GLMR-USDC
2022-07-28,1658937600000,0.6534,0.7504,0.6445,0.7435,1220539.6477,853314.5852,853314.5852,1,GLMR-USDC
2022-07-29,1659024000000,0.7408,0.7918,0.7291,0.7589,1480283.3533,1126157.4822,1126157.4822,1,GLMR-USDC
2022-07-30,1659110400000,0.7593,0.8777,0.7361,0.8543,1458585.4218,1165762.3183,1165762.3183,1,GLMR-USDC
2022-07-31,1659196800000,0.857,0.8707,0.7913,0.8174,1377578.0462,1127518.7977,1127518.7977,1,GLMR-USDC
2022-08-01,1659283200000,0.8141,0.8597,0.7835,0.8128,1299546.8346,1067003.2158,1067003.2158,1,GLMR-USDC
2022-08-02,1659369600000,0.8112,0.8152,0.6071,0.7031,2149910.772,1516049.5371,1516049.5371,1,GLMR-USDC
2022-08-03,1659456000000,0.7033,0.7273,0.6686,0.7087,1274998.4468,893208.3491,893208.3491,1,GLMR-USDC
2022-08-04,1659542400000,0.7079,0.7344,0.677,0.7202,1012483.9382,717822.0105,717822.0105,1,GLMR-USDC
2022-08-05,1659628800000,0.721,0.7823,0.6966,0.7396,1120699.7692,827820.4638,827820.4638,1,GLMR-USDC
2022-08-06,1659715200000,0.7366,0.7902,0.7261,0.7667,1056458.6092,793519.4177,793519.4177,1,GLMR-USDC
2022-08-07,1659801600000,0.7664,0.7909,0.7409,0.7542,1081091.9979,824045.7548,824045.7548,1,GLMR-USDC
2022-08-08,1659888000000,0.7556,0.8087,0.7517,0.7701,999016.6053,775989.1536,775989.1536,1,GLMR-USDC
2022-08-09,1659974400000,0.77,0.7872,0.6957,0.7168,1177005.6558,882161.2952,882161.2952,1,GLMR-USDC
2022-08-10,1660060800000,0.7175,0.7703,0.6935,0.7584,922645.1285,667778.7357,667778.7357,1,GLMR-USDC
2022-08-11,1660147200000,0.7587,0.7895,0.7408,0.7586,991958.6817,758092.1414,758092.1414,1,GLMR-USDC
2022-08-12,1660233600000,0.7623,0.7693,0.7097,0.7268,1196455.313,880939.9818,880939.9818,1,GLMR-USDC
2022-08-13,1660320000000,0.7264,0.7733,0.7235,0.7405,1130739.837,838898.4598,838898.4598,1,GLMR-USDC
2022-08-14,1660406400000,0.7395,0.7496,0.7069,0.7146,1293544.9624,945550.1443,945550.1443,1,GLMR-USDC
2022-08-15,1660492800000,0.7156,0.7308,0.6762,0.7201,1092761.6709,768633.876,768633.876,1,GLMR-USDC
2022-08-16,1660579200000,0.7172,0.7414,0.6924,0.7041,1061760.4196,753602.749,753602.749,1,GLMR-USDC
2022-08-17,1660665600000,0.7034,0.7221,0.6601,0.67,1297496.4686,903406.4166,903406.4166,1,GLMR-USDC
2022-08-18,1660752000000,0.6714,0.6868,0.654,0.6725,1272222.0852,853474.381,853474.381,1,GLMR-USDC
2022-08-19,1660838400000,0.6736,0.6805,0.5938,0.6073,1454272.6226,920566.3925,920566.3925,1,GLMR-USDC
2022-08-20,1660924800000,0.608,0.6383,0.595,0.6277,1192311.3049,740227.7638,740227.7638,1,GLMR-USDC
2022-08-21,1661011200000,0.6289,0.6367,0.5934,0.6315,1098397.6788,678430.857,678430.857,1,GLMR-USDC
2022-08-22,1661097600000,0.6322,0.6443,0.5973,0.6118,1003027.0222,624168.8402,624168.8402,1,GLMR-USDC
2022-08-23,1661184000000,0.6122,0.6264,0.5951,0.6149,1200488.219,735669.1781,735669.1781,1,GLMR-USDC
2022-08-24,1661270400000,0.6157,0.6209,0.5994,0.6177,1223191.9632,746804.159,746804.159,1,GLMR-USDC
2022-08-25,1661356800000,0.6176,0.6259,0.5884,0.6021,1089166.3254,663507.4793,663507.4793,1,GLMR-USDC
2022-08-26,1661443200000,0.601,0.6051,0.56,0.5712,1325075.6537,778015.6267,778015.6267,1,GLMR-USDC
2022-08-27,1661529600000,0.5701,0.5732,0.5353,0.5425,1416985.7609,785756.197,785756.197,1,GLMR-USDC
2022-08-28,1661616000000,0.5443,0.5565,0.537,0.5487,1018251.2659,555657.3704,555657.3704,1,GLMR-USDC
2022-08-29,1661702400000,0.5486,0.5554,0.5227,0.5509,1153049.0819,620952.7484,620952.7484,1,GLMR-USDC
2022-08-30,1661788800000,0.5517,0.5607,0.5185,0.5241,1249419.6724,680388.5402,680388.5402,1,GLMR-USDC
2022-08-31,1661875200000,0.5238,0.5348,0.5126,0.5219,1512181.49,793937.0374,793937.0374,1,GLMR-USDC
2022-09-01,1661961600000,0.5215,0.5349,0.5118,0.5174,1447607.5352,757654.0671,757654.0671,1,GLMR-USDC
2022-09-02,1662048000000,0.5182,0.5726,0.5141,0.5628,1487430.5244,788206.3595,788206.3595,1,GLMR-USDC
2022-09-03,1662134400000,0.5619,0.5687,0.5196,0.5207,1570749.2419,836677.6301,836677.6301,1,GLMR-USDC
2022-09-04,1662220800000,0.5198,0.5318,0.5165,0.5219,1186791.1747,620764.1505,620764.1505,1,GLMR-USDC
