Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2019-09-17,1568649600000,3.294e-05,3.294e-05,6e-06,8.69e-06,16938640.9428,169.9511,169.9511,1,HBAR-BTC
2019-09-18,1568736000000,8.69e-06,9.5e-06,7.51e-06,8.15e-06,9217006.4523,74.7311,74.7311,1,HBAR-BTC
2019-09-19,1568822400000,8.08e-06,8.14e-06,5.55e-06,6.38e-06,33230950.497,220.7276,220.7276,1,HBAR-BTC
2019-09-20,1568908800000,6.36e-06,6.43e-06,4.59e-06,5.12e-06,23434781.9788,129.1239,129.1239,1,HBAR-BTC
2019-09-21,1568995200000,5.07e-06,5.5e-06,4.55e-06,4.68e-06,10674831.4595,51.9264,51.9264,1,HBAR-BTC
2019-09-22,1569081600000,4.68e-06,4.96e-06,4e-06,4.01e-06,10007894.2621,44.0212,44.0212,1,HBAR-BTC
2019-09-23,1569168000000,4.02e-06,4.02e-06,3.51e-06,3.7e-06,19012600.3119,71.4497,71.4497,1,HBAR-BTC
2019-09-24,1569254400000,3.7e-06,4.8e-06,3.68e-06,3.78e-06,20675255.868,83.3593,83.3593,1,HBAR-BTC
2019-09-25,1569340800000,3.78e-06,4e-06,3.1e-06,3.44e-06,24203448.6473,83.1419,83.1419,1,HBAR-BTC
2019-09-26,1569427200000,3.45e-06,3.77e-06,3.36e-06,3.53e-06,17390540.842,61.6691,61.6691,1,HBAR-BTC
2019-09-27,1569513600000,3.53e-06,4.5e-06,3.45e-06,4.09e-06,20990578.3335,82.4512,82.4512,1,HBAR-BTC
2019-09-28,1569600000000,4.09e-06,5.17e-06,3.94e-06,4.71e-06,17719419.3303,82.9013,82.9013,1,HBAR-BTC
2019-09-29,1569686400000,4.78e-06,5.15e-06,4.16e-06,4.21e-06,17190736.4091,80.9052,80.9052,1,HBAR-BTC
2019-09-30,1569772800000,4.2e-06,5.38e-06,4.01e-06,4.61e-06,18067843.7724,85.9151,85.9151,1,HBAR-BTC
2019-10-01,1569859200000,4.6e-06,4.9e-06,4.5e-06,4.6e-06,9788930.0799,45.3013,45.3013,1,HBAR-BTC
