Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-05-11,1620662400000,400.0000000000,750.0000000000,250.9000000000,410.1000000000,805898.5177040000,332249727.5833479762,332249727.5833479762,1,ICP-USDT
2021-05-12,1620748800000,410.4000000000,413.7000000000,284.3000000000,289.7000000000,166641.1603710000,58847335.0120970011,58847335.0120970011,1,ICP-USDT
2021-05-13,1620835200000,289.6000000000,346.0000000000,252.0000000000,293.2000000000,244297.8160590000,73115042.4009750038,73115042.4009750038,1,ICP-USDT
2021-05-14,1620921600000,293.2000000000,341.0000000000,272.0000000000,317.0000000000,107887.4841050000,33386031.8243060000,33386031.8243060000,1,ICP-USDT
2021-05-15,1621008000000,317.1000000000,317.7000000000,261.8000000000,268.8000000000,79429.0675790000,22935536.7489430010,22935536.7489430010,1,ICP-USDT
2021-05-16,1621094400000,268.8000000000,269.0000000000,240.0000000000,241.5000000000,81389.5104850000,20553321.0881880000,20553321.0881880000,1,ICP-USDT
2021-05-17,1621180800000,241.6000000000,247.5000000000,199.0000000000,200.6000000000,125858.8166230000,27049095.5623960011,27049095.5623960011,1,ICP-USDT
2021-05-18,1621267200000,200.6000000000,208.7000000000,166.4000000000,174.2000000000,129419.7934460000,24777430.7071139999,24777430.7071139999,1,ICP-USDT
2021-05-19,1621353600000,174.3000000000,185.1000000000,84.9000000000,129.1000000000,301558.5305930000,41875978.0503749996,41875978.0503749996,1,ICP-USDT
2021-05-20,1621440000000,129.1000000000,223.8000000000,103.8000000000,179.7000000000,575423.2331380000,94386168.9063359946,94386168.9063359946,1,ICP-USDT
2021-05-21,1621526400000,180.2000000000,186.7000000000,138.0000000000,141.0000000000,498517.1026450000,82348801.5960669965,82348801.5960669965,1,ICP-USDT
2021-05-22,1621612800000,141.1000000000,152.5000000000,120.0000000000,138.9000000000,311348.3215530000,43294693.0612490028,43294693.0612490028,1,ICP-USDT
2021-05-23,1621699200000,138.9000000000,168.5000000000,122.2000000000,137.8000000000,319890.5147920000,46343223.6095170006,46343223.6095170006,1,ICP-USDT
2021-05-24,1621785600000,137.8000000000,163.6000000000,120.5000000000,144.5000000000,296027.7200500000,42285686.8741080016,42285686.8741080016,1,ICP-USDT
2021-05-25,1621872000000,144.5000000000,156.2000000000,123.4000000000,137.9000000000,279329.0373920000,39153786.3828309998,39153786.3828309998,1,ICP-USDT
2021-05-26,1621958400000,137.9000000000,152.2000000000,131.3000000000,136.2000000000,191591.4289650000,26904396.5622630008,26904396.5622630008,1,ICP-USDT
2021-05-27,1622044800000,136.2000000000,145.8000000000,129.6000000000,137.3000000000,156719.7636230000,21411635.8854399994,21411635.8854399994,1,ICP-USDT
