Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2023-02-16,1676476800000,0.048,0.8,0.048,0.37196,35832178.5151,12466036.5031,12466036.5031,1,IGU-USDT
2023-02-17,1676563200000,0.37196,0.4,0.275,0.29413,35318096.2824,12116331.765,12116331.765,1,IGU-USDT
2023-02-18,1676649600000,0.29413,0.34885,0.2298,0.23518,10688973.4739,3049639.5584,3049639.5584,1,IGU-USDT
2023-02-19,1676736000000,0.23442,0.249,0.1945,0.22183,12438172.006,2705519.4646,2705519.4646,1,IGU-USDT
2023-02-20,1676822400000,0.22205,0.29212,0.2,0.23889,7651160.1038,1890412.1548,1890412.1548,1,IGU-USDT
2023-02-21,1676908800000,0.23936,0.2676,0.20738,0.22012,4149556.0833,969160.0365,969160.0365,1,IGU-USDT
2023-02-22,1676995200000,0.21964,0.2205,0.17596,0.18304,4415489.6652,872039.5491,872039.5491,1,IGU-USDT
2023-02-23,1677081600000,0.18302,0.2,0.15096,0.19331,6707156.4644,1154301.3058,1154301.3058,1,IGU-USDT
2023-02-24,1677168000000,0.19289,0.19599,0.14209,0.15809,4345130.3951,697565.1239,697565.1239,1,IGU-USDT
2023-02-25,1677254400000,0.15809,0.16074,0.12082,0.13531,2979133.2124,400448.5734,400448.5734,1,IGU-USDT
2023-02-26,1677340800000,0.13536,0.13562,0.12097,0.12643,1694483.6185,213811.0484,213811.0484,1,IGU-USDT
2023-02-27,1677427200000,0.12629,0.15,0.11467,0.11707,3654308.8234,456846.4872,456846.4872,1,IGU-USDT
2023-02-28,1677513600000,0.11703,0.125,0.09984,0.10403,2047302.4878,232293.1128,232293.1128,1,IGU-USDT
2023-03-01,1677600000000,0.10429,0.1598,0.10328,0.14163,5186361.3182,672160.2347,672160.2347,1,IGU-USDT
2023-03-02,1677686400000,0.14163,0.15519,0.1151,0.12013,2736896.0304,367297.3421,367297.3421,1,IGU-USDT
2023-03-03,1677772800000,0.12013,0.1275,0.10899,0.11545,1179691.8193,137432.324963966,137432.324963966,1,IGU-USDT
2023-03-04,1677859200000,0.11546,0.15,0.11498,0.12362,3063282.0344,397189.912335848,397189.912335848,1,IGU-USDT
2023-03-05,1677945600000,0.12365,0.138,0.10641,0.1183,4681446.1063,544210.243124438,544210.243124438,1,IGU-USDT
2023-03-06,1678032000000,0.11847,0.145,0.11154,0.12225,4300683.5601,552306.010260995,552306.010260995,1,IGU-USDT
2023-03-07,1678118400000,0.12223,0.14272,0.12017,0.12822,1879085.0325,244284.551710809,244284.551710809,1,IGU-USDT
2023-03-08,1678204800000,0.12839,0.138,0.12302,0.12537,2021332.7252,261869.011563448,261869.011563448,1,IGU-USDT
2023-03-09,1678291200000,0.12538,0.135,0.118,0.12218,1306055.0226,165362.954306846,165362.954306846,1,IGU-USDT
2023-03-10,1678377600000,0.12261,0.12372,0.09101,0.09816,1976765.5106,207180.107488972,207180.107488972,1,IGU-USDT
2023-03-11,1678464000000,0.09818,0.1079,0.09294,0.09559,1262212.2082,126849.869711701,126849.869711701,1,IGU-USDT
2023-03-12,1678550400000,0.09548,0.10161,0.09029,0.09717,758253.254,73904.834558517,73904.834558517,1,IGU-USDT
2023-03-13,1678636800000,0.09732,0.106,0.0945,0.10227,1532428.357,154821.643688594,154821.643688594,1,IGU-USDT
2023-03-14,1678723200000,0.10209,0.107,0.1,0.10321,1497784.9011,154992.728764693,154992.728764693,1,IGU-USDT
2023-03-15,1678809600000,0.10316,0.105,0.0936,0.09421,1399264.6875,140981.844155916,140981.844155916,1,IGU-USDT
2023-03-16,1678896000000,0.09432,0.09698,0.0845,0.08688,1613338.7924,147221.286119283,147221.286119283,1,IGU-USDT
2023-03-17,1678982400000,0.0869,0.09321,0.08128,0.08487,2141433.0405,186059.249832757,186059.249832757,1,IGU-USDT
2023-03-18,1679068800000,0.08496,0.09642,0.084,0.0916,2190307.4326,197621.218988982,197621.218988982,1,IGU-USDT
2023-03-19,1679155200000,0.09135,0.09395,0.08501,0.08723,1777585.6566,159592.409678885,159592.409678885,1,IGU-USDT
