Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-07-26,1658764800000,0.25,0.25,0.2367,0.2369,826880.6391,198921.0447,198921.0447,1,KLAY-USDC
2022-07-27,1658851200000,0.2371,0.2496,0.2366,0.248,1615970.1135,392740.9052,392740.9052,1,KLAY-USDC
2022-07-28,1658937600000,0.2479,0.2669,0.2457,0.2667,1965541.1986,508677.7408,508677.7408,1,KLAY-USDC
2022-07-29,1659024000000,0.2667,0.3327,0.2657,0.3082,2808851.4691,831423.9023,831423.9023,1,KLAY-USDC
2022-07-30,1659110400000,0.3083,0.3252,0.2946,0.3231,2219331.2183,683203.2005,683203.2005,1,KLAY-USDC
2022-07-31,1659196800000,0.3231,0.3269,0.3062,0.3132,1722950.077,540662.8306,540662.8306,1,KLAY-USDC
2022-08-01,1659283200000,0.3131,0.3178,0.2935,0.3054,2188964.5828,663757.2214,663757.2214,1,KLAY-USDC
2022-08-02,1659369600000,0.3055,0.3058,0.2844,0.2901,2691227.2507,789389.2949,789389.2949,1,KLAY-USDC
2022-08-03,1659456000000,0.29,0.2968,0.2818,0.2908,2357363.9793,682653.6747,682653.6747,1,KLAY-USDC
2022-08-04,1659542400000,0.2908,0.3013,0.284,0.2911,2547567.0556,748158.4843,748158.4843,1,KLAY-USDC
2022-08-05,1659628800000,0.2911,0.2997,0.2864,0.2925,2583086.0516,756694.1181,756694.1181,1,KLAY-USDC
2022-08-06,1659715200000,0.2927,0.2977,0.2897,0.2954,2281283.2822,671867.4439,671867.4439,1,KLAY-USDC
2022-08-07,1659801600000,0.2954,0.2987,0.2878,0.2914,2414404.1623,705919.4306,705919.4306,1,KLAY-USDC
2022-08-08,1659888000000,0.2913,0.3012,0.2885,0.2949,2268716.6368,667646.9995,667646.9995,1,KLAY-USDC
2022-08-09,1659974400000,0.295,0.3022,0.2787,0.2824,2317703.9358,678689.9996,678689.9996,1,KLAY-USDC
2022-08-10,1660060800000,0.2822,0.2946,0.2781,0.2935,2432370.5643,690869.7928,690869.7928,1,KLAY-USDC
2022-08-11,1660147200000,0.2935,0.3035,0.2896,0.2958,2291678.2718,681381.9668,681381.9668,1,KLAY-USDC
2022-08-12,1660233600000,0.2959,0.3072,0.2935,0.3023,2764989.2109,829262.2226,829262.2226,1,KLAY-USDC
2022-08-13,1660320000000,0.3023,0.3111,0.3005,0.3049,2332792.0528,715398.9841,715398.9841,1,KLAY-USDC
2022-08-14,1660406400000,0.3049,0.311,0.3027,0.3073,1995318.6231,611858.1385,611858.1385,1,KLAY-USDC
2022-08-15,1660492800000,0.3073,0.3093,0.2941,0.296,2196367.6363,661225.2058,661225.2058,1,KLAY-USDC
2022-08-16,1660579200000,0.2961,0.2987,0.2881,0.2946,2352128.2846,692408.3534,692408.3534,1,KLAY-USDC
2022-08-17,1660665600000,0.2943,0.301,0.2763,0.2765,3021044.895,879262.4421,879262.4421,1,KLAY-USDC
2022-08-18,1660752000000,0.2772,0.2828,0.2719,0.282,4340715.137,1203884.2277,1203884.2277,1,KLAY-USDC
2022-08-19,1660838400000,0.2821,0.2825,0.2358,0.2399,4978725.9129,1284828.9906,1284828.9906,1,KLAY-USDC
2022-08-20,1660924800000,0.24,0.2512,0.2326,0.2445,4147965.7819,1007823.8355,1007823.8355,1,KLAY-USDC
2022-08-21,1661011200000,0.2446,0.2465,0.2383,0.2459,3422450.6126,829632.326,829632.326,1,KLAY-USDC
2022-08-22,1661097600000,0.2459,0.2515,0.2416,0.2463,3718349.1459,915213.512,915213.512,1,KLAY-USDC
2022-08-23,1661184000000,0.2462,0.2596,0.2421,0.2563,4036728.5524,1014887.8552,1014887.8552,1,KLAY-USDC
2022-08-24,1661270400000,0.2562,0.2625,0.2524,0.2624,3678485.9425,944111.6874,944111.6874,1,KLAY-USDC
2022-08-25,1661356800000,0.2623,0.2634,0.25,0.254,2783255.0872,711176.4119,711176.4119,1,KLAY-USDC
2022-08-26,1661443200000,0.2541,0.2573,0.2448,0.2451,3593307.205,908449.5511,908449.5511,1,KLAY-USDC
2022-08-27,1661529600000,0.245,0.2456,0.2323,0.2364,3433339.4268,816945.4575,816945.4575,1,KLAY-USDC
2022-08-28,1661616000000,0.2365,0.2409,0.2338,0.2404,3440886.1327,818529.8815,818529.8815,1,KLAY-USDC
2022-08-29,1661702400000,0.2402,0.2427,0.228,0.2363,4216695.6594,989318.7377,989318.7377,1,KLAY-USDC
2022-08-30,1661788800000,0.2363,0.2399,0.2303,0.2314,4634164.2336,1097218.5039,1097218.5039,1,KLAY-USDC
2022-08-31,1661875200000,0.2314,0.2361,0.2266,0.231,9214577.8165,2139646.9626,2139646.9626,1,KLAY-USDC
2022-09-01,1661961600000,0.2308,0.2355,0.2258,0.2278,18010598.0681,4141689.0016,4141689.0016,1,KLAY-USDC
2022-09-02,1662048000000,0.2276,0.238,0.2266,0.2363,12226527.7311,2848554.7945,2848554.7945,1,KLAY-USDC
2022-09-03,1662134400000,0.2358,0.2369,0.2278,0.2284,9734569.3479,2249036.7454,2249036.7454,1,KLAY-USDC
2022-09-04,1662220800000,0.2285,0.2315,0.2272,0.2302,7219667.8496,1653326.1145,1653326.1145,1,KLAY-USDC
2022-09-05,1662307200000,0.2298,0.2332,0.222,0.2244,10662480.0196,2426324.6254,2426324.6254,1,KLAY-USDC
2022-09-06,1662393600000,0.2246,0.2301,0.2234,0.227,14930948.1227,3390663.0351,3390663.0351,1,KLAY-USDC
2022-09-07,1662480000000,0.2273,0.2275,0.2111,0.2142,12005632.9101,2588635.7155,2588635.7155,1,KLAY-USDC
2022-09-08,1662566400000,0.2141,0.22,0.2135,0.2175,11703977.4608,2541102.9006,2541102.9006,1,KLAY-USDC
2022-09-09,1662652800000,0.2176,0.2305,0.2152,0.2254,14163793.8731,3152228.5578,3152228.5578,1,KLAY-USDC
2022-09-10,1662739200000,0.2255,0.2348,0.2241,0.2275,12750428.6003,2928356.6908,2928356.6908,1,KLAY-USDC
2022-09-11,1662825600000,0.2276,0.2316,0.2258,0.2299,8722053.1488,1999091.0153,1999091.0153,1,KLAY-USDC
2022-09-12,1662912000000,0.2299,0.2325,0.2255,0.2278,14645275.0303,3354808.1269,3354808.1269,1,KLAY-USDC
2022-09-13,1662998400000,0.2281,0.2281,0.2138,0.2146,16651132.0689,3723659.3018,3723659.3018,1,KLAY-USDC
2022-09-14,1663084800000,0.2144,0.2169,0.2089,0.2111,14211522.8441,3014888.6682,3014888.6682,1,KLAY-USDC
2022-09-15,1663171200000,0.2111,0.2132,0.2025,0.2046,14094001.4886,2940425.3088,2940425.3088,1,KLAY-USDC
2022-09-16,1663257600000,0.2047,0.2074,0.1995,0.2029,12914093.6321,2632789.6159,2632789.6159,1,KLAY-USDC
2022-09-17,1663344000000,0.2031,0.2076,0.1996,0.2072,7728055.241,1574658.5204,1574658.5204,1,KLAY-USDC
2022-09-18,1663430400000,0.2067,0.2103,0.2039,0.205,7108193.3428,1471892.4242,1471892.4242,1,KLAY-USDC
2022-09-19,1663516800000,0.2051,0.2054,0.1884,0.1948,10946188.3556,2133951.3272,2133951.3272,1,KLAY-USDC
2022-09-20,1663603200000,0.1947,0.2027,0.1945,0.2027,9575183.4942,1898887.5468,1898887.5468,1,KLAY-USDC
2022-09-21,1663689600000,0.2028,0.204,0.196,0.2009,12225944.1562,2443134.4656,2443134.4656,1,KLAY-USDC
2022-09-22,1663776000000,0.2009,0.2123,0.1969,0.2058,10746572.0661,2195520.5182,2195520.5182,1,KLAY-USDC
2022-09-23,1663862400000,0.2059,0.2143,0.2026,0.2063,9058693.0711,1884064.0208,1884064.0208,1,KLAY-USDC
2022-09-24,1663948800000,0.2064,0.2096,0.2015,0.2066,5459355.933,1126249.7943,1126249.7943,1,KLAY-USDC
2022-09-25,1664035200000,0.2066,0.2086,0.2004,0.2035,3365121.7659,689196.1482,689196.1482,1,KLAY-USDC
2022-09-26,1664121600000,0.2036,0.2058,0.1966,0.2053,6349738.7238,1279572.6011,1279572.6011,1,KLAY-USDC
2022-09-27,1664208000000,0.2049,0.2102,0.2027,0.2076,7423221.2908,1535136.0155,1535136.0155,1,KLAY-USDC
2022-09-28,1664294400000,0.2078,0.2083,0.1924,0.1956,10142897.9902,2004163.7187,2004163.7187,1,KLAY-USDC
2022-09-29,1664380800000,0.1957,0.1984,0.1933,0.196,4800213.9429,943570.406,943570.406,1,KLAY-USDC
2022-09-30,1664467200000,0.1961,0.1999,0.1946,0.1956,7323118.0967,1446874.8081,1446874.8081,1,KLAY-USDC
2022-10-01,1664553600000,0.1955,0.1965,0.1928,0.1942,2358487.0826,458257.8968,458257.8968,1,KLAY-USDC
2022-10-02,1664640000000,0.1939,0.1943,0.1894,0.1901,3124068.3989,600352.4763,600352.4763,1,KLAY-USDC
2022-10-03,1664726400000,0.19,0.1913,0.1832,0.1883,6793997.4416,1275779.0641,1275779.0641,1,KLAY-USDC
2022-10-04,1664812800000,0.1884,0.1917,0.1877,0.1901,3348022.6291,635167.0212,635167.0212,1,KLAY-USDC
2022-10-05,1664899200000,0.1901,0.1921,0.1862,0.1877,4763203.8912,901797.8546,901797.8546,1,KLAY-USDC
2022-10-06,1664985600000,0.1877,0.1928,0.1875,0.1898,6973258.7706,1328265.9111,1328265.9111,1,KLAY-USDC
2022-10-07,1665072000000,0.1896,0.1906,0.1863,0.1881,5442421.897,1026822.8709,1026822.8709,1,KLAY-USDC
2022-10-08,1665158400000,0.1879,0.1891,0.1872,0.188,2550314.2484,479622.5976,479622.5976,1,KLAY-USDC
2022-10-09,1665244800000,0.1879,0.1886,0.1858,0.1883,2194187.7673,410914.2013,410914.2013,1,KLAY-USDC
2022-10-10,1665331200000,0.1882,0.1892,0.1853,0.1855,4105234.1754,768883.325,768883.325,1,KLAY-USDC
2022-10-11,1665417600000,0.1856,0.1861,0.173,0.1754,10432014.654,1855635.4725,1855635.4725,1,KLAY-USDC
2022-10-12,1665504000000,0.1754,0.1757,0.1642,0.1667,11551208.9395,1964099.8638,1964099.8638,1,KLAY-USDC
2022-10-13,1665590400000,0.1667,0.1669,0.1427,0.1508,18146060.3503,2786364.0867,2786364.0867,1,KLAY-USDC
2022-10-14,1665676800000,0.1509,0.1576,0.1456,0.146,14751228.001,2249915.7485,2249915.7485,1,KLAY-USDC
2022-10-15,1665763200000,0.1459,0.1471,0.1426,0.1444,5135184.1323,743720.2555,743720.2555,1,KLAY-USDC
2022-10-16,1665849600000,0.1443,0.1454,0.142,0.1432,8198405.0836,1176097.3192,1176097.3192,1,KLAY-USDC
2022-10-17,1665936000000,0.1431,0.1442,0.1404,0.1427,9597433.3392,1369829.1663,1369829.1663,1,KLAY-USDC
2022-10-18,1666022400000,0.1427,0.1465,0.1418,0.1424,9225034.8567,1328182.8165,1328182.8165,1,KLAY-USDC
2022-10-19,1666108800000,0.1424,0.1459,0.1389,0.1404,8881703.1385,1263754.0825,1263754.0825,1,KLAY-USDC
2022-10-20,1666195200000,0.1402,0.1412,0.1333,0.1354,7577644.9988,1033577.7316,1033577.7316,1,KLAY-USDC
2022-10-21,1666281600000,0.1353,0.1483,0.1202,0.1464,27687648.389,3701585.2426,3701585.2426,1,KLAY-USDC
2022-10-22,1666368000000,0.1467,0.1517,0.14,0.1408,22082644.2346,3212151.7117,3212151.7117,1,KLAY-USDC
2022-10-23,1666454400000,0.1408,0.171,0.139,0.1646,17976557.8838,2705410.6796,2705410.6796,1,KLAY-USDC
2022-10-24,1666540800000,0.1649,0.2871,0.1624,0.1917,76960394.3167,14282040.5304,14282040.5304,1,KLAY-USDC
2022-10-25,1666627200000,0.1911,0.2308,0.1909,0.1957,55440127.1579,11745318.9895,11745318.9895,1,KLAY-USDC
2022-10-26,1666713600000,0.1955,0.2042,0.186,0.1969,17363369.3598,3403188.0618,3403188.0618,1,KLAY-USDC
2022-10-27,1666800000000,0.1968,0.2704,0.1964,0.2576,12808938.2657,2993767.2889,2993767.2889,1,KLAY-USDC
2022-10-28,1666886400000,0.2576,0.276,0.2443,0.2533,11890267.8341,3057065.0497,3057065.0497,1,KLAY-USDC
2022-10-29,1666972800000,0.253,0.2824,0.2391,0.2788,11941619.2458,2968926.4857,2968926.4857,1,KLAY-USDC
2022-10-30,1667059200000,0.2865,0.3412,0.2692,0.2771,10583588.7976,3132307.8942,3132307.8942,1,KLAY-USDC
2022-10-31,1667145600000,0.2732,0.2903,0.2622,0.2771,7233116.4098,1982182.4136,1982182.4136,1,KLAY-USDC
2022-11-01,1667232000000,0.2777,0.2777,0.2522,0.2551,8831353.3057,2286177.8321,2286177.8321,1,KLAY-USDC
2022-11-02,1667318400000,0.255,0.2588,0.2325,0.2385,11230396.6928,2756054.7656,2756054.7656,1,KLAY-USDC
2022-11-03,1667404800000,0.2382,0.255,0.2352,0.2407,10821446.4716,2633858.0946,2633858.0946,1,KLAY-USDC
2022-11-04,1667491200000,0.2404,0.2422,0.226,0.2353,13352039.5681,3122593.9226,3122593.9226,1,KLAY-USDC
2022-11-05,1667577600000,0.2363,0.2461,0.2341,0.2375,12550939.0257,2993548.7334,2993548.7334,1,KLAY-USDC
