Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-09-02,1598976000000,41.89,58.4,41.18,48.53,394138.3023,19621158.3757,19621158.3757,1,KSM-USDT
2020-09-03,1599062400000,48.72,60.0,39.02,49.95,1012587.0664,50482089.2005,50482089.2005,1,KSM-USDT
2020-09-04,1599148800000,49.97,51.99,33.53,38.71,689272.5564,30697044.8746,30697044.8746,1,KSM-USDT
2020-09-05,1599235200000,38.74,45.21,29.72,37.69,771545.9887,29232937.6702,29232937.6702,1,KSM-USDT
2020-09-06,1599321600000,37.56,39.0,29.0,36.13,1385549.9587,46029304.5019,46029304.5019,1,KSM-USDT
2020-09-07,1599408000000,36.09,39.0,30.83,34.09,895012.3267,31554983.0793,31554983.0793,1,KSM-USDT
2020-09-08,1599494400000,34.1,36.57,30.64,32.32,745731.7448,24886479.7806,24886479.7806,1,KSM-USDT
2020-09-09,1599580800000,32.25,36.0,30.12,34.9,532625.0167,16956737.8825,16956737.8825,1,KSM-USDT
2020-09-10,1599667200000,34.85,37.52,33.0,33.85,295084.9954,10347553.9192,10347553.9192,1,KSM-USDT
2020-09-11,1599753600000,33.9,34.0,30.88,32.08,49632.9682,1583794.5916,1583794.5916,1,KSM-USDT
2020-09-12,1599840000000,32.05,33.95,31.06,33.04,49748.2011,1602622.3051,1602622.3051,1,KSM-USDT
2020-09-13,1599926400000,33.02,42.5,32.72,37.03,114748.3841,4299923.0117,4299923.0117,1,KSM-USDT
2020-09-14,1600012800000,37.09,42.79,36.2,40.75,99087.386,3953344.3385,3953344.3385,1,KSM-USDT
2020-09-15,1600099200000,40.84,44.5,37.83,39.18,71014.3306,2870853.2507,2870853.2507,1,KSM-USDT
2020-09-16,1600185600000,39.39,42.02,37.5,41.21,63160.2016,2528744.7865,2528744.7865,1,KSM-USDT
2020-09-17,1600272000000,41.2,47.9,40.22,47.36,77944.2481,3395884.4137,3395884.4137,1,KSM-USDT
2020-09-18,1600358400000,47.42,50.0,44.42,45.31,80824.3399,3801037.4313,3801037.4313,1,KSM-USDT
2020-09-19,1600444800000,45.32,48.5,42.06,45.63,52529.1481,2368418.3112,2368418.3112,1,KSM-USDT
2020-09-20,1600531200000,45.65,46.98,37.84,38.36,52738.5144,2223575.5086,2223575.5086,1,KSM-USDT
2020-09-21,1600617600000,38.17,40.05,31.0,32.53,80238.823,2836663.7207,2836663.7207,1,KSM-USDT
2020-09-22,1600704000000,32.53,34.86,31.0,33.18,49038.2054,1590972.0192,1590972.0192,1,KSM-USDT
2020-09-23,1600790400000,33.21,36.41,30.98,33.88,53608.5077,1804793.4531,1804793.4531,1,KSM-USDT
2020-09-24,1600876800000,33.82,36.09,32.13,35.14,52305.0073,1777422.4427,1777422.4427,1,KSM-USDT
2020-09-25,1600963200000,35.19,37.8,35.19,36.44,33903.423,1227105.0053,1227105.0053,1,KSM-USDT
2020-09-26,1601049600000,36.48,37.8,34.93,36.04,27128.7899,986819.2343,986819.2343,1,KSM-USDT
2020-09-27,1601136000000,35.83,36.21,32.6,34.98,27940.6578,964819.473,964819.473,1,KSM-USDT
2020-09-28,1601222400000,34.96,36.2,32.29,35.56,48818.9746,1672137.8365,1672137.8365,1,KSM-USDT
2020-09-29,1601308800000,35.66,36.43,33.6,34.96,25023.6171,869493.4453,869493.4453,1,KSM-USDT
2020-09-30,1601395200000,34.87,35.8,33.6,34.47,20596.201,711681.0389,711681.0389,1,KSM-USDT
2020-10-01,1601481600000,34.44,36.37,33.78,34.75,29757.7024,1036197.4726,1036197.4726,1,KSM-USDT
2020-10-02,1601568000000,34.75,34.75,30.54,31.69,49910.2947,1604253.7199,1604253.7199,1,KSM-USDT
2020-10-03,1601654400000,31.64,32.88,31.47,32.75,9413.863,303770.5853,303770.5853,1,KSM-USDT
2020-10-04,1601740800000,32.78,33.04,31.11,31.41,13998.9997,446518.5011,446518.5011,1,KSM-USDT
2020-10-05,1601827200000,31.41,32.66,31.2,32.06,12070.1867,386566.1832,386566.1832,1,KSM-USDT
2020-10-06,1601913600000,32.18,32.25,29.84,30.5,25434.5864,788919.4973,788919.4973,1,KSM-USDT
2020-10-07,1602000000000,30.5,30.85,24.1,26.02,51899.6733,1394220.0057,1394220.0057,1,KSM-USDT
2020-10-08,1602086400000,26.02,27.83,23.11,27.47,69815.0342,1796268.0559,1796268.0559,1,KSM-USDT
2020-10-09,1602172800000,27.49,30.13,26.51,30.08,46068.7509,1310914.0014,1310914.0014,1,KSM-USDT
2020-10-10,1602259200000,30.14,32.13,28.82,30.01,37692.2597,1151850.3006,1151850.3006,1,KSM-USDT
2020-10-11,1602345600000,30.03,30.86,28.35,28.95,21443.5435,629148.1219,629148.1219,1,KSM-USDT
2020-10-12,1602432000000,29.12,32.0,29.0,31.52,27079.5456,829169.8466,829169.8466,1,KSM-USDT
2020-10-13,1602518400000,31.46,33.12,30.11,30.74,30085.602,961115.0575,961115.0575,1,KSM-USDT
2020-10-14,1602604800000,30.65,32.34,30.05,30.41,25073.0272,777991.5315,777991.5315,1,KSM-USDT
2020-10-15,1602691200000,30.43,31.33,28.84,29.6,26526.434,792129.7465,792129.7465,1,KSM-USDT
2020-10-16,1602777600000,29.53,29.97,27.04,28.52,25493.8797,725562.9104,725562.9104,1,KSM-USDT
2020-10-17,1602864000000,28.54,30.93,27.91,30.89,15741.5758,452358.2682,452358.2682,1,KSM-USDT
2020-10-18,1602950400000,30.94,32.0,30.56,31.32,24423.0201,763451.7888,763451.7888,1,KSM-USDT
2020-10-19,1603036800000,31.24,31.97,30.19,31.24,17646.2748,551503.7115,551503.7115,1,KSM-USDT
2020-10-20,1603123200000,31.29,31.59,28.55,29.64,31399.956,942812.8478,942812.8478,1,KSM-USDT
2020-10-21,1603209600000,29.64,31.02,28.0,29.07,39777.3311,1156558.3355,1156558.3355,1,KSM-USDT
2020-10-22,1603296000000,29.12,30.22,28.93,30.0,42888.8669,1266219.7829,1266219.7829,1,KSM-USDT
2020-10-23,1603382400000,29.99,30.79,28.02,28.32,52998.894,1549915.9847,1549915.9847,1,KSM-USDT
2020-10-24,1603468800000,28.34,29.8,28.25,28.57,21921.1906,629359.8792,629359.8792,1,KSM-USDT
2020-10-25,1603555200000,28.64,28.66,26.5,26.96,49129.0138,1356260.2245,1356260.2245,1,KSM-USDT
2020-10-26,1603641600000,27.0,38.99,26.67,35.4,166300.928,5578707.4775,5578707.4775,1,KSM-USDT
2020-10-27,1603728000000,35.33,38.0,33.0,35.33,180077.8921,6323350.1276,6323350.1276,1,KSM-USDT
2020-10-28,1603814400000,35.35,35.42,31.1,32.29,98789.9842,3294707.4667,3294707.4667,1,KSM-USDT
2020-10-29,1603900800000,32.33,33.0,29.66,31.07,54142.8308,1706759.9193,1706759.9193,1,KSM-USDT
2020-10-30,1603987200000,30.95,31.8,28.89,29.9,52826.2419,1591450.1626,1591450.1626,1,KSM-USDT
2020-10-31,1604073600000,29.86,32.0,29.3,31.9,33558.4211,1040332.8335,1040332.8335,1,KSM-USDT
2020-11-01,1604160000000,31.92,33.6,30.01,33.03,29642.1759,940783.6488,940783.6488,1,KSM-USDT
2020-11-02,1604246400000,33.02,33.8,30.09,30.92,47321.4259,1508657.4721,1508657.4721,1,KSM-USDT
2020-11-03,1604332800000,30.84,31.56,28.19,28.59,40804.2918,1222340.0531,1222340.0531,1,KSM-USDT
2020-11-04,1604419200000,28.52,29.99,27.31,27.81,31870.6512,908455.5007,908455.5007,1,KSM-USDT
