Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-06-07,1654531200000,0.33,0.3406,0.3241,0.3344,51527.7337,16952.339,16952.339,1,LOOKS-USDC
2022-06-08,1654617600000,0.3344,0.3574,0.3179,0.3241,73135.2311,24446.8869,24446.8869,1,LOOKS-USDC
2022-06-09,1654704000000,0.3238,0.329,0.2949,0.313,103526.7563,31979.6376,31979.6376,1,LOOKS-USDC
2022-06-10,1654790400000,0.3133,0.3142,0.2793,0.2926,387829.1295,113555.0022,113555.0022,1,LOOKS-USDC
2022-06-11,1654876800000,0.2898,0.3072,0.2378,0.2435,657551.0901,183221.3898,183221.3898,1,LOOKS-USDC
2022-06-12,1654963200000,0.244,0.254,0.2082,0.2253,1063267.1098,241480.2199,241480.2199,1,LOOKS-USDC
2022-06-13,1655049600000,0.2258,0.2351,0.168,0.179,1462103.1065,281259.4005,281259.4005,1,LOOKS-USDC
2022-06-14,1655136000000,0.1789,0.2018,0.1612,0.1997,1133405.0315,207099.4271,207099.4271,1,LOOKS-USDC
2022-06-15,1655222400000,0.1991,0.2177,0.1724,0.2046,1354788.4967,267348.2561,267348.2561,1,LOOKS-USDC
2022-06-16,1655308800000,0.2048,0.2572,0.179,0.2084,2169701.823,473083.5432,473083.5432,1,LOOKS-USDC
2022-06-17,1655395200000,0.2088,0.3088,0.1954,0.2642,2311904.6765,568048.8057,568048.8057,1,LOOKS-USDC
2022-06-18,1655481600000,0.2646,0.2876,0.2242,0.2684,1834210.4936,462696.3538,462696.3538,1,LOOKS-USDC
2022-06-19,1655568000000,0.2678,0.2983,0.2357,0.2911,2555434.0379,693834.0326,693834.0326,1,LOOKS-USDC
2022-06-20,1655654400000,0.2914,0.4096,0.2787,0.4038,1849525.6021,646703.1408,646703.1408,1,LOOKS-USDC
2022-06-21,1655740800000,0.4036,0.4384,0.37,0.3881,1129400.5245,453365.6733,453365.6733,1,LOOKS-USDC
2022-06-22,1655827200000,0.3883,0.4005,0.3454,0.3736,944031.7017,347658.2674,347658.2674,1,LOOKS-USDC
2022-06-23,1655913600000,0.3742,0.3934,0.3498,0.3782,607628.4963,225997.913,225997.913,1,LOOKS-USDC
2022-06-24,1656000000000,0.3779,0.433,0.3703,0.3944,563063.9574,226860.052,226860.052,1,LOOKS-USDC
2022-06-25,1656086400000,0.3942,0.4161,0.3574,0.3574,356101.456,138660.8425,138660.8425,1,LOOKS-USDC
2022-06-26,1656172800000,0.3575,0.3885,0.3575,0.3653,288764.0738,107938.2096,107938.2096,1,LOOKS-USDC
2022-06-27,1656259200000,0.3652,0.3699,0.3162,0.329,474147.2773,160150.2322,160150.2322,1,LOOKS-USDC
2022-06-28,1656345600000,0.3291,0.347,0.3143,0.322,450483.013,150794.848,150794.848,1,LOOKS-USDC
2022-06-29,1656432000000,0.3221,0.3307,0.2814,0.2921,1908124.8157,572450.3749,572450.3749,1,LOOKS-USDC
2022-06-30,1656518400000,0.292,0.2947,0.2513,0.2792,2139975.4357,586019.2698,586019.2698,1,LOOKS-USDC
2022-07-01,1656604800000,0.2791,0.326,0.2773,0.2963,2929354.8484,887576.4051,887576.4051,1,LOOKS-USDC
2022-07-02,1656691200000,0.2967,0.3174,0.2765,0.2853,1715192.2897,511541.7502,511541.7502,1,LOOKS-USDC
2022-07-03,1656777600000,0.2854,0.2978,0.269,0.2735,1145551.6378,323226.5815,323226.5815,1,LOOKS-USDC
2022-07-04,1656864000000,0.2725,0.3084,0.2707,0.2958,1385079.3154,392790.0775,392790.0775,1,LOOKS-USDC
2022-07-05,1656950400000,0.2962,0.343,0.295,0.3304,2978708.9131,961933.9425,961933.9425,1,LOOKS-USDC
2022-07-06,1657036800000,0.3299,0.3652,0.3299,0.3529,2615183.0526,907322.8221,907322.8221,1,LOOKS-USDC
2022-07-07,1657123200000,0.3537,0.3584,0.3292,0.3516,1379592.416,474424.5127,474424.5127,1,LOOKS-USDC
2022-07-08,1657209600000,0.353,0.3725,0.3221,0.3386,2187362.0906,754671.1667,754671.1667,1,LOOKS-USDC
2022-07-09,1657296000000,0.3386,0.3427,0.3129,0.3144,1203694.6596,396006.142,396006.142,1,LOOKS-USDC
2022-07-10,1657382400000,0.3145,0.3272,0.3053,0.3082,1287982.2519,405401.9537,405401.9537,1,LOOKS-USDC
2022-07-11,1657468800000,0.3082,0.3278,0.2879,0.2984,1224169.3141,380794.0233,380794.0233,1,LOOKS-USDC
2022-07-12,1657555200000,0.2979,0.3009,0.2772,0.2962,973505.1799,279456.5209,279456.5209,1,LOOKS-USDC
2022-07-13,1657641600000,0.2963,0.3087,0.263,0.2842,1263233.2119,368231.0109,368231.0109,1,LOOKS-USDC
2022-07-14,1657728000000,0.2845,0.3,0.254,0.2939,88633.7113,25820.789,25820.789,1,LOOKS-USDC
2022-07-15,1657814400000,0.2945,0.3571,0.2914,0.3411,368473.9448,121856.9691,121856.9691,1,LOOKS-USDC
2022-07-16,1657900800000,0.341,0.3994,0.3395,0.3978,287300.1015,104118.1115,104118.1115,1,LOOKS-USDC
2022-07-17,1657987200000,0.3985,0.429,0.3825,0.3847,366967.2354,149683.0314,149683.0314,1,LOOKS-USDC
2022-07-18,1658073600000,0.3847,0.5062,0.3837,0.4864,396582.5236,183053.0151,183053.0151,1,LOOKS-USDC
2022-07-19,1658160000000,0.4855,0.4901,0.4064,0.4284,341028.8664,150175.7283,150175.7283,1,LOOKS-USDC
2022-07-20,1658246400000,0.427,0.4634,0.4192,0.433,465063.7208,205664.1447,205664.1447,1,LOOKS-USDC
2022-07-21,1658332800000,0.4318,0.4349,0.3706,0.4064,253632.4606,100183.7118,100183.7118,1,LOOKS-USDC
2022-07-22,1658419200000,0.4052,0.4423,0.3959,0.3974,200397.6051,84591.057,84591.057,1,LOOKS-USDC
2022-07-23,1658505600000,0.3979,0.4091,0.3754,0.408,123459.5514,48593.1802,48593.1802,1,LOOKS-USDC
2022-07-24,1658592000000,0.4071,0.4156,0.3832,0.3938,205225.0468,81901.3826,81901.3826,1,LOOKS-USDC
2022-07-25,1658678400000,0.3939,0.414,0.357,0.3661,163685.894,62043.6574,62043.6574,1,LOOKS-USDC
2022-07-26,1658764800000,0.3655,0.3715,0.326,0.3263,190364.8666,64840.7552,64840.7552,1,LOOKS-USDC
2022-07-27,1658851200000,0.3261,0.3543,0.318,0.3467,187912.7125,64400.3789,64400.3789,1,LOOKS-USDC
2022-07-28,1658937600000,0.3462,0.4066,0.3451,0.4013,313359.7849,118329.5123,118329.5123,1,LOOKS-USDC
2022-07-29,1659024000000,0.4081,0.4545,0.3936,0.4058,287914.0347,124312.0932,124312.0932,1,LOOKS-USDC
2022-07-30,1659110400000,0.404,0.4226,0.3908,0.4192,107033.4214,43427.0422,43427.0422,1,LOOKS-USDC
2022-07-31,1659196800000,0.4227,0.4256,0.3844,0.3965,45596.4225,18196.625,18196.625,1,LOOKS-USDC
2022-08-01,1659283200000,0.3965,0.41,0.3643,0.3844,51882.8706,20067.9626,20067.9626,1,LOOKS-USDC
2022-08-02,1659369600000,0.3824,0.3824,0.3407,0.3569,104327.634,36939.8156,36939.8156,1,LOOKS-USDC
2022-08-03,1659456000000,0.357,0.3827,0.3434,0.3808,134736.3168,49566.1963,49566.1963,1,LOOKS-USDC
2022-08-04,1659542400000,0.3803,0.3857,0.3526,0.3612,153913.4868,55939.6868,55939.6868,1,LOOKS-USDC
2022-08-05,1659628800000,0.3597,0.3813,0.3488,0.3702,75526.3643,27428.1674,27428.1674,1,LOOKS-USDC
2022-08-06,1659715200000,0.3749,0.4109,0.367,0.4109,129953.4914,51519.4248,51519.4248,1,LOOKS-USDC
2022-08-07,1659801600000,0.4113,0.4127,0.3844,0.3996,58042.4975,23201.6584,23201.6584,1,LOOKS-USDC
2022-08-08,1659888000000,0.3974,0.4304,0.395,0.4053,77415.2924,32404.472,32404.472,1,LOOKS-USDC
2022-08-09,1659974400000,0.4094,0.4121,0.3682,0.3744,111932.2084,43691.7109,43691.7109,1,LOOKS-USDC
2022-08-10,1660060800000,0.3736,0.4237,0.3667,0.4151,119153.8636,47217.8107,47217.8107,1,LOOKS-USDC
2022-08-11,1660147200000,0.4148,0.4264,0.396,0.3999,244178.7873,100650.8106,100650.8106,1,LOOKS-USDC
2022-08-12,1660233600000,0.3981,0.4132,0.3878,0.3959,147369.208,58891.6777,58891.6777,1,LOOKS-USDC
2022-08-13,1660320000000,0.3952,0.4454,0.3928,0.42,127775.9371,54181.0702,54181.0702,1,LOOKS-USDC
2022-08-14,1660406400000,0.4224,0.4315,0.3981,0.4062,102880.8794,42790.402,42790.402,1,LOOKS-USDC
2022-08-15,1660492800000,0.4061,0.4084,0.362,0.377,237704.7273,91152.3126,91152.3126,1,LOOKS-USDC
2022-08-16,1660579200000,0.377,0.3779,0.3446,0.3594,204060.5098,72331.16,72331.16,1,LOOKS-USDC
2022-08-17,1660665600000,0.3575,0.3674,0.3288,0.331,244107.1828,85254.7288,85254.7288,1,LOOKS-USDC
