Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-01-13,1642003200000,4.0,5.299,4.0,4.2799,1287684.194305,5989485.860105,5989485.860105,1,LOOKS-USDT
2022-01-14,1642089600000,4.28,4.58,3.1111,3.3579,1927362.188921,7233365.122607,7233365.122607,1,LOOKS-USDT
2022-01-15,1642176000000,3.3581,3.9629,3.2611,3.796,1226341.635273,4402472.557239,4402472.557239,1,LOOKS-USDT
2022-01-16,1642262400000,3.7944,4.4,3.6,4.2902,749979.420902,2964162.551662,2964162.551662,1,LOOKS-USDT
2022-01-17,1642348800000,4.2907,5.1,4.1678,4.6128,1205120.069833,5560028.68267,5560028.68267,1,LOOKS-USDT
2022-01-18,1642435200000,4.6111,5.0851,4.15,4.4517,752014.598103,3392844.663372,3392844.663372,1,LOOKS-USDT
2022-01-19,1642521600000,4.4496,6.0,4.4215,5.8897,1069429.263625,5543805.62277,5543805.62277,1,LOOKS-USDT
2022-01-20,1642608000000,5.8928,7.0207,5.6075,6.8519,1141044.27424,7162320.315315,7162320.315315,1,LOOKS-USDT
2022-01-21,1642694400000,6.8401,7.1,4.8464,5.365,2008624.92169,11251240.676685,11251240.676685,1,LOOKS-USDT
2022-01-22,1642780800000,5.3644,5.5,3.224,3.6409,3011339.93718,12260079.707692,12260079.707692,1,LOOKS-USDT
2022-01-23,1642867200000,3.6344,4.6287,3.5172,4.0805,1529396.185127,6193945.106007,6193945.106007,1,LOOKS-USDT
2022-01-24,1642953600000,4.0789,4.449,3.1577,3.6296,2325957.939729,8498291.164335,8498291.164335,1,LOOKS-USDT
2022-01-25,1643040000000,3.6289,4.0844,3.431,3.8485,1269897.457343,4756166.240334,4756166.240334,1,LOOKS-USDT
2022-01-26,1643126400000,3.8606,4.0937,3.61,4.0853,672326.635456,2585760.963174,2585760.963174,1,LOOKS-USDT
2022-01-27,1643212800000,4.0842,4.4109,3.5717,4.0187,781116.939858,3094993.129054,3094993.129054,1,LOOKS-USDT
2022-01-28,1643299200000,4.0182,4.6127,3.7813,4.378,710465.786452,3018472.940527,3018472.940527,1,LOOKS-USDT
2022-01-29,1643385600000,4.3776,5.3363,4.25,4.7506,711028.851044,3438310.389658,3438310.389658,1,LOOKS-USDT
2022-01-30,1643472000000,4.7529,5.1606,4.2726,4.4817,762642.239336,3556755.12296,3556755.12296,1,LOOKS-USDT
2022-01-31,1643558400000,4.4828,4.625,3.99,4.5596,594288.354474,2524678.801664,2524678.801664,1,LOOKS-USDT
2022-02-01,1643644800000,4.5574,5.6217,4.4756,5.2577,745605.702515,3724230.593655,3724230.593655,1,LOOKS-USDT
2022-02-02,1643731200000,5.2577,5.79,4.8928,4.9752,654221.919564,3497182.723844,3497182.723844,1,LOOKS-USDT
2022-02-03,1643817600000,4.9804,5.4625,4.5459,4.8107,573617.007481,2835683.365686,2835683.365686,1,LOOKS-USDT
2022-02-04,1643904000000,4.8117,4.9664,4.321,4.7635,488942.276729,2287046.566123,2287046.566123,1,LOOKS-USDT
2022-02-05,1643990400000,4.765,5.13,4.2502,4.4392,857415.399317,3946278.894699,3946278.894699,1,LOOKS-USDT
