Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-04-02,1617292800000,24.0,49.5,24.0,33.59,172234.782612,6552754.786067,6552754.786067,1,LPT-USDT
2021-04-03,1617379200000,33.63,45.0,32.44,37.39,258737.188058,10040111.588313,10040111.588313,1,LPT-USDT
2021-04-04,1617465600000,37.41,41.21,33.82,36.77,136029.309543,5166436.379109,5166436.379109,1,LPT-USDT
2021-04-05,1617552000000,36.77,40.09,35.25,35.25,89390.565639,3330402.55995,3330402.55995,1,LPT-USDT
2021-04-06,1617638400000,35.23,36.28,32.41,33.04,85012.155306,2915708.855722,2915708.855722,1,LPT-USDT
2021-04-07,1617724800000,33.04,34.91,29.4,31.74,142799.188959,4520086.687224,4520086.687224,1,LPT-USDT
2021-04-08,1617811200000,31.75,32.12,28.83,31.65,196457.992006,5881304.763501,5881304.763501,1,LPT-USDT
2021-04-09,1617897600000,31.67,34.75,30.1,31.51,96886.11611,3087330.566732,3087330.566732,1,LPT-USDT
2021-04-10,1617984000000,31.5,35.0,30.7,33.25,77182.936193,2477817.299684,2477817.299684,1,LPT-USDT
2021-04-11,1618070400000,33.27,33.38,30.89,31.07,55956.253624,1774348.605663,1774348.605663,1,LPT-USDT
2021-04-12,1618156800000,31.09,32.53,30.77,31.21,64204.461159,2022908.739127,2022908.739127,1,LPT-USDT
2021-04-13,1618243200000,31.2,31.52,29.77,30.67,61833.479228,1896719.622979,1896719.622979,1,LPT-USDT
2021-04-14,1618329600000,30.62,31.38,28.88,29.24,89880.251766,2725804.023775,2725804.023775,1,LPT-USDT
2021-04-15,1618416000000,29.24,30.95,27.9,30.44,56782.672693,1658909.87271,1658909.87271,1,LPT-USDT
2021-04-16,1618502400000,30.46,33.45,30.01,31.29,94198.867404,2976524.933808,2976524.933808,1,LPT-USDT
2021-04-17,1618588800000,31.28,35.47,31.04,32.62,95583.083132,3193363.233777,3193363.233777,1,LPT-USDT
2021-04-18,1618675200000,32.61,33.63,24.99,27.49,104804.924288,3063995.840462,3063995.840462,1,LPT-USDT
2021-04-19,1618761600000,27.49,30.66,26.69,27.43,94343.121019,2715412.292056,2715412.292056,1,LPT-USDT
2021-04-20,1618848000000,27.44,28.61,26.0,28.01,92887.267462,2532577.09777,2532577.09777,1,LPT-USDT
2021-04-21,1618934400000,27.99,33.22,27.77,31.76,89200.545693,2727712.071511,2727712.071511,1,LPT-USDT
2021-04-22,1619020800000,31.77,32.07,28.33,30.06,73118.048929,2206637.875818,2206637.875818,1,LPT-USDT
