Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-06-07,1654531200000,0.51,0.5273,0.51,0.522,5159.1245,2673.9323,2673.9323,1,LRC-USDC
2022-06-08,1654617600000,0.5216,0.5483,0.5177,0.5301,15465.9424,8228.354,8228.354,1,LRC-USDC
2022-06-09,1654704000000,0.5299,0.5376,0.5138,0.521,40609.363,21220.3761,21220.3761,1,LRC-USDC
2022-06-10,1654790400000,0.5208,0.528,0.4728,0.4872,178283.1399,88430.9424,88430.9424,1,LRC-USDC
2022-06-11,1654876800000,0.4872,0.4953,0.4336,0.4387,335955.2734,159125.7936,159125.7936,1,LRC-USDC
2022-06-12,1654963200000,0.4389,0.4543,0.4047,0.4422,521984.4499,222760.4694,222760.4694,1,LRC-USDC
2022-06-13,1655049600000,0.4413,0.4452,0.3376,0.3681,832900.1336,314960.593,314960.593,1,LRC-USDC
2022-06-14,1655136000000,0.3676,0.3897,0.3394,0.3844,817959.6587,302389.3093,302389.3093,1,LRC-USDC
2022-06-15,1655222400000,0.3844,0.388,0.3399,0.3694,622511.6701,226914.4685,226914.4685,1,LRC-USDC
2022-06-16,1655308800000,0.3695,0.4166,0.3481,0.3715,496192.5692,188774.4348,188774.4348,1,LRC-USDC
2022-06-17,1655395200000,0.3715,0.3843,0.3551,0.373,298730.6537,111248.2793,111248.2793,1,LRC-USDC
2022-06-18,1655481600000,0.373,0.38,0.3398,0.3458,285087.2404,102562.588,102562.588,1,LRC-USDC
2022-06-19,1655568000000,0.3456,0.3621,0.3153,0.3586,361790.991,123186.1363,123186.1363,1,LRC-USDC
2022-06-20,1655654400000,0.3588,0.3813,0.3501,0.3764,312501.6856,113777.284,113777.284,1,LRC-USDC
2022-06-21,1655740800000,0.3767,0.4191,0.3596,0.4038,302268.5928,116417.3828,116417.3828,1,LRC-USDC
2022-06-22,1655827200000,0.4035,0.4093,0.3682,0.3788,255575.5047,99079.2258,99079.2258,1,LRC-USDC
2022-06-23,1655913600000,0.3788,0.4034,0.3406,0.3918,238494.5309,93163.6702,93163.6702,1,LRC-USDC
2022-06-24,1656000000000,0.3917,0.4304,0.3885,0.4213,269178.01,110726.5987,110726.5987,1,LRC-USDC
2022-06-25,1656086400000,0.4214,0.4444,0.4114,0.4151,267140.9003,114120.0367,114120.0367,1,LRC-USDC
2022-06-26,1656172800000,0.4151,0.4507,0.4136,0.4301,219984.1644,96214.7583,96214.7583,1,LRC-USDC
2022-06-27,1656259200000,0.4297,0.4352,0.3985,0.4129,235289.0077,98254.8253,98254.8253,1,LRC-USDC
2022-06-28,1656345600000,0.4129,0.4253,0.3909,0.4008,388227.9804,160232.1997,160232.1997,1,LRC-USDC
2022-06-29,1656432000000,0.4009,0.406,0.3787,0.3909,1667554.194,651686.9237,651686.9237,1,LRC-USDC
2022-06-30,1656518400000,0.3912,0.3993,0.3574,0.3721,2568256.7747,967799.9946,967799.9946,1,LRC-USDC
2022-07-01,1656604800000,0.3716,0.3962,0.3649,0.3766,2152632.8999,811570.1136,811570.1136,1,LRC-USDC
2022-07-02,1656691200000,0.3766,0.3883,0.3676,0.3752,1510627.5599,569431.6016,569431.6016,1,LRC-USDC
2022-07-03,1656777600000,0.3753,0.3834,0.369,0.3718,1053193.296,396642.6034,396642.6034,1,LRC-USDC
2022-07-04,1656864000000,0.3717,0.3981,0.3703,0.3894,1284011.4045,492063.1523,492063.1523,1,LRC-USDC
2022-07-05,1656950400000,0.3893,0.4398,0.3887,0.3963,2845391.5632,1181241.3123,1181241.3123,1,LRC-USDC
2022-07-06,1657036800000,0.3959,0.4173,0.3925,0.4037,2001813.8329,816003.7697,816003.7697,1,LRC-USDC
2022-07-07,1657123200000,0.4035,0.4227,0.4017,0.4154,1783548.1803,731514.9681,731514.9681,1,LRC-USDC
2022-07-08,1657209600000,0.4151,0.4268,0.3977,0.4075,2190968.5008,901405.2012,901405.2012,1,LRC-USDC
2022-07-09,1657296000000,0.4076,0.4118,0.3984,0.4065,1932249.6262,785611.8569,785611.8569,1,LRC-USDC
2022-07-10,1657382400000,0.4068,0.4128,0.3833,0.3882,2104634.6207,841571.2448,841571.2448,1,LRC-USDC
2022-07-11,1657468800000,0.3881,0.3932,0.3723,0.3762,2247882.5824,859039.679,859039.679,1,LRC-USDC
2022-07-12,1657555200000,0.3764,0.413,0.3739,0.3881,6656702.4656,2630412.1345,2630412.1345,1,LRC-USDC
2022-07-13,1657641600000,0.3883,0.3905,0.3459,0.3568,3917168.3687,1436086.9728,1436086.9728,1,LRC-USDC
2022-07-14,1657728000000,0.3572,0.3782,0.3535,0.3781,3133459.8311,1140512.0868,1140512.0868,1,LRC-USDC
2022-07-15,1657814400000,0.3774,0.3925,0.3722,0.3747,3890685.4955,1490721.6326,1490721.6326,1,LRC-USDC
2022-07-16,1657900800000,0.3751,0.387,0.368,0.3783,2098321.5194,787805.1538,787805.1538,1,LRC-USDC
2022-07-17,1657987200000,0.3783,0.3987,0.3781,0.384,2665891.5641,1035351.4973,1035351.4973,1,LRC-USDC
2022-07-18,1658073600000,0.3841,0.4591,0.375,0.4292,6115946.8365,2594879.5357,2594879.5357,1,LRC-USDC
2022-07-19,1658160000000,0.428,0.4742,0.3956,0.455,8161075.6619,3564128.1584,3564128.1584,1,LRC-USDC
2022-07-20,1658246400000,0.4542,0.4774,0.4471,0.4575,3813452.5165,1752797.1115,1752797.1115,1,LRC-USDC
2022-07-21,1658332800000,0.4579,0.4648,0.4054,0.42,4183516.82,1781284.7155,1781284.7155,1,LRC-USDC
2022-07-22,1658419200000,0.4197,0.442,0.415,0.4163,2834882.8973,1221297.3688,1221297.3688,1,LRC-USDC
2022-07-23,1658505600000,0.4162,0.4192,0.394,0.4034,2852268.7107,1164946.5337,1164946.5337,1,LRC-USDC
2022-07-24,1658592000000,0.4032,0.4203,0.3933,0.4095,2608858.0638,1064835.2359,1064835.2359,1,LRC-USDC
2022-07-25,1658678400000,0.4094,0.4134,0.3779,0.3832,2359983.1843,925897.5145,925897.5145,1,LRC-USDC
2022-07-26,1658764800000,0.3833,0.385,0.3549,0.355,2809797.6725,1032237.6032,1032237.6032,1,LRC-USDC
2022-07-27,1658851200000,0.3551,0.372,0.3527,0.3678,2344927.966,851828.3392,851828.3392,1,LRC-USDC
2022-07-28,1658937600000,0.3677,0.4251,0.3635,0.4184,6013817.7148,2386025.6982,2386025.6982,1,LRC-USDC
2022-07-29,1659024000000,0.4191,0.4483,0.4115,0.4273,6383221.2594,2759133.4606,2759133.4606,1,LRC-USDC
2022-07-30,1659110400000,0.4279,0.4588,0.4134,0.4552,6602937.2039,2881960.6462,2881960.6462,1,LRC-USDC
2022-07-31,1659196800000,0.4563,0.4689,0.424,0.4409,4139697.8375,1828036.1014,1828036.1014,1,LRC-USDC
2022-08-01,1659283200000,0.441,0.4503,0.4098,0.4263,3780418.3505,1619095.8346,1619095.8346,1,LRC-USDC
2022-08-02,1659369600000,0.426,0.4286,0.394,0.4096,3313425.254,1350206.013,1350206.013,1,LRC-USDC
2022-08-03,1659456000000,0.41,0.4217,0.3897,0.417,2266293.9436,925497.4515,925497.4515,1,LRC-USDC
2022-08-04,1659542400000,0.4165,0.4368,0.3986,0.4212,3004239.0867,1251379.7999,1251379.7999,1,LRC-USDC
2022-08-05,1659628800000,0.4225,0.4411,0.4039,0.4236,3488430.1304,1483277.8755,1483277.8755,1,LRC-USDC
2022-08-06,1659715200000,0.4238,0.4431,0.4222,0.4427,2228040.608,972147.0447,972147.0447,1,LRC-USDC
2022-08-07,1659801600000,0.4427,0.4866,0.4228,0.4791,7076705.2696,3235006.0034,3235006.0034,1,LRC-USDC
2022-08-08,1659888000000,0.4793,0.5,0.4721,0.4789,6353581.9353,3080048.2484,3080048.2484,1,LRC-USDC
2022-08-09,1659974400000,0.4788,0.4908,0.437,0.4449,4381755.8467,2040699.959,2040699.959,1,LRC-USDC
2022-08-10,1660060800000,0.4446,0.4674,0.4336,0.4633,3701639.3307,1666337.3687,1666337.3687,1,LRC-USDC
2022-08-11,1660147200000,0.4633,0.4884,0.4556,0.472,3852423.6483,1828697.7566,1828697.7566,1,LRC-USDC
2022-08-12,1660233600000,0.4722,0.4763,0.4496,0.4592,2537465.2603,1174242.8361,1174242.8361,1,LRC-USDC
2022-08-13,1660320000000,0.4592,0.4909,0.458,0.4786,3318465.6735,1586380.7738,1586380.7738,1,LRC-USDC
2022-08-14,1660406400000,0.4783,0.5242,0.4751,0.4917,6167070.9627,3084837.6298,3084837.6298,1,LRC-USDC
2022-08-15,1660492800000,0.4917,0.4979,0.461,0.4715,4340078.4859,2073920.815,2073920.815,1,LRC-USDC
2022-08-16,1660579200000,0.472,0.4839,0.4567,0.4637,2844381.6837,1331788.5418,1331788.5418,1,LRC-USDC
2022-08-17,1660665600000,0.4636,0.4731,0.4284,0.4329,3426322.0907,1552113.4353,1552113.4353,1,LRC-USDC
2022-08-18,1660752000000,0.4333,0.4408,0.4152,0.4226,2596313.426,1109299.1124,1109299.1124,1,LRC-USDC
2022-08-19,1660838400000,0.4226,0.424,0.3651,0.3782,4275963.7322,1649692.955,1649692.955,1,LRC-USDC
2022-08-20,1660924800000,0.3784,0.3879,0.3675,0.3786,2918757.8914,1106132.8744,1106132.8744,1,LRC-USDC
2022-08-21,1661011200000,0.3785,0.3861,0.3628,0.3805,2261929.1759,848583.6662,848583.6662,1,LRC-USDC
2022-08-22,1661097600000,0.3801,0.3895,0.3602,0.3696,2032197.3053,760696.8412,760696.8412,1,LRC-USDC
