Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-06-04,1528041600000,0.00153,0.00153,0.00115,0.0012798,5678.83068785,6.99076405,6.99076405,1,LSK-BTC
2018-06-05,1528128000000,0.0011712,0.0012986,0.00115,0.0012649,1089.23213493,1.30416023,1.30416023,1,LSK-BTC
2018-06-06,1528214400000,0.001261,0.0012649,0.0011505,0.0012265,251.90972696,0.2945732,0.2945732,1,LSK-BTC
2018-06-07,1528300800000,0.00115,0.0012266,0.00113,0.00113,2072.18538687,2.37132899,2.37132899,1,LSK-BTC
2018-06-08,1528387200000,0.00113,0.0011399,0.0011,0.0011062,2604.36488186,2.90899484,2.90899484,1,LSK-BTC
2018-06-09,1528473600000,0.0011156,0.0011399,0.0011,0.0011028,462.95146694,0.52097492,0.52097492,1,LSK-BTC
2018-06-10,1528560000000,0.0011055,0.0011399,0.001,0.001081,1653.40071186,1.79797396,1.79797396,1,LSK-BTC
2018-06-11,1528646400000,0.001081,0.0011399,0.0010102,0.00105,722.37679791,0.78313858,0.78313858,1,LSK-BTC
2018-06-12,1528732800000,0.00104,0.0010904,0.001028,0.00106,1157.72658897,1.21252016,1.21252016,1,LSK-BTC
2018-06-13,1528819200000,0.0010569,0.0011,0.0009881,0.0010501,1129.18955693,1.18058491,1.18058491,1,LSK-BTC
2018-06-14,1528905600000,0.001,0.001023,0.000996,0.001023,489.64727892,0.49326286,0.49326286,1,LSK-BTC
2018-06-15,1528992000000,0.001023,0.001023,0.0008081,0.0010089,510.77713696,0.48119271,0.48119271,1,LSK-BTC
2018-06-16,1529078400000,0.0010062,0.0010062,0.0010061,0.0010061,20.00319998,0.02012745,0.02012745,1,LSK-BTC
2018-06-17,1529164800000,0.0010061,0.0010061,0.0009662,0.0009662,217.84096898,0.21180539,0.21180539,1,LSK-BTC
2018-06-18,1529251200000,0.0009531,0.000956,0.0009298,0.0009298,540.04537097,0.51304456,0.51304456,1,LSK-BTC
2018-06-19,1529337600000,0.0009319,0.0009845,0.0009319,0.0009477,106.38764294,0.10081087,0.10081087,1,LSK-BTC
2018-06-20,1529424000000,0.0009482,0.0009488,0.0009309,0.0009488,315.42111597,0.2965021,0.2965021,1,LSK-BTC
2018-06-21,1529510400000,0.0009614,0.0009614,0.0009614,0.0009614,1.075212,0.00103371,0.00103371,1,LSK-BTC
2018-06-22,1529596800000,0.0009265,0.0009265,0.0008654,0.0008654,179.42810897,0.16123903,0.16123903,1,LSK-BTC
2018-06-23,1529683200000,0.0009199,0.0009199,0.0008934,0.0008934,33.211288,0.03048287,0.03048287,1,LSK-BTC
2018-06-24,1529769600000,0.0009308,0.0009308,0.0009088,0.0009088,122.97486397,0.11376112,0.11376112,1,LSK-BTC
2018-06-25,1529856000000,0.0009233,0.0009233,0.0008636,0.0008888,553.62832794,0.48430839,0.48430839,1,LSK-BTC
2018-06-26,1529942400000,0.0008786,0.0008943,0.0008733,0.0008767,678.2318399,0.59894117,0.59894117,1,LSK-BTC
2018-06-27,1530028800000,0.0008749,0.0008749,0.00086,0.0008696,1147.73387292,0.99438623,0.99438623,1,LSK-BTC
2018-06-28,1530115200000,0.0008562,0.0008696,0.0008479,0.0008479,1051.68642592,0.90563124,0.90563124,1,LSK-BTC
2018-06-29,1530201600000,0.0008469,0.0008515,0.0008166,0.0008288,1509.82962514,1.27264513,1.27264513,1,LSK-BTC
2018-06-30,1530288000000,0.0008207,0.0008359,0.0008207,0.0008353,358.04954788,0.29909814,0.29909814,1,LSK-BTC
2018-07-01,1530374400000,0.000837,0.0008541,0.0008275,0.0008402,422.72463047,0.35499831,0.35499831,1,LSK-BTC
2018-07-02,1530460800000,0.0008399,0.0011998,0.0008297,0.0008612,3623.48638647,3.12149629,3.12149629,1,LSK-BTC
2018-07-03,1530547200000,0.0008874,0.00091,0.000882,0.000882,2467.90347939,2.21035043,2.21035043,1,LSK-BTC
2018-07-04,1530633600000,0.0008809,0.0008902,0.0008562,0.0008774,2329.53174631,2.03457706,2.03457706,1,LSK-BTC
2018-07-05,1530720000000,0.0008666,0.0008854,0.0008603,0.0008608,548.30143147,0.48154327,0.48154327,1,LSK-BTC
2018-07-06,1530806400000,0.0008553,0.000858,0.0008263,0.000844,1871.17596941,1.58012249,1.58012249,1,LSK-BTC
2018-07-07,1530892800000,0.00086,0.0008753,0.0008193,0.0008216,1444.98533844,1.23321065,1.23321065,1,LSK-BTC
2018-07-08,1530979200000,0.0008216,0.0008364,0.0008216,0.0008323,483.03424422,0.40089964,0.40089964,1,LSK-BTC
2018-07-09,1531065600000,0.0008216,0.0008296,0.0007953,0.0008134,1443.24677357,1.17161471,1.17161471,1,LSK-BTC
2018-07-10,1531152000000,0.0008146,0.0008146,0.0007941,0.0008044,626.84880751,0.50456855,0.50456855,1,LSK-BTC
2018-07-11,1531238400000,0.0008045,0.0011998,0.0007938,0.0008174,539.69968725,0.43672324,0.43672324,1,LSK-BTC
2018-07-12,1531324800000,0.0008172,0.0008173,0.0007972,0.0007972,16.31012348,0.01328466,0.01328466,1,LSK-BTC
2018-07-13,1531411200000,0.0007866,0.0007916,0.0007837,0.0007916,272.48879132,0.21506905,0.21506905,1,LSK-BTC
2018-07-14,1531497600000,0.000795,0.000795,0.0007731,0.000777,40.00811031,0.03164166,0.03164166,1,LSK-BTC
2018-07-15,1531584000000,0.0007896,0.0007896,0.0007731,0.0007822,168.7704825,0.13195077,0.13195077,1,LSK-BTC
2018-07-16,1531670400000,0.0007966,0.0007966,0.0007802,0.0007853,371.2369113,0.29259412,0.29259412,1,LSK-BTC
2018-07-17,1531756800000,0.0008012,0.0008165,0.0007828,0.0007901,240.39979955,0.19182284,0.19182284,1,LSK-BTC
2018-07-18,1531843200000,0.0007774,0.0008035,0.0007707,0.0007848,1105.92323886,0.87167479,0.87167479,1,LSK-BTC
2018-07-19,1531929600000,0.0007943,0.0007955,0.0007452,0.0007452,182.44541162,0.13848394,0.13848394,1,LSK-BTC
2018-07-20,1532016000000,0.0007315,0.0007315,0.0006736,0.0006783,213.10324368,0.14775888,0.14775888,1,LSK-BTC
2018-07-21,1532102400000,0.0006762,0.0006762,0.0006674,0.0006739,131.81628392,0.08904174,0.08904174,1,LSK-BTC
2018-07-22,1532188800000,0.0006763,0.0006846,0.0006701,0.0006845,638.85724268,0.43167774,0.43167774,1,LSK-BTC
2018-07-23,1532275200000,0.0006555,0.0006555,0.0006276,0.0006318,200.759384,0.12901703,0.12901703,1,LSK-BTC
2018-07-24,1532361600000,0.0006245,0.0006289,0.0005814,0.000613,306.48252974,0.18057135,0.18057135,1,LSK-BTC
2018-07-25,1532448000000,0.0005915,0.000618,0.0005915,0.000609,375.7082648,0.23152352,0.23152352,1,LSK-BTC
2018-07-26,1532534400000,0.0006127,0.0006178,0.000603,0.0006139,347.85302465,0.21270203,0.21270203,1,LSK-BTC
2018-07-27,1532620800000,0.0006101,0.0006131,0.000604,0.0006044,179.28704757,0.10921937,0.10921937,1,LSK-BTC
2018-07-28,1532707200000,0.0005815,0.0005922,0.0005815,0.0005916,130.15636067,0.07653003,0.07653003,1,LSK-BTC
2018-07-29,1532793600000,0.0006043,0.0006143,0.0006043,0.0006143,374.34816051,0.22662239,0.22662239,1,LSK-BTC
2018-07-30,1532880000000,0.0006122,0.0006158,0.0006064,0.0006064,133.62494164,0.08179985,0.08179985,1,LSK-BTC
2018-07-31,1532966400000,0.0006091,0.0006105,0.0005911,0.0005911,28.28074668,0.01687252,0.01687252,1,LSK-BTC
2018-08-01,1533052800000,0.0005877,0.0005877,0.0005838,0.0005838,54.18655797,0.03170355,0.03170355,1,LSK-BTC
2018-08-02,1533139200000,0.000595,0.000597,0.0005721,0.000574,2410.62912332,1.42841634,1.42841634,1,LSK-BTC
2018-08-03,1533225600000,0.0005575,0.0005613,0.000528,0.0005534,1025.56600703,0.56408867,0.56408867,1,LSK-BTC
2018-08-04,1533312000000,0.000551,0.0005602,0.0005191,0.0005231,576.9705076,0.31272222,0.31272222,1,LSK-BTC
2018-08-05,1533398400000,0.0005364,0.0005384,0.0005281,0.0005334,51.82366679,0.02771275,0.02771275,1,LSK-BTC
2018-08-06,1533484800000,0.0005275,0.0005443,0.0005275,0.0005443,72.39455394,0.0387555,0.0387555,1,LSK-BTC
2018-08-07,1533571200000,0.0005461,0.0005498,0.0005293,0.0005346,953.24400903,0.50575718,0.50575718,1,LSK-BTC
2018-08-08,1533657600000,0.0005368,0.0005388,0.0004987,0.0005062,6822.57530824,3.43639696,3.43639696,1,LSK-BTC
2018-08-09,1533744000000,0.000495,0.0005093,0.0004905,0.0005093,2432.67421683,1.21664026,1.21664026,1,LSK-BTC
2018-08-10,1533830400000,0.0005104,0.0005137,0.0004282,0.0004948,192.31669692,0.09250059,0.09250059,1,LSK-BTC
2018-08-11,1533916800000,0.0004958,0.0004958,0.0004433,0.0004433,92.45807735,0.04285934,0.04285934,1,LSK-BTC
2018-08-12,1534003200000,0.00044,0.0004618,0.00044,0.0004571,74.11262669,0.033942,0.033942,1,LSK-BTC
2018-08-13,1534089600000,0.00045,0.0005074,0.0004431,0.0004734,1388.50135946,0.65123695,0.65123695,1,LSK-BTC
2018-08-14,1534176000000,0.00046,0.0004622,0.0004118,0.000434,223.27450849,0.09975045,0.09975045,1,LSK-BTC
2018-08-15,1534262400000,0.0004134,0.0004389,0.0004134,0.0004336,116.63533793,0.04965984,0.04965984,1,LSK-BTC
2018-08-16,1534348800000,0.0004291,0.0005554,0.0004291,0.0005554,908.37084758,0.46305654,0.46305654,1,LSK-BTC
2018-08-17,1534435200000,0.000555,0.0006789,0.000555,0.0006052,2017.56067385,1.17552859,1.17552859,1,LSK-BTC
2018-08-18,1534521600000,0.0006018,0.00063,0.0005775,0.0006059,565.77268929,0.34349006,0.34349006,1,LSK-BTC
2018-08-19,1534608000000,0.0005544,0.0006037,0.0005544,0.0005985,129.55525294,0.07627573,0.07627573,1,LSK-BTC
2018-08-20,1534694400000,0.0005882,0.000596,0.0005827,0.0005827,186.87442776,0.10990256,0.10990256,1,LSK-BTC
2018-08-21,1534780800000,0.000605,0.00061,0.0006049,0.00061,105.94902288,0.06416112,0.06416112,1,LSK-BTC
2018-08-22,1534867200000,0.0006225,0.0006317,0.0006077,0.0006196,262.60953193,0.16309251,0.16309251,1,LSK-BTC
2018-08-23,1534953600000,0.000624,0.0006318,0.0006014,0.0006014,1545.70793173,0.9422963,0.9422963,1,LSK-BTC
2018-08-24,1535040000000,0.000558,0.0007511,0.000558,0.0007423,1682.90025904,1.14201536,1.14201536,1,LSK-BTC
2018-08-25,1535126400000,0.0007498,0.0007845,0.000713,0.0007707,1229.97923645,0.92965087,0.92965087,1,LSK-BTC
2018-08-26,1535212800000,0.0007351,0.0007506,0.0007194,0.0007398,2061.37398259,1.50548135,1.50548135,1,LSK-BTC
2018-08-27,1535299200000,0.0007122,0.0007638,0.0006872,0.0007638,118.76351655,0.08522624,0.08522624,1,LSK-BTC
2018-08-28,1535385600000,0.00074,0.00074,0.0007097,0.0007296,493.01780454,0.35868187,0.35868187,1,LSK-BTC
2018-08-29,1535472000000,0.0007188,0.0008173,0.0006782,0.0006782,2071.46865408,1.45801466,1.45801466,1,LSK-BTC
2018-08-30,1535558400000,0.0006674,0.0007159,0.0006175,0.0006423,797.86813682,0.54115163,0.54115163,1,LSK-BTC
2018-08-31,1535644800000,0.0006339,0.0006573,0.0006215,0.0006459,321.80685873,0.20731514,0.20731514,1,LSK-BTC
2018-09-01,1535731200000,0.0006556,0.0006556,0.0006312,0.0006367,324.59648926,0.20732623,0.20732623,1,LSK-BTC
2018-09-02,1535817600000,0.0006368,0.0006508,0.0006104,0.0006104,266.00985697,0.1656443,0.1656443,1,LSK-BTC
2018-09-03,1535904000000,0.0006167,0.0006167,0.0005994,0.0005994,81.39190915,0.04966192,0.04966192,1,LSK-BTC
2018-09-04,1535990400000,0.0006069,0.0006228,0.0006069,0.0006228,221.94105827,0.13735048,0.13735048,1,LSK-BTC
2018-09-05,1536076800000,0.0006127,0.0006127,0.0005717,0.0005794,1492.71556156,0.86553884,0.86553884,1,LSK-BTC
2018-09-06,1536163200000,0.000575,0.000589,0.0005364,0.000589,915.5426072,0.51654332,0.51654332,1,LSK-BTC
2018-09-07,1536249600000,0.00062,0.00062,0.0005583,0.0005583,190.77279649,0.11092507,0.11092507,1,LSK-BTC
2018-09-08,1536336000000,0.000556,0.0005698,0.000546,0.0005655,675.75977161,0.37173955,0.37173955,1,LSK-BTC
2018-09-09,1536422400000,0.0005455,0.0005699,0.0005369,0.0005537,764.48653206,0.42049657,0.42049657,1,LSK-BTC
