Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-06-04,1528041600000,9.5000000000,10.5000000000,8.4000000000,9.8890000000,4767.7849088400,45413.4026697700,45413.4026697700,1,LSK-USDT
2018-06-05,1528128000000,9.4000000000,9.8930000000,8.4000000000,9.0390000000,2017.5939987500,18162.9850671600,18162.9850671600,1,LSK-USDT
2018-06-06,1528214400000,9.0390000000,9.2990000000,8.7500000000,8.7500000000,944.1959168800,8345.7190602000,8345.7190602000,1,LSK-USDT
2018-06-07,1528300800000,8.7230000000,8.8490000000,8.5850000000,8.6620000000,1594.0033577900,13927.4921202800,13927.4921202800,1,LSK-USDT
2018-06-08,1528387200000,8.6620000000,8.8990000000,8.4520000000,8.4520000000,1302.3381378100,11075.7413836300,11075.7413836300,1,LSK-USDT
2018-06-09,1528473600000,8.5480000000,8.5480000000,8.4520000000,8.4520000000,251.5426759400,2133.4747971200,2133.4747971200,1,LSK-USDT
2018-06-10,1528560000000,8.4520000000,8.9800000000,7.1500000000,7.5000000000,1467.4738348100,11782.3669495300,11782.3669495300,1,LSK-USDT
2018-06-11,1528646400000,7.5000000000,7.5960000000,6.7200000000,6.7230000000,419.4699669600,3032.1994272800,3032.1994272800,1,LSK-USDT
2018-06-12,1528732800000,7.3990000000,7.3990000000,6.8400000000,6.8400000000,201.4019699600,1433.1931552300,1433.1931552300,1,LSK-USDT
2018-06-13,1528819200000,6.7230000000,6.7230000000,6.2350000000,6.2350000000,367.1875099500,2334.8592203300,2334.8592203300,1,LSK-USDT
2018-06-14,1528905600000,6.1730000000,7.2000000000,6.1730000000,6.4230000000,78.3498289500,513.3440756300,513.3440756300,1,LSK-USDT
2018-06-15,1528992000000,6.5940000000,6.6320000000,6.5910000000,6.6100000000,147.4446829800,973.0828633100,973.0828633100,1,LSK-USDT
2018-06-16,1529078400000,6.6100000000,6.6100000000,6.4000000000,6.4000000000,57.4947539600,379.7911060200,379.7911060200,1,LSK-USDT
2018-06-17,1529164800000,6.4000000000,6.4000000000,6.4000000000,6.4000000000,0.0000000000,0.0000000000,0.0000000000,1,LSK-USDT
2018-06-18,1529251200000,6.1450000000,6.2250000000,6.0990000000,6.0990000000,10.6156230000,64.8236425800,64.8236425800,1,LSK-USDT
2018-06-19,1529337600000,7.1190000000,7.1190000000,7.1190000000,7.1190000000,0.0140459900,0.0999990900,0.0999990900,1,LSK-USDT
2018-06-20,1529424000000,6.1330000000,7.1190000000,6.1330000000,6.5000000000,107.6334569900,757.0586459000,757.0586459000,1,LSK-USDT
2018-06-21,1529510400000,6.5000000000,6.5000000000,6.2110000000,6.2110000000,11.2063019900,71.2234733600,71.2234733600,1,LSK-USDT
2018-06-22,1529596800000,6.2110000000,6.2110000000,5.2140000000,5.2140000000,195.3343139100,1164.0358989000,1164.0358989000,1,LSK-USDT
2018-06-23,1529683200000,5.2840000000,5.3350000000,5.2800000000,5.3350000000,131.9150850000,697.0801475000,697.0801475000,1,LSK-USDT
2018-06-24,1529769600000,6.3990000000,6.3990000000,5.2800000000,6.2970000000,195.8859329200,1107.5714094700,1107.5714094700,1,LSK-USDT
2018-06-25,1529856000000,6.3980000000,6.3980000000,5.2840000000,5.9990000000,291.2516519600,1595.5503647300,1595.5503647300,1,LSK-USDT
2018-06-26,1529942400000,5.4160000000,8.5990000000,5.2990000000,5.4590000000,879.1172469100,5124.7059851800,5124.7059851800,1,LSK-USDT
2018-06-27,1530028800000,5.4970000000,5.4970000000,5.1600000000,5.2790000000,1436.5704879200,7583.6166257600,7583.6166257600,1,LSK-USDT
2018-06-28,1530115200000,5.2790000000,5.2800000000,5.2790000000,5.2800000000,66.1548510000,349.2972913900,349.2972913900,1,LSK-USDT
2018-06-29,1530201600000,5.1500000000,5.1500000000,4.5000000000,4.8490000000,91.3243599600,452.8976443600,452.8976443600,1,LSK-USDT
2018-06-30,1530288000000,5.9800000000,8.0000000000,4.7230000000,5.3370000000,771.4536584500,4549.1825620800,4549.1825620800,1,LSK-USDT
2018-07-01,1530374400000,5.3370000000,6.9990000000,5.2950000000,5.2950000000,387.3223736000,2133.3205012500,2133.3205012500,1,LSK-USDT
2018-07-02,1530460800000,5.3000000000,6.7000000000,5.0550000000,5.9590000000,4631.7600203500,27960.8794704500,27960.8794704500,1,LSK-USDT
2018-07-03,1530547200000,5.8000000000,5.9610000000,5.8000000000,5.8210000000,3001.0887917900,17821.8304377300,17821.8304377300,1,LSK-USDT
2018-07-04,1530633600000,5.5880000000,6.1230000000,5.5100000000,5.7710000000,583.6270779300,3269.0250677300,3269.0250677300,1,LSK-USDT
2018-07-05,1530720000000,5.7830000000,5.9990000000,5.5390000000,5.6150000000,233.6599943400,1321.2039690700,1321.2039690700,1,LSK-USDT
2018-07-06,1530806400000,5.6150000000,5.6870000000,5.4000000000,5.4000000000,456.4223390500,2559.7949166700,2559.7949166700,1,LSK-USDT
2018-07-07,1530892800000,5.4000000000,5.4000000000,5.4000000000,5.4000000000,22.1826881600,119.7865160600,119.7865160600,1,LSK-USDT
2018-07-08,1530979200000,5.7990000000,5.7990000000,5.5140000000,5.5140000000,190.8568617200,1052.8565680600,1052.8565680600,1,LSK-USDT
2018-07-09,1531065600000,5.7990000000,6.7970000000,5.2430000000,5.6990000000,1557.3727255400,8646.2039051800,8646.2039051800,1,LSK-USDT
2018-07-10,1531152000000,5.4660000000,5.4660000000,5.0170000000,5.2220000000,893.9567299700,4698.6610965400,4698.6610965400,1,LSK-USDT
2018-07-11,1531238400000,5.2200000000,5.2200000000,5.2200000000,5.2200000000,0.0000000000,0.0000000000,0.0000000000,1,LSK-USDT
2018-07-12,1531324800000,5.2200000000,5.2200000000,5.2200000000,5.2200000000,0.0000000000,0.0000000000,0.0000000000,1,LSK-USDT
2018-07-13,1531411200000,4.8500000000,5.9900000000,4.7270000000,4.7330000000,146.1579033000,691.9643708400,691.9643708400,1,LSK-USDT
2018-07-14,1531497600000,4.7460000000,4.7460000000,4.7460000000,4.7460000000,3.2950499900,15.6399548200,15.6399548200,1,LSK-USDT
2018-07-15,1531584000000,5.9490000000,6.0000000000,4.8170000000,4.9500000000,210.6582978600,1128.2576810900,1128.2576810900,1,LSK-USDT
2018-07-16,1531670400000,4.9500000000,4.9770000000,4.9500000000,4.9770000000,50.5951563000,250.9825003500,250.9825003500,1,LSK-USDT
2018-07-17,1531756800000,5.0390000000,6.0000000000,4.7990000000,5.2410000000,1015.9363301900,5524.2092047400,5524.2092047400,1,LSK-USDT
2018-07-18,1531843200000,5.2640000000,6.0000000000,5.2640000000,5.8710000000,1393.1502980700,8189.1321907700,8189.1321907700,1,LSK-USDT
2018-07-19,1531929600000,5.9000000000,5.9000000000,5.4570000000,5.4570000000,303.3910546800,1776.1901083600,1776.1901083600,1,LSK-USDT
2018-07-20,1532016000000,5.0000000000,5.0270000000,5.0000000000,5.0270000000,26.9829325800,135.4017037600,135.4017037600,1,LSK-USDT
2018-07-21,1532102400000,5.0270000000,5.0270000000,4.8240000000,4.9500000000,85.7447980300,427.9650986900,427.9650986900,1,LSK-USDT
2018-07-22,1532188800000,5.0270000000,5.0270000000,5.0270000000,5.0270000000,68.3793043300,343.7496009100,343.7496009100,1,LSK-USDT
2018-07-23,1532275200000,4.8220000000,4.8220000000,4.8220000000,4.8220000000,0.5300000000,2.5561369900,2.5561369900,1,LSK-USDT
2018-07-24,1532361600000,4.8210000000,4.8220000000,4.8200000000,4.8200000000,126.3606899200,609.2346706700,609.2346706700,1,LSK-USDT
2018-07-25,1532448000000,5.5990000000,5.5990000000,5.5990000000,5.5990000000,3.6657797400,20.5279999600,20.5279999600,1,LSK-USDT
2018-07-26,1532534400000,5.5980000000,5.5980000000,5.0090000000,5.0090000000,39.8985290500,209.3119037500,209.3119037500,1,LSK-USDT
2018-07-27,1532620800000,5.0090000000,5.0090000000,4.6500000000,4.6500000000,625.0912423900,3017.0251707600,3017.0251707600,1,LSK-USDT
2018-07-28,1532707200000,4.6500000000,4.6500000000,4.6500000000,4.6500000000,0.0000000000,0.0000000000,0.0000000000,1,LSK-USDT
2018-07-29,1532793600000,4.6500000000,4.6500000000,4.6500000000,4.6500000000,0.0000000000,0.0000000000,0.0000000000,1,LSK-USDT
