Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-11,1515600000000,1.366e-05,1.384e-05,1.269e-05,1.322e-05,2214613.78,27.87,27.87,1,MANA-BTC
2018-01-12,1515686400000,1.323e-05,1.455e-05,1.262e-05,1.347e-05,12803336.41,164.51,164.51,1,MANA-BTC
2018-01-13,1515772800000,1.349e-05,1.372e-05,1.223e-05,1.265e-05,11848065.8,148.35,148.35,1,MANA-BTC
2018-01-14,1515859200000,1.263e-05,1.323e-05,1.056e-05,1.09e-05,11837946.24,138.04,138.04,1,MANA-BTC
2018-01-15,1515945600000,1.09e-05,1.191e-05,9.64e-06,1.003e-05,11310434.33,116.63,116.63,1,MANA-BTC
2018-01-16,1516032000000,1.002e-05,1.142e-05,8.05e-06,8.97e-06,8771670.15,74.7,74.7,1,MANA-BTC
2018-01-17,1516118400000,9.04e-06,1.116e-05,8e-06,9.52e-06,8894176.43,73.33,73.33,1,MANA-BTC
2018-01-18,1516204800000,9.52e-06,1.372e-05,9.41e-06,1.17e-05,9278325.16,104.35,104.35,1,MANA-BTC
2018-01-19,1516291200000,1.174e-05,1.26e-05,1.114e-05,1.198e-05,31164989.76,358.78,358.78,1,MANA-BTC
2018-01-20,1516377600000,1.199e-05,1.259e-05,1.107e-05,1.172e-05,19236459.71,219.37,219.37,1,MANA-BTC
2018-01-21,1516464000000,1.172e-05,1.181e-05,1.01e-05,1.069e-05,37435686.87,408.36,408.36,1,MANA-BTC
2018-01-22,1516550400000,1.068e-05,1.274e-05,1e-05,1.084e-05,18226482.16,191.72,191.72,1,MANA-BTC
2018-01-23,1516636800000,1.084e-05,1.331e-05,1.063e-05,1.243e-05,30607245.96,354.35,354.35,1,MANA-BTC
2018-01-24,1516723200000,1.243e-05,1.484e-05,1.229e-05,1.301e-05,7732283.6,96.48,96.48,1,MANA-BTC
2018-01-25,1516809600000,1.301e-05,1.324e-05,5.95e-06,1.263e-05,28761310.76,359.7,359.7,1,MANA-BTC
2018-01-26,1516896000000,1.262e-05,1.3e-05,1.185e-05,1.243e-05,25193674.77,311.25,311.25,1,MANA-BTC
2018-01-27,1516982400000,1.244e-05,1.263e-05,1.217e-05,1.254e-05,18358092.96,221.59,221.59,1,MANA-BTC
2018-01-28,1517068800000,1.253e-05,1.253e-05,1.19e-05,1.197e-05,20517839.89,244.54,244.54,1,MANA-BTC
2018-01-29,1517155200000,1.198e-05,1.226e-05,1.138e-05,1.19e-05,27540574.74,317.37,317.37,1,MANA-BTC
2018-01-30,1517241600000,1.19e-05,1.242e-05,1.183e-05,1.198e-05,10500818.55,121.95,121.95,1,MANA-BTC
2018-01-31,1517328000000,1.198e-05,1.208e-05,1.092e-05,1.129e-05,4600469.83,45.48,45.48,1,MANA-BTC
2018-02-01,1517414400000,1.129e-05,1.28e-05,1.085e-05,1.094e-05,5140281.12,53.67,53.67,1,MANA-BTC
2018-02-02,1517500800000,1.093e-05,1.129e-05,8.85e-06,1.029e-05,5751980.28,51.78,51.78,1,MANA-BTC
2018-02-03,1517587200000,1.029e-05,1.116e-05,1.028e-05,1.097e-05,4312953.05,40.28,40.28,1,MANA-BTC
2018-02-04,1517673600000,1.098e-05,1.239e-05,1.047e-05,1.235e-05,3902220.49,38.66,38.66,1,MANA-BTC
2018-02-05,1517760000000,1.235e-05,1.289e-05,1.068e-05,1.076e-05,6187904.38,65.04,65.04,1,MANA-BTC
2018-02-06,1517846400000,1.078e-05,1.111e-05,9.44e-06,1.105e-05,5817672.03,53.69,53.69,1,MANA-BTC
2018-02-07,1517932800000,1.105e-05,1.353e-05,1.048e-05,1.26e-05,4921549.48,50.22,50.22,1,MANA-BTC
2018-02-08,1518019200000,1.262e-05,1.415e-05,1.242e-05,1.339e-05,4669495.84,55.88,55.88,1,MANA-BTC
2018-02-09,1518105600000,1.338e-05,1.615e-05,1.305e-05,1.388e-05,4477105.22,57.22,57.22,1,MANA-BTC
2018-02-10,1518192000000,1.388e-05,1.47e-05,1.301e-05,1.307e-05,3985785.83,49.44,49.44,1,MANA-BTC
