Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-11,1515600000000,3.0994000000,3.0994000000,2.6499000000,3.0209000000,1719.1251220000,4808.5466600000,4808.5466600000,1,MDA-USDT
2018-01-12,1515686400000,3.0001000000,3.4799000000,2.6499000000,3.0983000000,5511.0840560000,16507.6908390000,16507.6908390000,1,MDA-USDT
2018-01-13,1515772800000,2.9622000000,4.5000000000,2.9622000000,3.8401000000,12822.6286690000,46664.4227400000,46664.4227400000,1,MDA-USDT
2018-01-14,1515859200000,3.9950000000,5.5499000000,3.0011000000,3.1511000000,21728.4976630000,93891.8988870000,93891.8988870000,1,MDA-USDT
2018-01-15,1515945600000,3.3637000000,4.5000000000,2.7999000000,3.1400000000,7959.0800340000,26858.0304570000,26858.0304570000,1,MDA-USDT
2018-01-16,1516032000000,2.9192000000,3.7999000000,1.8557000000,2.0005000000,7100.6651240000,18492.4510590000,18492.4510590000,1,MDA-USDT
2018-01-17,1516118400000,2.2397000000,2.2907000000,1.5000000000,1.5000000000,4298.9747880000,7636.3001980000,7636.3001980000,1,MDA-USDT
2018-01-18,1516204800000,1.5001000000,2.1383000000,1.5001000000,1.9398000000,5703.5094920000,10857.9836800000,10857.9836800000,1,MDA-USDT
2018-01-19,1516291200000,1.8705000000,2.2907000000,1.5809000000,2.0482000000,2517.5834340000,4887.7835480000,4887.7835480000,1,MDA-USDT
2018-01-20,1516377600000,2.1230000000,2.6545000000,2.0200000000,2.3500000000,3639.8618710000,8603.2146080000,8603.2146080000,1,MDA-USDT
2018-01-21,1516464000000,2.3509000000,3.5000000000,2.2500000000,2.6246000000,10646.4661230000,27140.0388470000,27140.0388470000,1,MDA-USDT
2018-01-22,1516550400000,2.5922000000,2.7999000000,1.5000000000,2.0099000000,3364.0078520000,6816.9762750000,6816.9762750000,1,MDA-USDT
2018-01-23,1516636800000,2.0100000000,2.5899000000,1.7199000000,2.0748000000,748.3354200000,1491.8771520000,1491.8771520000,1,MDA-USDT
