Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-02-10,1644422400000,100.0,165.0,100.0,145.5,23054.243938,3520517.218392,3520517.218392,1,METIS-USDT
2022-02-11,1644508800000,145.79,150.0,130.2,131.0,5485.884904,759276.713808,759276.713808,1,METIS-USDT
2022-02-12,1644595200000,131.0,135.59,105.0,111.31,5245.976576,619279.692835,619279.692835,1,METIS-USDT
2022-02-13,1644681600000,111.31,138.7,104.67,135.23,16181.6945,1846945.299176,1846945.299176,1,METIS-USDT
2022-02-14,1644768000000,135.24,135.25,115.6,128.49,5932.062098,735149.677322,735149.677322,1,METIS-USDT
2022-02-15,1644854400000,128.43,149.0,122.7,135.75,3924.041513,538696.479659,538696.479659,1,METIS-USDT
2022-02-16,1644940800000,135.7,156.12,131.71,142.48,4643.927233,693253.398781,693253.398781,1,METIS-USDT
2022-02-17,1645027200000,142.44,156.5,127.94,128.5,5416.802314,788438.672551,788438.672551,1,METIS-USDT
2022-02-18,1645113600000,128.49,136.02,120.62,121.1,3707.797718,479699.740737,479699.740737,1,METIS-USDT
2022-02-19,1645200000000,121.06,126.91,111.52,115.46,4664.424352,550374.012362,550374.012362,1,METIS-USDT
2022-02-20,1645286400000,115.45,123.54,105.14,106.58,2534.160759,285778.240759,285778.240759,1,METIS-USDT
2022-02-21,1645372800000,106.59,125.0,105.52,117.0,5268.285206,608637.67702,608637.67702,1,METIS-USDT
2022-02-22,1645459200000,116.66,118.0,93.81,108.48,8202.437919,855395.725653,855395.725653,1,METIS-USDT
2022-02-23,1645545600000,108.46,120.0,104.01,112.2,2733.09122,303682.821874,303682.821874,1,METIS-USDT
2022-02-24,1645632000000,112.24,115.74,81.61,90.78,7676.717421,708266.832811,708266.832811,1,METIS-USDT
2022-02-25,1645718400000,90.8,109.0,87.87,102.77,5185.092107,515310.265665,515310.265665,1,METIS-USDT
2022-02-26,1645804800000,102.74,110.0,96.6,105.17,2572.364086,269883.351767,269883.351767,1,METIS-USDT
2022-02-27,1645891200000,105.17,122.0,102.48,115.41,5395.072287,608879.354885,608879.354885,1,METIS-USDT
2022-02-28,1645977600000,115.43,124.7,105.0,123.35,3745.585466,421675.867468,421675.867468,1,METIS-USDT
2022-03-01,1646064000000,123.39,155.51,120.19,143.69,8023.175109,1142332.388321,1142332.388321,1,METIS-USDT
2022-03-02,1646150400000,143.72,174.0,140.01,165.49,7094.569434,1119802.220814,1119802.220814,1,METIS-USDT
2022-03-03,1646236800000,165.45,175.0,145.0,145.4,6825.110518,1097140.150086,1097140.150086,1,METIS-USDT
2022-03-04,1646323200000,145.86,151.22,127.1,130.59,4089.525215,569393.122,569393.122,1,METIS-USDT
2022-03-05,1646409600000,130.59,139.9,119.6,123.58,4130.454195,520858.834636,520858.834636,1,METIS-USDT
2022-03-06,1646496000000,123.58,138.1,119.98,128.61,4619.335763,583749.638774,583749.638774,1,METIS-USDT
2022-03-07,1646582400000,128.65,156.79,123.66,146.62,8525.188201,1197586.733618,1197586.733618,1,METIS-USDT
2022-03-08,1646668800000,146.58,155.0,130.0,144.6,4897.326032,706339.956427,706339.956427,1,METIS-USDT
2022-03-09,1646755200000,144.56,172.0,144.3,159.26,5123.973801,819666.458296,819666.458296,1,METIS-USDT
2022-03-10,1646841600000,159.28,165.0,139.2,145.56,15327.819534,2259595.577336,2259595.577336,1,METIS-USDT
2022-03-11,1646928000000,145.5,165.0,136.99,148.03,5593.994048,840747.736078,840747.736078,1,METIS-USDT
2022-03-12,1647014400000,147.99,165.0,144.5,158.8,13395.720234,2107227.104617,2107227.104617,1,METIS-USDT
2022-03-13,1647100800000,158.8,170.0,147.82,157.04,7890.530687,1248433.483291,1248433.483291,1,METIS-USDT
2022-03-14,1647187200000,157.02,162.08,148.0,157.52,3646.671297,566152.503436,566152.503436,1,METIS-USDT
2022-03-15,1647273600000,157.49,159.5,133.52,142.8,4569.610028,656620.613734,656620.613734,1,METIS-USDT
2022-03-16,1647360000000,142.85,148.17,138.91,145.11,3217.432363,461908.217517,461908.217517,1,METIS-USDT
2022-03-17,1647446400000,145.14,155.5,139.0,146.78,3703.61124,548559.773055,548559.773055,1,METIS-USDT
2022-03-18,1647532800000,146.75,148.0,138.11,142.83,3176.602685,450676.860608,450676.860608,1,METIS-USDT
2022-03-19,1647619200000,142.81,153.0,142.81,147.52,2244.962663,334305.650494,334305.650494,1,METIS-USDT
2022-03-20,1647705600000,147.52,150.31,141.0,147.52,2353.651499,345690.127274,345690.127274,1,METIS-USDT
2022-03-21,1647792000000,147.51,155.8,145.07,155.71,1785.340121,266164.413273,266164.413273,1,METIS-USDT
2022-03-22,1647878400000,155.74,165.0,150.86,159.74,2182.571065,346039.026686,346039.026686,1,METIS-USDT
2022-03-23,1647964800000,159.72,162.31,152.44,158.45,1639.458178,258070.974785,258070.974785,1,METIS-USDT
2022-03-24,1648051200000,158.49,161.33,151.78,154.16,1791.313984,279744.800513,279744.800513,1,METIS-USDT
2022-03-25,1648137600000,154.15,155.56,146.92,147.81,1829.156748,276715.901787,276715.901787,1,METIS-USDT
2022-03-26,1648224000000,147.76,152.88,142.22,145.88,1542.367067,225047.32313,225047.32313,1,METIS-USDT
2022-03-27,1648310400000,146.7,147.21,141.6,143.08,1254.294921,180878.025318,180878.025318,1,METIS-USDT
2022-03-28,1648396800000,143.08,159.79,141.11,157.75,4315.386555,660794.939884,660794.939884,1,METIS-USDT
2022-03-29,1648483200000,157.77,158.03,150.01,152.25,1641.429259,251848.25462,251848.25462,1,METIS-USDT
2022-03-30,1648569600000,152.28,154.81,135.0,139.49,3282.85284,470824.053963,470824.053963,1,METIS-USDT
2022-03-31,1648656000000,139.49,145.0,131.58,136.23,3193.635173,443781.963065,443781.963065,1,METIS-USDT
2022-04-01,1648742400000,136.23,140.04,129.54,135.29,3054.656606,411111.012973,411111.012973,1,METIS-USDT
2022-04-02,1648828800000,135.31,144.31,130.42,136.84,3381.190696,471716.168626,471716.168626,1,METIS-USDT
2022-04-03,1648915200000,137.57,142.99,133.68,139.27,1504.501774,208063.640299,208063.640299,1,METIS-USDT
2022-04-04,1649001600000,139.24,141.29,130.0,130.64,2249.142298,303713.685283,303713.685283,1,METIS-USDT
2022-04-05,1649088000000,130.65,136.13,124.88,125.65,2025.087238,265402.678203,265402.678203,1,METIS-USDT
2022-04-06,1649174400000,125.62,129.85,108.96,110.28,2489.05942,295834.46501,295834.46501,1,METIS-USDT
2022-04-07,1649260800000,110.26,114.44,107.03,112.81,2639.044639,291471.268296,291471.268296,1,METIS-USDT
2022-04-08,1649347200000,112.8,117.11,96.6,101.76,5593.807395,587778.719455,587778.719455,1,METIS-USDT
2022-04-09,1649433600000,101.6,102.27,91.9,97.27,2889.285159,280186.669811,280186.669811,1,METIS-USDT
2022-04-10,1649520000000,97.3,103.05,94.74,97.88,2364.563178,232403.1358,232403.1358,1,METIS-USDT
2022-04-11,1649606400000,97.84,101.0,85.07,85.83,2975.181444,273889.977194,273889.977194,1,METIS-USDT
2022-04-12,1649692800000,85.82,90.7,76.16,87.95,5351.279029,446767.827823,446767.827823,1,METIS-USDT
2022-04-13,1649779200000,87.96,93.99,80.0,92.87,3314.903939,287280.455686,287280.455686,1,METIS-USDT
2022-04-14,1649865600000,92.37,98.64,84.55,85.27,1998.830085,181393.896121,181393.896121,1,METIS-USDT
2022-04-15,1649952000000,85.26,87.89,81.72,83.62,2274.184192,190738.580634,190738.580634,1,METIS-USDT
2022-04-16,1650038400000,83.61,87.86,82.17,82.71,1667.584785,140315.273003,140315.273003,1,METIS-USDT
2022-04-17,1650124800000,82.69,84.19,81.31,81.89,1060.006373,87444.165922,87444.165922,1,METIS-USDT
2022-04-18,1650211200000,81.9,82.71,74.31,74.59,2468.169562,191099.853228,191099.853228,1,METIS-USDT
2022-04-19,1650297600000,74.59,88.21,74.31,86.25,4228.845079,350842.072625,350842.072625,1,METIS-USDT
2022-04-20,1650384000000,86.24,87.66,82.0,82.2,2924.832844,248810.009851,248810.009851,1,METIS-USDT
2022-04-21,1650470400000,82.22,85.1,78.95,79.95,2266.005098,184514.650646,184514.650646,1,METIS-USDT
2022-04-22,1650556800000,79.95,81.54,71.2,71.5,3276.206477,247943.86319,247943.86319,1,METIS-USDT
2022-04-23,1650643200000,71.47,76.81,70.71,72.75,2506.012396,181705.356867,181705.356867,1,METIS-USDT
2022-04-24,1650729600000,72.69,72.69,64.77,66.12,2528.40406,173356.05967,173356.05967,1,METIS-USDT
2022-04-25,1650816000000,65.56,68.32,57.11,59.09,5554.698392,347998.34313,347998.34313,1,METIS-USDT
2022-04-26,1650902400000,59.12,67.89,59.0,59.3,4223.510612,269854.278516,269854.278516,1,METIS-USDT
2022-04-27,1650988800000,59.31,62.7,57.01,59.26,7029.918088,418080.381815,418080.381815,1,METIS-USDT
2022-04-28,1651075200000,59.25,62.13,57.52,58.73,3589.217548,214993.50246,214993.50246,1,METIS-USDT
2022-04-29,1651161600000,58.7,61.84,54.23,56.03,3613.437569,212162.983687,212162.983687,1,METIS-USDT
2022-04-30,1651248000000,56.03,56.06,48.01,50.29,3755.671583,196541.852054,196541.852054,1,METIS-USDT
2022-05-01,1651334400000,50.27,50.35,40.24,45.13,7278.821927,322599.203531,322599.203531,1,METIS-USDT
2022-05-02,1651420800000,45.12,47.77,43.09,46.65,4108.629693,188460.078773,188460.078773,1,METIS-USDT
2022-05-03,1651507200000,46.64,47.99,43.5,45.81,3050.006037,139554.797882,139554.797882,1,METIS-USDT
2022-05-04,1651593600000,45.8,47.51,44.0,46.85,2967.9411,136012.406008,136012.406008,1,METIS-USDT
2022-05-05,1651680000000,46.87,66.93,44.75,49.07,15770.053565,863531.887377,863531.887377,1,METIS-USDT
2022-05-06,1651766400000,49.11,50.0,44.26,46.58,3981.456412,187517.29267,187517.29267,1,METIS-USDT
2022-05-07,1651852800000,46.57,48.06,45.34,45.68,2541.103016,118851.95463,118851.95463,1,METIS-USDT
2022-05-08,1651939200000,45.67,45.88,42.14,42.29,2889.811604,127392.135736,127392.135736,1,METIS-USDT
2022-05-09,1652025600000,42.25,44.04,37.9,38.09,3725.159273,152881.635525,152881.635525,1,METIS-USDT
2022-05-10,1652112000000,38.09,39.59,33.41,37.63,6711.228536,243774.584957,243774.584957,1,METIS-USDT
2022-05-11,1652198400000,37.63,39.15,30.02,31.68,8391.025185,290847.759235,290847.759235,1,METIS-USDT
2022-05-12,1652284800000,31.68,31.73,18.95,23.22,11708.320302,271400.273573,271400.273573,1,METIS-USDT
2022-05-13,1652371200000,23.21,34.72,17.87,30.57,15443.274922,393305.009971,393305.009971,1,METIS-USDT
2022-05-14,1652457600000,30.88,32.0,21.86,22.59,9534.515091,252108.629682,252108.629682,1,METIS-USDT
2022-05-15,1652544000000,22.6,31.26,22.21,27.92,8348.636387,221844.179149,221844.179149,1,METIS-USDT
2022-05-16,1652630400000,27.86,32.87,26.57,27.32,6809.78988,200706.845908,200706.845908,1,METIS-USDT
2022-05-17,1652716800000,27.33,31.13,26.41,30.01,5893.013563,172061.768452,172061.768452,1,METIS-USDT
2022-05-18,1652803200000,30.04,31.63,24.24,25.78,6536.294358,183238.192803,183238.192803,1,METIS-USDT
2022-05-19,1652889600000,25.64,28.38,24.33,27.48,3423.35425,88560.384134,88560.384134,1,METIS-USDT
2022-05-20,1652976000000,27.47,28.09,26.04,26.21,4075.13106,110670.917193,110670.917193,1,METIS-USDT
2022-05-21,1653062400000,26.21,26.89,25.49,26.4,2460.653251,64184.557904,64184.557904,1,METIS-USDT
2022-05-22,1653148800000,26.4,27.39,25.95,26.37,2476.487281,65839.022245,65839.022245,1,METIS-USDT
2022-05-23,1653235200000,26.36,31.56,25.92,29.12,10008.482911,288376.065299,288376.065299,1,METIS-USDT
2022-05-24,1653321600000,29.3,30.45,24.69,25.72,8555.331054,226670.268095,226670.268095,1,METIS-USDT
2022-05-25,1653408000000,25.73,27.1,25.16,25.9,3034.40123,79395.075942,79395.075942,1,METIS-USDT
2022-05-26,1653494400000,25.9,26.02,22.08,23.56,4316.990401,102547.122571,102547.122571,1,METIS-USDT
2022-05-27,1653580800000,23.56,24.16,20.26,20.54,4871.877527,107145.513162,107145.513162,1,METIS-USDT
2022-05-28,1653667200000,20.43,20.63,18.26,18.88,3207.586439,62880.401047,62880.401047,1,METIS-USDT
2022-05-29,1653753600000,18.91,20.25,18.23,20.0,2645.224895,50913.009033,50913.009033,1,METIS-USDT
2022-05-30,1653840000000,20.0,22.95,19.85,22.41,5122.451496,112176.33148,112176.33148,1,METIS-USDT
2022-05-31,1653926400000,22.42,24.15,22.08,23.65,5090.925091,117729.364105,117729.364105,1,METIS-USDT
2022-06-01,1654012800000,23.66,24.08,19.82,20.06,7505.341912,163974.530948,163974.530948,1,METIS-USDT
2022-06-02,1654099200000,20.16,21.04,19.49,20.43,1264.770928,25646.1371,25646.1371,1,METIS-USDT
2022-06-03,1654185600000,20.73,21.71,19.67,20.57,2862.600858,59160.157891,59160.157891,1,METIS-USDT
2022-06-04,1654272000000,20.56,21.77,20.06,21.77,1358.50439,28390.853733,28390.853733,1,METIS-USDT
2022-06-05,1654358400000,21.76,22.95,20.91,22.11,1911.19488,42138.434038,42138.434038,1,METIS-USDT
2022-06-06,1654444800000,22.11,27.2,22.0,24.95,6824.661056,170809.154578,170809.154578,1,METIS-USDT
2022-06-07,1654531200000,24.94,25.36,21.61,22.71,4506.61907,106688.48218,106688.48218,1,METIS-USDT
2022-06-08,1654617600000,22.7,24.69,22.32,23.41,4292.501042,100592.597113,100592.597113,1,METIS-USDT
2022-06-09,1654704000000,23.4,23.72,22.24,23.12,2756.053597,63445.890458,63445.890458,1,METIS-USDT
2022-06-10,1654790400000,23.11,23.49,20.48,21.57,4263.761073,94395.579422,94395.579422,1,METIS-USDT
2022-06-11,1654876800000,21.63,21.69,18.0,18.0,3463.1923,69740.020024,69740.020024,1,METIS-USDT
2022-06-12,1654963200000,18.3,19.24,16.79,17.56,5225.64094,93497.146935,93497.146935,1,METIS-USDT
2022-06-13,1655049600000,17.56,19.06,14.31,16.2,9525.956738,150511.128137,150511.128137,1,METIS-USDT
2022-06-14,1655136000000,15.75,18.52,14.77,17.82,5282.607643,85908.861599,85908.861599,1,METIS-USDT
2022-06-15,1655222400000,17.77,18.1,15.01,16.19,4300.512096,69183.260577,69183.260577,1,METIS-USDT
2022-06-16,1655308800000,16.18,19.43,15.0,16.9,6168.361607,108187.004236,108187.004236,1,METIS-USDT
2022-06-17,1655395200000,16.91,17.36,16.07,16.47,1733.60241,28732.675678,28732.675678,1,METIS-USDT
2022-06-18,1655481600000,16.51,16.71,14.83,15.32,2314.148219,36114.825721,36114.825721,1,METIS-USDT
2022-06-19,1655568000000,15.27,16.16,13.71,16.11,4880.919272,73393.092138,73393.092138,1,METIS-USDT
2022-06-20,1655654400000,16.1,17.15,15.58,16.69,5045.230727,82172.276049,82172.276049,1,METIS-USDT
2022-06-21,1655740800000,16.71,19.0,16.14,18.61,6790.193213,117429.00726,117429.00726,1,METIS-USDT
2022-06-22,1655827200000,18.58,18.71,16.67,17.1,5556.545704,97199.22334,97199.22334,1,METIS-USDT
2022-06-23,1655913600000,17.08,18.41,16.61,18.06,2264.760063,39647.348261,39647.348261,1,METIS-USDT
2022-06-24,1656000000000,18.04,21.08,17.29,20.59,2865.265666,55900.557197,55900.557197,1,METIS-USDT
2022-06-25,1656086400000,20.58,22.89,19.14,19.48,2325.722696,48603.172705,48603.172705,1,METIS-USDT
2022-06-26,1656172800000,19.5,21.0,18.92,20.17,1674.358327,33888.056401,33888.056401,1,METIS-USDT
2022-06-27,1656259200000,20.18,20.99,19.11,19.56,1856.227116,36928.142788,36928.142788,1,METIS-USDT
2022-06-28,1656345600000,19.56,32.38,19.23,23.88,25912.989187,630733.375989,630733.375989,1,METIS-USDT
2022-06-29,1656432000000,24.05,24.62,18.99,19.79,12165.614215,256792.760112,256792.760112,1,METIS-USDT
2022-06-30,1656518400000,19.77,20.13,17.55,18.45,10995.865549,205458.238507,205458.238507,1,METIS-USDT
2022-07-01,1656604800000,18.46,20.71,18.19,18.83,8481.245882,160962.134285,160962.134285,1,METIS-USDT
2022-07-02,1656691200000,18.75,19.54,18.67,19.23,3929.691497,74963.270748,74963.270748,1,METIS-USDT
2022-07-03,1656777600000,19.25,19.97,18.91,19.13,2492.16627,48411.369015,48411.369015,1,METIS-USDT
2022-07-04,1656864000000,19.13,19.64,18.75,19.43,3336.219413,64269.225523,64269.225523,1,METIS-USDT
2022-07-05,1656950400000,19.43,20.82,18.53,18.95,6179.629129,121006.559772,121006.559772,1,METIS-USDT
2022-07-06,1657036800000,18.92,19.98,18.91,19.1,5540.654474,107094.999278,107094.999278,1,METIS-USDT
2022-07-07,1657123200000,19.1,21.6,19.06,21.04,4620.330434,92173.369423,92173.369423,1,METIS-USDT
2022-07-08,1657209600000,21.04,24.59,20.97,22.79,11555.842598,262338.782483,262338.782483,1,METIS-USDT
2022-07-09,1657296000000,22.88,24.11,21.77,22.19,4266.04092,95830.160528,95830.160528,1,METIS-USDT
2022-07-10,1657382400000,22.2,23.08,21.34,21.53,4864.105154,108571.793289,108571.793289,1,METIS-USDT
2022-07-11,1657468800000,21.52,22.21,20.14,20.64,7663.531174,161358.090588,161358.090588,1,METIS-USDT
2022-07-12,1657555200000,20.59,21.23,19.34,19.92,5378.141988,107807.655235,107807.655235,1,METIS-USDT
2022-07-13,1657641600000,19.88,20.45,19.02,19.76,4560.267926,89726.060829,89726.060829,1,METIS-USDT
2022-07-14,1657728000000,19.77,21.62,19.65,21.23,3919.7923,80784.865473,80784.865473,1,METIS-USDT
2022-07-15,1657814400000,21.2,24.1,21.02,23.64,6827.801702,154863.300068,154863.300068,1,METIS-USDT
2022-07-16,1657900800000,23.64,24.58,22.6,24.45,3937.304762,92769.251865,92769.251865,1,METIS-USDT
2022-07-17,1657987200000,24.48,25.5,24.0,24.54,5572.281341,138614.283781,138614.283781,1,METIS-USDT
2022-07-18,1658073600000,24.53,34.58,23.65,29.27,15918.370642,455336.559542,455336.559542,1,METIS-USDT
2022-07-19,1658160000000,29.25,32.06,27.01,28.85,8833.647848,258238.980547,258238.980547,1,METIS-USDT
2022-07-20,1658246400000,28.81,37.98,28.76,36.53,12760.984901,420538.908777,420538.908777,1,METIS-USDT
2022-07-21,1658332800000,36.52,36.53,28.41,31.27,13955.883848,433050.261478,433050.261478,1,METIS-USDT
2022-07-22,1658419200000,31.3,34.8,31.17,32.46,7468.40783,248572.716006,248572.716006,1,METIS-USDT
2022-07-23,1658505600000,32.5,32.5,28.44,28.52,5792.52954,177337.55963,177337.55963,1,METIS-USDT
2022-07-24,1658592000000,28.51,31.77,28.12,30.72,6147.510181,184290.023236,184290.023236,1,METIS-USDT
2022-07-25,1658678400000,30.72,31.1,28.61,28.94,3564.758672,106379.741894,106379.741894,1,METIS-USDT
2022-07-26,1658764800000,28.94,29.13,25.72,26.3,6830.547816,184163.052318,184163.052318,1,METIS-USDT
2022-07-27,1658851200000,26.3,31.1,26.02,31.04,4253.491087,123278.661168,123278.661168,1,METIS-USDT
2022-07-28,1658937600000,31.02,36.5,30.15,36.44,11518.100092,384820.953682,384820.953682,1,METIS-USDT
2022-07-29,1659024000000,36.5,40.33,33.67,36.92,16010.231776,588313.075726,588313.075726,1,METIS-USDT
2022-07-30,1659110400000,36.89,38.0,34.88,37.86,3857.484836,139232.30804,139232.30804,1,METIS-USDT
2022-07-31,1659196800000,37.84,37.9,34.14,34.87,3182.260459,111678.270506,111678.270506,1,METIS-USDT
2022-08-01,1659283200000,34.85,36.0,32.56,33.78,3854.998014,131084.424862,131084.424862,1,METIS-USDT
2022-08-02,1659369600000,33.79,34.66,31.64,32.59,2953.643389,96714.081265,96714.081265,1,METIS-USDT
2022-08-03,1659456000000,32.63,36.17,32.37,35.83,3168.524123,106366.349172,106366.349172,1,METIS-USDT
2022-08-04,1659542400000,35.92,49.9,34.8,42.66,13075.30876,556227.434377,556227.434377,1,METIS-USDT
2022-08-05,1659628800000,42.74,52.0,39.7,45.13,10733.638427,492097.064062,492097.064062,1,METIS-USDT
2022-08-06,1659715200000,45.17,48.2,43.89,44.2,4774.654327,218067.167703,218067.167703,1,METIS-USDT
2022-08-07,1659801600000,44.36,47.29,41.34,44.97,4013.694681,174650.836924,174650.836924,1,METIS-USDT
2022-08-08,1659888000000,44.95,47.89,43.12,45.62,3549.131867,161789.593586,161789.593586,1,METIS-USDT
2022-08-09,1659974400000,45.64,46.49,41.52,41.79,3519.049754,155838.423171,155838.423171,1,METIS-USDT
2022-08-10,1660060800000,41.79,47.0,41.4,46.66,5214.383447,226785.15644,226785.15644,1,METIS-USDT
2022-08-11,1660147200000,46.72,49.9,44.65,46.49,2969.988965,142179.06734,142179.06734,1,METIS-USDT
2022-08-12,1660233600000,46.49,47.92,43.55,45.42,2730.608611,123635.077283,123635.077283,1,METIS-USDT
2022-08-13,1660320000000,45.46,49.74,45.25,46.58,2375.219146,113745.77092,113745.77092,1,METIS-USDT
2022-08-14,1660406400000,46.57,48.31,45.81,45.84,2321.385868,109150.979383,109150.979383,1,METIS-USDT
2022-08-15,1660492800000,45.9,45.98,41.59,42.73,3652.094505,158488.953631,158488.953631,1,METIS-USDT
2022-08-16,1660579200000,42.7,42.91,38.13,38.44,5181.818811,208551.706125,208551.706125,1,METIS-USDT
2022-08-17,1660665600000,38.49,43.38,36.62,37.27,7019.678261,279137.334597,279137.334597,1,METIS-USDT
2022-08-18,1660752000000,37.33,40.13,36.69,38.78,5968.457045,228973.54314,228973.54314,1,METIS-USDT
