Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-01-29,1611849600000,3.29,5.6,3.29,4.961,189655.418057,938308.024694,938308.024694,1,MIR-USDT
2021-01-30,1611936000000,4.957,4.974,4.4,4.598,373542.185399,1769120.993397,1769120.993397,1,MIR-USDT
2021-01-31,1612022400000,4.598,4.65,4.5,4.575,264422.52588,1210833.723932,1210833.723932,1,MIR-USDT
2021-02-01,1612108800000,4.575,4.626,4.561,4.577,266529.956761,1222383.343768,1222383.343768,1,MIR-USDT
2021-02-02,1612195200000,4.577,6.076,4.572,5.789,1055408.489714,5670227.254032,5670227.254032,1,MIR-USDT
2021-02-03,1612281600000,5.79,6.18,5.03,5.271,691557.891912,3880973.460706,3880973.460706,1,MIR-USDT
2021-02-04,1612368000000,5.276,5.934,5.012,5.553,792558.824819,4258533.864779,4258533.864779,1,MIR-USDT
2021-02-05,1612454400000,5.555,5.609,4.888,4.904,591800.350324,3160308.271494,3160308.271494,1,MIR-USDT
2021-02-06,1612540800000,4.91,5.006,4.225,4.398,730987.821513,3351863.230239,3351863.230239,1,MIR-USDT
2021-02-07,1612627200000,4.398,4.999,4.307,4.677,571906.106615,2657996.362499,2657996.362499,1,MIR-USDT
2021-02-08,1612713600000,4.676,4.99,4.609,4.803,615540.412172,2907859.893421,2907859.893421,1,MIR-USDT
2021-02-09,1612800000000,4.802,5.5,4.8,5.334,579470.786311,2997921.101942,2997921.101942,1,MIR-USDT
2021-02-10,1612886400000,5.338,5.354,4.699,5.073,666306.450033,3429813.239249,3429813.239249,1,MIR-USDT
2021-02-11,1612972800000,5.071,5.073,4.71,4.86,546437.693982,2668416.939343,2668416.939343,1,MIR-USDT
2021-02-12,1613059200000,4.859,5.4,4.847,5.212,643802.599731,3216001.557747,3216001.557747,1,MIR-USDT
2021-02-13,1613145600000,5.217,5.6,4.9,4.946,665732.894427,3485436.635059,3485436.635059,1,MIR-USDT
2021-02-14,1613232000000,4.949,5.175,4.51,4.513,353989.011521,1727839.446689,1727839.446689,1,MIR-USDT
2021-02-15,1613318400000,4.509,4.642,4.049,4.41,366123.394794,1594321.776669,1594321.776669,1,MIR-USDT
2021-02-16,1613404800000,4.401,5.008,4.4,4.895,420949.497231,2005021.076907,2005021.076907,1,MIR-USDT
2021-02-17,1613491200000,4.895,4.937,4.311,4.531,371941.124045,1675523.632372,1675523.632372,1,MIR-USDT
