Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-02-24,1519401600000,0.0001501,0.0016,0.000142,0.00050042,83243.137,35.238,35.238,1,MITH-BTC
2018-02-25,1519488000000,0.00051,0.00088537,0.000317,0.00056301,50246.592,30.984,30.984,1,MITH-BTC
2018-02-26,1519574400000,0.00064427,0.00074,0.00043891,0.00058999,10310.753,6.128,6.128,1,MITH-BTC
2018-02-27,1519660800000,0.00058,0.00075,0.0003801,0.00055011,621501.065,315.471,315.471,1,MITH-BTC
2018-02-28,1519747200000,0.00054883,0.00056986,0.00025,0.00033009,678178.291,289.551,289.551,1,MITH-BTC
2018-03-01,1519833600000,0.0003307,0.00069,0.000305,0.00053928,1270922.781,595.57,595.57,1,MITH-BTC
2018-03-02,1519920000000,0.00053972,0.00055268,0.00037,0.00048775,795601.196,379.5,379.5,1,MITH-BTC
2018-03-03,1520006400000,0.00048775,0.0006,0.0004,0.0004564,944954.567,451.608,451.608,1,MITH-BTC
2018-03-04,1520092800000,0.00045367,0.00046196,0.0004,0.00041968,927408.727,394.85,394.85,1,MITH-BTC
2018-03-05,1520179200000,0.00042053,0.00044842,0.0003,0.0003407,1206926.937,459.52,459.52,1,MITH-BTC
2018-03-06,1520265600000,0.0003469,0.00035788,0.0001309,0.00015891,1486333.031,417.894,417.894,1,MITH-BTC
2018-03-07,1520352000000,0.00015878,0.00036,9.274e-05,0.00029752,1780101.308,322.073,322.073,1,MITH-BTC
2018-03-08,1520438400000,0.00029228,0.00029671,0.00012419,0.00014509,1225778.551,237.959,237.959,1,MITH-BTC
2018-03-09,1520524800000,0.00014408,0.0001483,0.0001,0.00010233,1393950.069,171.483,171.483,1,MITH-BTC
2018-03-10,1520611200000,0.00010309,0.00010713,7.609e-05,8.933e-05,2843446.682,249.007,249.007,1,MITH-BTC
2018-03-11,1520697600000,8.862e-05,0.00011088,7.517e-05,7.637e-05,2831218.218,235.829,235.829,1,MITH-BTC
2018-03-12,1520784000000,7.565e-05,0.00012,7.06e-05,7.925e-05,2724083.954,223.353,223.353,1,MITH-BTC
2018-03-13,1520870400000,7.832e-05,7.92e-05,6.501e-05,7.183e-05,3702859.067,264.694,264.694,1,MITH-BTC
2018-03-14,1520956800000,7.077e-05,7.499e-05,6.38e-05,7.103e-05,2699095.939,183.995,183.995,1,MITH-BTC
2018-03-15,1521043200000,7.177e-05,8.488e-05,5.746e-05,6.601e-05,3333118.072,224.564,224.564,1,MITH-BTC
2018-03-16,1521129600000,6.393e-05,7.669e-05,5.001e-05,6.77e-05,1450536.184,95.589,95.589,1,MITH-BTC
2018-03-17,1521216000000,6.759e-05,6.802e-05,3.5e-05,3.661e-05,2348300.538,102.092,102.092,1,MITH-BTC
2018-03-18,1521302400000,3.713e-05,3.739e-05,1.27e-05,1.564e-05,3600770.063,75.646,75.646,1,MITH-BTC
2018-03-19,1521388800000,1.587e-05,1.71e-05,1.256e-05,1.356e-05,1937241.255,26.473,26.473,1,MITH-BTC
2018-03-20,1521475200000,1.36e-05,1.614e-05,1.3e-05,1.357e-05,1508122.581,20.631,20.631,1,MITH-BTC
2018-03-21,1521561600000,1.361e-05,1.404e-05,1.078e-05,1.223e-05,3107184.709,37.153,37.153,1,MITH-BTC
2018-03-22,1521648000000,1.218e-05,1.391e-05,8.01e-06,1.065e-05,11164380.196,124.745,124.745,1,MITH-BTC
2018-03-23,1521734400000,1.055e-05,1.114e-05,9.68e-06,9.85e-06,11601682.501,119.946,119.946,1,MITH-BTC
2018-03-24,1521820800000,9.84e-06,1.073e-05,9.42e-06,1.024e-05,6675121.676,65.487,65.487,1,MITH-BTC
2018-03-25,1521907200000,1.027e-05,1.281e-05,9.77e-06,1.226e-05,8310978.207,90.094,90.094,1,MITH-BTC
2018-03-26,1521993600000,1.222e-05,2.09e-05,1.217e-05,2.085e-05,9850197.609,157.349,157.349,1,MITH-BTC
2018-03-27,1522080000000,2.086e-05,4.795e-05,1.947e-05,4.594e-05,13523360.601,460.885,460.885,1,MITH-BTC
2018-03-28,1522166400000,4.628e-05,6.4e-05,4.201e-05,6.25e-05,22310588.84,1143.517,1143.517,1,MITH-BTC
2018-03-29,1522252800000,6.21e-05,0.00011351,4.1e-05,5.618e-05,18218636.292,1309.086,1309.086,1,MITH-BTC
2018-03-30,1522339200000,5.661e-05,6.7e-05,3.301e-05,4.997e-05,5542936.604,265.402,265.402,1,MITH-BTC
2018-03-31,1522425600000,5.016e-05,7.8e-05,4.692e-05,6.606e-05,4016703.058,235.288,235.288,1,MITH-BTC
2018-04-01,1522512000000,6.603e-05,7.38e-05,5.6e-05,6.228e-05,2356542.227,152.995,152.995,1,MITH-BTC
2018-04-02,1522598400000,6.208e-05,6.399e-05,5.72e-05,5.863e-05,1107384.402,66.34,66.34,1,MITH-BTC
2018-04-03,1522684800000,5.855e-05,6.289e-05,5.1e-05,5.142e-05,1905499.613,106.158,106.158,1,MITH-BTC
2018-04-04,1522771200000,5.176e-05,5.4e-05,3.7e-05,3.959e-05,4533640.829,212.766,212.766,1,MITH-BTC
2018-04-05,1522857600000,3.974e-05,4.399e-05,3.439e-05,3.694e-05,2558467.27,97.374,97.374,1,MITH-BTC
2018-04-06,1522944000000,3.682e-05,3.712e-05,2.513e-05,2.791e-05,3883937.294,112.071,112.071,1,MITH-BTC
2018-04-07,1523030400000,2.788e-05,5.8e-05,2.513e-05,4.5e-05,11747717.523,423.779,423.779,1,MITH-BTC
2018-04-08,1523116800000,4.5e-05,5.095e-05,1.537e-05,2.935e-05,16604106.546,517.462,517.462,1,MITH-BTC
2018-04-09,1523203200000,2.919e-05,3.3e-05,2.51e-05,2.519e-05,10150980.605,286.645,286.645,1,MITH-BTC
2018-04-10,1523289600000,2.571e-05,2.788e-05,2.2e-05,2.408e-05,6923771.997,170.359,170.359,1,MITH-BTC
2018-04-11,1523376000000,2.407e-05,3.3e-05,2.406e-05,3.058e-05,33165492.682,932.033,932.033,1,MITH-BTC
2018-04-12,1523462400000,3.024e-05,0.00014993,3.001e-05,6.668e-05,56492317.862,3601.743,3601.743,1,MITH-BTC
2018-04-13,1523548800000,6.647e-05,0.000105,6.444e-05,9.089e-05,16206715.175,1350.568,1350.568,1,MITH-BTC
2018-04-14,1523635200000,9.074e-05,9.6e-05,7.22e-05,7.82e-05,11403178.623,994.319,994.319,1,MITH-BTC
2018-04-15,1523721600000,7.814e-05,8.861e-05,7.302e-05,8.11e-05,8224541.356,651.551,651.551,1,MITH-BTC
2018-04-16,1523808000000,8.181e-05,8.768e-05,7.952e-05,8.581e-05,3430603.831,282.382,282.382,1,MITH-BTC
2018-04-17,1523894400000,8.575e-05,9.9e-05,8.291e-05,9.858e-05,5047279.556,471.091,471.091,1,MITH-BTC
2018-04-18,1523980800000,9.899e-05,0.000115,9.377e-05,0.000107,9514966.148,977.073,977.073,1,MITH-BTC
2018-04-19,1524067200000,0.00010658,0.000137,0.00010599,0.00012944,11884715.067,1459.619,1459.619,1,MITH-BTC
2018-04-20,1524153600000,0.00012983,0.00015,0.00012123,0.00013306,4506740.675,604.779,604.779,1,MITH-BTC
2018-04-21,1524240000000,0.00013312,0.00013654,0.00010136,0.00011053,6902038.579,845.614,845.614,1,MITH-BTC
2018-04-22,1524326400000,0.00011114,0.00012499,9.651e-05,0.00011056,9849068.504,1070.8,1070.8,1,MITH-BTC
2018-04-23,1524412800000,0.00011044,0.00011998,0.0001072,0.0001105,6185090.11,691.439,691.439,1,MITH-BTC
2018-04-24,1524499200000,0.00011057,0.00012893,0.000105,0.0001219,11520274.282,1278.569,1278.569,1,MITH-BTC
2018-04-25,1524585600000,0.0001222,0.0001228,9.608e-05,0.00010127,17778848.38,1911.274,1911.274,1,MITH-BTC
2018-04-26,1524672000000,0.00010123,0.0001987,9.727e-05,0.00015968,16354912.762,1986.689,1986.689,1,MITH-BTC
2018-04-27,1524758400000,0.00016027,0.00016075,0.00012233,0.00013727,7053150.897,975.62,975.62,1,MITH-BTC
2018-04-28,1524844800000,0.00013818,0.00014498,0.00012896,0.00013606,12104384.975,1689.605,1689.605,1,MITH-BTC
2018-04-29,1524931200000,0.00013588,0.00014069,0.00012372,0.00012615,7662464.33,1023.312,1023.312,1,MITH-BTC
2018-04-30,1525017600000,0.00012686,0.00013368,0.000122,0.00012258,5144520.535,656.345,656.345,1,MITH-BTC
2018-05-01,1525104000000,0.0001229,0.00012988,0.00011826,0.00012167,12186277.532,1511.237,1511.237,1,MITH-BTC
2018-05-02,1525190400000,0.00012174,0.00015799,0.00011763,0.00013917,9518950.048,1212.8,1212.8,1,MITH-BTC
2018-05-03,1525276800000,0.0001391,0.00015999,0.00013362,0.00015239,4132253.472,602.629,602.629,1,MITH-BTC
2018-05-04,1525363200000,0.00015228,0.00015364,0.00013775,0.00013975,7279236.798,1043.715,1043.715,1,MITH-BTC
2018-05-05,1525449600000,0.00013977,0.0001589,0.00012932,0.00013445,4559450.073,637.417,637.417,1,MITH-BTC
2018-05-06,1525536000000,0.0001348,0.000144,0.0001305,0.00013406,2727614.576,369.994,369.994,1,MITH-BTC
2018-05-07,1525622400000,0.00013416,0.0001387,0.00012276,0.00012572,6096405.206,801.174,801.174,1,MITH-BTC
2018-05-08,1525708800000,0.00012586,0.00013999,0.00012375,0.00013158,5883399.846,767.323,767.323,1,MITH-BTC
2018-05-09,1525795200000,0.00013153,0.000135,0.000125,0.00012875,3515049.955,458.129,458.129,1,MITH-BTC
2018-05-10,1525881600000,0.00012823,0.00014055,0.00012312,0.00013564,6174527.502,808.684,808.684,1,MITH-BTC
2018-05-11,1525968000000,0.00013456,0.0001388,0.00012751,0.00013569,4482891.281,599.53,599.53,1,MITH-BTC
2018-05-12,1526054400000,0.00013569,0.000176,0.00013002,0.00014715,13103601.203,1885.236,1885.236,1,MITH-BTC
2018-05-13,1526140800000,0.00014686,0.00015784,0.0001379,0.00014072,5895573.055,881.392,881.392,1,MITH-BTC
2018-05-14,1526227200000,0.00014033,0.0001412,0.00013005,0.00013143,8700136.154,1188.14,1188.14,1,MITH-BTC
2018-05-15,1526313600000,0.00013149,0.00013486,0.00012551,0.00012551,7623336.412,989.84,989.84,1,MITH-BTC
2018-05-16,1526400000000,0.00012563,0.00012787,9.661e-05,0.0001131,3927954.338,442.332,442.332,1,MITH-BTC
2018-05-17,1526486400000,0.00011321,0.00011372,0.00010332,0.00010453,5572983.311,604.273,604.273,1,MITH-BTC
2018-05-18,1526572800000,0.00010456,0.00011099,8.691e-05,8.987e-05,7946519.846,785.113,785.113,1,MITH-BTC
2018-05-19,1526659200000,9.004e-05,9.437e-05,8.7e-05,8.997e-05,4890007.766,440.967,440.967,1,MITH-BTC
2018-05-20,1526745600000,9.013e-05,9.179e-05,8.783e-05,8.884e-05,3501317.403,312.683,312.683,1,MITH-BTC
2018-05-21,1526832000000,8.917e-05,9.237e-05,8.612e-05,8.663e-05,8137678.213,720.02,720.02,1,MITH-BTC
2018-05-22,1526918400000,8.652e-05,8.903e-05,8.01e-05,8.536e-05,6404952.025,546.053,546.053,1,MITH-BTC
2018-05-23,1527004800000,8.54e-05,8.8e-05,7.643e-05,7.727e-05,3667086.007,299.649,299.649,1,MITH-BTC
2018-05-24,1527091200000,7.743e-05,8.597e-05,7.204e-05,8.409e-05,3952162.184,306.603,306.603,1,MITH-BTC
2018-05-25,1527177600000,8.367e-05,8.42e-05,7.688e-05,7.963e-05,6737033.911,540.244,540.244,1,MITH-BTC
2018-05-26,1527264000000,8.008e-05,8.482e-05,7.81e-05,8.138e-05,4608019.825,370.281,370.281,1,MITH-BTC
