Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-19,1516291200000,1.8,2.0,1.479,1.513,10.400253,15.981592,15.981592,1,MKR-ETH
2018-01-20,1516377600000,1.482,1.532,1.414,1.461,7.235312,10.367088,10.367088,1,MKR-ETH
2018-01-21,1516464000000,1.461,1.575,1.461,1.541,1.641849,2.515453,2.515453,1,MKR-ETH
2018-01-22,1516550400000,1.541,1.577,1.496,1.536,18.261495,28.07013,28.07013,1,MKR-ETH
2018-01-23,1516636800000,1.503,1.57,1.503,1.568,9.479033,14.591923,14.591923,1,MKR-ETH
2018-01-24,1516723200000,1.519,1.571,1.426,1.496,39.460932,58.718946,58.718946,1,MKR-ETH
2018-01-25,1516809600000,1.462,1.462,1.377,1.414,35.455953,50.794995,50.794995,1,MKR-ETH
2018-01-26,1516896000000,1.376,1.402,1.342,1.38,25.614736,35.547787,35.547787,1,MKR-ETH
2018-01-27,1516982400000,1.364,1.369,1.3,1.319,38.354045,51.171433,51.171433,1,MKR-ETH
2018-01-28,1517068800000,1.3,1.36,1.225,1.225,200.490625,265.4291,265.4291,1,MKR-ETH
2018-01-29,1517155200000,1.225,1.241,1.2,1.2,14.316558,17.486548,17.486548,1,MKR-ETH
2018-01-30,1517241600000,1.186,1.206,1.186,1.206,0.080111,0.095229,0.095229,1,MKR-ETH
2018-01-31,1517328000000,1.186,1.243,1.186,1.211,21.431802,26.083988,26.083988,1,MKR-ETH
2018-02-01,1517414400000,1.211,1.238,1.189,1.238,13.677019,16.511954,16.511954,1,MKR-ETH
2018-02-02,1517500800000,1.211,1.292,1.211,1.252,9.031174,11.255015,11.255015,1,MKR-ETH
2018-02-03,1517587200000,1.228,1.262,1.219,1.253,1.948121,2.447866,2.447866,1,MKR-ETH
2018-02-04,1517673600000,1.252,1.253,1.219,1.253,0.757808,0.94896,0.94896,1,MKR-ETH
2018-02-05,1517760000000,1.257,1.281,1.208,1.208,37.596983,46.268279,46.268279,1,MKR-ETH
2018-02-06,1517846400000,1.208,1.228,1.1,1.153,42.21726,48.472694,48.472694,1,MKR-ETH
2018-02-07,1517932800000,1.153,1.19,1.131,1.186,28.20156,32.704166,32.704166,1,MKR-ETH
2018-02-08,1518019200000,1.186,1.254,1.186,1.232,10.829484,13.089615,13.089615,1,MKR-ETH
2018-02-09,1518105600000,1.232,1.261,1.224,1.224,5.411878,6.671559,6.671559,1,MKR-ETH
2018-02-10,1518192000000,1.224,1.271,1.224,1.249,5.412376,6.841035,6.841035,1,MKR-ETH
2018-02-11,1518278400000,1.234,1.246,1.234,1.246,0.028988,0.035905,0.035905,1,MKR-ETH
2018-02-12,1518364800000,1.214,1.248,1.211,1.234,10.639479,13.089077,13.089077,1,MKR-ETH
2018-02-13,1518451200000,1.213,1.241,1.211,1.222,1.926727,2.358722,2.358722,1,MKR-ETH
2018-02-14,1518537600000,1.216,1.216,1.211,1.211,1.049757,1.272816,1.272816,1,MKR-ETH
2018-02-15,1518624000000,1.206,1.206,1.206,1.206,1.141929,1.377337,1.377337,1,MKR-ETH
2018-02-16,1518710400000,1.206,1.208,1.203,1.208,0.783995,0.945891,0.945891,1,MKR-ETH
2018-02-17,1518796800000,1.208,1.239,1.204,1.204,0.581303,0.713185,0.713185,1,MKR-ETH
