Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-09-18,1631894400000,0.0052,0.014,0.004796,0.01151,267976229.417,2569026.389,2569026.389,1,MON-USDT
2021-09-19,1631980800000,0.01159,0.011874,0.008014,0.008046,196730838.001,1777770.079,1777770.079,1,MON-USDT
2021-09-20,1632067200000,0.008046,0.009699,0.006096,0.006629,113337813.015,845474.114,845474.114,1,MON-USDT
2021-09-21,1632153600000,0.006643,0.007688,0.00561,0.006353,81602736.522,518605.886,518605.886,1,MON-USDT
2021-09-22,1632240000000,0.006353,0.006501,0.00503,0.005896,64670097.05,371459.246,371459.246,1,MON-USDT
2021-09-23,1632326400000,0.005897,0.00603,0.005261,0.005574,54742967.247,305244.589,305244.589,1,MON-USDT
2021-09-24,1632412800000,0.005575,0.005844,0.004369,0.004629,75698263.75,392332.031,392332.031,1,MON-USDT
2021-09-25,1632499200000,0.004628,0.005029,0.004011,0.004176,54589356.054,245179.772,245179.772,1,MON-USDT
2021-09-26,1632585600000,0.004178,0.0043,0.002311,0.003248,99643771.275,328361.784,328361.784,1,MON-USDT
2021-09-27,1632672000000,0.003249,0.007001,0.0027,0.004281,161364106.974,668014.19,668014.19,1,MON-USDT
2021-09-28,1632758400000,0.004392,0.0061,0.003161,0.003696,141707210.957,597501.902,597501.902,1,MON-USDT
2021-09-29,1632844800000,0.003696,0.0049,0.003414,0.004364,108289794.286,454565.946,454565.946,1,MON-USDT
2021-09-30,1632931200000,0.004364,0.004571,0.00384,0.004102,48619668.667,199095.199,199095.199,1,MON-USDT
2021-10-01,1633017600000,0.004104,0.0045,0.003922,0.004112,34351567.044,141934.906,141934.906,1,MON-USDT
2021-10-02,1633104000000,0.004114,0.00448,0.004025,0.004088,41963555.962,176838.386,176838.386,1,MON-USDT
2021-10-03,1633190400000,0.004089,0.0045,0.00364,0.003954,39772182.532,160124.995,160124.995,1,MON-USDT
2021-10-04,1633276800000,0.003953,0.004131,0.003582,0.003714,42245662.791,162330.967,162330.967,1,MON-USDT
2021-10-05,1633363200000,0.003715,0.004,0.003535,0.003828,42859868.127,161658.961,161658.961,1,MON-USDT
2021-10-06,1633449600000,0.003828,0.004109,0.003581,0.003744,54223863.917,205769.922,205769.922,1,MON-USDT
2021-10-07,1633536000000,0.003744,0.004,0.003511,0.003968,47894430.447,179686.052,179686.052,1,MON-USDT
2021-10-08,1633622400000,0.003968,0.004209,0.00368,0.004006,32318739.261,128191.535,128191.535,1,MON-USDT
2021-10-09,1633708800000,0.004005,0.004899,0.003978,0.003997,40595259.442,171749.743,171749.743,1,MON-USDT
2021-10-10,1633795200000,0.003997,0.004411,0.003903,0.004128,42842262.923,178783.346,178783.346,1,MON-USDT
2021-10-11,1633881600000,0.004127,0.0061,0.004127,0.005247,151729196.686,786869.05,786869.05,1,MON-USDT
2021-10-12,1633968000000,0.00522,0.00522,0.004246,0.004552,66605865.87,307173.739,307173.739,1,MON-USDT
2021-10-13,1634054400000,0.004553,0.004558,0.004,0.004222,42768521.537,181400.839,181400.839,1,MON-USDT
2021-10-14,1634140800000,0.004222,0.004996,0.0041,0.004481,70228862.844,321491.708,321491.708,1,MON-USDT
2021-10-15,1634227200000,0.004481,0.00475,0.00408,0.004141,47666335.945,205550.462,205550.462,1,MON-USDT
2021-10-16,1634313600000,0.004138,0.004995,0.004107,0.004649,68550276.67,301876.197,301876.197,1,MON-USDT
2021-10-17,1634400000000,0.00465,0.005799,0.004388,0.004845,96145551.667,469081.677,469081.677,1,MON-USDT
2021-10-18,1634486400000,0.004846,0.004897,0.004398,0.004792,35629120.608,164242.934,164242.934,1,MON-USDT
2021-10-19,1634572800000,0.004789,0.005566,0.004511,0.005096,45875600.948,222626.158,222626.158,1,MON-USDT
2021-10-20,1634659200000,0.005095,0.005566,0.004852,0.005084,44992618.602,230943.726,230943.726,1,MON-USDT
2021-10-21,1634745600000,0.005084,0.0054,0.005042,0.005099,25192816.634,130497.462,130497.462,1,MON-USDT
2021-10-22,1634832000000,0.005101,0.005336,0.005098,0.005098,23161005.473,120297.24,120297.24,1,MON-USDT
2021-10-23,1634918400000,0.005098,0.005251,0.005,0.00508,23307779.352,120149.481,120149.481,1,MON-USDT
2021-10-24,1635004800000,0.00508,0.005136,0.004648,0.004844,30940576.014,151187.944,151187.944,1,MON-USDT
2021-10-25,1635091200000,0.004845,0.004975,0.0045,0.004643,30648062.06,143843.992,143843.992,1,MON-USDT
2021-10-26,1635177600000,0.004643,0.0055,0.0045,0.004657,55377236.033,265889.031,265889.031,1,MON-USDT
2021-10-27,1635264000000,0.004653,0.004662,0.004004,0.004241,38970380.544,170022.707,170022.707,1,MON-USDT
2021-10-28,1635350400000,0.004241,0.0045,0.003876,0.004208,48326037.414,201746.295,201746.295,1,MON-USDT
2021-10-29,1635436800000,0.00421,0.00444,0.004089,0.004185,29050173.54,122548.033,122548.033,1,MON-USDT
