Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-07-26,1658764800000,0.07,0.07051,0.0691,0.0691,2697531.5305,188608.7687,188608.7687,1,MXC-USDC
2022-07-27,1658851200000,0.06908,0.07207,0.06853,0.07087,7484257.9345,523018.0821,523018.0821,1,MXC-USDC
2022-07-28,1658937600000,0.0708,0.075,0.0704,0.073,6645517.6201,487813.5854,487813.5854,1,MXC-USDC
2022-07-29,1659024000000,0.0729,0.0723,0.0723,0.0723,2810458.1694,204158.865,204158.865,1,MXC-USDC
2022-07-30,1659110400000,0.07241,0.07307,0.07094,0.07283,5246085.6216,377805.2597,377805.2597,1,MXC-USDC
2022-07-31,1659196800000,0.07283,0.07306,0.07056,0.07164,5577214.8455,400612.043,400612.043,1,MXC-USDC
2022-08-01,1659283200000,0.07167,0.07222,0.06814,0.06911,6513800.7272,458405.8569,458405.8569,1,MXC-USDC
2022-08-02,1659369600000,0.06913,0.06938,0.066,0.06768,6619336.7418,449620.6043,449620.6043,1,MXC-USDC
2022-08-03,1659456000000,0.06769,0.07244,0.06608,0.07147,6476497.6689,442010.3562,442010.3562,1,MXC-USDC
2022-08-04,1659542400000,0.07146,0.07284,0.06619,0.06769,6684973.0848,458905.6008,458905.6008,1,MXC-USDC
2022-08-05,1659628800000,0.0677,0.06856,0.06622,0.06686,6622221.2012,445513.2374,445513.2374,1,MXC-USDC
2022-08-06,1659715200000,0.06686,0.06819,0.06638,0.06758,6669612.7267,448569.4063,448569.4063,1,MXC-USDC
2022-08-07,1659801600000,0.06759,0.06788,0.06627,0.06721,6411253.304,429705.9687,429705.9687,1,MXC-USDC
2022-08-08,1659888000000,0.0672,0.06919,0.06643,0.06863,5844184.4586,393887.8052,393887.8052,1,MXC-USDC
2022-08-09,1659974400000,0.06863,0.06863,0.06656,0.06728,5747449.0597,388529.3854,388529.3854,1,MXC-USDC
2022-08-10,1660060800000,0.06728,0.0702,0.06627,0.06982,6678719.9459,449972.2857,449972.2857,1,MXC-USDC
