Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-11,1515600000000,0.00104572,0.00104572,0.00089998,0.001,1729.4352,1.6676,1.6676,1,NAS-BTC
2018-01-12,1515686400000,0.00103968,0.00110468,9.001e-05,0.00082582,26185.434,22.676,22.676,1,NAS-BTC
2018-01-13,1515772800000,0.00094476,0.00099,0.00072311,0.00078196,11996.4377,10.5221,10.5221,1,NAS-BTC
2018-01-14,1515859200000,0.00078198,0.00093,0.00075003,0.00087755,20486.2685,17.1033,17.1033,1,NAS-BTC
2018-01-15,1515945600000,0.00087836,0.00098899,0.00071888,0.00079997,46288.1405,38.581,38.581,1,NAS-BTC
2018-01-16,1516032000000,0.00079999,0.00092886,0.00058,0.0007558,39923.0509,29.4823,29.4823,1,NAS-BTC
2018-01-17,1516118400000,0.00075569,0.00089,0.00060501,0.00060553,22113.3035,15.7178,15.7178,1,NAS-BTC
2018-01-18,1516204800000,0.00067692,0.001,0.00060558,0.000765,24751.9693,18.704,18.704,1,NAS-BTC
2018-01-19,1516291200000,0.00079598,0.00082,0.00066001,0.00075973,17809.9538,13.3296,13.3296,1,NAS-BTC
2018-01-20,1516377600000,0.00075935,0.001,0.00070365,0.000875,11587.0938,9.1422,9.1422,1,NAS-BTC
2018-01-21,1516464000000,0.00099813,0.0011,0.0008,0.00087097,23669.4877,21.7951,21.7951,1,NAS-BTC
2018-01-22,1516550400000,0.00087097,0.00103999,0.00082086,0.00084258,13899.5091,12.4516,12.4516,1,NAS-BTC
2018-01-23,1516636800000,0.00083401,0.00093428,0.00082003,0.00087118,13070.782,11.5,11.5,1,NAS-BTC
2018-01-24,1516723200000,0.00089847,0.00099999,0.00085326,0.00097999,15769.6646,14.5359,14.5359,1,NAS-BTC
2018-01-25,1516809600000,0.00097999,0.00098999,0.00088196,0.00097934,18767.3513,17.606,17.606,1,NAS-BTC
2018-01-26,1516896000000,0.00095501,0.00115222,0.0009003,0.00100822,42298.5774,43.264,43.264,1,NAS-BTC
2018-01-27,1516982400000,0.00100105,0.00105006,0.00092978,0.0010044,19785.0505,19.8699,19.8699,1,NAS-BTC
2018-01-28,1517068800000,0.00098937,0.00104999,0.00097875,0.00099216,17746.3284,17.8964,17.8964,1,NAS-BTC
2018-01-29,1517155200000,0.00101504,0.00149869,0.00099724,0.0011659,40476.0361,45.7247,45.7247,1,NAS-BTC
2018-01-30,1517241600000,0.00115336,0.00121088,0.00104669,0.00105656,31755.2607,36.5402,36.5402,1,NAS-BTC
2018-01-31,1517328000000,0.0011046,0.00119897,0.00102997,0.00115776,19233.5095,21.4484,21.4484,1,NAS-BTC
2018-02-01,1517414400000,0.00115515,0.00118998,0.00103273,0.00106142,26075.0855,28.5461,28.5461,1,NAS-BTC
2018-02-02,1517500800000,0.00109779,0.00113275,0.0009,0.00104579,27215.3885,27.7658,27.7658,1,NAS-BTC
2018-02-03,1517587200000,0.00106,0.00109999,0.00093333,0.0010384,6846.1628,7.1146,7.1146,1,NAS-BTC
2018-02-04,1517673600000,0.00102305,0.00106199,0.00094551,0.00095989,11509.4601,11.4425,11.4425,1,NAS-BTC
2018-02-05,1517760000000,0.00096368,0.00109999,0.00082228,0.00087325,20496.2604,19.2126,19.2126,1,NAS-BTC
2018-02-06,1517846400000,0.00087238,0.0010069,0.00077702,0.00099149,23204.637,20.1502,20.1502,1,NAS-BTC
2018-02-07,1517932800000,0.00099149,0.001068,0.00090907,0.00097127,12449.5292,12.179,12.179,1,NAS-BTC
2018-02-08,1518019200000,0.00099838,0.0010019,0.00093319,0.00095,7289.3405,7.1218,7.1218,1,NAS-BTC
2018-02-09,1518105600000,0.00094719,0.0010298,0.00093001,0.00099122,3907.9698,3.7586,3.7586,1,NAS-BTC
2018-02-10,1518192000000,0.00101624,0.0012,0.000986,0.00100554,11225.8514,11.7394,11.7394,1,NAS-BTC
2018-02-11,1518278400000,0.00099999,0.00101446,0.00091267,0.00100872,9636.3127,9.3012,9.3012,1,NAS-BTC
2018-02-12,1518364800000,0.00101639,0.00106,0.000942,0.00096173,27422.7955,27.4046,27.4046,1,NAS-BTC
2018-02-13,1518451200000,0.00096173,0.00098455,0.00094199,0.00096681,26121.4244,25.0484,25.0484,1,NAS-BTC
2018-02-14,1518537600000,0.00096681,0.00103,0.00090521,0.0009281,29652.0717,27.9236,27.9236,1,NAS-BTC
2018-02-15,1518624000000,0.0009281,0.00102,0.00089101,0.00092754,26251.2107,24.2993,24.2993,1,NAS-BTC
2018-02-16,1518710400000,0.00092755,0.00094,0.00090209,0.00092368,23637.2784,21.5577,21.5577,1,NAS-BTC
2018-02-17,1518796800000,0.0009238,0.00093989,0.00085508,0.00087168,22260.6148,19.6535,19.6535,1,NAS-BTC
2018-02-18,1518883200000,0.00087162,0.0008993,0.00084,0.0008449,28889.9786,24.9296,24.9296,1,NAS-BTC
2018-02-19,1518969600000,0.00084448,0.00087939,0.00081217,0.00081368,26439.8251,21.9753,21.9753,1,NAS-BTC
2018-02-20,1519056000000,0.00081306,0.00093614,0.00081165,0.00082005,30713.4249,25.7097,25.7097,1,NAS-BTC
2018-02-21,1519142400000,0.00082477,0.00083462,0.00076443,0.00079624,26096.5658,20.7293,20.7293,1,NAS-BTC
2018-02-22,1519228800000,0.00079624,0.000808,0.00075978,0.00077326,27302.2958,21.4434,21.4434,1,NAS-BTC
2018-02-23,1519315200000,0.00077494,0.00081999,0.00075,0.00079911,22721.9588,18.1406,18.1406,1,NAS-BTC
2018-02-24,1519401600000,0.00079911,0.00081983,0.00078442,0.00079866,23894.1178,19.0113,19.0113,1,NAS-BTC
2018-02-25,1519488000000,0.00079866,0.00082443,0.00078042,0.00079332,28059.8624,22.3798,22.3798,1,NAS-BTC
2018-02-26,1519574400000,0.00079202,0.00081504,0.00077345,0.00079637,26112.432,20.5836,20.5836,1,NAS-BTC
2018-02-27,1519660800000,0.00079637,0.00085251,0.00078264,0.00081119,27352.3431,22.3133,22.3133,1,NAS-BTC
2018-02-28,1519747200000,0.00081117,0.00083378,0.00077031,0.00079048,23966.5533,18.9658,18.9658,1,NAS-BTC
2018-03-01,1519833600000,0.00078365,0.00080684,0.00074017,0.00077595,27408.7495,21.2202,21.2202,1,NAS-BTC
2018-03-02,1519920000000,0.00077596,0.00080698,0.00072183,0.00073156,29308.7299,21.9733,21.9733,1,NAS-BTC
2018-03-03,1520006400000,0.0007316,0.00076335,0.00068102,0.00068102,23897.4262,17.0977,17.0977,1,NAS-BTC
2018-03-04,1520092800000,0.00069523,0.00071733,0.00067523,0.00070925,23628.2767,16.4066,16.4066,1,NAS-BTC
2018-03-05,1520179200000,0.00070925,0.00073206,0.00068674,0.00069389,25832.8022,18.0236,18.0236,1,NAS-BTC
2018-03-06,1520265600000,0.00069336,0.00070711,0.00062415,0.00066135,30586.2116,20.6792,20.6792,1,NAS-BTC
