Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-05-23,1653235200000,6.0,6.516,6.0,6.36,1489.8693,9559.1077,9559.1077,1,NEAR-USDC
2022-05-24,1653321600000,6.343,6.436,5.549,5.817,2878.7222,17241.4646,17241.4646,1,NEAR-USDC
2022-05-25,1653408000000,5.804,6.084,5.648,5.763,8041.6004,47264.0113,47264.0113,1,NEAR-USDC
2022-05-26,1653494400000,5.761,5.801,5.054,5.392,16190.1259,86166.9256,86166.9256,1,NEAR-USDC
2022-05-27,1653580800000,5.443,5.54,4.786,4.915,49138.131,245128.7763,245128.7763,1,NEAR-USDC
2022-05-28,1653667200000,4.933,4.941,4.671,4.916,10900.8364,52544.2576,52544.2576,1,NEAR-USDC
2022-05-29,1653753600000,4.919,5.191,4.776,5.092,3749.8729,18732.2583,18732.2583,1,NEAR-USDC
2022-05-30,1653840000000,5.098,5.701,5.044,5.484,3831.9465,20547.6099,20547.6099,1,NEAR-USDC
2022-05-31,1653926400000,5.487,6.519,5.452,6.099,33090.764,199492.5631,199492.5631,1,NEAR-USDC
2022-06-01,1654012800000,6.08,6.107,5.554,5.604,27818.3862,161000.9772,161000.9772,1,NEAR-USDC
2022-06-02,1654099200000,5.601,5.675,5.158,5.396,30057.0897,162933.0063,162933.0063,1,NEAR-USDC
2022-06-03,1654185600000,5.394,5.642,5.137,5.202,7233.1135,39248.0437,39248.0437,1,NEAR-USDC
2022-06-04,1654272000000,5.198,5.394,5.111,5.238,3337.715,17505.3308,17505.3308,1,NEAR-USDC
2022-06-05,1654358400000,5.252,5.379,5.199,5.354,1163.823,6160.5371,6160.5371,1,NEAR-USDC
2022-06-06,1654444800000,5.348,5.744,5.286,5.529,8670.9439,47466.6148,47466.6148,1,NEAR-USDC
2022-06-07,1654531200000,5.539,5.539,5.053,5.203,9026.5342,47376.2588,47376.2588,1,NEAR-USDC
2022-06-08,1654617600000,5.204,5.394,5.12,5.21,13273.7572,69224.2851,69224.2851,1,NEAR-USDC
2022-06-09,1654704000000,5.217,5.244,4.99,5.118,6284.7815,32171.0766,32171.0766,1,NEAR-USDC
2022-06-10,1654790400000,5.122,5.186,4.688,4.767,39786.6245,194037.2271,194037.2271,1,NEAR-USDC
2022-06-11,1654876800000,4.765,4.772,3.991,4.082,116728.6302,520189.7022,520189.7022,1,NEAR-USDC
2022-06-12,1654963200000,4.084,4.219,3.695,4.015,141074.2388,552628.7726,552628.7726,1,NEAR-USDC
2022-06-13,1655049600000,4.015,4.052,3.088,3.38,218421.7562,743616.397,743616.397,1,NEAR-USDC
2022-06-14,1655136000000,3.379,3.685,3.169,3.507,268813.5605,925354.1274,925354.1274,1,NEAR-USDC
2022-06-15,1655222400000,3.504,3.527,3.031,3.254,156050.2623,505150.284,505150.284,1,NEAR-USDC
2022-06-16,1655308800000,3.254,3.867,3.134,3.327,139014.944,479951.4056,479951.4056,1,NEAR-USDC
2022-06-17,1655395200000,3.328,3.472,3.129,3.422,123461.151,411639.471,411639.471,1,NEAR-USDC
2022-06-18,1655481600000,3.418,3.486,3.062,3.074,89493.6052,290169.6231,290169.6231,1,NEAR-USDC
2022-06-19,1655568000000,3.073,3.227,2.869,3.196,127373.3503,389600.0844,389600.0844,1,NEAR-USDC
2022-06-20,1655654400000,3.194,3.56,3.11,3.434,119649.2558,395892.7988,395892.7988,1,NEAR-USDC
2022-06-21,1655740800000,3.435,3.676,3.284,3.625,115616.9253,403844.9981,403844.9981,1,NEAR-USDC
2022-06-22,1655827200000,3.63,3.697,3.267,3.342,101555.386,348358.4704,348358.4704,1,NEAR-USDC
2022-06-23,1655913600000,3.342,3.508,3.261,3.388,86373.4707,292994.6222,292994.6222,1,NEAR-USDC
2022-06-24,1656000000000,3.388,3.805,3.372,3.776,107702.2939,390850.9455,390850.9455,1,NEAR-USDC
2022-06-25,1656086400000,3.777,4.397,3.765,4.01,127816.7007,523297.0929,523297.0929,1,NEAR-USDC
2022-06-26,1656172800000,4.006,4.331,3.999,4.076,84382.8937,351646.9821,351646.9821,1,NEAR-USDC
2022-06-27,1656259200000,4.079,4.111,3.698,3.762,94096.0142,365436.8378,365436.8378,1,NEAR-USDC
2022-06-28,1656345600000,3.761,3.789,3.545,3.557,269636.5568,990347.3449,990347.3449,1,NEAR-USDC
2022-06-29,1656432000000,3.549,3.58,3.332,3.483,783778.8785,2700254.8734,2700254.8734,1,NEAR-USDC
2022-06-30,1656518400000,3.482,3.555,3.122,3.221,899463.9267,2981155.0609,2981155.0609,1,NEAR-USDC
2022-07-01,1656604800000,3.217,3.452,3.191,3.28,913697.6527,3018996.382,3018996.382,1,NEAR-USDC
2022-07-02,1656691200000,3.277,3.448,3.215,3.281,451903.6367,1500199.5009,1500199.5009,1,NEAR-USDC
2022-07-03,1656777600000,3.282,3.367,3.201,3.226,375922.1993,1233407.3594,1233407.3594,1,NEAR-USDC
2022-07-04,1656864000000,3.228,3.486,3.203,3.413,550500.1575,1829178.1682,1829178.1682,1,NEAR-USDC
2022-07-05,1656950400000,3.415,3.589,3.258,3.333,861343.3748,2972641.0232,2972641.0232,1,NEAR-USDC
2022-07-06,1657036800000,3.332,3.505,3.304,3.443,911493.8079,3108262.2809,3108262.2809,1,NEAR-USDC
2022-07-07,1657123200000,3.443,3.616,3.434,3.568,570438.3982,1999067.108,1999067.108,1,NEAR-USDC
2022-07-08,1657209600000,3.574,3.839,3.487,3.61,977089.592,3573971.5987,3573971.5987,1,NEAR-USDC
2022-07-09,1657296000000,3.612,3.86,3.553,3.792,992912.022,3679042.842,3679042.842,1,NEAR-USDC
2022-07-10,1657382400000,3.79,3.873,3.522,3.535,834966.2996,3097505.9838,3097505.9838,1,NEAR-USDC
2022-07-11,1657468800000,3.537,3.596,3.347,3.416,795222.8509,2749850.7174,2749850.7174,1,NEAR-USDC
2022-07-12,1657555200000,3.42,3.46,3.206,3.296,690151.7686,2272425.7116,2272425.7116,1,NEAR-USDC
2022-07-13,1657641600000,3.299,3.32,3.037,3.167,850849.2633,2713132.7241,2713132.7241,1,NEAR-USDC
2022-07-14,1657728000000,3.167,3.379,3.132,3.362,756832.0117,2484033.0099,2484033.0099,1,NEAR-USDC
2022-07-15,1657814400000,3.363,3.634,3.34,3.533,693128.7094,2421549.0889,2421549.0889,1,NEAR-USDC
2022-07-16,1657900800000,3.532,3.578,3.374,3.492,613214.7931,2115460.9359,2115460.9359,1,NEAR-USDC
2022-07-17,1657987200000,3.489,3.765,3.489,3.597,1017217.8628,3687529.6149,3687529.6149,1,NEAR-USDC
2022-07-18,1658073600000,3.594,4.117,3.511,4.088,1349970.8745,5169319.2389,5169319.2389,1,NEAR-USDC
2022-07-19,1658160000000,4.096,4.548,3.86,4.36,2317290.1011,9925929.3978,9925929.3978,1,NEAR-USDC
2022-07-20,1658246400000,4.355,4.66,4.355,4.532,1605245.0437,7221836.7896,7221836.7896,1,NEAR-USDC
2022-07-21,1658332800000,4.531,4.543,4.05,4.237,1372954.6967,5803553.6998,5803553.6998,1,NEAR-USDC
2022-07-22,1658419200000,4.231,4.758,4.227,4.475,1305028.9372,5898000.6385,5898000.6385,1,NEAR-USDC
2022-07-23,1658505600000,4.474,4.496,4.17,4.269,905596.5196,3945642.5282,3945642.5282,1,NEAR-USDC
2022-07-24,1658592000000,4.267,4.471,4.141,4.387,716207.82,3095592.6042,3095592.6042,1,NEAR-USDC
2022-07-25,1658678400000,4.39,4.5,4.004,4.053,780430.2468,3278778.3803,3278778.3803,1,NEAR-USDC
2022-07-26,1658764800000,4.052,4.073,3.567,3.607,994023.9457,3769723.8029,3769723.8029,1,NEAR-USDC
2022-07-27,1658851200000,3.607,3.81,3.578,3.761,691630.2478,2564896.1026,2564896.1026,1,NEAR-USDC
2022-07-28,1658937600000,3.76,4.374,3.695,4.29,1403485.7081,5742892.6902,5742892.6902,1,NEAR-USDC
2022-07-29,1659024000000,4.291,4.586,4.186,4.399,1068219.9429,4684469.6367,4684469.6367,1,NEAR-USDC
2022-07-30,1659110400000,4.399,4.623,4.263,4.599,975064.9243,4325895.7777,4325895.7777,1,NEAR-USDC
2022-07-31,1659196800000,4.598,4.693,4.299,4.443,822123.9496,3671619.1635,3671619.1635,1,NEAR-USDC
2022-08-01,1659283200000,4.44,4.593,4.153,4.29,839947.1889,3638093.067,3638093.067,1,NEAR-USDC
2022-08-02,1659369600000,4.291,4.383,4.034,4.335,1069683.0939,4499444.5243,4499444.5243,1,NEAR-USDC
2022-08-03,1659456000000,4.336,4.486,4.159,4.461,1262160.8894,5491548.2438,5491548.2438,1,NEAR-USDC
2022-08-04,1659542400000,4.461,4.744,4.384,4.446,1561233.5015,7117277.133,7117277.133,1,NEAR-USDC
2022-08-05,1659628800000,4.449,5.2,4.323,5.153,1846700.5635,8864810.3361,8864810.3361,1,NEAR-USDC
2022-08-06,1659715200000,5.144,5.278,4.926,4.994,1441308.7678,7327647.1564,7327647.1564,1,NEAR-USDC
2022-08-07,1659801600000,4.987,5.19,4.808,5.061,1133965.2426,5701750.3195,5701750.3195,1,NEAR-USDC
2022-08-08,1659888000000,5.06,5.723,4.957,5.55,1555449.9102,8316504.0346,8316504.0346,1,NEAR-USDC
2022-08-09,1659974400000,5.554,5.611,5.166,5.207,1484031.2681,8013729.4819,8013729.4819,1,NEAR-USDC
2022-08-10,1660060800000,5.208,6.0,5.18,5.884,2111465.773,11588077.0554,11588077.0554,1,NEAR-USDC
2022-08-11,1660147200000,5.885,6.08,5.729,5.76,1717777.3298,10109152.8871,10109152.8871,1,NEAR-USDC
