Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-12-12,1670774400000,0.01,0.094,0.01,0.064963,77652489.56,5125637.19,5125637.19,1,OAS-USDT
2022-12-13,1670860800000,0.064831,0.066399,0.048602,0.053164,29466116.98,1616496.49,1616496.49,1,OAS-USDT
2022-12-14,1670947200000,0.053183,0.067174,0.0498,0.063199,24160294.68,1370943.32,1370943.32,1,OAS-USDT
2022-12-15,1671033600000,0.063201,0.065,0.0526,0.055494,16303793.88,978928.84,978928.84,1,OAS-USDT
2022-12-16,1671120000000,0.055466,0.055716,0.05039,0.05164,7247772.77,387086.6,387086.6,1,OAS-USDT
2022-12-17,1671206400000,0.051601,0.06321,0.050668,0.058456,9631333.55,537127.46,537127.46,1,OAS-USDT
2022-12-18,1671292800000,0.058494,0.061823,0.056246,0.058206,5839450.81,344257.26,344257.26,1,OAS-USDT
2022-12-19,1671379200000,0.05801,0.063112,0.055783,0.059708,7728103.16,461666.25,461666.25,1,OAS-USDT
2022-12-20,1671465600000,0.059687,0.060706,0.056987,0.059275,6663631.38,388490.14,388490.14,1,OAS-USDT
2022-12-21,1671552000000,0.059276,0.059554,0.052844,0.055386,6820573.1,385079.28,385079.28,1,OAS-USDT
2022-12-22,1671638400000,0.055434,0.056875,0.054221,0.054342,4405145.07,241699.29,241699.29,1,OAS-USDT
2022-12-23,1671724800000,0.0543,0.055,0.051936,0.052338,5781798.68,309454.49,309454.49,1,OAS-USDT
2022-12-24,1671811200000,0.052339,0.052668,0.05,0.050214,4751633.12,241351.52,241351.52,1,OAS-USDT
2022-12-25,1671897600000,0.050209,0.051188,0.045642,0.047073,6137327.55,290055.68,290055.68,1,OAS-USDT
2022-12-26,1671984000000,0.046966,0.0566,0.045,0.050047,6641171.09,325822.64,325822.64,1,OAS-USDT
2022-12-27,1672070400000,0.050082,0.055407,0.049901,0.053887,4851205.83,257636.58,257636.58,1,OAS-USDT
2022-12-28,1672156800000,0.053893,0.054361,0.050709,0.051752,4623103.51,241844.92,241844.92,1,OAS-USDT
2022-12-29,1672243200000,0.051757,0.055048,0.051102,0.05487,5205775.94,275246.38,275246.38,1,OAS-USDT
2022-12-30,1672329600000,0.054939,0.054939,0.050277,0.050828,7201254.59,374716.1,374716.1,1,OAS-USDT
2022-12-31,1672416000000,0.050828,0.055257,0.05018,0.052119,8170343.66,428410.43,428410.43,1,OAS-USDT
2023-01-01,1672502400000,0.052171,0.055982,0.05083,0.053195,7596858.24,400653.94,400653.94,1,OAS-USDT
2023-01-02,1672588800000,0.053154,0.05406,0.051955,0.053494,4096573.34,217066.7,217066.7,1,OAS-USDT
2023-01-03,1672675200000,0.053498,0.053602,0.051208,0.052919,4672299.29,245435.89,245435.89,1,OAS-USDT
2023-01-04,1672761600000,0.052897,0.053937,0.052564,0.052781,4466860.86,237122.93,237122.93,1,OAS-USDT
2023-01-05,1672848000000,0.052825,0.0533,0.050002,0.05073,4422207.7,228944.58,228944.58,1,OAS-USDT
2023-01-06,1672934400000,0.05073,0.051419,0.050002,0.050123,2925625.8,147128.56,147128.56,1,OAS-USDT
2023-01-07,1673020800000,0.050206,0.052084,0.04995,0.051279,3982747.48,202482.06,202482.06,1,OAS-USDT
2023-01-08,1673107200000,0.051235,0.053771,0.05121,0.053483,5132538.47,269856.8,269856.8,1,OAS-USDT
2023-01-09,1673193600000,0.053501,0.054624,0.052192,0.052829,4679087.62,249129.07,249129.07,1,OAS-USDT
2023-01-10,1673280000000,0.052819,0.054624,0.051779,0.052149,5162021.71,272990.21,272990.21,1,OAS-USDT
2023-01-11,1673366400000,0.052121,0.062143,0.052071,0.054327,6763008.28,375497.95,375497.95,1,OAS-USDT
2023-01-12,1673452800000,0.05426,0.059147,0.05379,0.055561,5783152.4,322733.26,322733.26,1,OAS-USDT
2023-01-13,1673539200000,0.055468,0.05893,0.054976,0.057434,5261154.45,297511.02,297511.02,1,OAS-USDT
2023-01-14,1673625600000,0.057368,0.060549,0.055983,0.056013,5949656.29,342747.0,342747.0,1,OAS-USDT
2023-01-15,1673712000000,0.056062,0.0588,0.054773,0.058283,5255767.73,300597.23,300597.23,1,OAS-USDT
2023-01-16,1673798400000,0.058319,0.059,0.057374,0.057936,5286791.5,306774.8,306774.8,1,OAS-USDT
2023-01-17,1673884800000,0.057936,0.059,0.056202,0.058978,4352498.99,252050.63,252050.63,1,OAS-USDT
2023-01-18,1673971200000,0.058972,0.0599,0.057642,0.057831,5340395.41,313861.36,313861.36,1,OAS-USDT
2023-01-19,1674057600000,0.05787,0.059071,0.05621,0.057142,4833078.4,278823.15,278823.15,1,OAS-USDT
2023-01-20,1674144000000,0.057143,0.057469,0.05328,0.055825,5959780.84,329433.67,329433.67,1,OAS-USDT
2023-01-21,1674230400000,0.055824,0.059556,0.055798,0.058201,5741244.47,330154.67,330154.67,1,OAS-USDT
2023-01-22,1674316800000,0.058177,0.058429,0.056645,0.057807,4884233.52,280657.77,280657.77,1,OAS-USDT
2023-01-23,1674403200000,0.05778,0.05998,0.053957,0.059858,5402125.34,309753.14,309753.14,1,OAS-USDT
2023-01-24,1674489600000,0.059773,0.059813,0.056909,0.058602,4764282.64,277733.58,277733.58,1,OAS-USDT
2023-01-25,1674576000000,0.058661,0.065564,0.058422,0.062009,6875741.91,419810.64,419810.64,1,OAS-USDT
2023-01-26,1674662400000,0.061999,0.064817,0.057229,0.0596,5907278.33,358244.18,358244.18,1,OAS-USDT
2023-01-27,1674748800000,0.0596,0.064684,0.059008,0.062934,4468382.0,276547.73,276547.73,1,OAS-USDT
2023-01-28,1674835200000,0.062931,0.0649,0.060362,0.0649,5121198.53,321029.49,321029.49,1,OAS-USDT
2023-01-29,1674921600000,0.064908,0.067065,0.061382,0.063977,5623759.45,358918.51,358918.51,1,OAS-USDT
2023-01-30,1675008000000,0.06401,0.064263,0.060512,0.061321,5252324.74,326703.06,326703.06,1,OAS-USDT
2023-01-31,1675094400000,0.061392,0.097899,0.060539,0.084833,13458952.93,1051646.46,1051646.46,1,OAS-USDT
2023-02-01,1675180800000,0.084857,0.088194,0.072209,0.078399,7569401.42,598888.01,598888.01,1,OAS-USDT
2023-02-02,1675267200000,0.078333,0.087931,0.076413,0.086349,6289510.65,511123.25,511123.25,1,OAS-USDT
2023-02-03,1675353600000,0.086434,0.086434,0.076194,0.077857,7170423.08,583198.6,583198.6,1,OAS-USDT
2023-02-04,1675440000000,0.078115,0.085,0.076465,0.079421,5584793.43,445446.14,445446.14,1,OAS-USDT
2023-02-05,1675526400000,0.079472,0.086778,0.077998,0.079309,5577968.53,450176.17,450176.17,1,OAS-USDT
2023-02-06,1675612800000,0.078422,0.083682,0.075928,0.080719,3514514.64,279681.63,279681.63,1,OAS-USDT
2023-02-07,1675699200000,0.081,0.088307,0.079,0.081639,7294775.24,607311.99,607311.99,1,OAS-USDT
2023-02-08,1675785600000,0.081736,0.093917,0.080393,0.089945,9353492.61,787519.26,787519.26,1,OAS-USDT
2023-02-09,1675872000000,0.090003,0.092616,0.083912,0.089726,9915318.52,883715.05,883715.05,1,OAS-USDT
2023-02-10,1675958400000,0.089657,0.091347,0.080827,0.088148,10031382.24,870217.42,870217.42,1,OAS-USDT
2023-02-11,1676044800000,0.088233,0.092617,0.085403,0.09001,5673822.09,502591.76,502591.76,1,OAS-USDT
2023-02-12,1676131200000,0.090003,0.091328,0.086269,0.088662,6619806.68,591406.4,591406.4,1,OAS-USDT
2023-02-13,1676217600000,0.088647,0.093268,0.081677,0.089962,8622795.37,766485.48,766485.48,1,OAS-USDT
2023-02-14,1676304000000,0.089958,0.092303,0.0887,0.090448,5700282.97,515338.87,515338.87,1,OAS-USDT
2023-02-15,1676390400000,0.090416,0.093205,0.090066,0.092764,5685091.43,519191.96,519191.96,1,OAS-USDT
2023-02-16,1676476800000,0.09273,0.108148,0.091671,0.106892,10017188.35,1000988.1,1000988.1,1,OAS-USDT
2023-02-17,1676563200000,0.106895,0.12525,0.105597,0.116007,9386881.88,1052059.49,1052059.49,1,OAS-USDT
2023-02-18,1676649600000,0.116012,0.130699,0.11344,0.12444,8385671.73,1023912.27,1023912.27,1,OAS-USDT
2023-02-19,1676736000000,0.124505,0.126366,0.106678,0.11522,9484624.44,1118322.27,1118322.27,1,OAS-USDT
2023-02-20,1676822400000,0.115023,0.129397,0.108762,0.122097,8449828.29,990628.74,990628.74,1,OAS-USDT
2023-02-21,1676908800000,0.122109,0.125765,0.106678,0.106899,8329213.4,952094.13,952094.13,1,OAS-USDT
2023-02-22,1676995200000,0.106891,0.116398,0.1065,0.112365,8160171.48,900769.18,900769.18,1,OAS-USDT
2023-02-23,1677081600000,0.11238,0.122139,0.109741,0.113183,7357963.06,836049.64,836049.64,1,OAS-USDT
2023-02-24,1677168000000,0.113128,0.117734,0.106425,0.109289,7184973.1,802533.98,802533.98,1,OAS-USDT
2023-02-25,1677254400000,0.109292,0.112932,0.095,0.099249,8551395.18,894221.12,894221.12,1,OAS-USDT
2023-02-26,1677340800000,0.099234,0.104,0.089575,0.096607,8164249.47,796740.28,796740.28,1,OAS-USDT
2023-02-27,1677427200000,0.096685,0.1025,0.095022,0.101425,6007150.93,599510.92,599510.92,1,OAS-USDT
2023-02-28,1677513600000,0.101374,0.103428,0.095001,0.096673,6466684.13,639783.03,639783.03,1,OAS-USDT
2023-03-01,1677600000000,0.096731,0.099675,0.093321,0.095196,7529610.93,727605.6,727605.6,1,OAS-USDT
2023-03-02,1677686400000,0.095307,0.098555,0.089889,0.09325,6420016.1,611694.78,611694.78,1,OAS-USDT
2023-03-03,1677772800000,0.093246,0.0937,0.079149,0.083062,8523582.06,721809.99575012,721809.99575012,1,OAS-USDT
2023-03-04,1677859200000,0.082987,0.089074,0.081078,0.084364,5715681.44,482324.18477327,482324.18477327,1,OAS-USDT
2023-03-05,1677945600000,0.084361,0.086889,0.0796,0.08455,6432099.91,536254.55575044,536254.55575044,1,OAS-USDT
