Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-01-27,1611676800000,0.2235,0.35,0.2235,0.2481,3917615.827471,1017864.099889,1017864.099889,1,PHA-USDT
2021-01-28,1611763200000,0.2481,0.2778,0.2196,0.265,5758157.372804,1434686.88433,1434686.88433,1,PHA-USDT
2021-01-29,1611849600000,0.264,0.274,0.2419,0.2525,3639044.581574,929837.20656,929837.20656,1,PHA-USDT
2021-01-30,1611936000000,0.2526,0.3432,0.2385,0.2854,3217794.232305,846257.32982,846257.32982,1,PHA-USDT
2021-01-31,1612022400000,0.2856,0.3049,0.2616,0.2909,3552218.502042,1027538.089348,1027538.089348,1,PHA-USDT
2021-02-01,1612108800000,0.2908,0.3082,0.2761,0.2903,6973452.900236,1996858.136761,1996858.136761,1,PHA-USDT
2021-02-02,1612195200000,0.2903,0.3221,0.2826,0.2904,2447718.165859,711676.976217,711676.976217,1,PHA-USDT
2021-02-03,1612281600000,0.2903,0.31,0.2811,0.2922,4219317.588666,1218495.955993,1218495.955993,1,PHA-USDT
2021-02-04,1612368000000,0.2923,0.332,0.2829,0.2921,2974979.141213,904685.313053,904685.313053,1,PHA-USDT
2021-02-05,1612454400000,0.2921,0.32,0.28,0.3027,1136860.93226,336079.440085,336079.440085,1,PHA-USDT
2021-02-06,1612540800000,0.3026,0.3701,0.2947,0.309,1909651.276209,615191.342088,615191.342088,1,PHA-USDT
2021-02-07,1612627200000,0.3092,0.3183,0.2722,0.285,957778.992695,284662.180256,284662.180256,1,PHA-USDT
2021-02-08,1612713600000,0.285,0.3052,0.27,0.2977,865769.847238,248435.107092,248435.107092,1,PHA-USDT
2021-02-09,1612800000000,0.2979,0.3469,0.28,0.3387,1127165.170916,348091.071123,348091.071123,1,PHA-USDT
2021-02-10,1612886400000,0.3386,0.3701,0.3099,0.3179,1183931.754873,409643.170592,409643.170592,1,PHA-USDT
2021-02-11,1612972800000,0.3179,0.36,0.3125,0.341,888940.373917,295317.895115,295317.895115,1,PHA-USDT
2021-02-12,1613059200000,0.3409,0.531,0.3394,0.4039,2287496.039811,898844.519117,898844.519117,1,PHA-USDT
2021-02-13,1613145600000,0.4038,0.45,0.38,0.3992,1468515.994634,604603.409022,604603.409022,1,PHA-USDT
2021-02-14,1613232000000,0.3994,0.433,0.3688,0.3754,1388242.636137,554088.140262,554088.140262,1,PHA-USDT
2021-02-15,1613318400000,0.3751,0.41,0.3412,0.3914,1283812.399187,480308.333738,480308.333738,1,PHA-USDT
2021-02-16,1613404800000,0.3913,0.493,0.3803,0.4603,1943758.375101,835703.765314,835703.765314,1,PHA-USDT
2021-02-17,1613491200000,0.4605,0.6386,0.4282,0.5617,3239884.217232,1780928.228722,1780928.228722,1,PHA-USDT
2021-02-18,1613577600000,0.5606,0.5855,0.52,0.5365,1337722.299889,728481.08085,728481.08085,1,PHA-USDT
2021-02-19,1613664000000,0.5363,0.61,0.5121,0.5909,1659261.388456,935149.004162,935149.004162,1,PHA-USDT
2021-02-20,1613750400000,0.5912,0.7468,0.5383,0.6437,2527255.638785,1638066.804099,1638066.804099,1,PHA-USDT
2021-02-21,1613836800000,0.6441,0.7,0.5954,0.6112,1379820.643936,891838.70614,891838.70614,1,PHA-USDT
2021-02-22,1613923200000,0.611,0.6199,0.4249,0.5429,1826127.181727,992631.974756,992631.974756,1,PHA-USDT
2021-02-23,1614009600000,0.5431,0.5899,0.39,0.4671,1577948.723925,794589.280701,794589.280701,1,PHA-USDT
2021-02-24,1614096000000,0.4676,0.5196,0.4072,0.4312,898977.336679,415070.654154,415070.654154,1,PHA-USDT
2021-02-25,1614182400000,0.4314,1.456,0.3936,0.8098,5200734.420823,4554082.532531,4554082.532531,1,PHA-USDT
2021-02-26,1614268800000,0.8098,1.05,0.6528,0.7112,1725589.327372,1363942.032682,1363942.032682,1,PHA-USDT
2021-02-27,1614355200000,0.7113,0.7448,0.5701,0.5942,898023.669315,563722.458573,563722.458573,1,PHA-USDT
2021-02-28,1614441600000,0.5944,0.65,0.4602,0.4624,824220.930206,447713.480912,447713.480912,1,PHA-USDT
2021-03-01,1614528000000,0.4622,0.8195,0.4603,0.7129,3125928.845429,2076781.232263,2076781.232263,1,PHA-USDT
2021-03-02,1614614400000,0.7207,0.8549,0.6667,0.697,1628098.451698,1225170.19018,1225170.19018,1,PHA-USDT
2021-03-03,1614700800000,0.697,0.75,0.6265,0.6994,1057182.216551,737477.695819,737477.695819,1,PHA-USDT
2021-03-04,1614787200000,0.6992,0.7349,0.658,0.6898,1111092.907174,765694.598657,765694.598657,1,PHA-USDT
2021-03-05,1614873600000,0.6898,0.6939,0.6087,0.6387,930456.694147,594313.82785,594313.82785,1,PHA-USDT
2021-03-06,1614960000000,0.6389,0.6904,0.61,0.6238,5025803.51507,3192919.681245,3192919.681245,1,PHA-USDT
2021-03-07,1615046400000,0.6246,0.6346,0.6011,0.6207,11942330.053745,7425971.360555,7425971.360555,1,PHA-USDT
2021-03-08,1615132800000,0.6182,0.635,0.5412,0.5814,19066729.205085,11264916.69139,11264916.69139,1,PHA-USDT
2021-03-09,1615219200000,0.5817,0.6986,0.56,0.635,8916369.228177,5353007.358511,5353007.358511,1,PHA-USDT
2021-03-10,1615305600000,0.6422,0.6768,0.59,0.6409,4918228.615547,3131282.868729,3131282.868729,1,PHA-USDT
2021-03-11,1615392000000,0.6407,0.6557,0.5664,0.602,12212144.496613,7525792.030655,7525792.030655,1,PHA-USDT
2021-03-12,1615478400000,0.6038,0.96,0.5914,0.8308,13030494.981139,9818034.591174,9818034.591174,1,PHA-USDT
2021-03-13,1615564800000,0.8328,1.11,0.7879,0.9324,9427554.393946,8543102.653449,8543102.653449,1,PHA-USDT
2021-03-14,1615651200000,0.9307,1.0822,0.8905,0.9746,21103900.930084,20511934.992874,20511934.992874,1,PHA-USDT
2021-03-15,1615737600000,0.9751,1.0799,0.852,0.9433,17955173.066919,17917783.095148,17917783.095148,1,PHA-USDT
2021-03-16,1615824000000,0.9467,0.9973,0.882,0.9442,6322888.972043,6019536.351847,6019536.351847,1,PHA-USDT
2021-03-17,1615910400000,0.9438,0.9445,0.8411,0.855,2583088.721749,2289458.286104,2289458.286104,1,PHA-USDT
2021-03-18,1615996800000,0.8545,0.9499,0.845,0.9341,5066360.148694,4537415.039023,4537415.039023,1,PHA-USDT
2021-03-19,1616083200000,0.9345,0.9352,0.8629,0.9276,4993411.839446,4461045.649428,4461045.649428,1,PHA-USDT
2021-03-20,1616169600000,0.9272,1.014,0.8834,0.9744,3055678.757356,2824561.496308,2824561.496308,1,PHA-USDT
2021-03-21,1616256000000,0.9708,0.975,0.8512,0.8785,3939859.34303,3519794.580154,3519794.580154,1,PHA-USDT
2021-03-22,1616342400000,0.8788,0.8839,0.8101,0.8458,2632759.811588,2245018.567481,2245018.567481,1,PHA-USDT
2021-03-23,1616428800000,0.845,0.8539,0.7607,0.8114,2521856.030898,2034460.260148,2034460.260148,1,PHA-USDT
2021-03-24,1616515200000,0.8118,0.9688,0.7947,0.9249,2474480.668606,2215920.990465,2215920.990465,1,PHA-USDT
2021-03-25,1616601600000,0.9258,0.9335,0.7748,0.7937,4439541.186553,3675867.904873,3675867.904873,1,PHA-USDT
2021-03-26,1616688000000,0.7932,0.8711,0.7806,0.8486,7826462.047985,6589058.414815,6589058.414815,1,PHA-USDT
2021-03-27,1616774400000,0.849,0.97,0.8255,0.9374,4693271.338252,4088649.666986,4088649.666986,1,PHA-USDT
2021-03-28,1616860800000,0.9405,1.1,0.9233,0.9506,4513423.595825,4475705.688249,4475705.688249,1,PHA-USDT
2021-03-29,1616947200000,0.9516,1.0281,0.9,0.9928,3123872.55928,2955444.633255,2955444.633255,1,PHA-USDT
2021-03-30,1617033600000,0.9929,1.0167,0.9253,0.957,6096767.769943,5913933.284734,5913933.284734,1,PHA-USDT
2021-03-31,1617120000000,0.9578,1.0177,0.918,0.9631,2896535.11478,2823778.55531,2823778.55531,1,PHA-USDT
2021-04-01,1617206400000,0.9632,0.9888,0.9137,0.925,2153098.667796,2015139.283325,2015139.283325,1,PHA-USDT
2021-04-02,1617292800000,0.9246,0.9502,0.8501,0.9045,2278244.345879,2057075.943405,2057075.943405,1,PHA-USDT
2021-04-03,1617379200000,0.9041,0.97,0.8696,0.9204,1930038.195076,1772763.025245,1772763.025245,1,PHA-USDT
