Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-12-07,1638806400000,0.004,0.00698,0.004,0.0061492,1266279080.905,7684966.369,7684966.369,1,RACA-USDT
2021-12-08,1638892800000,0.0061492,0.0061902,0.0050111,0.0053898,859516583.247,4679846.508,4679846.508,1,RACA-USDT
2021-12-09,1638979200000,0.0053899,0.00565,0.00445,0.0046501,787053053.48,3839845.766,3839845.766,1,RACA-USDT
2021-12-10,1639065600000,0.0046506,0.00482,0.003574,0.003933,927841267.223,3875307.193,3875307.193,1,RACA-USDT
2021-12-11,1639152000000,0.003933,0.004563,0.0033655,0.0036031,823373459.391,3085831.373,3085831.373,1,RACA-USDT
2021-12-12,1639238400000,0.0036026,0.00387,0.0034,0.0035365,712142640.39,2561290.333,2561290.333,1,RACA-USDT
2021-12-13,1639324800000,0.0035365,0.0045,0.0033999,0.003519,1738436949.084,6600429.067,6600429.067,1,RACA-USDT
2021-12-14,1639411200000,0.0035179,0.0036414,0.00275,0.0029183,1086127832.137,3355034.902,3355034.902,1,RACA-USDT
2021-12-15,1639497600000,0.0029188,0.0031,0.002513,0.0025218,1340700875.676,3648842.902,3648842.902,1,RACA-USDT
2021-12-16,1639584000000,0.0025308,0.00288,0.0025218,0.0026851,1119247861.944,3026396.114,3026396.114,1,RACA-USDT
2021-12-17,1639670400000,0.0026854,0.0026997,0.00221,0.00234,905432155.139,2224475.552,2224475.552,1,RACA-USDT
2021-12-18,1639756800000,0.0023442,0.002399,0.0020601,0.00219,1056316192.168,2323295.965,2323295.965,1,RACA-USDT
2021-12-19,1639843200000,0.0021899,0.00252,0.0021616,0.002234,769412696.539,1743483.349,1743483.349,1,RACA-USDT
2021-12-20,1639929600000,0.0022339,0.0022539,0.001895,0.0019514,889514700.844,1825913.092,1825913.092,1,RACA-USDT
2021-12-21,1640016000000,0.0019587,0.0023905,0.00194,0.0021702,1480046761.641,3170933.692,3170933.692,1,RACA-USDT
2021-12-22,1640102400000,0.0021754,0.002992,0.0021549,0.0027279,4077027113.457,10813956.959,10813956.959,1,RACA-USDT
2021-12-23,1640188800000,0.0027277,0.0039289,0.0027127,0.0037895,5225370408.737,16885401.047,16885401.047,1,RACA-USDT
