Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-12-17,1639670400000,6.0,7.7,6.0,7.316,206190.444502,1505078.672048,1505078.672048,1,RAY-USDT
2021-12-18,1639756800000,7.317,7.45,7.063,7.413,109360.926381,796667.002125,796667.002125,1,RAY-USDT
2021-12-19,1639843200000,7.413,7.449,7.277,7.306,63690.179762,468617.063352,468617.063352,1,RAY-USDT
2021-12-20,1639929600000,7.307,7.344,6.824,6.884,64423.869675,457486.939719,457486.939719,1,RAY-USDT
2021-12-21,1640016000000,6.886,7.278,6.846,7.149,61523.632052,437293.491034,437293.491034,1,RAY-USDT
2021-12-22,1640102400000,7.153,7.443,7.091,7.42,94040.50448,685217.488064,685217.488064,1,RAY-USDT
2021-12-23,1640188800000,7.421,7.589,7.18,7.575,64701.640699,479871.124779,479871.124779,1,RAY-USDT
2021-12-24,1640275200000,7.577,8.0,7.52,7.786,67477.026783,528274.532746,528274.532746,1,RAY-USDT
2021-12-25,1640361600000,7.786,7.82,7.46,7.674,52760.834335,401603.942268,401603.942268,1,RAY-USDT
2021-12-26,1640448000000,7.676,7.794,7.468,7.655,48661.46307,370738.384323,370738.384323,1,RAY-USDT
2021-12-27,1640534400000,7.656,7.781,7.49,7.722,49794.312851,379820.496918,379820.496918,1,RAY-USDT
2021-12-28,1640620800000,7.723,7.947,7.107,7.21,55693.306184,416474.059063,416474.059063,1,RAY-USDT
2021-12-29,1640707200000,7.211,7.211,6.571,6.804,53643.13393,371940.171999,371940.171999,1,RAY-USDT
2021-12-30,1640793600000,6.804,6.805,6.441,6.633,48996.523764,324919.857663,324919.857663,1,RAY-USDT
2021-12-31,1640880000000,6.633,6.675,6.464,6.59,46973.754762,308981.78816,308981.78816,1,RAY-USDT
2022-01-01,1640966400000,6.591,6.617,6.296,6.423,49337.799011,316232.625579,316232.625579,1,RAY-USDT
2022-01-02,1641052800000,6.424,6.917,6.417,6.798,51244.43855,337447.307654,337447.307654,1,RAY-USDT
2022-01-03,1641139200000,6.798,6.98,6.758,6.8,66062.83543,455749.81512,455749.81512,1,RAY-USDT
2022-01-04,1641225600000,6.802,6.806,6.398,6.609,52768.766603,345491.51626,345491.51626,1,RAY-USDT
