Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-08-28,1598544000000,0.0000259000,0.0000500000,0.0000220000,0.0000383000,18321870.5593999997,756.4353000000,756.4353000000,1,REN-BTC
2020-08-29,1598630400000,0.0000382000,0.0000406000,0.0000365000,0.0000367000,8689409.3497000001,332.4070000000,332.4070000000,1,REN-BTC
2020-08-30,1598716800000,0.0000367000,0.0000397000,0.0000364000,0.0000376000,5397147.3936000001,204.0374000000,204.0374000000,1,REN-BTC
2020-08-31,1598803200000,0.0000376000,0.0000467000,0.0000371000,0.0000428000,5091855.6974999998,209.3907000000,209.3907000000,1,REN-BTC
2020-09-01,1598889600000,0.0000428000,0.0000918000,0.0000407000,0.0000477000,7607488.1925999997,358.7853000000,358.7853000000,1,REN-BTC
2020-09-02,1598976000000,0.0000476000,0.0000498000,0.0000430000,0.0000435000,7541086.4687000001,347.8231000000,347.8231000000,1,REN-BTC
2020-09-03,1599062400000,0.0000435000,0.0000471000,0.0000375000,0.0000398000,9468958.8269999996,399.8357000000,399.8357000000,1,REN-BTC
2020-09-04,1599148800000,0.0000397000,0.0000408000,0.0000324000,0.0000326000,11916698.8045000006,425.1257000000,425.1257000000,1,REN-BTC
2020-09-05,1599235200000,0.0000326000,0.0000376000,0.0000258000,0.0000284000,14340147.3322999999,452.0708000000,452.0708000000,1,REN-BTC
2020-09-06,1599321600000,0.0000284000,0.0000302000,0.0000223000,0.0000268000,17776153.7556999996,468.7263000000,468.7263000000,1,REN-BTC
2020-09-07,1599408000000,0.0000268000,0.0000312000,0.0000253000,0.0000279000,12402761.2917999998,345.8242000000,345.8242000000,1,REN-BTC
2020-09-08,1599494400000,0.0000279000,0.0000295000,0.0000266000,0.0000278000,6949509.4047999997,194.7569000000,194.7569000000,1,REN-BTC
2020-09-09,1599580800000,0.0000278000,0.0000327000,0.0000265000,0.0000313000,6951207.3888999997,197.3957000000,197.3957000000,1,REN-BTC
