Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2023-03-01,1677600000000,40.0,52.0,40.0,46.76,40811.477,1990479.1528,1990479.1528,1,RPL-USDT
2023-03-02,1677686400000,46.76,46.94,42.1,43.35,7593.3039,341517.9832,341517.9832,1,RPL-USDT
2023-03-03,1677772800000,43.32,44.4,40.54,41.12,7098.7894,300973.349762,300973.349762,1,RPL-USDT
2023-03-04,1677859200000,41.12,41.69,40.21,40.41,4349.723,177745.878363,177745.878363,1,RPL-USDT
2023-03-05,1677945600000,40.49,41.85,39.22,40.43,6405.8968,255925.899673,255925.899673,1,RPL-USDT
2023-03-06,1678032000000,40.41,40.87,38.86,39.3,5149.7865,203910.990821,203910.990821,1,RPL-USDT
2023-03-07,1678118400000,39.29,39.54,35.91,37.25,5231.4417,200774.584127,200774.584127,1,RPL-USDT
2023-03-08,1678204800000,37.27,37.66,36.05,37.16,6452.9974,239095.6865,239095.6865,1,RPL-USDT
2023-03-09,1678291200000,37.18,38.07,36.59,37.93,4579.1017,170101.171968,170101.171968,1,RPL-USDT
2023-03-10,1678377600000,37.93,38.06,33.88,35.13,7184.8708,258532.844289,258532.844289,1,RPL-USDT
2023-03-11,1678464000000,35.1,36.42,31.02,32.1,7043.859,240595.434754,240595.434754,1,RPL-USDT
2023-03-12,1678550400000,32.1,34.61,30.92,34.05,5708.8066,191512.317695,191512.317695,1,RPL-USDT
2023-03-13,1678636800000,34.07,39.99,33.14,39.72,6774.0904,248873.114185,248873.114185,1,RPL-USDT
2023-03-14,1678723200000,39.73,45.55,39.44,45.44,6440.938,272966.118922,272966.118922,1,RPL-USDT
2023-03-15,1678809600000,45.43,46.25,39.68,39.74,5529.8875,237007.837322,237007.837322,1,RPL-USDT
2023-03-16,1678896000000,39.76,40.3,37.15,38.53,4988.5377,194051.029835,194051.029835,1,RPL-USDT
2023-03-17,1678982400000,38.52,42.79,38.29,41.69,6546.9527,271767.743314,271767.743314,1,RPL-USDT
2023-03-18,1679068800000,41.69,44.45,41.56,43.43,4798.5174,207513.008747,207513.008747,1,RPL-USDT
2023-03-19,1679155200000,43.46,43.6,41.82,43.2,5053.5329,215604.486735,215604.486735,1,RPL-USDT
