Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-03-15,1647273600000,4.0000000000,15.0000000000,4.0000000000,7.7004000000,262021.3744550000,2396205.0458439998,2396205.0458439998,1,SD-USDT
2022-03-16,1647360000000,7.7997000000,7.8010000000,5.4101000000,5.5926000000,829490.5241590000,4954769.6122190002,4954769.6122190002,1,SD-USDT
2022-03-17,1647446400000,5.5864000000,5.7542000000,4.3000000000,5.0000000000,725250.9581230000,3649227.2015430001,3649227.2015430001,1,SD-USDT
2022-03-18,1647532800000,5.0000000000,5.5000000000,4.7500000000,4.9126000000,541180.0159800000,2762175.3761040000,2762175.3761040000,1,SD-USDT
2022-03-19,1647619200000,4.9025000000,5.0000000000,4.4918000000,4.9136000000,473213.6056090000,2254446.7642859998,2254446.7642859998,1,SD-USDT
2022-03-20,1647705600000,4.9136000000,5.4097000000,4.5000000000,4.6580000000,359289.2386430000,1747865.2792519999,1747865.2792519999,1,SD-USDT
2022-03-21,1647792000000,4.6587000000,4.7000000000,4.3000000000,4.5521000000,196232.1873010000,884832.6498650000,884832.6498650000,1,SD-USDT
2022-03-22,1647878400000,4.5526000000,4.5854000000,4.2700000000,4.3192000000,206207.0356600000,905371.6723980000,905371.6723980000,1,SD-USDT
2022-03-23,1647964800000,4.3213000000,4.5488000000,4.0700000000,4.4119000000,196854.6370110000,833975.5332570000,833975.5332570000,1,SD-USDT
2022-03-24,1648051200000,4.4126000000,4.4708000000,4.0820000000,4.4240000000,401011.2708360000,1719845.7378670000,1719845.7378670000,1,SD-USDT
2022-03-25,1648137600000,4.4229000000,4.8000000000,4.1820000000,4.5327000000,643264.3937850000,2840450.3476570002,2840450.3476570002,1,SD-USDT
2022-03-26,1648224000000,4.5321000000,4.6399000000,4.2000000000,4.3734000000,829541.9276750000,3653363.1630469998,3653363.1630469998,1,SD-USDT
2022-03-27,1648310400000,4.3735000000,4.7800000000,4.3453000000,4.7460000000,275937.5686850000,1266940.0341610000,1266940.0341610000,1,SD-USDT
2022-03-28,1648396800000,4.7459000000,4.9800000000,4.5834000000,4.8811000000,248875.2256230000,1184274.7876510001,1184274.7876510001,1,SD-USDT
2022-03-29,1648483200000,4.8814000000,5.1900000000,4.6704000000,4.7405000000,744740.4915810000,3714158.9996620002,3714158.9996620002,1,SD-USDT
2022-03-30,1648569600000,4.7406000000,4.9005000000,4.5000000000,4.5875000000,160970.6533750000,754538.7591760000,754538.7591760000,1,SD-USDT
2022-03-31,1648656000000,4.5873000000,4.9034000000,4.5201000000,4.8926000000,125080.9584140000,590574.8613730000,590574.8613730000,1,SD-USDT
2022-04-01,1648742400000,4.8932000000,4.9900000000,4.5987000000,4.8110000000,239107.0808210000,1147431.4572050001,1147431.4572050001,1,SD-USDT
2022-04-02,1648828800000,4.8098000000,5.0000000000,4.6600000000,4.8520000000,175296.9217450000,842808.0585820000,842808.0585820000,1,SD-USDT
2022-04-03,1648915200000,4.8344000000,5.8000000000,4.8000000000,5.2499000000,203473.0525050000,1035208.1995640000,1035208.1995640000,1,SD-USDT
2022-04-04,1649001600000,5.2400000000,7.5964000000,5.2400000000,6.5908000000,617827.7572000000,3816890.9803690002,3816890.9803690002,1,SD-USDT
2022-04-05,1649088000000,6.5908000000,9.6501000000,5.9865000000,8.3687000000,630735.0319769999,4739257.1082400000,4739257.1082400000,1,SD-USDT
2022-04-06,1649174400000,8.4286000000,9.6000000000,7.0457000000,7.1940000000,327177.3411240000,2679711.6152209998,2679711.6152209998,1,SD-USDT
2022-04-07,1649260800000,7.1963000000,7.3599000000,6.4165000000,6.9328000000,131069.9110020000,906132.0166770000,906132.0166770000,1,SD-USDT
2022-04-08,1649347200000,6.9340000000,7.5500000000,6.5190000000,6.7270000000,236849.1352130000,1647531.2669660000,1647531.2669660000,1,SD-USDT
2022-04-09,1649433600000,6.7258000000,6.8870000000,5.8590000000,5.9460000000,212862.7475880000,1377354.4846500000,1377354.4846500000,1,SD-USDT
2022-04-10,1649520000000,5.9461000000,6.2465000000,5.4963000000,5.6085000000,97404.0207820000,567894.0970310000,567894.0970310000,1,SD-USDT
2022-04-11,1649606400000,5.6092000000,5.6490000000,4.7901000000,5.0219000000,104436.0777840000,545573.7684650000,545573.7684650000,1,SD-USDT
2022-04-12,1649692800000,5.0232000000,5.0609000000,4.7000000000,4.9189000000,74994.0871140000,368113.8051660000,368113.8051660000,1,SD-USDT
2022-04-13,1649779200000,4.9190000000,5.3543000000,4.8874000000,5.1208000000,97698.6207940000,502505.8132650000,502505.8132650000,1,SD-USDT
2022-04-14,1649865600000,5.1207000000,6.6000000000,5.0205000000,5.9005000000,151919.6082670000,866548.4499500000,866548.4499500000,1,SD-USDT
2022-04-15,1649952000000,5.9006000000,6.5742000000,5.0413000000,5.0915000000,133351.8540450000,764904.9176570000,764904.9176570000,1,SD-USDT
2022-04-16,1650038400000,5.0864000000,5.3320000000,4.9609000000,5.0501000000,144790.8376740000,736150.1373590000,736150.1373590000,1,SD-USDT
