Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2018-01-11,1515600000000,2.0100000000,2.4799000000,2.0000000000,2.2000000000,14086.0255710000,30749.3012440000,30749.3012440000,1,STORJ-USDT
2018-01-12,1515686400000,2.2000000000,2.3248000000,1.9110000000,2.0998000000,34585.4678970000,71553.8271140000,71553.8271140000,1,STORJ-USDT
2018-01-13,1515772800000,2.0706000000,2.3997000000,2.0099000000,2.1652000000,34942.3166930000,77549.2898580000,77549.2898580000,1,STORJ-USDT
2018-01-14,1515859200000,2.1455000000,2.3879000000,1.8499000000,1.8697000000,26499.2544180000,55696.4294190000,55696.4294190000,1,STORJ-USDT
2018-01-15,1515945600000,1.8421000000,2.0491000000,1.8001000000,1.8936000000,16327.5594670000,31366.5695800000,31366.5695800000,1,STORJ-USDT
2018-01-16,1516032000000,1.9075000000,1.9075000000,1.2700000000,1.3577000000,45079.8539670000,68528.1688430000,68528.1688430000,1,STORJ-USDT
2018-01-17,1516118400000,1.3810000000,1.8200000000,0.9100000000,0.9200000000,28847.8167820000,32151.8855390000,32151.8855390000,1,STORJ-USDT
2018-01-18,1516204800000,0.9183000000,1.3799000000,0.9183000000,1.3388000000,45818.3240520000,57179.2044930000,57179.2044930000,1,STORJ-USDT
2018-01-19,1516291200000,1.3201000000,1.7900000000,1.0200000000,1.7161000000,92413.3296830000,138191.9557800000,138191.9557800000,1,STORJ-USDT
2018-01-20,1516377600000,1.7881000000,2.0000000000,1.6636000000,1.8184000000,38101.7487410000,70212.7603630000,70212.7603630000,1,STORJ-USDT
2018-01-21,1516464000000,1.8378000000,1.9339000000,1.4650000000,1.5184000000,20804.5072230000,34514.5340820000,34514.5340820000,1,STORJ-USDT
2018-01-22,1516550400000,1.5186000000,1.6022000000,1.2700000000,1.2877000000,22177.0165290000,31730.7181090000,31730.7181090000,1,STORJ-USDT
2018-01-23,1516636800000,1.3115000000,1.6479000000,1.2694000000,1.5498000000,21738.0309360000,31140.7134490000,31140.7134490000,1,STORJ-USDT
2018-01-24,1516723200000,1.5498000000,1.6200000000,1.4099000000,1.5266000000,27304.0098290000,42661.9166340000,42661.9166340000,1,STORJ-USDT
2018-01-25,1516809600000,1.5102000000,1.7350000000,1.4899000000,1.5503000000,29937.3952240000,49479.4310360000,49479.4310360000,1,STORJ-USDT
2018-01-26,1516896000000,1.5503000000,1.5945000000,1.3638000000,1.4589000000,16767.9351390000,25299.6764800000,25299.6764800000,1,STORJ-USDT
2018-01-27,1516982400000,1.4655000000,1.5469000000,1.4600000000,1.5448000000,3313.5441520000,4947.6133770000,4947.6133770000,1,STORJ-USDT
2018-01-28,1517068800000,1.5432000000,1.7600000000,1.5427000000,1.6215000000,9836.1056440000,16429.3729830000,16429.3729830000,1,STORJ-USDT
2018-01-29,1517155200000,1.6549000000,1.6590000000,1.4799000000,1.4890000000,8598.1013710000,13258.9937400000,13258.9937400000,1,STORJ-USDT
2018-01-30,1517241600000,1.5097000000,1.6233000000,1.4199000000,1.4233000000,6996.6578470000,10677.8202250000,10677.8202250000,1,STORJ-USDT
2018-01-31,1517328000000,1.4271000000,1.4271000000,1.1799000000,1.2700000000,20514.6605360000,25840.4112210000,25840.4112210000,1,STORJ-USDT
2018-02-01,1517414400000,1.2687000000,1.3031000000,1.0542000000,1.1028000000,10984.8200570000,12930.3133290000,12930.3133290000,1,STORJ-USDT
2018-02-02,1517500800000,1.1020000000,1.2137000000,0.8500000000,0.9879000000,42723.3107210000,43126.1181560000,43126.1181560000,1,STORJ-USDT
2018-02-03,1517587200000,0.9948000000,1.1729000000,0.9322000000,1.1122000000,16098.9027490000,16760.2219110000,16760.2219110000,1,STORJ-USDT
2018-02-04,1517673600000,1.1100000000,1.1341000000,0.8000000000,1.0195000000,12193.4291470000,12758.3686900000,12758.3686900000,1,STORJ-USDT
2018-02-05,1517760000000,1.0069000000,1.0150000000,0.7943000000,0.7994000000,25389.8061640000,23466.6668690000,23466.6668690000,1,STORJ-USDT
2018-02-06,1517846400000,0.8077000000,0.8146000000,0.6179000000,0.7582000000,8597.6197850000,5924.6466330000,5924.6466330000,1,STORJ-USDT
2018-02-07,1517932800000,0.7672000000,1.0337000000,0.6999000000,0.9001000000,14900.7840460000,13038.2570290000,13038.2570290000,1,STORJ-USDT
