Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2021-05-12,1620748800000,75.0,88.0,42.01,52.14,35730.598976,2412003.744166,2412003.744166,1,STRK-USDT
2021-05-13,1620835200000,52.14,78.0,44.95,48.21,55131.52035,2867416.086656,2867416.086656,1,STRK-USDT
2021-05-14,1620921600000,48.18,52.0,42.3,46.51,21458.686041,983391.863665,983391.863665,1,STRK-USDT
2021-05-15,1621008000000,46.5,58.0,44.98,50.66,34048.955453,1681842.236312,1681842.236312,1,STRK-USDT
2021-05-16,1621094400000,50.66,50.73,38.03,45.68,24574.546253,1065054.384013,1065054.384013,1,STRK-USDT
2021-05-17,1621180800000,45.68,45.74,38.03,40.22,16267.495048,670044.786682,670044.786682,1,STRK-USDT
2021-05-18,1621267200000,40.21,43.33,38.5,40.35,11893.784791,476641.741161,476641.741161,1,STRK-USDT
2021-05-19,1621353600000,40.35,40.36,11.86,27.12,39849.462182,1118516.137086,1118516.137086,1,STRK-USDT
2021-05-20,1621440000000,27.12,43.33,22.23,33.71,39996.594586,1259996.257891,1259996.257891,1,STRK-USDT
2021-05-21,1621526400000,33.71,51.06,30.65,41.61,44091.992231,1775610.428892,1775610.428892,1,STRK-USDT
2021-05-22,1621612800000,41.61,47.97,37.16,43.1,29284.617721,1252870.572538,1252870.572538,1,STRK-USDT
2021-05-23,1621699200000,43.1,48.0,36.44,37.78,20745.046072,880884.401037,880884.401037,1,STRK-USDT
2021-05-24,1621785600000,37.78,48.0,29.97,42.73,27098.239107,1092272.615341,1092272.615341,1,STRK-USDT
2021-05-25,1621872000000,42.74,48.47,40.78,43.17,22967.675658,1001227.390538,1001227.390538,1,STRK-USDT
2021-05-26,1621958400000,43.18,46.99,41.3,44.01,15440.600087,680431.973797,680431.973797,1,STRK-USDT
2021-05-27,1622044800000,44.01,47.99,42.02,46.08,15635.38687,692866.914331,692866.914331,1,STRK-USDT
2021-05-28,1622131200000,46.09,46.12,38.25,40.89,15221.238992,650326.006675,650326.006675,1,STRK-USDT
2021-05-29,1622217600000,40.9,44.4,38.49,39.38,14204.8016,582520.811303,582520.811303,1,STRK-USDT
