Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-08-09,1659974400000,0.5,0.5,0.47,0.4751,431126.9213,208768.8682,208768.8682,1,STX-USDC
2022-08-10,1660060800000,0.4747,0.4902,0.4579,0.4873,1075644.2804,507055.3535,507055.3535,1,STX-USDC
2022-08-11,1660147200000,0.4871,0.5117,0.2007,0.5051,949324.1192,471982.1631,471982.1631,1,STX-USDC
2022-08-12,1660233600000,0.5048,0.5088,0.4908,0.4987,1023206.1743,511978.0484,511978.0484,1,STX-USDC
2022-08-13,1660320000000,0.4986,0.5211,0.4966,0.5075,869333.0626,444168.7396,444168.7396,1,STX-USDC
2022-08-14,1660406400000,0.5074,0.516,0.4977,0.5048,831510.975,422492.7639,422492.7639,1,STX-USDC
2022-08-15,1660492800000,0.5046,0.5079,0.4786,0.487,1049503.7371,516777.9584,516777.9584,1,STX-USDC
2022-08-16,1660579200000,0.4871,0.4882,0.4706,0.4757,887179.1156,426750.5534,426750.5534,1,STX-USDC
2022-08-17,1660665600000,0.4754,0.4919,0.4507,0.455,554144.719,261843.8872,261843.8872,1,STX-USDC
2022-08-18,1660752000000,0.4548,0.4684,0.454,0.4622,767271.5901,354200.1589,354200.1589,1,STX-USDC
2022-08-19,1660838400000,0.4622,0.4625,0.3978,0.4033,914453.7682,383376.745,383376.745,1,STX-USDC
2022-08-20,1660924800000,0.4032,0.4093,0.3906,0.3944,747061.019,296384.6241,296384.6241,1,STX-USDC
2022-08-21,1661011200000,0.3945,0.4043,0.3816,0.3938,795335.1252,311331.6758,311331.6758,1,STX-USDC
2022-08-22,1661097600000,0.394,0.4011,0.369,0.3786,1007003.2273,384789.6522,384789.6522,1,STX-USDC
2022-08-23,1661184000000,0.3786,0.3879,0.371,0.3852,1021351.6909,388187.8381,388187.8381,1,STX-USDC
2022-08-24,1661270400000,0.385,0.3915,0.3786,0.3912,1231020.5556,473604.9378,473604.9378,1,STX-USDC
2022-08-25,1661356800000,0.3914,0.3996,0.3865,0.39,1474843.0212,579769.1689,579769.1689,1,STX-USDC
2022-08-26,1661443200000,0.3899,0.4247,0.3772,0.3781,2186184.3067,867416.9782,867416.9782,1,STX-USDC
2022-08-27,1661529600000,0.3783,0.3784,0.3567,0.3624,1391569.506,510067.858,510067.858,1,STX-USDC
2022-08-28,1661616000000,0.3623,0.3686,0.3561,0.3667,1085915.9433,394052.3402,394052.3402,1,STX-USDC
2022-08-29,1661702400000,0.3667,0.3689,0.3528,0.3636,1794823.7356,645609.5863,645609.5863,1,STX-USDC
2022-08-30,1661788800000,0.3637,0.3764,0.3566,0.3612,1945826.251,716542.9011,716542.9011,1,STX-USDC
2022-08-31,1661875200000,0.3613,0.3714,0.3537,0.3655,3834960.6428,1401495.6706,1401495.6706,1,STX-USDC
2022-09-01,1661961600000,0.3657,0.3718,0.3517,0.3553,5320061.1137,1927430.9771,1927430.9771,1,STX-USDC
2022-09-02,1662048000000,0.3553,0.369,0.3506,0.3658,5045441.7307,1812785.9532,1812785.9532,1,STX-USDC
2022-09-03,1662134400000,0.3658,0.3664,0.3557,0.3587,2607429.8724,939521.2091,939521.2091,1,STX-USDC
2022-09-04,1662220800000,0.3581,0.364,0.3572,0.3632,2209715.4993,796925.0722,796925.0722,1,STX-USDC
