Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2020-09-01,1598889600000,6.5,13.35,6.5,10.23,5912570.2396,60485730.0291,60485730.0291,1,SUSHI-USDT
2020-09-02,1598976000000,10.24,10.89,6.09,6.2,9500712.6477,77948918.2689,77948918.2689,1,SUSHI-USDT
2020-09-03,1599062400000,6.2,8.96,5.02,5.84,9206654.8077,63899588.4173,63899588.4173,1,SUSHI-USDT
2020-09-04,1599148800000,5.82,6.48,4.33,4.64,7941848.4441,41520880.0507,41520880.0507,1,SUSHI-USDT
2020-09-05,1599235200000,4.65,5.09,1.87,2.24,10692927.9254,36344037.1934,36344037.1934,1,SUSHI-USDT
2020-09-06,1599321600000,2.25,3.4,1.11,2.6,24064117.8105,52180390.3579,52180390.3579,1,SUSHI-USDT
2020-09-07,1599408000000,2.62,3.5,2.13,2.92,14235788.0335,40331222.1954,40331222.1954,1,SUSHI-USDT
2020-09-08,1599494400000,2.92,3.07,2.5,2.64,7580640.209,21101325.2184,21101325.2184,1,SUSHI-USDT
2020-09-09,1599580800000,2.64,3.2,2.16,3.04,7079073.2664,17872201.7365,17872201.7365,1,SUSHI-USDT
2020-09-10,1599667200000,3.04,3.17,2.41,2.46,8839125.1966,24600476.2577,24600476.2577,1,SUSHI-USDT
2020-09-11,1599753600000,2.45,2.7,2.02,2.6,11682128.7506,27487554.8702,27487554.8702,1,SUSHI-USDT
2020-09-12,1599840000000,2.6,2.95,2.32,2.43,14275317.5254,37036322.3897,37036322.3897,1,SUSHI-USDT
2020-09-13,1599926400000,2.42,2.68,2.21,2.23,7564684.5463,18601063.9753,18601063.9753,1,SUSHI-USDT
2020-09-14,1600012800000,2.23,2.67,2.13,2.51,6130481.2479,14541142.315,14541142.315,1,SUSHI-USDT
2020-09-15,1600099200000,2.52,2.66,1.76,1.91,11239914.4019,25150724.7748,25150724.7748,1,SUSHI-USDT
2020-09-16,1600185600000,1.9,1.97,1.58,1.62,7177890.9175,12500644.2795,12500644.2795,1,SUSHI-USDT
2020-09-17,1600272000000,1.62,1.66,1.32,1.43,7735308.1668,11438307.132,11438307.132,1,SUSHI-USDT
2020-09-18,1600358400000,1.42,1.87,1.37,1.71,9121578.4237,15093346.3876,15093346.3876,1,SUSHI-USDT
2020-09-19,1600444800000,1.71,1.87,1.55,1.85,5263490.4582,8933395.8994,8933395.8994,1,SUSHI-USDT
2020-09-20,1600531200000,1.85,1.97,1.63,1.64,6611199.8387,11850130.3557,11850130.3557,1,SUSHI-USDT
2020-09-21,1600617600000,1.64,1.74,1.34,1.41,5932006.6988,9253773.9388,9253773.9388,1,SUSHI-USDT
2020-09-22,1600704000000,1.41,1.48,1.32,1.4,3792299.5651,5329883.3404,5329883.3404,1,SUSHI-USDT
2020-09-23,1600790400000,1.39,1.46,1.22,1.35,4602419.1274,6216959.2204,6216959.2204,1,SUSHI-USDT
2020-09-24,1600876800000,1.35,1.43,1.22,1.41,5484601.7168,7367344.0484,7367344.0484,1,SUSHI-USDT
2020-09-25,1600963200000,1.41,1.48,1.34,1.4,4131761.6842,5818129.93,5818129.93,1,SUSHI-USDT
2020-09-26,1601049600000,1.41,1.44,1.35,1.41,2169580.8579,3054569.8618,3054569.8618,1,SUSHI-USDT
2020-09-27,1601136000000,1.41,1.45,1.33,1.38,1949750.2136,2721905.6005,2721905.6005,1,SUSHI-USDT
2020-09-28,1601222400000,1.37,1.4,1.33,1.37,1811781.6328,2468260.6516,2468260.6516,1,SUSHI-USDT
2020-09-29,1601308800000,1.36,1.37,1.24,1.26,2672003.8147,3421248.0462,3421248.0462,1,SUSHI-USDT
2020-09-30,1601395200000,1.26,1.33,1.196,1.283,7918688.6968,10001435.8274,10001435.8274,1,SUSHI-USDT
2020-10-01,1601481600000,1.283,1.35,1.266,1.269,5286648.6132,6904489.1328,6904489.1328,1,SUSHI-USDT
2020-10-02,1601568000000,1.268,1.268,1.03,1.102,8590300.0522,10064480.6226,10064480.6226,1,SUSHI-USDT
2020-10-03,1601654400000,1.101,1.13,1.07,1.106,3633767.7009,4022502.4139,4022502.4139,1,SUSHI-USDT
2020-10-04,1601740800000,1.107,1.133,0.912,0.912,7285857.9365,7283143.792,7283143.792,1,SUSHI-USDT
2020-10-05,1601827200000,0.911,0.948,0.851,0.914,11391538.4939,10144390.6041,10144390.6041,1,SUSHI-USDT
2020-10-06,1601913600000,0.915,0.919,0.634,0.703,21945266.8717,16713499.5436,16713499.5436,1,SUSHI-USDT
2020-10-07,1602000000000,0.704,0.709,0.54,0.609,23436027.4888,14491333.2844,14491333.2844,1,SUSHI-USDT
2020-10-08,1602086400000,0.609,0.767,0.588,0.759,19898873.4735,13177708.442,13177708.442,1,SUSHI-USDT
2020-10-09,1602172800000,0.762,0.866,0.735,0.844,16053391.4624,12588332.1075,12588332.1075,1,SUSHI-USDT
2020-10-10,1602259200000,0.845,0.873,0.762,0.765,8767654.2861,7118450.9547,7118450.9547,1,SUSHI-USDT
2020-10-11,1602345600000,0.765,0.785,0.695,0.764,10825433.3311,8069543.3523,8069543.3523,1,SUSHI-USDT
2020-10-12,1602432000000,0.764,0.801,0.728,0.78,6344669.9354,4864383.9396,4864383.9396,1,SUSHI-USDT
2020-10-13,1602518400000,0.781,0.795,0.733,0.741,4615441.5934,3516345.266,3516345.266,1,SUSHI-USDT
2020-10-14,1602604800000,0.739,0.77,0.71,0.715,5463751.6537,4033801.814,4033801.814,1,SUSHI-USDT
2020-10-15,1602691200000,0.715,0.726,0.666,0.701,5490682.9968,3823247.8553,3823247.8553,1,SUSHI-USDT
2020-10-16,1602777600000,0.7,0.72,0.638,0.669,6354692.1893,4320658.8695,4320658.8695,1,SUSHI-USDT
2020-10-17,1602864000000,0.669,0.69,0.641,0.66,3833741.5675,2536510.7979,2536510.7979,1,SUSHI-USDT
2020-10-18,1602950400000,0.66,0.717,0.649,0.704,2912660.6588,1986736.8294,1986736.8294,1,SUSHI-USDT
2020-10-19,1603036800000,0.705,0.723,0.68,0.697,2991672.8954,2089966.5447,2089966.5447,1,SUSHI-USDT
2020-10-20,1603123200000,0.698,0.702,0.618,0.63,3583109.6912,2341342.5431,2341342.5431,1,SUSHI-USDT
2020-10-21,1603209600000,0.63,0.679,0.609,0.668,4626140.4956,2966180.9376,2966180.9376,1,SUSHI-USDT
2020-10-22,1603296000000,0.669,0.711,0.656,0.695,4246284.2734,2889884.0207,2889884.0207,1,SUSHI-USDT
2020-10-23,1603382400000,0.695,0.72,0.65,0.668,3816374.7634,2595750.587,2595750.587,1,SUSHI-USDT
2020-10-24,1603468800000,0.668,0.673,0.644,0.657,1948164.3441,1278447.7179,1278447.7179,1,SUSHI-USDT
2020-10-25,1603555200000,0.657,0.662,0.627,0.629,1278117.8526,823665.0069,823665.0069,1,SUSHI-USDT
2020-10-26,1603641600000,0.629,0.641,0.596,0.601,2043099.0213,1272031.7574,1272031.7574,1,SUSHI-USDT
2020-10-27,1603728000000,0.6,0.702,0.588,0.673,5699616.8087,3658692.4461,3658692.4461,1,SUSHI-USDT
2020-10-28,1603814400000,0.674,0.72,0.606,0.629,8293285.0181,5526543.8964,5526543.8964,1,SUSHI-USDT
2020-10-29,1603900800000,0.629,0.677,0.614,0.646,4804006.5813,3082518.3714,3082518.3714,1,SUSHI-USDT
2020-10-30,1603987200000,0.646,0.662,0.585,0.602,5075789.1334,3124281.7433,3124281.7433,1,SUSHI-USDT
2020-10-31,1604073600000,0.601,0.633,0.587,0.608,2969316.5505,1799616.5446,1799616.5446,1,SUSHI-USDT
2020-11-01,1604160000000,0.608,0.616,0.591,0.599,1537926.5697,926369.1216,926369.1216,1,SUSHI-USDT
2020-11-02,1604246400000,0.598,0.616,0.578,0.59,2730204.2512,1623684.1593,1623684.1593,1,SUSHI-USDT
2020-11-03,1604332800000,0.589,0.589,0.501,0.514,3711726.7461,1990711.7954,1990711.7954,1,SUSHI-USDT
2020-11-04,1604419200000,0.513,0.525,0.468,0.471,2802476.8264,1391424.8243,1391424.8243,1,SUSHI-USDT
2020-11-05,1604505600000,0.47,0.541,0.469,0.522,3744881.5562,1894518.1003,1894518.1003,1,SUSHI-USDT
2020-11-06,1604592000000,0.523,0.62,0.503,0.581,5358488.5664,2965908.5507,2965908.5507,1,SUSHI-USDT
2020-11-07,1604678400000,0.582,0.706,0.581,0.638,9292647.3143,6044582.9975,6044582.9975,1,SUSHI-USDT
