Datetime,Timestamp,Open,High,Low,Close,VolumeNum,VolumeCurrency,VolumeQuote,KlineConfirm,Symbol
2022-09-27,1664208000000,0.03,0.0567,0.01683,0.021588,207210999.44,5686347.73,5686347.73,1,TAMA-USDT
2022-09-28,1664294400000,0.021657,0.029,0.0201,0.023431,141982334.16,3352890.46,3352890.46,1,TAMA-USDT
2022-09-29,1664380800000,0.023469,0.024071,0.020696,0.021604,50361262.66,1119778.88,1119778.88,1,TAMA-USDT
2022-09-30,1664467200000,0.021625,0.025899,0.019153,0.024001,77322679.6,1721627.13,1721627.13,1,TAMA-USDT
2022-10-01,1664553600000,0.024003,0.054928,0.02337,0.046398,240994650.52,9033133.95,9033133.95,1,TAMA-USDT
2022-10-02,1664640000000,0.046396,0.089,0.036755,0.069198,351341112.1,22442566.29,22442566.29,1,TAMA-USDT
2022-10-03,1664726400000,0.06909,0.089009,0.0655,0.085,134682185.11,10383591.26,10383591.26,1,TAMA-USDT
2022-10-04,1664812800000,0.085285,0.197,0.0847,0.165,382176161.83,52715561.13,52715561.13,1,TAMA-USDT
2022-10-05,1664899200000,0.1655,0.189994,0.093551,0.1216,411445576.61,58885606.23,58885606.23,1,TAMA-USDT
2022-10-06,1664985600000,0.121342,0.132,0.064,0.086777,609946426.65,57571031.23,57571031.23,1,TAMA-USDT
2022-10-07,1665072000000,0.0864,0.094593,0.0404,0.052988,692101623.75,41876366.89,41876366.89,1,TAMA-USDT
2022-10-08,1665158400000,0.05284,0.0604,0.0477,0.054533,289816038.09,15736674.72,15736674.72,1,TAMA-USDT
2022-10-09,1665244800000,0.054531,0.0558,0.0432,0.04396,179541264.73,8828851.8,8828851.8,1,TAMA-USDT
2022-10-10,1665331200000,0.04396,0.0499,0.0335,0.041752,333476507.73,13726167.36,13726167.36,1,TAMA-USDT
2022-10-11,1665417600000,0.041788,0.042987,0.03161,0.033235,189098501.19,7091990.47,7091990.47,1,TAMA-USDT
2022-10-12,1665504000000,0.0333,0.0388,0.030123,0.0353,182767730.57,6191530.73,6191530.73,1,TAMA-USDT
2022-10-13,1665590400000,0.035426,0.0459,0.03491,0.0406,302016105.81,11981683.37,11981683.37,1,TAMA-USDT
2022-10-14,1665676800000,0.040521,0.042607,0.0385,0.0397,99525843.93,4019242.73,4019242.73,1,TAMA-USDT
2022-10-15,1665763200000,0.039666,0.039666,0.0352,0.035576,90935853.18,3372370.24,3372370.24,1,TAMA-USDT
2022-10-16,1665849600000,0.035576,0.036264,0.032345,0.033624,78952729.42,2701748.05,2701748.05,1,TAMA-USDT
2022-10-17,1665936000000,0.033623,0.0354,0.0312,0.031354,54546493.83,1825810.59,1825810.59,1,TAMA-USDT
2022-10-18,1666022400000,0.031353,0.034781,0.029235,0.03039,110566002.05,3476304.53,3476304.53,1,TAMA-USDT
2022-10-19,1666108800000,0.03031,0.030869,0.022736,0.025776,153863078.79,4026633.27,4026633.27,1,TAMA-USDT
2022-10-20,1666195200000,0.025776,0.031281,0.02565,0.028785,108852765.33,3114077.53,3114077.53,1,TAMA-USDT
2022-10-21,1666281600000,0.028799,0.029297,0.0254,0.027087,62459616.1,1684074.16,1684074.16,1,TAMA-USDT
2022-10-22,1666368000000,0.027085,0.027599,0.024308,0.024583,47573779.31,1222017.62,1222017.62,1,TAMA-USDT
2022-10-23,1666454400000,0.024582,0.024601,0.022644,0.023041,52742628.53,1243371.27,1243371.27,1,TAMA-USDT
2022-10-24,1666540800000,0.023039,0.0256,0.0222,0.023784,65191373.68,1563949.1,1563949.1,1,TAMA-USDT
2022-10-25,1666627200000,0.023759,0.0242,0.023198,0.024,32368130.22,769873.21,769873.21,1,TAMA-USDT
2022-10-26,1666713600000,0.023999,0.025,0.023765,0.024229,41856814.28,1010678.85,1010678.85,1,TAMA-USDT
2022-10-27,1666800000000,0.024293,0.024449,0.023356,0.0236,43180004.9,1034749.08,1034749.08,1,TAMA-USDT
2022-10-28,1666886400000,0.023542,0.0249,0.022067,0.022682,60131100.38,1400402.39,1400402.39,1,TAMA-USDT
2022-10-29,1666972800000,0.022683,0.023625,0.022223,0.022553,52342963.85,1199105.51,1199105.51,1,TAMA-USDT
2022-10-30,1667059200000,0.022554,0.025741,0.0206,0.024672,136008465.36,3267790.01,3267790.01,1,TAMA-USDT
2022-10-31,1667145600000,0.024659,0.03985,0.024462,0.037083,194665752.6,5943229.43,5943229.43,1,TAMA-USDT
2022-11-01,1667232000000,0.037083,0.0394,0.03055,0.033498,179465047.06,6190349.31,6190349.31,1,TAMA-USDT
2022-11-02,1667318400000,0.033498,0.033755,0.0285,0.029184,104152028.38,3178253.88,3178253.88,1,TAMA-USDT
2022-11-03,1667404800000,0.029149,0.031446,0.0285,0.028587,55992205.29,1636863.14,1636863.14,1,TAMA-USDT
2022-11-04,1667491200000,0.028587,0.0295,0.02579,0.028678,85885158.06,2402231.75,2402231.75,1,TAMA-USDT
2022-11-05,1667577600000,0.028681,0.031929,0.028681,0.03103,65735219.06,2000806.45,2000806.45,1,TAMA-USDT
2022-11-06,1667664000000,0.03103,0.031599,0.02983,0.030126,26258872.32,802798.67,802798.67,1,TAMA-USDT
2022-11-07,1667750400000,0.03015,0.032699,0.02975,0.031745,38397855.45,1196744.52,1196744.52,1,TAMA-USDT
2022-11-08,1667836800000,0.031634,0.0319,0.0285,0.028739,38440464.16,1143850.46,1143850.46,1,TAMA-USDT
2022-11-09,1667923200000,0.028783,0.03,0.0245,0.024866,69865368.01,1867248.55,1867248.55,1,TAMA-USDT
2022-11-10,1668009600000,0.024859,0.029566,0.023002,0.026872,64632362.77,1645951.35,1645951.35,1,TAMA-USDT
2022-11-11,1668096000000,0.026835,0.028139,0.026002,0.027274,44063575.81,1193495.99,1193495.99,1,TAMA-USDT
2022-11-12,1668182400000,0.027309,0.027578,0.02625,0.027041,18536790.49,501290.88,501290.88,1,TAMA-USDT
2022-11-13,1668268800000,0.027007,0.029,0.026563,0.026808,21511250.06,590590.5,590590.5,1,TAMA-USDT
2022-11-14,1668355200000,0.026845,0.027117,0.023685,0.024987,24624181.18,627741.89,627741.89,1,TAMA-USDT
2022-11-15,1668441600000,0.024909,0.025117,0.023645,0.024725,17489824.76,427919.9,427919.9,1,TAMA-USDT
2022-11-16,1668528000000,0.024775,0.02537,0.024,0.024164,15575221.91,382713.96,382713.96,1,TAMA-USDT
2022-11-17,1668614400000,0.024095,0.024607,0.023001,0.023289,13080000.41,313259.77,313259.77,1,TAMA-USDT
